,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,A_127,2012-11-19 11:30:00.000000,15,16,14,0,19,2,342,42,108,90,95,1,27,9,762,414
1,A_124,2012-02-15 11:30:00.000000,12,17,14,0,17,3,546,42,95,134,79,7,40,7,846,486
2,A_758,2014-11-18 12:30:00.000000,9,21,11,1,35,1,552,18,79,105,56,6,49,4,678,342
3,A_224,2013-08-14 12:30:00.000000,14,31,11,0,18,6,576,72,96,156,99,3,67,8,780,414
4,A_761,2014-02-13 11:30:00.000000,20,41,10,0,24,6,732,42,82,61,81,0,32,1,444,306
5,A_562,2018-11-19 11:30:00.000000,19,69,14,0,29,3,780,48,81,147,93,7,26,6,912,486
6,A_566,2019-11-26 11:30:00.000000,23,63,21,1,17,4,966,30,58,111,101,4,18,7,690,378
7,A_561,2018-08-15 12:30:00.000000,24,82,15,1,26,5,990,42,66,115,89,3,33,5,624,396
8,A_393,2016-05-16 12:30:00.000000,12,53,11,1,26,2,666,30,72,168,108,4,33,3,762,372
9,A_756,2015-05-19 12:30:00.000000,19,41,8,1,18,3,654,36,93,130,64,5,31,5,834,264
10,A_126,2012-08-15 12:30:00.000000,22,13,10,1,10,1,432,36,118,94,106,3,27,11,972,354
11,A_397,2017-05-22 12:30:00.000000,18,51,11,0,18,5,636,30,64,115,79,1,28,4,792,312
12,A_564,2019-05-14 12:30:00.000000,23,49,20,0,18,4,708,78,87,77,99,6,18,3,558,600
13,A_128,2013-02-14 11:30:00.000000,30,25,23,2,15,4,456,72,137,106,114,6,45,5,930,636
14,A_398,2017-08-16 12:30:00.000000,10,44,11,0,16,8,606,48,68,125,69,2,43,12,774,324
15,A_563,2019-02-20 11:30:00.000000,15,63,14,0,15,5,864,42,76,144,94,3,22,5,726,432
16,A_755,2015-08-17 12:30:00.000000,11,28,9,0,20,2,624,18,120,142,87,2,47,2,702,384
17,A_760,2014-05-14 12:30:00.000000,13,21,9,1,24,4,642,60,52,85,58,5,38,3,600,276
18,A_560,2018-05-14 12:30:00.000000,16,49,16,1,19,1,744,6,80,98,88,6,25,1,654,384
19,A_400,2018-02-14 11:30:00.000000,11,64,6,4,15,3,900,48,78,140,82,0,16,4,1242,324
20,A_392,2016-02-16 11:30:00.000000,14,47,6,0,18,4,576,60,82,117,61,4,32,3,936,426
21,A_565,2019-08-14 12:30:00.000000,16,58,15,3,14,3,780,60,59,105,72,5,30,1,666,372
22,A_759,2014-08-14 12:30:00.000000,10,32,11,0,21,4,642,30,68,102,62,1,28,6,720,396
23,A_395,2016-11-15 11:30:00.000000,18,68,25,1,30,3,864,90,46,88,99,4,26,3,660,360
24,A_399,2017-11-20 11:30:00.000000,20,74,21,0,28,6,894,66,73,117,57,1,40,1,804,336
25,A_757,2015-02-17 11:30:00.000000,19,45,12,4,22,3,588,48,78,118,58,2,36,4,768,330
26,A_129,2013-05-14 12:30:00.000000,29,28,13,1,22,3,516,54,159,109,93,8,61,14,1128,630
27,A_394,2016-08-17 12:30:00.000000,19,37,10,0,18,1,648,54,93,115,108,2,40,4,882,432
28,A_391,2015-11-17 11:30:00.000000,13,45,12,0,27,11,690,30,81,94,85,1,39,8,888,360
29,AAL_1452,2018-10-25 04:30:00.000000,30,118,32,1,49,7,840,90,83,174,47,15,42,6,570,390
30,AAL_1450,2018-04-26 04:30:00.000000,22,93,24,2,26,7,642,90,47,87,56,1,27,7,420,204
31,AAL_1303,2015-10-23 04:30:00.000000,24,57,29,2,25,3,420,90,86,119,64,6,26,6,600,480
32,AAL_1301,2015-04-24 04:30:00.000000,28,49,28,3,24,2,432,132,93,90,86,2,47,7,402,528
33,AAL_1310,2017-07-28 04:30:00.000000,11,74,27,1,17,5,504,30,82,149,61,11,50,10,564,354
34,AAL_1309,2017-04-27 04:30:00.000000,26,88,32,9,26,7,588,66,96,171,106,9,54,15,774,498
35,AAL_1299,2014-07-24 09:30:00.000000,22,53,40,4,21,8,528,96,71,100,69,10,48,7,474,408
36,AAL_1453,2019-01-24 03:30:00.000000,26,99,36,2,41,8,852,72,108,119,68,6,44,4,606,360
37,AAL_1307,2016-10-20 04:30:00.000000,27,75,27,1,29,4,504,102,102,172,66,3,64,9,408,516
38,AAL_1311,2017-10-26 06:00:00.000000,37,70,26,2,20,4,492,42,107,164,81,5,46,5,498,408
39,AAL_1308,2017-01-27 03:30:00.000000,21,67,22,2,25,4,558,36,91,138,83,14,88,7,702,564
40,AAL_1306,2016-07-22 04:30:00.000000,23,43,24,3,33,3,576,90,128,91,99,7,79,19,450,480
41,AAL_1449,2018-01-25 03:30:00.000000,15,97,29,3,31,5,804,54,58,113,52,2,34,2,528,312
42,AAL_1300,2015-01-27 03:30:00.000000,18,59,31,5,32,7,546,114,101,127,81,11,72,0,408,510
43,AAL_1451,2018-07-26 04:30:00.000000,35,104,29,2,42,10,918,114,91,111,61,3,30,7,558,348
44,AAL_1456,2019-10-24 04:30:00.000000,38,98,35,6,52,13,750,102,99,135,89,11,77,9,666,390
45,AAL_1457,2020-01-23 03:30:00.000000,34,110,29,3,43,8,804,84,109,125,78,26,59,8,504,336
46,AAL_1454,2019-04-26 04:30:00.000000,54,78,57,3,31,7,762,90,83,101,83,12,44,3,534,402
47,AAL_1455,2019-07-25 04:30:00.000000,61,94,35,12,40,11,774,138,90,155,67,13,52,2,516,306
48,AAP_807,2013-08-08 06:00:00.000000,34,139,32,3,27,9,810,96,34,62,30,1,11,2,372,120
49,AAP_611,2016-05-19 04:30:00.000000,50,109,24,2,35,11,456,120,96,134,56,3,41,8,282,270
50,AAP_619,2018-05-22 04:00:00.000000,12,94,15,2,17,5,408,60,113,247,60,0,36,3,540,426
51,AAP_707,2020-02-18 03:00:00.000000,34,133,24,3,20,4,636,66,37,107,28,3,11,11,462,168
52,AAP_615,2017-05-24 04:00:00.000000,38,103,20,4,24,3,582,162,73,155,48,1,22,9,888,300
53,AAP_617,2017-11-14 03:00:00.000000,30,89,9,2,19,1,408,66,116,187,72,0,35,2,714,420
54,AAP_710,2019-05-22 04:00:00.000000,15,105,18,2,21,6,408,36,61,115,45,0,22,9,414,186
55,AAP_621,2018-11-13 03:00:00.000000,21,104,15,3,15,2,474,72,91,207,40,0,34,5,690,294
