,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,BA_3323,2017-01-25 05:30:00.000000,11,82,21,6,10,11,900,78,74,190,59,4,51,10,636,312
1,BA_3710,2015-07-22 06:30:00.000000,15,96,15,6,10,11,744,90,56,144,38,6,28,9,468,366
2,BA_3711,2015-04-22 06:30:00.000000,18,62,12,2,11,6,642,78,68,67,54,1,15,9,306,294
3,BA_3435,2017-10-25 06:30:00.000000,14,81,17,7,14,8,900,96,62,163,44,6,29,6,726,252
4,BA_3193,2014-01-29 05:30:00.000000,16,128,22,11,19,6,960,84,56,104,65,5,46,8,396,246
5,BA_3707,2016-04-27 06:30:00.000000,20,73,11,5,13,11,654,114,71,149,37,4,22,6,516,312
6,BA_3706,2016-07-27 06:30:00.000000,22,70,19,4,15,11,618,144,58,114,28,5,23,10,288,336
7,BA_3548,2019-01-30 05:30:00.000000,22,146,26,11,19,9,1380,102,44,100,44,0,52,10,636,384
8,BA_3436,2018-01-31 05:30:00.000000,18,138,24,17,21,16,1182,126,53,105,42,10,38,8,522,204
9,BA_3140,2012-10-24 06:30:00.000000,17,95,23,4,20,9,822,114,41,79,55,2,23,8,372,198
10,BA_3546,2018-07-25 06:30:00.000000,16,114,25,18,17,11,1248,108,49,119,42,4,17,17,462,198
11,BA_3552,2020-01-29 05:30:00.000000,62,73,35,15,81,22,594,150,62,39,46,6,34,4,198,156
12,BA_3708,2016-01-27 08:00:00.000000,16,111,28,2,20,10,1044,174,48,83,51,2,32,12,570,300
13,BA_3709,2015-10-21 06:30:00.000000,12,63,13,4,4,7,690,120,77,120,54,3,29,14,744,312
14,BA_3138,2012-04-25 06:30:00.000000,21,67,23,3,17,5,462,60,67,79,62,4,19,7,366,360
15,BA_3549,2019-04-24 06:30:00.000000,30,95,16,12,45,20,900,108,50,74,26,14,40,7,390,138
16,BA_3142,2013-04-24 06:30:00.000000,28,98,18,12,8,13,738,114,67,139,57,3,49,12,444,354
17,BA_3197,2015-01-28 05:30:00.000000,20,121,24,11,9,9,1068,150,50,101,39,1,22,3,300,330
18,BA_3547,2018-10-24 06:30:00.000000,26,126,15,16,18,11,1242,84,46,133,34,9,34,4,618,186
19,BA_3434,2017-07-26 06:30:00.000000,8,74,17,5,10,9,726,84,58,160,67,2,34,9,684,390
20,BA_3437,2018-04-25 06:30:00.000000,13,112,18,13,12,10,978,84,45,119,43,2,22,8,354,186
21,BA_3141,2013-01-30 05:30:00.000000,24,123,28,9,25,9,948,102,83,55,59,5,17,8,162,180
22,BA_3550,2019-07-24 06:30:00.000000,43,98,33,14,51,34,954,132,50,90,65,18,42,17,354,144
23,BA_3551,2019-10-23 06:30:00.000000,57,102,44,26,58,24,906,126,53,77,52,18,47,13,402,168
24,BA_3139,2012-07-25 06:30:00.000000,18,76,21,3,12,8,612,60,63,77,73,2,33,5,306,306
25,BA_3195,2014-07-23 06:30:00.000000,24,95,14,8,8,6,666,72,59,88,68,5,21,7,408,216
26,BA_3137,2012-01-25 05:30:00.000000,23,103,21,10,25,11,828,132,59,48,61,6,35,21,306,150
27,BA_3322,2016-10-26 06:30:00.000000,13,67,15,5,12,3,690,96,65,169,45,4,28,7,570,330
28,BA_3196,2014-10-22 06:30:00.000000,11,66,12,3,6,6,624,72,42,143,69,2,27,6,480,264
