,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,C_5478,2018-04-13 07:30:00.000000,25,74,24,2,11,3,1176,90,73,104,69,6,19,5,666,396
1,C_5479,2018-07-13 07:30:00.000000,31,122,46,4,12,3,1572,144,57,106,59,1,13,8,744,294
2,C_5410,2016-07-15 07:30:00.000000,52,97,36,12,10,2,1152,138,85,127,69,12,22,4,696,366
3,C_5476,2017-10-12 06:00:00.000000,31,53,24,5,5,1,1056,84,108,111,88,12,32,3,1098,528
4,C_5314,2014-07-14 06:00:00.000000,66,86,53,31,15,0,852,204,143,147,155,47,56,12,1032,810
5,C_5251,2013-04-15 07:00:00.000000,75,71,38,24,21,3,882,240,133,69,79,29,41,11,468,432
6,C_5252,2013-07-15 06:30:00.000000,103,69,54,25,12,2,1146,348,137,66,97,20,12,5,510,528
7,C_5534,2019-01-14 05:00:00.000000,65,129,49,2,9,6,1434,168,135,136,123,3,21,18,942,684
8,C_5408,2016-01-15 06:30:00.000000,50,121,49,17,16,1,1152,156,131,139,119,10,39,7,804,486
9,C_5537,2019-10-15 06:00:00.000000,26,68,30,0,7,2,1086,60,84,135,93,3,33,11,900,498
10,C_5406,2015-07-21 07:00:00.000000,23,48,38,13,7,13,684,72,49,20,50,6,17,8,282,174
11,C_5411,2016-10-14 07:30:00.000000,48,88,33,9,9,2,1122,162,88,110,69,5,26,11,558,432
12,C_5250,2013-01-17 06:00:00.000000,78,74,40,20,14,2,1014,330,120,97,90,23,16,9,636,522
13,C_5246,2012-01-17 05:30:00.000000,97,75,67,32,25,1,1218,288,113,67,92,16,21,4,678,582
14,C_5407,2015-10-15 07:00:00.000000,58,88,41,13,19,3,1188,156,88,124,109,14,54,7,804,522
15,C_5315,2014-10-15 07:30:00.000000,55,79,26,25,18,1,1002,168,110,102,75,18,16,13,504,438
16,C_5474,2017-04-13 07:30:00.000000,34,77,33,2,12,2,1050,90,63,66,69,20,15,13,528,414
17,C_5313,2014-04-14 07:00:00.000000,91,105,57,29,24,11,936,234,135,100,98,20,32,17,594,588
18,C_5536,2019-07-15 06:00:00.000000,39,90,30,1,13,2,1290,102,138,158,109,11,36,6,942,606
19,C_5405,2015-07-16 07:00:00.000000,44,94,33,17,15,2,1122,132,108,117,132,17,29,12,558,546
20,C_5316,2015-01-15 06:00:00.000000,15,27,15,3,7,2,162,24,170,141,137,45,31,10,1392,678
21,C_5317,2015-04-16 07:00:00.000000,47,84,31,22,11,3,846,108,103,112,123,22,27,14,600,510
22,C_5477,2018-01-16 05:00:00.000000,8,31,12,2,7,1,186,36,134,228,119,12,37,4,2514,582
23,C_5312,2014-01-16 06:00:00.000000,105,130,64,31,28,6,1236,312,172,172,163,33,31,20,792,804
24,C_5223,2013-10-15 07:00:00.000000,128,94,61,16,24,2,1116,366,140,130,120,23,46,10,654,648
25,C_5533,2018-10-12 07:30:00.000000,26,85,24,1,12,0,1044,66,80,83,48,5,20,5,738,378
26,C_5535,2019-04-15 06:00:00.000000,50,76,24,2,7,3,1194,84,65,133,55,9,26,9,816,246
27,C_5409,2016-04-15 07:00:00.000000,55,84,73,17,17,0,1038,138,97,93,94,18,28,9,744,426
28,C_5475,2017-07-14 07:30:00.000000,32,66,26,3,10,0,1206,72,65,105,66,11,24,9,660,312
29,C_5247,2012-04-16 07:00:00.000000,63,91,43,6,12,3,1146,270,96,83,103,33,24,7,468,504
30,CA_4293,2013-05-07 12:30:00.000000,58,151,25,9,45,5,762,186,52,36,80,8,38,5,420,174
31,CA_4464,2017-05-11 13:00:00.000000,17,79,38,8,28,4,852,48,54,52,36,2,23,4,408,180
32,CA_4298,2014-10-22 13:00:00.000000,24,84,22,5,21,3,606,60,23,50,19,0,11,3,246,132
33,CA_4418,2016-01-26 12:00:00.000000,16,96,24,8,17,4,774,72,42,51,33,8,33,0,372,180
34,CA_4165,2012-01-24 12:00:00.000000,20,47,36,5,16,2,774,18,65,54,58,1,26,11,606,240
35,CA_4419,2016-05-12 13:00:00.000000,18,74,25,5,19,3,624,18,46,80,36,2,15,3,426,204
36,CA_4463,2017-08-02 13:00:00.000000,15,62,25,3,17,2,534,12,9,13,7,0,0,2,150,18
37,CA_4296,2014-01-21 12:00:00.000000,20,66,25,3,21,2,708,36,64,67,46,8,38,1,330,282
38,CA_4460,2018-05-08 13:00:00.000000,18,75,34,6,19,3,624,48,29,44,14,4,12,2,324,114
39,CA_4294,2013-07-24 13:00:00.000000,22,32,34,6,19,0,414,42,40,49,16,2,20,3,216,114
40,CA_4461,2018-01-30 12:00:00.000000,12,71,34,5,22,2,588,66,38,128,37,5,29,3,522,246
41,CA_4421,2016-10-27 13:00:00.000000,37,82,23,11,14,7,738,72,42,72,30,10,14,2,510,228
42,CA_4167,2012-07-26 13:00:00.000000,16,37,29,6,22,5,684,30,63,32,28,2,13,3,180,114
43,CA_4462,2017-10-25 13:00:00.000000,22,49,24,9,18,3,492,36,41,53,18,2,13,3,240,84
44,CA_4168,2012-10-25 13:00:00.000000,34,22,31,5,18,3,540,24,48,45,39,4,12,3,234,246
45,CA_4465,2015-07-24 13:00:00.000000,24,89,20,5,26,5,618,60,45,58,27,7,14,3,378,204
46,CA_4422,2017-01-24 12:00:00.000000,34,61,18,8,15,4,618,42,78,83,56,3,26,1,792,246
47,CA_4169,2013-01-22 12:00:00.000000,23,33,19,7,14,3,480,78,46,68,33,4,16,1,360,192
48,CA_4417,2015-10-22 13:00:00.000000,35,91,28,15,20,2,750,36,28,86,29,4,18,2,384,162
49,CA_4297,2014-07-23 13:00:00.000000,18,72,25,4,17,2,510,54,29,48,13,3,13,0,258,144
50,CA_4420,2016-07-28 13:00:00.000000,24,88,18,5,20,3,672,48,54,101,43,11,19,1,516,222
51,CA_4166,2012-05-10 13:00:00.000000,10,41,23,4,18,1,798,42,33,42,25,2,12,6,420,156
52,CAG_6172,2014-09-18 05:30:00.000000,42,148,25,4,41,2,768,126,30,59,26,2,30,2,300,162
53,CAG_6284,2016-06-30 05:30:00.000000,34,111,34,3,28,3,516,126,51,118,63,1,33,3,648,306
54,CAG_6288,2017-06-29 05:30:00.000000,72,173,38,3,30,7,1032,222,62,107,51,0,69,7,636,216
55,CAG_6548,2012-03-22 05:30:00.000000,24,101,18,2,14,6,846,96,47,67,58,0,21,4,420,324
56,CAG_6371,2019-09-26 05:30:00.000000,44,138,17,2,24,3,708,114,52,88,39,2,25,3,492,240
57,CAG_6289,2017-09-28 05:30:00.000000,38,145,23,2,20,6,798,102,70,118,55,2,40,3,438,258
58,CAG_6282,2015-12-22 04:30:00.000000,37,109,22,2,32,6,660,78,87,139,58,3,71,2,738,348
59,CAG_6170,2014-03-20 05:30:00.000000,37,84,29,3,36,8,630,144,65,92,51,5,49,4,354,306
60,CAG_6369,2019-03-21 05:30:00.000000,40,158,25,0,35,6,1104,60,45,88,46,0,34,1,612,288
61,CAG_6279,2015-03-26 05:30:00.000000,63,171,33,3,35,21,792,114,42,83,34,2,33,9,234,222
62,CAG_6368,2018-12-20 04:30:00.000000,70,120,30,0,37,5,966,96,127,133,70,3,47,3,678,378
63,CAG_6550,2012-06-21 05:30:00.000000,30,124,33,5,24,3,1020,162,50,61,44,2,21,5,600,240
64,CAG_6365,2018-03-22 05:30:00.000000,49,150,39,4,21,7,1110,174,39,90,48,1,27,2,408,198
65,CAG_6278,2014-12-18 04:30:00.000000,50,157,29,4,44,17,762,138,72,95,32,1,33,4,462,312
66,CAG_6165,2012-12-20 04:30:00.000000,15,123,21,1,24,6,798,54,54,120,57,0,23,6,666,306
67,CAG_6168,2013-09-19 05:30:00.000000,47,96,28,4,45,6,774,96,66,87,45,0,42,8,498,360
68,CAG_6370,2019-06-27 05:30:00.000000,73,148,35,3,35,9,1008,162,83,97,48,1,52,1,492,288
69,CAG_6166,2013-04-03 05:30:00.000000,23,115,27,2,41,5,822,72,57,83,57,5,29,5,618,306
70,CAG_6283,2016-04-07 05:30:00.000000,32,134,17,4,30,2,660,78,67,114,63,1,45,2,624,336
71,CAG_6285,2016-09-29 05:30:00.000000,58,111,23,1,35,13,678,156,43,84,47,1,34,3,384,258
72,CAG_6366,2018-06-28 05:30:00.000000,26,134,34,1,37,10,954,72,46,77,59,5,37,0,360,240
73,CAG_6280,2015-06-30 05:30:00.000000,49,128,39,3,67,17,618,162,81,120,62,5,65,6,546,294
74,CAG_6167,2013-06-27 05:30:00.000000,27,146,33,6,35,1,1224,96,45,70,45,4,14,6,354,168
75,CAG_6364,2017-12-21 04:30:00.000000,29,155,23,2,37,3,1128,72,45,89,45,1,39,2,582,270
76,CAG_6169,2013-12-19 04:30:00.000000,34,109,43,12,31,8,738,84,55,65,43,1,30,2,438,264
77,CAG_6171,2014-06-26 05:30:00.000000,80,156,43,3,60,23,930,150,56,99,28,4,45,1,396,180
78,CAG_6164,2012-09-20 05:30:00.000000,32,149,23,2,15,5,996,84,43,78,46,0,27,4,618,270
79,CAG_6286,2016-12-22 04:30:00.000000,48,98,18,1,34,8,516,132,69,122,41,1,33,3,492,288
80,CAH_4118,2015-11-02 03:30:00.000000,17,66,26,1,17,5,540,42,50,116,83,9,44,0,588,324
81,CAH_4259,2016-10-31 04:30:00.000000,22,70,34,0,24,8,762,108,55,93,91,17,39,8,432,288
82,CAH_3960,2012-05-03 04:30:00.000000,22,68,47,7,23,5,756,102,79,61,85,15,38,3,510,342
83,CAH_4109,2013-08-01 04:30:00.000000,36,103,47,12,40,13,954,102,39,74,41,2,15,3,270,132
84,CAH_4119,2016-02-01 03:30:00.000000,10,44,20,1,15,3,600,6,71,121,67,3,37,4,588,258
85,CAH_4263,2017-11-06 03:30:00.000000,46,66,30,9,27,6,342,84,49,100,64,5,20,4,276,228
86,CAH_4117,2015-07-30 04:30:00.000000,21,92,34,8,32,6,942,78,60,134,77,7,32,5,678,420
87,CAH_4402,2018-11-08 03:30:00.000000,27,88,29,9,27,2,582,60,56,73,61,17,29,7,522,330
88,CAH_4264,2018-02-08 03:30:00.000000,23,77,35,6,19,9,528,42,51,79,39,3,18,3,294,246
89,CAH_4115,2015-01-29 03:30:00.000000,22,86,22,2,31,7,822,72,53,84,68,7,21,0,630,336
90,CAH_4406,2019-11-07 03:00:00.000000,16,73,21,15,27,12,462,60,91,79,74,38,44,1,324,348
91,CAH_4260,2017-02-07 03:30:00.000000,24,55,32,1,19,5,534,78,67,106,80,7,25,5,390,462
92,CAH_4404,2019-05-09 04:30:00.000000,19,75,13,2,16,7,486,24,68,79,61,10,25,3,300,402
93,CAH_4258,2016-08-02 04:00:00.000000,37,101,49,8,32,11,1116,144,59,96,58,4,26,1,474,300
94,CAH_3963,2013-02-05 03:30:00.000000,29,64,28,12,20,3,762,66,74,114,75,16,19,7,648,318
95,CAH_4403,2019-02-07 03:30:00.000000,22,75,29,6,18,2,432,66,70,105,93,8,16,2,582,258
96,CAH_4474,2020-02-06 03:30:00.000000,18,34,16,5,12,5,234,66,82,104,72,8,24,5,504,264
97,CAH_4108,2013-05-02 04:30:00.000000,27,54,51,12,29,9,684,78,53,79,64,13,27,5,372,204
