,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,D_6979,2015-11-02 05:00:00.000000,24,24,17,9,23,2,330,24,35,34,34,4,15,9,126,174
1,D_7152,2018-04-27 06:00:00.000000,28,49,21,9,25,3,396,42,31,57,55,9,34,6,264,246
2,D_6799,2014-07-30 06:00:00.000000,22,26,17,6,19,3,300,60,42,41,30,6,23,3,168,204
3,D_7156,2019-05-03 06:00:00.000000,19,41,17,15,20,2,270,30,35,44,40,23,24,7,186,150
4,D_7155,2019-02-01 05:00:00.000000,33,71,33,29,38,11,426,60,41,25,24,30,25,7,270,210
5,D_6987,2017-10-30 06:00:00.000000,16,35,15,13,26,2,318,24,25,48,36,14,19,4,204,144
6,D_6797,2014-01-31 05:00:00.000000,29,47,18,9,32,4,486,36,45,38,47,8,27,3,210,240
7,D_6984,2017-02-01 05:00:00.000000,14,38,23,10,37,6,498,48,45,51,50,19,38,3,336,162
8,D_7157,2019-07-31 06:00:00.000000,29,46,23,22,30,3,330,48,49,31,48,15,23,4,246,150
9,D_6980,2016-02-01 07:00:00.000000,16,44,23,27,35,12,438,18,59,64,49,11,36,11,342,180
10,D_6794,2013-04-25 06:00:00.000000,21,27,17,8,16,4,336,12,42,49,26,10,35,3,156,234
11,D_7159,2020-02-11 06:00:00.000000,28,95,50,46,51,16,672,90,8,13,8,12,6,2,60,36
12,D_6800,2014-10-31 06:00:00.000000,18,42,17,5,35,2,402,36,41,40,33,10,19,3,126,186
13,D_6981,2016-05-04 06:00:00.000000,23,31,20,10,25,4,300,36,31,46,35,16,13,3,132,78
14,D_6978,2015-08-05 06:00:00.000000,8,25,17,10,19,2,282,24,31,64,28,10,36,5,240,138
15,D_6796,2013-11-05 05:00:00.000000,25,30,13,6,26,2,294,42,45,54,42,5,48,5,180,210
16,D_6712,2012-01-27 05:00:00.000000,38,40,33,14,32,4,540,90,35,28,34,14,11,6,174,132
17,D_6713,2012-04-26 06:00:00.000000,18,43,30,5,22,2,348,54,60,40,49,13,51,10,234,270
18,D_6983,2016-10-31 09:00:00.000000,17,33,14,7,26,2,336,36,33,30,23,6,28,8,120,126
19,D_7153,2018-08-01 06:00:00.000000,18,43,16,17,25,5,300,24,32,38,23,14,29,6,30,192
20,D_6801,2015-05-04 06:00:00.000000,18,20,19,15,18,4,306,30,36,59,35,9,21,8,156,210
21,D_7151,2018-01-29 05:00:00.000000,21,47,15,13,26,2,294,60,20,30,35,10,22,9,120,108
22,D_7154,2018-11-01 07:00:00.000000,35,70,25,18,36,8,444,66,18,22,23,9,11,0,132,144
23,D_7158,2019-11-01 06:00:00.000000,22,60,40,39,50,9,534,54,51,37,31,21,34,5,222,162
24,D_6795,2013-08-06 06:00:00.000000,34,24,17,9,25,3,354,66,52,30,21,2,22,3,252,318
25,D_7355,2012-10-25 06:00:00.000000,29,43,20,13,22,6,396,42,53,38,47,19,30,4,348,222
