,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,EA_8199,2012-10-30 13:00:00.000000,33,81,23,0,29,3,678,90,50,118,31,1,21,6,906,180
1,EA_8172,2017-05-09 13:00:00.000000,13,63,19,0,24,2,564,48,66,77,53,1,33,3,402,168
2,EA_8040,2018-01-30 12:00:00.000000,17,57,21,2,36,8,450,54,50,127,67,0,33,9,414,156
3,EA_7719,2014-10-28 13:00:00.000000,8,56,19,2,20,3,642,36,54,71,38,5,33,3,348,150
4,EA_8039,2017-10-31 13:00:00.000000,12,51,18,0,25,0,510,60,61,112,92,1,35,4,654,234
5,EA_8048,2020-01-30 12:00:00.000000,7,67,20,0,11,2,462,12,57,167,53,2,47,5,324,228
6,EA_8044,2019-02-05 12:00:00.000000,44,91,29,1,32,3,438,66,43,121,65,4,54,4,276,216
7,EA_7713,2013-05-07 13:00:00.000000,26,59,40,4,41,4,870,114,41,66,43,2,19,3,558,180
8,EA_8042,2018-07-26 13:00:00.000000,12,65,13,1,23,1,330,30,67,131,81,0,33,1,384,222
9,EA_8046,2019-07-30 13:00:00.000000,6,104,19,1,23,2,456,42,39,75,53,2,26,3,192,186
10,EA_7715,2013-10-29 13:00:00.000000,15,72,18,2,21,9,738,66,32,106,64,0,34,5,366,204
11,EA_8047,2019-10-29 13:00:00.000000,13,72,17,0,34,0,468,30,37,92,58,3,33,4,306,180
12,EA_8173,2017-01-31 12:00:00.000000,11,67,25,1,34,4,558,66,51,84,52,3,28,8,396,174
13,EA_8045,2019-05-07 13:00:00.000000,11,79,26,0,29,5,564,12,44,87,68,2,32,3,282,168
14,EA_7712,2013-01-30 12:00:00.000000,34,93,34,1,32,0,1068,102,54,105,69,7,24,5,402,132
15,EA_7897,2016-01-28 12:00:00.000000,15,63,19,1,17,5,552,48,48,71,67,2,38,5,426,228
16,EA_8231,2012-05-07 13:00:00.000000,27,121,35,5,44,1,1362,96,56,82,33,7,17,2,624,156
17,EA_7895,2015-07-30 13:00:00.000000,13,48,18,0,11,0,546,48,47,125,44,6,21,2,696,210
18,EA_8171,2017-07-27 13:00:00.000000,6,57,11,1,37,6,360,24,48,120,55,0,26,5,450,120
19,EA_7714,2013-07-23 13:00:00.000000,14,48,19,2,25,7,594,60,40,72,57,2,28,7,648,168
20,EA_7716,2014-01-28 12:00:00.000000,23,54,15,1,16,3,762,90,66,117,48,6,30,4,648,168
21,EA_7718,2014-07-22 13:00:00.000000,14,61,18,3,25,7,474,42,41,108,54,4,24,6,492,192
22,EA_7896,2015-10-29 13:00:00.000000,10,53,21,0,17,2,546,36,48,75,52,1,20,2,486,132
23,EA_7720,2015-01-27 12:00:00.000000,9,57,21,1,22,2,600,54,50,112,70,1,39,2,678,258
24,EA_7894,2015-05-05 13:00:00.000000,19,91,49,0,35,3,882,42,50,91,59,1,28,2,468,108
