,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,F_9127,2015-10-27 05:00:00.000000,12,146,7,0,31,3,762,156,68,90,44,5,30,6,306,288
1,F_9471,2020-02-05 12:00:00.000000,65,152,22,7,50,9,804,156,65,64,37,2,25,12,456,306
2,F_9138,2016-10-27 05:00:00.000000,64,99,19,0,27,4,702,312,63,106,80,5,40,10,354,432
3,F_9117,2017-01-26 04:00:00.000000,56,160,27,3,27,0,972,318,66,102,93,9,39,4,276,342
4,F_9174,2012-07-25 05:00:00.000000,0,0,0,0,0,0,0,0,159,214,81,0,100,7,1458,552
5,F_9137,2016-07-28 07:00:00.000000,36,19,15,8,14,1,210,144,14,15,13,5,13,0,78,72
6,F_9159,2014-01-28 04:00:00.000000,85,120,20,0,18,4,1128,222,108,110,88,5,35,11,342,366
7,F_9200,2012-01-27 04:00:00.000000,74,135,34,0,23,5,1152,204,76,75,48,2,18,0,354,360
8,F_9590,2019-04-25 13:30:00.000000,38,126,12,1,31,2,432,126,90,182,73,7,37,8,360,426
9,F_9251,2017-04-27 05:00:00.000000,58,139,28,3,28,2,660,276,94,120,80,11,42,5,348,420
10,F_9589,2019-07-24 13:30:00.000000,29,130,11,4,32,5,522,96,69,107,36,4,18,1,450,252
11,F_9366,2018-10-24 13:30:00.000000,43,125,17,0,31,10,450,126,65,98,41,0,13,4,390,330
12,F_9144,2015-04-28 05:00:00.000000,52,122,11,2,27,3,894,138,75,128,62,3,66,7,576,312
13,F_9252,2017-07-26 05:00:00.000000,46,135,18,1,15,3,576,240,102,145,86,1,44,3,588,498
14,F_9255,2018-04-25 13:30:00.000000,38,99,13,1,35,5,564,204,65,101,59,3,31,7,264,318
15,F_9173,2012-04-27 05:00:00.000000,45,84,21,4,24,8,732,150,79,133,73,6,43,8,480,384
16,F_9141,2014-07-24 04:30:00.000000,79,113,13,2,16,5,996,168,78,138,62,1,56,2,432,426
17,F_9142,2014-10-24 07:00:00.000000,96,69,11,1,12,4,912,180,96,96,74,6,36,6,432,348
18,F_9177,2013-04-24 05:00:00.000000,61,112,24,0,15,2,714,174,105,136,98,7,38,9,354,444
19,F_9135,2016-01-28 04:00:00.000000,25,168,17,3,26,3,930,150,71,90,82,5,46,8,360,420
20,F_9136,2016-04-29 05:00:00.000000,45,139,28,4,31,2,804,252,66,126,72,7,70,2,522,348
21,F_9157,2013-07-24 05:00:00.000000,45,151,18,1,12,4,1080,156,81,124,69,1,35,12,420,360
22,F_9158,2013-10-24 05:00:00.000000,34,119,15,0,8,4,966,108,65,162,78,2,25,6,510,432
23,F_9365,2018-07-25 13:30:00.000000,89,120,20,4,23,7,672,192,79,76,39,3,35,8,330,246
24,F_9145,2015-07-28 05:00:00.000000,43,151,23,0,24,2,678,222,69,125,58,2,42,4,384,402
25,F_9143,2015-01-29 04:00:00.000000,94,120,18,2,20,5,1134,234,83,143,71,4,47,8,480,324
26,F_9588,2019-10-23 13:00:00.000000,33,103,15,2,34,10,540,42,83,101,31,3,17,12,366,354
27,F_9176,2013-01-29 04:00:00.000000,61,102,20,0,23,3,1134,180,91,92,64,2,65,9,546,456
28,F_9175,2012-11-01 07:00:00.000000,56,87,17,0,23,2,858,126,100,157,83,0,69,10,600,534
29,FAST_9070,2018-01-17 05:00:00.000000,45,52,38,5,16,3,462,114,32,53,27,0,10,0,324,108
30,FAST_9541,2014-04-11 06:00:00.000000,23,66,23,2,22,1,270,84,47,111,48,1,52,4,378,204
31,FAST_9539,2013-10-09 06:00:00.000000,21,53,25,2,21,1,390,90,47,89,50,1,15,2,390,150
32,FAST_9012,2015-07-14 06:00:00.000000,23,43,17,5,12,2,288,48,40,38,44,0,11,2,522,150
33,FAST_9538,2013-07-10 06:00:00.000000,24,50,31,2,21,1,210,84,42,80,67,5,22,4,426,210
34,FAST_9019,2017-04-12 06:00:00.000000,28,59,32,4,10,2,426,66,35,75,43,0,15,3,468,222
35,FAST_9074,2019-01-17 05:00:00.000000,34,96,23,3,19,4,756,144,56,69,34,7,19,1,414,228
36,FAST_9542,2014-07-11 06:00:00.000000,20,44,17,3,26,2,180,36,49,89,33,1,51,2,786,132
37,FAST_9072,2018-07-11 06:00:00.000000,17,79,24,1,10,3,324,72,50,87,55,1,23,0,522,174
38,FAST_9078,2020-01-17 05:00:00.000000,47,32,29,4,23,3,372,114,71,101,56,5,23,6,510,258
39,FAST_9013,2015-10-13 05:00:00.000000,31,58,21,1,26,2,240,24,66,73,52,0,18,5,480,144
40,FAST_9010,2015-01-15 05:00:00.000000,12,30,14,2,19,4,144,60,42,79,32,3,47,2,474,180
41,FAST_9532,2012-01-18 05:00:00.000000,25,80,38,4,38,3,258,84,39,73,47,4,14,4,504,192
42,FAST_9535,2012-10-11 06:00:00.000000,32,77,25,3,27,2,318,90,30,45,47,1,15,2,414,144
43,FAST_9016,2016-07-12 06:00:00.000000,21,45,50,6,12,2,444,54,53,38,44,0,15,2,276,114
44,FAST_9015,2016-04-12 06:00:00.000000,19,43,25,3,11,1,300,36,58,70,41,1,20,1,318,162
45,FAST_9014,2016-01-15 05:00:00.000000,25,35,21,7,17,1,240,42,40,61,54,1,23,3,264,186
46,FAST_9076,2019-07-11 06:00:00.000000,45,45,31,2,22,2,408,102,69,53,59,5,28,4,354,234
47,FAST_9073,2018-10-10 06:00:00.000000,19,57,23,2,22,6,456,108,52,56,59,1,30,8,414,234
48,FAST_9540,2014-01-15 05:00:00.000000,31,40,30,3,22,4,132,48,57,53,44,5,10,1,264,192
49,FAST_9069,2017-10-11 06:00:00.000000,21,49,21,1,12,3,420,60,48,46,51,1,16,0,522,126
50,FAST_9018,2017-01-18 05:00:00.000000,30,63,38,4,12,2,258,72,43,49,53,0,19,1,384,186
51,FAST_9075,2019-04-11 06:00:00.000000,35,63,34,4,10,3,426,138,90,91,76,2,21,4,366,228
52,FAST_9533,2012-04-12 06:00:00.000000,20,66,27,5,20,1,312,96,34,40,47,7,13,4,444,156
53,FAST_9011,2015-04-14 06:00:00.000000,16,19,17,2,18,4,144,48,65,61,42,3,14,1,528,324
54,FAST_9071,2018-04-11 06:00:00.000000,31,56,27,4,12,1,360,36,43,34,34,1,10,2,372,126
55,FAST_9536,2013-01-17 05:00:00.000000,23,87,31,4,26,3,348,78,37,55,42,0,21,0,258,210
56,FAST_9543,2014-10-10 06:00:00.000000,14,69,28,3,23,2,408,54,40,43,46,1,19,2,360,162
57,FAST_9017,2016-10-11 06:00:00.000000,35,51,26,4,21,2,300,78,52,47,60,2,20,3,402,144
58,FB_9083,2019-01-30 12:00:00.000000,28,79,29,2,20,4,426,54,48,147,54,6,31,1,468,270
59,FB_9082,2018-10-30 13:00:00.000000,32,91,39,1,51,5,546,48,42,105,34,0,21,8,480,222
60,FB_9086,2019-10-30 13:00:00.000000,42,68,45,8,25,13,426,60,55,98,43,10,17,1,318,216
61,FB_9021,2015-11-04 12:00:00.000000,12,74,23,0,11,3,576,78,55,114,56,4,23,8,324,252
62,FB_9087,2020-01-29 12:00:00.000000,28,74,24,11,16,6,456,72,49,77,34,6,20,6,210,222
63,FB_9572,2015-04-22 13:00:00.000000,0,1,1,0,0,1,0,0,62,204,65,4,33,2,1038,288
64,FB_9079,2018-01-31 12:00:00.000000,30,83,29,1,34,10,444,84,46,95,49,0,18,3,252,336
65,FB_9574,2014-10-28 13:00:00.000000,19,90,33,0,19,2,672,36,48,82,41,2,30,1,456,192
66,FB_9586,2013-10-30 13:00:00.000000,19,92,24,0,30,2,600,84,57,113,53,3,21,5,336,228
67,FB_9024,2016-07-27 13:00:00.000000,6,82,28,0,20,3,564,60,56,91,43,2,23,1,444,252
68,FB_9429,2013-01-30 12:00:00.000000,0,0,0,0,0,0,0,0,57,210,60,2,39,10,726,408
69,FB_9431,2013-07-24 01:00:00.000000,13,101,35,0,17,5,516,102,60,101,53,2,17,4,396,354
70,FB_9585,2014-01-29 12:00:00.000000,9,98,29,1,13,3,690,66,46,98,42,1,21,1,192,294
71,FB_9029,2017-11-01 13:00:00.000000,32,73,34,3,32,9,480,36,59,82,41,3,27,2,360,228
72,FB_9022,2016-01-27 12:00:00.000000,18,101,27,0,20,3,732,84,46,93,38,0,27,4,390,246
73,FB_9427,2012-07-26 13:00:00.000000,21,111,42,2,23,5,444,120,50,67,38,2,30,5,282,234
74,FB_9085,2019-07-24 13:00:00.000000,29,78,44,14,29,14,408,42,53,93,41,23,26,5,414,300
75,FB_9028,2017-07-26 13:00:00.000000,13,80,24,0,23,5,480,48,75,130,44,7,36,4,510,234
76,FB_9081,2018-07-25 13:00:00.000000,31,77,33,2,36,6,432,60,46,101,44,2,20,3,600,270
77,FB_9084,2019-04-24 13:00:00.000000,42,58,40,9,28,9,426,60,48,99,49,18,30,5,420,276
78,FB_9573,2015-01-28 12:00:00.000000,13,94,25,0,15,3,564,54,59,122,42,2,24,2,510,270
79,FB_9080,2018-04-25 13:00:00.000000,18,66,28,1,23,6,414,48,70,116,61,4,23,13,372,288
