,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,HAL_11089,2013-01-25 04:00:00.000000,34,97,54,12,49,4,606,78,36,67,49,16,23,3,408,210
1,HAL_10916,2014-04-21 05:00:00.000000,28,66,39,6,33,5,486,78,60,71,60,15,36,5,450,228
2,HAL_10922,2015-10-19 05:00:00.000000,60,68,39,6,41,7,408,180,72,75,53,4,30,11,426,276
3,HAL_11091,2012-07-23 05:00:00.000000,48,105,46,6,32,7,732,150,37,50,36,23,23,4,270,150
4,HAL_11086,2013-10-21 05:00:00.000000,23,88,42,14,29,4,516,66,61,85,43,26,35,2,462,270
5,HAL_10785,2014-01-21 04:00:00.000000,46,101,64,21,51,6,888,108,35,75,36,14,24,0,348,156
6,HAL_11063,2018-07-23 05:00:00.000000,28,135,36,6,51,10,708,66,42,78,44,5,32,7,504,234
7,HAL_11064,2018-10-22 05:00:00.000000,33,124,42,2,45,10,768,84,30,84,33,2,34,3,336,174
8,HAL_11093,2012-01-23 04:00:00.000000,49,117,54,4,49,6,1056,156,24,45,33,6,19,2,198,156
9,HAL_10921,2015-07-20 05:00:00.000000,85,99,46,4,48,12,564,210,57,51,37,7,17,7,216,180
10,HAL_10924,2016-05-03 05:00:00.000000,79,53,45,17,40,9,378,102,58,77,52,6,34,12,318,222
11,HAL_11073,2017-01-23 04:00:00.000000,62,122,50,10,45,11,606,198,48,62,58,7,33,1,402,210
12,HAL_11069,2020-01-21 04:00:00.000000,49,96,43,8,45,12,954,156,40,66,45,3,33,3,522,198
13,HAL_11092,2012-04-18 05:00:00.000000,74,114,61,12,31,7,690,168,61,48,36,18,31,1,270,132
14,HAL_11059,2017-07-24 05:00:00.000000,40,96,37,5,44,6,672,90,46,72,37,4,23,3,264,138
15,HAL_11090,2012-10-17 05:00:00.000000,43,109,45,14,44,7,690,150,30,73,37,12,25,4,234,174
16,HAL_11074,2017-04-24 05:00:00.000000,29,76,37,6,33,6,636,102,46,71,48,3,26,5,288,144
17,HAL_11067,2019-07-22 05:00:00.000000,32,91,29,5,28,8,636,108,43,73,49,1,24,3,474,252
18,HAL_11087,2013-07-22 05:00:00.000000,29,119,54,24,42,10,678,48,40,95,44,7,18,4,360,138
19,HAL_11061,2018-01-22 04:00:00.000000,26,103,39,3,27,8,564,78,49,94,46,2,28,5,318,222
20,HAL_11066,2019-04-22 05:00:00.000000,31,101,25,2,55,6,636,138,49,83,59,4,30,5,456,180
21,HAL_10917,2014-07-21 05:00:00.000000,21,104,37,4,19,3,690,18,54,66,71,9,22,11,258,156
22,HAL_10923,2016-01-25 04:00:00.000000,82,87,49,13,33,10,540,276,59,79,56,14,25,8,282,168
23,HAL_11071,2016-07-20 05:00:00.000000,78,87,41,5,51,8,390,162,61,78,60,9,36,4,222,252
24,HAL_11060,2017-10-23 05:00:00.000000,28,80,26,4,23,11,552,90,39,78,53,3,31,2,522,144
