,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,IBM_11740,2013-04-18 12:30:00.000000,35,68,16,7,14,1,948,66,73,77,40,3,12,2,576,144
1,IBM_11746,2014-10-20 04:00:00.000000,77,60,14,4,40,10,1146,126,121,66,53,3,32,5,564,318
2,IBM_11745,2014-07-17 12:30:00.000000,42,66,11,5,14,4,1098,66,56,75,16,2,12,4,498,120
3,IBM_11743,2014-01-21 11:30:00.000000,47,91,19,5,42,5,1422,132,92,96,63,7,66,5,852,174
4,IBM_11989,2012-07-18 12:30:00.000000,23,68,17,4,9,1,1236,36,53,82,27,5,11,1,708,78
5,IBM_11804,2015-04-20 12:30:00.000000,48,93,15,8,19,5,1230,156,61,61,47,1,31,2,672,126
6,IBM_11738,2012-10-17 12:30:00.000000,35,61,17,5,8,2,1050,102,69,81,26,5,14,3,540,96
7,IBM_11964,2018-04-18 13:00:00.000000,29,95,19,4,9,2,1134,90,59,98,24,2,14,3,870,174
8,IBM_11972,2018-01-18 12:00:00.000000,38,91,17,8,22,3,1086,138,51,109,48,5,35,2,834,210
9,IBM_11962,2018-10-16 13:00:00.000000,26,84,6,2,18,2,1098,84,74,109,28,3,31,4,900,96
10,IBM_11744,2014-04-16 12:30:00.000000,46,57,16,5,28,3,966,84,68,49,57,1,36,0,726,114
11,IBM_11990,2012-04-17 12:30:00.000000,23,84,15,7,9,2,1224,42,36,89,24,14,11,2,672,132
12,IBM_11975,2017-04-18 13:00:00.000000,39,89,14,9,24,5,1008,120,52,63,27,5,35,5,504,144
13,IBM_11742,2013-10-16 12:30:00.000000,30,61,10,2,13,1,1044,132,87,85,39,3,19,2,624,138
14,IBM_11807,2016-01-19 12:00:00.000000,37,78,19,7,20,4,1404,126,67,77,44,3,40,3,774,96
15,IBM_11841,2016-07-19 13:00:00.000000,42,82,14,1,29,5,1296,78,58,29,30,0,20,4,450,90
16,IBM_11960,2019-04-16 13:00:00.000000,38,75,16,5,11,6,1002,72,79,98,39,1,9,2,858,108
17,IBM_11903,2020-01-21 12:00:00.000000,28,77,12,5,11,7,1074,102,56,73,31,1,30,7,570,192
18,IBM_11806,2015-10-19 13:00:00.000000,54,78,17,3,17,4,1074,150,79,43,36,4,31,0,372,186
19,IBM_11803,2015-01-20 11:30:00.000000,86,94,26,5,31,5,1662,168,72,74,43,0,36,6,918,126
20,IBM_11976,2017-01-19 12:00:00.000000,44,102,26,9,28,10,1284,150,60,77,29,5,38,1,684,132
21,IBM_11977,2016-10-17 13:00:00.000000,32,85,22,7,20,4,1188,102,46,53,42,1,29,2,480,102
22,IBM_11805,2015-07-20 00:30:00.000000,48,88,17,3,21,3,1266,126,72,60,46,2,24,3,606,108
23,IBM_11974,2017-07-19 13:00:00.000000,48,133,23,16,32,6,1518,138,55,67,25,9,33,1,534,126
24,IBM_11991,2012-01-19 11:30:00.000000,18,84,28,3,4,3,1584,48,49,99,22,2,12,1,756,78
25,IBM_11739,2013-01-22 11:30:00.000000,0,0,0,0,0,0,0,0,61,163,45,16,29,4,2502,162
26,IBM_11808,2016-04-18 13:00:00.000000,50,90,24,2,31,6,1428,186,75,53,34,1,24,3,600,204
27,IBM_11961,2019-01-22 12:00:00.000000,38,101,28,3,13,8,1398,114,82,118,37,2,26,0,846,162
28,IBM_11963,2018-07-18 13:00:00.000000,19,64,12,4,12,2,1116,84,59,117,24,1,18,2,1350,114
29,ICE_11982,2013-11-05 03:30:00.000000,21,61,34,15,12,7,606,120,59,71,55,9,31,4,324,276
30,ICE_11906,2018-05-03 04:30:00.000000,20,68,26,2,9,2,654,90,53,101,47,22,42,0,564,228
31,ICE_11968,2015-02-05 03:30:00.000000,8,27,21,5,10,2,570,36,112,140,125,36,51,20,1152,432
32,ICE_11911,2019-08-01 04:30:00.000000,13,48,20,10,19,2,456,66,42,52,37,3,17,1,240,90
33,ICE_11851,2017-08-03 04:30:00.000000,18,54,30,13,14,6,678,102,51,75,61,11,34,4,408,276
34,ICE_11913,2020-02-06 03:30:00.000000,16,52,28,13,35,6,648,54,59,77,59,7,39,4,576,234
35,ICE_11850,2017-05-03 04:30:00.000000,14,66,28,6,15,6,684,84,57,61,57,16,20,4,468,282
36,ICE_11846,2016-05-04 04:30:00.000000,15,67,22,10,13,6,750,96,70,84,52,16,31,2,396,276
37,ICE_11908,2018-10-31 04:30:00.000000,24,75,28,6,24,3,618,72,74,68,65,10,37,6,534,186
38,ICE_11971,2014-05-08 04:30:00.000000,56,104,57,40,24,10,846,144,78,114,76,20,50,10,570,420
39,ICE_11987,2012-08-01 04:30:00.000000,14,47,37,36,19,12,648,114,87,143,117,53,91,22,726,378
40,ICE_11984,2013-05-01 04:30:00.000000,28,78,41,23,27,14,384,96,51,48,64,30,23,15,216,300
41,ICE_11912,2019-10-31 04:30:00.000000,9,53,22,8,15,1,606,84,46,73,44,19,18,4,564,282
42,ICE_11909,2019-02-07 03:30:00.000000,12,49,30,11,16,5,648,78,68,69,53,15,39,10,606,246
43,ICE_11842,2015-05-05 04:30:00.000000,6,23,14,4,6,2,468,36,54,123,66,41,28,8,1056,282
44,ICE_11905,2018-02-07 03:30:00.000000,20,73,24,9,33,4,918,96,61,87,40,6,58,6,540,222
45,ICE_11970,2014-08-07 04:30:00.000000,37,59,35,16,13,4,630,144,87,60,63,19,47,11,354,324
46,ICE_11818,2012-02-08 03:30:00.000000,27,67,41,14,17,5,750,150,84,118,100,32,48,6,498,456
47,ICE_11985,2013-02-06 03:30:00.000000,20,64,45,34,18,11,636,114,62,91,77,32,38,13,426,312
48,ICE_11844,2015-10-28 04:30:00.000000,18,57,28,8,37,6,594,84,52,103,40,9,51,10,576,258
49,ICE_11843,2015-08-05 04:30:00.000000,21,67,24,11,10,8,924,126,37,99,40,18,33,7,630,228
50,ICE_11848,2016-11-01 04:30:00.000000,28,51,39,8,11,10,672,84,49,70,43,11,51,4,642,312
51,ICE_11983,2013-08-06 04:30:00.000000,17,66,32,12,23,9,480,102,57,59,62,33,20,13,372,234
52,ICE_11988,2012-05-02 04:30:00.000000,15,31,25,18,10,8,426,48,99,167,120,38,62,13,1098,390
53,ICE_11969,2014-11-04 03:30:00.000000,15,52,26,2,14,1,426,108,99,177,122,49,37,15,1218,588
54,ICE_11986,2012-11-05 03:30:00.000000,25,71,47,29,28,15,594,156,83,93,71,37,42,22,450,354
55,ICE_11910,2019-05-02 04:30:00.000000,16,46,28,5,13,3,474,60,64,63,32,18,24,3,588,222
56,ICE_11847,2016-08-03 04:30:00.000000,23,68,38,11,12,3,798,72,47,96,74,12,22,4,456,300
57,ICE_11981,2014-02-11 03:30:00.000000,26,67,41,25,41,17,708,120,75,67,71,25,43,7,432,318
58,IDXX_11400,2012-01-27 04:00:00.000000,42,74,42,21,28,5,774,96,38,69,39,0,16,1,444,216
59,IDXX_11530,2020-01-31 03:30:00.000000,16,151,42,1,8,2,1392,36,16,70,29,0,27,1,504,144
60,IDXX_11522,2018-02-01 03:30:00.000000,14,174,27,1,13,7,1542,54,30,90,25,4,40,3,714,234
61,IDXX_11405,2013-04-23 05:00:00.000000,30,108,40,3,28,7,984,114,44,81,39,1,25,1,552,252
62,IDXX_11528,2019-08-01 04:30:00.000000,13,161,38,2,7,3,1446,48,36,110,39,1,27,1,534,252
63,IDXX_11452,2014-10-24 04:30:00.000000,20,141,29,3,31,5,1728,84,27,74,42,1,21,5,594,216
64,IDXX_11526,2019-02-01 03:30:00.000000,12,130,34,0,8,3,1506,42,27,77,29,1,19,2,540,168
65,IDXX_11406,2013-07-23 05:00:00.000000,28,65,32,4,24,4,828,78,42,102,39,1,16,5,552,180
66,IDXX_11402,2012-07-20 05:00:00.000000,20,82,43,3,11,2,804,54,51,68,47,8,21,0,294,228
67,IDXX_11527,2019-05-01 04:30:00.000000,10,129,28,0,6,2,1314,48,35,102,37,1,22,1,546,210
68,IDXX_11518,2017-02-02 03:30:00.000000,16,152,36,2,26,5,1608,66,30,80,36,2,27,0,606,264
69,IDXX_11457,2016-01-29 03:30:00.000000,18,130,37,3,21,11,1578,114,33,84,33,4,30,2,714,198
70,IDXX_11523,2018-05-04 04:30:00.000000,14,119,26,1,11,1,1302,54,28,117,31,1,20,3,510,198
71,IDXX_11521,2017-10-31 04:30:00.000000,31,156,42,4,13,7,1770,144,35,94,41,2,23,0,774,282
72,IDXX_11454,2015-04-28 04:30:00.000000,15,114,25,5,21,6,1278,66,44,92,34,2,19,0,384,258
73,IDXX_11456,2015-10-28 04:00:00.000000,25,126,48,4,21,18,1422,54,28,72,41,2,18,4,546,144
74,IDXX_11529,2019-10-31 04:30:00.000000,11,151,61,0,18,5,1392,36,26,88,40,0,32,2,624,216
75,IDXX_11520,2017-08-01 04:30:00.000000,15,183,38,3,24,3,1518,60,33,90,37,1,32,2,708,210
76,IDXX_11525,2018-11-01 04:30:00.000000,14,134,43,1,15,7,1728,48,40,89,42,1,18,2,882,240
77,IDXX_11407,2013-10-22 04:30:00.000000,23,66,37,2,19,4,960,126,47,98,45,2,18,1,624,222
78,IDXX_11455,2015-07-30 04:30:00.000000,18,101,25,5,27,5,1092,66,37,95,45,2,24,2,468,270
79,IDXX_11404,2013-01-29 04:00:00.000000,32,77,47,3,27,4,1140,78,16,74,26,3,27,0,360,180
80,IDXX_11519,2017-04-28 04:30:00.000000,16,163,26,2,14,4,1506,42,23,150,32,2,29,4,996,276
81,IDXX_11401,2012-04-20 05:00:00.000000,28,74,52,11,30,4,690,72,60,80,57,16,28,7,474,162
82,IDXX_11524,2018-08-01 04:30:00.000000,18,137,36,0,19,4,1404,36,29,75,31,0,13,3,612,162
83,IDXX_11450,2014-04-25 04:30:00.000000,20,114,26,2,16,4,1380,96,34,114,36,2,18,2,588,240
84,IDXX_11460,2016-11-01 04:30:00.000000,15,114,22,2,16,9,1290,60,25,115,48,0,21,1,606,192
85,IDXX_11403,2012-10-19 05:00:00.000000,21,90,38,8,21,8,828,42,22,64,25,0,30,0,444,180
86,IDXX_11458,2016-04-29 04:30:00.000000,11,111,34,2,7,6,1014,36,26,88,42,1,17,1,732,234
87,IFF_11644,2012-08-10 06:00:00.000000,48,140,33,4,33,3,1164,42,41,74,35,5,17,3,210,132
