,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,JBHT_12682,2020-01-17 05:00:00.000000,18,21,11,5,8,2,264,30,100,108,74,6,43,9,738,366
1,JBHT_12691,2019-10-15 13:00:00.000000,9,19,10,6,11,2,210,18,75,99,96,6,36,3,630,414
2,JBHT_11999,2018-10-16 13:30:00.000000,6,4,3,8,7,1,12,0,115,120,120,29,40,12,906,438
3,JBHT_12692,2019-07-15 13:00:00.000000,15,17,3,1,3,1,84,0,66,108,90,15,14,3,474,354
4,JCI_12381,2015-04-23 07:00:00.000000,23,99,20,2,17,3,372,72,55,110,58,8,13,5,312,234
5,JCI_12377,2014-10-30 07:00:00.000000,30,147,30,7,29,6,558,204,40,62,44,3,20,6,276,228
6,JCI_12533,2016-07-21 07:00:00.000000,29,93,21,3,38,8,528,180,41,86,51,5,13,2,306,198
7,JCI_12529,2016-01-28 06:00:00.000000,25,86,19,1,14,2,486,114,53,104,47,1,15,5,462,258
8,JCI_12234,2013-10-29 07:00:00.000000,43,96,29,5,17,4,390,126,78,77,60,5,16,2,300,258
9,JCI_12535,2016-11-08 06:00:00.000000,27,73,13,2,20,11,474,132,50,129,72,0,17,3,486,282
10,JCI_12230,2013-04-23 07:00:00.000000,61,74,25,7,23,5,240,144,75,112,66,1,27,4,300,336
11,JCI_12115,2012-04-20 07:00:00.000000,39,63,27,1,9,2,318,240,64,107,55,11,19,1,546,270
12,JCI_12238,2014-04-23 07:00:00.000000,35,46,17,4,13,2,210,126,60,128,86,3,32,5,714,384
13,JCI_12383,2015-07-24 07:00:00.000000,33,104,27,2,47,7,402,90,32,84,55,1,36,0,420,300
14,JCI_12649,2019-07-31 05:00:00.000000,32,67,11,3,19,4,726,72,33,93,43,3,10,3,486,222
15,JCI_12121,2013-01-18 06:00:00.000000,32,42,21,4,15,2,198,114,47,60,47,9,5,1,204,198
16,JCI_12647,2019-02-01 04:30:00.000000,31,87,13,0,20,1,672,84,27,136,37,5,15,2,504,144
17,JCI_12644,2018-05-01 07:00:00.000000,45,87,20,1,17,4,822,90,25,93,30,2,13,6,366,156
18,JCI_12232,2013-07-18 07:00:00.000000,45,136,37,5,25,5,450,186,75,81,22,6,20,0,360,258
19,JCI_12385,2015-10-29 07:00:00.000000,35,103,27,3,25,4,480,150,43,68,42,3,9,3,204,216
20,JCI_12119,2012-10-30 07:00:00.000000,70,82,38,4,19,3,444,288,58,66,54,8,17,3,270,240
21,JCI_12539,2017-11-11 06:00:00.000000,44,70,11,4,26,7,804,126,28,56,47,3,16,3,492,186
22,JCI_12648,2019-05-01 04:30:00.000000,27,77,14,2,22,3,624,102,31,112,45,1,18,6,480,192
23,JCI_12117,2012-07-19 07:00:00.000000,56,80,33,6,16,1,396,294,53,99,63,5,25,2,306,372
24,JCI_12537,2017-04-27 07:00:00.000000,31,82,18,4,27,7,594,120,38,93,43,2,12,3,444,252
25,JCI_12646,2018-11-08 03:30:00.000000,28,81,12,0,17,2,876,84,37,106,57,2,13,3,552,204
26,JCI_12236,2014-01-23 06:00:00.000000,35,80,26,10,24,3,288,102,57,95,83,2,24,0,498,336
27,JCI_12379,2015-01-22 05:00:00.000000,22,81,26,8,34,5,402,114,45,68,48,1,41,4,336,174
28,JCI_12536,2017-02-01 06:00:00.000000,20,103,5,2,15,5,492,156,35,95,47,10,11,0,252,240
29,JCI_12643,2018-01-31 06:00:00.000000,45,76,15,3,24,4,618,102,44,82,57,3,24,9,450,192
30,JCI_12538,2017-07-27 07:00:00.000000,48,77,13,0,23,3,600,186,60,77,53,0,17,6,342,312
31,JCI_12645,2018-07-31 07:00:00.000000,37,106,18,1,16,1,888,78,43,126,49,3,9,6,504,132
32,JCI_12650,2019-11-07 03:30:00.000000,32,84,12,0,17,3,708,96,47,118,50,7,13,3,510,264
33,JNJ_12387,2017-01-24 03:30:00.000000,55,177,76,9,47,12,1542,72,76,123,55,8,38,2,600,252
34,JNJ_12542,2018-07-17 04:30:00.000000,61,163,62,20,45,8,1278,102,94,105,50,6,18,3,552,270
35,JNJ_12079,2012-01-24 03:30:00.000000,112,286,82,29,49,19,1824,246,57,154,66,10,37,2,504,288
36,JNJ_12541,2018-04-17 04:30:00.000000,46,115,65,6,31,3,852,78,74,146,35,0,42,3,546,264
37,JNJ_12131,2015-01-20 03:30:00.000000,54,183,85,6,40,6,1338,114,77,152,47,10,30,6,636,318
38,JNJ_12129,2014-07-15 04:30:00.000000,49,265,82,9,48,3,1452,90,85,118,74,4,39,8,504,240
39,JNJ_12388,2017-04-18 04:30:00.000000,55,62,59,8,21,1,840,30,55,61,44,6,31,1,462,258
40,JNJ_12080,2012-04-17 04:30:00.000000,56,80,53,24,18,6,660,66,102,88,50,20,24,2,354,348
41,JNJ_12652,2018-10-16 04:30:00.000000,47,123,51,5,19,2,1026,66,93,159,93,7,32,3,696,444
