,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,K_12340,2015-08-04 05:30:00.000000,36,132,28,0,36,4,666,78,51,87,33,2,13,2,420,174
1,K_12611,2019-02-07 04:30:00.000000,53,157,29,1,55,4,1158,96,32,71,31,2,14,2,432,174
2,K_12721,2012-04-26 05:30:00.000000,47,115,32,0,33,4,786,96,82,86,61,1,15,4,444,216
3,K_12719,2012-11-01 05:30:00.000000,24,143,26,1,17,1,954,30,53,130,35,2,18,0,504,150
4,K_12501,2017-08-03 05:30:00.000000,51,150,14,2,23,1,1122,156,42,87,41,2,21,3,330,204
5,K_12337,2014-10-30 05:30:00.000000,43,168,22,2,56,7,744,144,46,54,35,0,10,3,444,162
6,K_12498,2016-11-01 05:00:00.000000,73,259,35,1,62,2,2016,156,59,125,53,0,15,3,738,222
7,K_12610,2018-10-31 05:30:00.000000,37,132,29,1,24,5,1104,132,55,70,29,0,19,4,636,294
8,K_12338,2015-02-12 04:30:00.000000,47,114,30,3,49,0,864,138,47,64,36,1,9,4,684,138
9,K_12615,2020-02-06 04:30:00.000000,98,163,23,0,32,1,1224,96,46,78,14,0,18,4,450,120
10,K_12720,2012-08-02 05:30:00.000000,35,200,21,0,25,2,1140,96,51,92,30,0,17,4,234,210
11,K_12714,2014-02-06 04:30:00.000000,45,125,31,1,51,5,1038,84,55,83,29,0,22,3,354,174
12,K_12717,2013-05-02 05:30:00.000000,29,178,37,0,27,5,1206,84,62,57,39,0,10,3,366,150
13,K_12613,2019-08-01 05:30:00.000000,74,128,23,0,33,6,1146,150,39,94,24,1,22,2,384,180
14,K_12612,2019-05-02 05:30:00.000000,89,171,30,0,42,8,1074,78,71,82,28,1,24,1,366,198
15,K_12500,2017-05-04 05:30:00.000000,48,141,20,1,34,4,1110,96,72,88,39,1,25,2,414,264
16,K_12341,2015-11-03 04:30:00.000000,25,114,24,0,27,0,870,66,76,117,49,2,12,9,570,252
17,K_12715,2013-11-04 04:30:00.000000,29,150,22,0,67,6,912,72,56,77,39,0,20,1,594,168
18,K_12496,2016-05-05 05:30:00.000000,34,160,33,0,32,4,870,78,48,95,30,0,14,1,450,162
19,K_12495,2016-02-11 04:30:00.000000,18,159,31,0,27,3,1002,54,54,107,38,1,13,4,708,198
20,K_12503,2018-02-08 04:30:00.000000,54,170,28,0,38,3,1452,150,52,146,25,2,27,4,522,162
21,K_12335,2014-05-01 05:30:00.000000,40,125,20,1,44,4,804,96,64,84,40,0,15,0,384,204
22,K_12609,2018-08-02 05:30:00.000000,45,160,17,1,17,4,1290,78,41,90,23,0,24,1,528,252
23,K_12722,2012-02-02 04:30:00.000000,25,116,22,0,24,8,1260,72,59,37,50,1,16,4,546,240
24,K_12608,2018-05-03 05:30:00.000000,35,170,28,1,33,2,1242,84,44,95,24,0,20,0,438,222
25,K_12336,2014-07-31 05:30:00.000000,37,118,24,0,37,3,732,90,37,91,39,0,26,4,306,180
26,K_12502,2017-10-31 05:30:00.000000,62,183,21,1,35,5,1110,138,39,101,25,1,22,0,366,132
27,K_12716,2013-08-01 05:30:00.000000,37,122,24,0,45,1,1008,120,50,97,31,0,17,6,648,174
28,K_12614,2019-10-29 05:30:00.000000,64,136,18,0,30,2,1194,72,35,99,35,0,36,1,240,120
29,KEY_12187,2012-10-18 05:00:00.000000,20,48,14,4,9,3,372,66,42,75,59,11,37,6,648,288
30,KEY_12494,2018-04-19 05:00:00.000000,11,53,11,5,12,3,516,78,53,95,70,3,25,2,690,372
31,KEY_12184,2012-01-24 04:00:00.000000,21,73,22,2,15,3,366,36,55,86,59,9,37,7,540,270
32,KEY_12322,2013-04-18 05:00:00.000000,25,45,28,4,9,2,270,54,65,116,63,6,41,3,492,390
33,KEY_12330,2015-04-16 05:00:00.000000,15,35,10,1,5,5,216,66,58,154,63,1,32,7,654,432
34,KEY_12601,2018-07-19 06:00:00.000000,9,56,9,3,9,4,570,42,36,92,37,9,18,1,486,216
35,KEY_12603,2019-01-17 04:00:00.000000,21,89,29,9,16,7,648,54,54,93,68,2,20,7,798,348
36,KEY_12323,2013-07-18 05:00:00.000000,19,47,14,4,9,3,288,54,87,127,81,5,49,5,606,318
37,KEY_12723,2016-07-26 05:00:00.000000,15,42,8,0,6,7,402,66,55,94,68,1,28,7,534,264
38,KEY_12325,2014-01-23 04:00:00.000000,15,51,13,3,8,8,294,48,76,170,77,4,47,11,786,324
39,KEY_12488,2016-10-25 05:00:00.000000,12,47,9,1,9,5,534,42,61,102,56,6,35,19,636,288
40,KEY_12605,2019-07-23 06:00:00.000000,25,65,16,2,10,4,678,114,85,88,60,5,16,4,486,324
41,KEY_12493,2018-01-18 04:00:00.000000,23,74,21,2,18,6,582,84,31,113,64,3,34,5,678,252
42,KEY_12331,2015-07-16 05:00:00.000000,8,54,10,0,4,3,294,30,47,115,53,1,26,4,540,264
43,KEY_12327,2014-07-17 12:30:00.000000,15,74,12,1,14,6,312,48,61,110,64,4,31,5,330,384
44,KEY_12329,2015-01-22 04:00:00.000000,2,60,11,2,2,4,246,12,56,139,52,3,40,11,576,372
45,KEY_12756,2013-01-24 04:00:00.000000,18,58,23,7,15,5,402,90,47,104,41,5,42,6,408,210
46,KEY_12489,2017-01-19 04:00:00.000000,7,44,15,4,8,3,438,24,62,122,71,8,43,4,660,282
47,KEY_12333,2016-01-21 05:00:00.000000,12,65,13,6,8,2,432,36,57,98,64,6,24,5,438,288
48,KEY_12606,2019-10-17 05:00:00.000000,47,57,22,2,15,6,528,132,67,134,79,0,36,5,456,426
49,KEY_12326,2014-04-17 05:00:00.000000,20,87,14,0,19,7,342,102,58,124,52,2,43,9,678,300
50,KEY_12602,2018-10-18 05:00:00.000000,14,65,12,1,8,4,354,60,66,96,71,0,21,7,732,276
51,KEY_12185,2012-04-19 05:00:00.000000,22,45,18,0,9,3,360,42,22,56,20,3,21,4,288,168
52,KEY_12328,2014-10-15 05:00:00.000000,16,64,12,9,7,4,330,42,40,107,62,1,26,3,294,204
53,KEY_12491,2017-07-20 04:30:00.000000,12,57,8,0,12,4,582,42,64,91,55,4,26,11,528,300
54,KEY_12492,2017-10-19 05:00:00.000000,16,52,16,1,13,6,492,108,56,124,47,4,19,4,540,270
55,KEY_12604,2019-04-18 06:00:00.000000,22,67,14,1,13,5,570,66,61,109,105,1,29,21,732,384
56,KEY_12490,2017-04-20 05:00:00.000000,9,51,20,2,10,8,510,60,45,97,42,1,25,8,588,288
57,KEY_12324,2013-10-16 05:00:00.000000,30,65,19,11,10,8,294,54,49,95,51,7,21,5,378,204
58,KHC_12874,2016-02-25 12:00:00.000000,38,91,17,2,21,0,420,96,73,87,40,0,24,1,522,162
59,KHC_13001,2018-11-02 13:00:00.000000,22,92,18,0,16,1,468,42,89,84,56,1,14,0,444,228
60,KHC_13005,2020-02-13 03:30:00.000000,48,123,32,0,36,3,420,126,90,98,31,2,21,2,378,258
61,KHC_13002,2019-02-22 12:30:00.000000,43,99,19,1,27,0,702,102,92,87,42,2,21,7,606,234
62,KHC_12995,2017-05-03 13:00:00.000000,36,70,12,2,16,4,438,120,81,79,51,1,22,3,384,204
63,KHC_13004,2019-10-31 04:30:00.000000,35,96,19,0,24,3,210,48,67,89,41,1,15,4,390,120
64,KHC_12872,2015-08-14 04:00:00.000000,16,9,8,0,9,1,30,54,0,0,0,0,0,0,0,0
65,KHC_13003,2019-08-08 04:30:00.000000,55,83,36,2,21,5,324,132,76,132,64,2,40,9,420,288
66,KHC_12997,2017-11-01 13:00:00.000000,28,123,18,0,20,0,618,36,70,87,37,0,13,0,480,144
67,KHC_12996,2017-08-03 13:00:00.000000,33,109,21,0,16,3,690,84,71,102,36,1,24,5,378,168
68,KHC_13000,2018-08-03 04:30:00.000000,13,85,27,1,19,1,366,72,57,104,29,1,22,3,372,174
69,KHC_13039,2017-02-15 12:00:00.000000,32,132,20,2,19,1,582,42,50,94,47,3,30,1,414,192
70,KHC_12876,2016-08-05 12:30:00.000000,35,97,22,0,15,0,450,72,59,57,39,0,24,3,336,138
71,KHC_12873,2015-11-06 12:00:00.000000,55,133,22,1,37,7,582,108,59,73,33,3,25,1,498,174
72,KHC_12877,2016-11-04 13:00:00.000000,34,91,18,1,15,3,438,78,84,93,41,0,24,5,318,192
73,KHC_12875,2016-05-04 13:00:00.000000,34,107,22,0,18,1,426,84,70,66,38,0,14,1,384,174
74,KIM_12697,2019-07-25 06:00:00.000000,12,63,18,5,14,2,204,84,65,113,48,2,30,5,204,306
75,KIM_12476,2016-02-03 05:00:00.000000,14,64,19,2,18,6,300,54,71,84,69,4,28,5,180,444
76,KIM_12471,2014-10-29 06:00:00.000000,23,67,16,3,16,4,282,78,43,63,45,2,45,5,138,180
77,KIM_12700,2018-10-25 06:00:00.000000,19,46,21,1,10,2,216,96,58,103,76,5,43,7,402,402
78,KIM_12468,2014-02-06 05:00:00.000000,21,97,30,6,23,1,492,60,67,97,48,1,24,5,252,258
79,KIM_12477,2016-04-29 07:00:00.000000,18,43,16,2,15,2,126,102,64,76,70,6,36,7,132,324
80,KIM_12460,2012-02-09 05:00:00.000000,35,88,22,1,17,10,276,84,54,52,58,6,57,5,156,258
81,KIM_12462,2012-08-01 05:00:00.000000,25,84,33,8,19,1,396,78,74,95,51,4,35,9,204,348
82,KIM_12466,2013-07-31 06:00:00.000000,17,87,37,10,18,12,336,48,45,56,68,1,22,6,132,204
83,KIM_12473,2015-05-07 06:00:00.000000,21,87,27,4,17,3,324,36,28,42,30,1,10,5,84,150
84,KIM_12702,2018-04-26 06:00:00.000000,16,58,13,3,13,2,210,90,51,73,55,5,22,9,252,228
85,KIM_12470,2014-07-30 06:00:00.000000,27,92,27,6,28,4,384,66,38,27,36,1,12,1,150,90
86,KIM_12699,2019-01-31 05:00:00.000000,14,73,19,5,18,5,264,108,72,75,61,3,26,8,378,396
87,KIM_12703,2018-02-15 05:00:00.000000,13,43,16,7,22,5,210,60,59,94,53,5,34,2,240,318
88,KIM_12474,2015-07-29 06:00:00.000000,22,81,23,2,21,2,294,120,59,80,48,3,25,3,258,258
