,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,L_13274,2017-07-31 07:00:00.000000,47,53,29,7,17,9,162,114,24,16,20,1,14,1,114,96
1,L_13155,2012-04-30 07:00:00.000000,26,40,16,5,17,8,150,84,21,8,16,1,17,2,96,102
2,L_12889,2020-02-10 06:00:00.000000,38,45,19,8,24,5,294,150,9,10,10,1,5,0,18,42
3,L_13156,2012-02-06 06:00:00.000000,11,44,17,2,10,1,204,54,38,38,29,2,24,7,168,150
4,L_12887,2019-08-05 07:00:00.000000,39,47,21,10,10,2,246,132,24,23,23,2,13,0,180,60
5,L_13068,2017-05-01 07:00:00.000000,30,38,25,4,18,2,246,84,7,23,5,0,12,2,48,24
6,L_13153,2012-10-29 07:00:00.000000,31,37,14,6,16,11,228,90,23,32,33,2,21,6,192,108
7,L_13159,2016-10-31 07:00:00.000000,49,70,29,5,13,3,198,162,26,25,24,1,8,2,180,66
8,L_13154,2012-07-30 07:00:00.000000,38,45,14,4,12,12,162,114,23,18,12,1,3,1,108,102
9,L_12885,2019-02-11 06:00:00.000000,82,32,16,7,17,5,270,318,32,31,13,2,9,0,114,132
10,L_12884,2018-11-05 06:00:00.000000,35,35,18,12,6,1,228,102,4,8,9,0,2,0,24,12
11,L_13134,2013-07-29 07:00:00.000000,22,40,17,9,15,7,228,54,13,12,12,2,6,0,132,36
12,L_13271,2015-05-04 07:00:00.000000,43,38,16,2,21,9,204,108,26,22,23,1,14,0,30,66
13,L_12881,2018-02-12 06:00:00.000000,25,60,26,6,17,7,186,108,13,30,16,1,16,2,120,102
14,L_13273,2014-11-03 06:00:00.000000,38,43,15,13,19,7,204,78,32,38,30,5,14,1,72,126
15,L_13132,2014-02-10 06:00:00.000000,50,34,19,11,17,11,282,156,41,35,53,4,29,7,252,120
16,L_13164,2016-08-01 07:00:00.000000,67,57,34,13,21,11,324,216,31,42,26,1,21,1,132,96
17,L_13167,2015-11-02 06:00:00.000000,56,50,21,8,16,7,234,156,24,18,18,0,8,0,108,42
18,L_13166,2016-02-08 06:00:00.000000,82,51,36,8,29,8,378,234,18,24,35,0,7,2,54,18
19,L_13069,2017-02-06 06:00:00.000000,39,46,29,8,17,8,180,78,24,22,22,5,10,4,192,78
20,L_13272,2015-02-09 06:00:00.000000,60,72,20,7,30,5,312,198,32,19,31,1,13,1,90,126
21,L_13133,2013-10-28 07:00:00.000000,29,27,13,3,16,7,168,30,25,8,15,2,10,4,72,48
22,L_13151,2013-04-29 07:00:00.000000,29,40,13,7,12,8,282,72,25,15,19,3,7,4,114,96
23,L_12882,2018-04-30 07:00:00.000000,35,50,21,5,12,5,174,168,13,11,9,1,7,2,60,36
24,L_12883,2018-07-30 07:00:00.000000,30,47,14,7,13,4,300,78,14,13,13,2,8,0,162,78
25,L_12886,2019-04-29 07:00:00.000000,38,49,20,10,9,4,162,150,23,46,25,1,13,1,150,90
26,L_12888,2019-10-28 07:00:00.000000,52,51,42,22,19,6,354,132,6,12,5,1,2,1,30,54
27,L_13130,2014-08-04 07:00:00.000000,40,43,16,9,20,7,120,78,8,9,10,0,1,0,18,30
28,L_12880,2017-10-30 07:00:00.000000,41,47,23,7,22,3,186,144,13,12,17,0,13,3,48,36
29,LB_12978,2019-08-22 05:00:00.000000,4,11,7,0,7,2,30,6,87,105,52,1,30,4,426,240
30,LB_12845,2016-05-19 05:15:00.000000,7,29,5,0,8,1,66,6,63,83,49,1,25,5,456,222
31,LB_12843,2015-11-19 04:00:00.000000,19,54,9,0,14,5,348,6,55,76,55,0,31,6,498,168
32,LB_12841,2015-05-21 05:15:00.000000,19,53,12,0,16,3,342,24,60,93,37,0,16,13,306,168
33,LB_12844,2016-02-25 04:00:00.000000,30,65,7,1,27,4,618,60,71,125,30,3,35,1,396,186
34,LB_12973,2018-05-24 05:00:00.000000,16,79,11,2,15,0,390,42,55,87,33,1,14,4,456,252
35,LB_12971,2017-11-16 04:00:00.000000,9,69,5,4,12,1,246,12,64,90,31,0,20,2,378,156
36,LB_12842,2015-08-20 05:00:00.000000,21,62,10,1,21,4,408,18,73,122,53,0,36,8,540,186
37,LB_13423,2014-08-21 05:00:00.000000,13,43,5,1,13,6,258,42,85,138,55,4,37,3,378,186
38,LB_12850,2017-08-17 05:00:00.000000,13,58,5,3,14,1,252,90,98,163,46,3,42,6,552,270
39,LB_12976,2019-02-28 04:00:00.000000,3,7,3,0,3,2,30,0,61,106,35,3,17,11,312,144
40,LB_12848,2017-02-23 04:00:00.000000,7,20,7,0,7,3,120,54,73,139,53,2,32,13,462,264
41,LB_12977,2019-05-23 05:00:00.000000,4,12,5,0,4,2,42,6,69,147,41,0,32,4,672,168
42,LB_12839,2014-11-20 04:00:00.000000,17,38,5,1,21,4,222,42,61,124,53,1,31,0,342,126
43,LB_12847,2016-11-17 04:00:00.000000,5,24,2,0,7,1,66,0,57,90,33,3,30,4,468,216
44,LB_12840,2015-02-26 04:00:00.000000,21,65,11,2,27,3,438,18,45,103,55,0,34,4,438,144
45,LB_12972,2018-03-01 04:00:00.000000,8,64,5,0,11,2,324,18,100,147,49,4,47,7,534,300
46,LB_12849,2017-05-18 05:15:00.000000,7,25,4,0,8,1,90,12,52,119,48,1,14,8,432,228
47,LB_12846,2016-08-18 05:00:00.000000,5,28,1,0,7,2,42,30,95,150,66,0,28,6,522,252
48,LEG_12805,2013-10-24 05:00:00.000000,15,47,25,0,15,6,348,60,70,51,40,0,24,0,282,228
