,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,M_14018,2013-05-15 06:30:00.000000,7,32,17,2,3,1,138,24,64,102,53,3,30,0,306,264
1,M_13771,2013-08-14 06:30:00.000000,21,46,22,2,8,1,210,48,63,116,87,3,22,7,276,336
2,M_13943,2018-02-27 05:00:00.000000,29,124,43,5,39,13,528,60,55,161,47,2,26,4,744,246
3,M_13770,2013-02-26 05:30:00.000000,22,83,37,1,12,10,348,60,39,76,46,1,25,4,318,162
4,M_14002,2016-02-23 04:00:00.000000,60,72,56,3,29,2,438,174,79,94,45,0,24,4,384,288
5,M_13854,2014-05-14 06:30:00.000000,12,37,20,2,8,2,150,24,78,167,86,3,33,2,438,342
6,M_13950,2019-11-21 03:00:00.000000,19,76,21,1,22,3,498,48,71,166,53,1,26,6,1002,492
7,M_13946,2018-11-14 04:30:00.000000,12,86,15,4,24,3,570,36,52,116,32,1,46,4,546,264
8,M_14003,2015-11-11 04:00:00.000000,48,105,54,4,40,10,348,150,109,136,80,1,66,5,540,396
9,M_14001,2016-05-11 05:00:00.000000,33,49,27,9,18,5,228,72,95,99,56,0,26,4,384,276
10,M_13940,2017-02-21 05:00:00.000000,51,94,77,7,42,5,378,132,79,140,82,2,37,12,438,348
11,M_13772,2013-11-13 05:30:00.000000,9,53,18,2,7,2,186,24,57,104,49,2,28,0,342,276
12,M_13977,2017-11-09 05:00:00.000000,29,66,19,4,16,4,324,36,70,140,24,1,22,3,450,228
13,M_13951,2020-02-25 03:00:00.000000,29,94,32,1,40,10,756,84,95,134,67,3,35,6,888,378
14,M_13858,2015-05-13 05:00:00.000000,36,55,29,2,17,3,330,18,69,85,43,1,35,2,156,186
15,M_14335,2016-08-11 06:00:00.000000,47,101,30,9,28,11,342,90,83,134,66,6,70,7,360,282
16,M_13766,2012-02-21 05:30:00.000000,11,39,37,1,12,3,258,6,44,69,43,1,37,1,324,168
17,M_13855,2014-08-13 06:30:00.000000,8,54,25,2,11,2,234,18,47,109,25,1,25,2,348,264
18,M_13945,2018-08-15 05:30:00.000000,20,134,29,5,24,6,624,42,47,135,31,2,35,0,828,336
19,M_14000,2016-11-10 05:00:00.000000,29,100,43,8,33,6,282,54,64,128,50,0,20,1,240,288
20,M_13773,2014-02-25 05:30:00.000000,29,69,37,1,17,7,366,72,55,181,66,1,44,3,516,330
21,M_13949,2019-08-14 05:30:00.000000,46,115,28,1,31,6,654,96,80,141,56,1,45,7,684,318
22,M_13857,2015-02-24 05:30:00.000000,24,57,29,2,16,5,462,36,43,91,71,2,49,1,570,240
23,M_13767,2012-05-09 06:30:00.000000,8,57,23,3,6,4,204,54,57,93,55,3,32,3,366,222
24,M_13944,2018-05-16 05:30:00.000000,12,78,29,3,21,9,390,30,45,124,43,3,42,2,546,222
25,M_13941,2017-05-12 06:00:00.000000,36,78,27,6,25,2,354,96,71,177,70,0,35,5,696,294
26,M_13942,2017-08-10 06:00:00.000000,29,67,48,7,16,8,234,48,76,149,77,0,35,6,606,390
27,M_13859,2015-08-12 05:00:00.000000,23,66,25,4,24,4,306,60,90,118,54,1,34,4,402,324
28,MA_13519,2016-04-28 05:00:00.000000,44,56,24,7,14,5,624,78,58,70,41,10,23,5,576,342
29,MA_13631,2014-07-31 05:00:00.000000,26,46,37,9,23,9,696,48,42,52,39,6,20,2,552,276
30,MA_13595,2013-10-31 04:30:00.000000,22,47,24,16,12,3,648,60,56,70,39,9,20,8,516,270
31,MA_13594,2013-07-31 05:00:00.000000,22,48,33,16,24,7,588,60,60,92,80,15,42,3,810,372
32,MA_13820,2018-07-26 05:00:00.000000,17,51,12,2,17,0,684,36,63,87,50,7,26,5,462,228
33,MA_13512,2017-07-27 05:00:00.000000,25,71,15,6,16,2,576,66,46,114,35,5,24,5,462,144
34,MA_13632,2015-01-30 04:00:00.000000,29,50,29,13,38,7,768,96,41,64,60,8,19,3,462,276
35,MA_13900,2019-10-29 05:00:00.000000,15,57,13,5,22,2,654,48,76,74,40,3,33,4,420,120
36,MA_13818,2018-02-01 04:00:00.000000,22,59,22,1,39,4,876,96,43,74,47,3,42,3,414,258
37,MA_13507,2018-10-30 05:00:00.000000,20,60,15,3,30,4,606,36,62,95,35,3,25,6,612,276
38,MA_13898,2019-04-30 05:00:00.000000,23,61,20,1,28,2,540,54,48,65,52,9,31,8,336,264
39,MA_13590,2012-08-01 05:00:00.000000,27,58,29,15,23,4,606,96,62,90,67,23,34,5,360,288
40,MA_13525,2014-01-31 04:00:00.000000,37,50,33,21,22,4,720,78,84,74,52,13,28,9,498,240
41,MA_13719,2017-05-02 05:00:00.000000,19,61,18,3,20,3,630,42,57,75,50,8,29,4,366,240
42,MA_14033,2016-10-28 05:00:00.000000,24,46,21,18,22,3,534,84,50,73,51,6,30,5,642,270
43,MA_13819,2018-05-02 05:00:00.000000,15,73,14,3,31,2,834,42,41,66,40,4,21,6,480,198
44,MA_13513,2017-10-31 05:00:00.000000,21,55,17,1,17,3,570,48,61,76,36,23,25,2,372,312
45,MA_13899,2019-07-30 05:00:00.000000,12,40,13,4,24,1,570,66,51,91,55,23,26,5,666,234
46,MA_13589,2012-02-02 04:00:00.000000,25,43,25,11,17,3,690,84,56,67,55,22,27,4,558,288
47,MA_13901,2020-01-29 04:00:00.000000,28,64,23,4,16,2,792,60,71,51,44,1,38,5,552,312
48,MA_13518,2016-01-29 04:00:00.000000,30,56,27,7,12,4,648,78,50,60,35,4,32,3,624,264
49,MA_14043,2014-10-30 05:00:00.000000,20,52,25,14,24,3,660,60,62,58,43,9,35,7,450,234
50,MA_13634,2015-07-29 05:00:00.000000,18,47,31,5,24,3,786,108,55,66,47,25,34,11,282,174
51,MA_13717,2016-07-28 05:00:00.000000,27,47,20,30,24,4,600,54,61,85,45,8,20,7,360,294
52,MA_14070,2014-05-01 04:30:00.000000,27,52,31,23,36,7,672,54,91,68,75,30,38,14,462,288
53,MA_13592,2013-01-31 04:00:00.000000,0,0,0,0,0,0,0,0,81,130,81,21,55,9,930,456
54,MA_14046,2012-05-02 05:00:00.000000,20,54,29,3,13,1,612,42,67,87,53,17,36,9,462,294
