,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,NAVI_15809,2018-07-25 04:00:00.000000,19,53,8,6,12,1,330,36,58,56,36,20,19,4,270,132
1,NAVI_15651,2015-04-22 04:00:00.000000,21,59,16,7,19,3,366,54,49,47,34,27,8,8,270,204
2,NAVI_15652,2015-07-22 04:00:00.000000,43,63,20,11,15,5,324,54,87,49,83,10,25,4,324,396
3,NAVI_15495,2015-01-22 03:00:00.000000,23,61,15,7,12,4,372,54,27,31,23,12,6,3,240,156
4,NAVI_15656,2016-10-19 04:00:00.000000,27,55,22,5,22,4,408,42,59,87,48,21,17,8,306,222
5,NAVI_15864,2015-10-21 04:00:00.000000,28,37,18,17,20,3,264,54,60,63,45,32,24,5,318,234
6,NAVI_15655,2016-07-20 04:00:00.000000,30,55,11,9,11,3,258,42,46,55,48,18,8,9,168,156
7,NAVI_15812,2019-04-24 04:00:00.000000,12,54,12,1,8,1,306,12,64,75,44,19,30,2,576,168
8,NAVI_15653,2016-01-27 03:00:00.000000,27,38,19,15,23,4,258,66,50,36,38,4,17,2,174,162
9,NAVI_15815,2020-01-22 03:00:00.000000,22,82,10,7,11,3,540,30,61,111,47,14,16,1,420,246
10,NAVI_15811,2019-01-23 03:30:00.000000,19,73,16,4,20,5,552,60,26,61,16,1,9,2,228,156
11,NAVI_15654,2016-04-20 04:00:00.000000,32,40,8,10,17,0,258,60,52,58,35,21,18,9,228,240
12,NAVI_15807,2018-01-24 03:00:00.000000,27,47,22,16,28,8,486,72,67,58,44,11,26,6,318,234
13,NAVI_15810,2018-10-24 04:00:00.000000,32,39,12,4,10,3,300,48,56,124,52,13,23,3,402,276
14,NAVI_15808,2018-04-25 04:00:00.000000,20,52,10,7,18,1,474,36,75,94,59,11,24,6,594,234
15,NAVI_15657,2017-01-25 03:00:00.000000,51,56,19,27,17,4,330,60,56,64,47,11,24,4,246,246
16,NAVI_15863,2017-07-19 04:00:00.000000,36,53,11,7,15,3,414,54,46,53,38,11,22,2,252,174
17,NAVI_15813,2019-07-24 04:00:00.000000,14,52,9,5,12,2,330,18,77,130,49,18,31,4,300,282
18,NBL_15697,2019-05-03 05:00:00.000000,13,105,12,0,21,2,276,72,42,93,56,15,33,6,120,270
19,NBL_15544,2018-02-20 04:00:00.000000,20,139,45,8,44,10,834,114,33,107,66,11,29,4,270,264
20,NBL_15217,2012-10-25 06:00:00.000000,22,49,36,2,26,1,252,48,36,33,67,17,13,4,96,258
21,NBL_15360,2015-08-03 06:00:00.000000,15,86,22,3,19,1,240,42,46,115,67,3,30,13,228,258
22,NBL_15700,2020-02-12 04:00:00.000000,19,89,17,4,30,2,444,108,67,90,41,8,44,10,300,300
23,NBL_15227,2014-02-06 05:00:00.000000,13,74,31,6,26,4,414,54,22,42,64,3,12,3,144,210
24,NBL_15540,2017-02-14 04:00:00.000000,20,63,12,1,26,2,180,30,51,98,80,3,29,6,132,366
25,NBL_15899,2015-11-02 05:00:00.000000,9,52,10,1,17,2,150,30,39,78,68,7,24,4,102,270
26,NBL_15699,2019-11-07 06:00:00.000000,19,88,14,5,19,2,276,108,34,86,33,8,36,1,312,192
27,NBL_15873,2016-11-02 05:00:00.000000,7,60,20,5,22,2,228,18,52,83,60,6,27,4,132,222
28,NBL_15205,2012-07-26 06:00:00.000000,27,69,31,5,36,3,246,90,53,40,76,1,16,5,36,306
29,NBL_15172,2014-04-24 06:00:00.000000,23,64,26,4,35,0,348,36,37,44,50,5,19,0,72,264
30,NBL_15193,2012-02-09 05:00:00.000000,26,63,35,5,36,4,432,78,25,28,43,5,20,4,96,204
31,NBL_15698,2019-08-02 05:00:00.000000,16,91,17,1,24,5,324,120,55,126,50,4,44,6,180,342
32,NBL_15221,2013-04-25 06:00:00.000000,33,43,34,0,33,1,186,60,45,57,71,7,23,5,96,372
33,NBL_15694,2018-08-03 05:00:00.000000,13,64,10,1,20,6,228,60,21,48,26,1,12,8,48,114
34,NBL_15358,2015-05-05 06:00:00.000000,6,59,16,4,6,0,150,78,39,134,71,12,29,7,144,270
35,NBL_15362,2016-05-04 06:00:00.000000,13,55,13,3,19,3,144,42,41,96,62,8,17,9,126,252
36,NBL_15541,2017-05-02 05:00:00.000000,14,74,10,1,22,2,186,48,62,131,87,3,40,8,222,348
37,NBL_15361,2016-02-17 05:00:00.000000,14,60,18,5,23,3,162,84,31,77,57,24,29,6,144,354
38,NBL_15223,2013-07-25 06:00:00.000000,21,60,28,1,25,0,228,72,53,52,93,2,21,7,66,300
39,NBL_15898,2016-08-03 06:00:00.000000,22,82,22,3,27,3,204,66,43,102,58,0,26,6,144,228
40,NBL_15219,2013-02-07 05:00:00.000000,27,55,33,0,47,3,324,102,33,37,54,1,26,8,132,234
41,NBL_15543,2017-10-31 05:00:00.000000,23,71,21,0,31,4,252,54,54,101,70,7,42,3,258,288
42,NBL_15355,2014-10-28 06:00:00.000000,8,59,10,2,17,1,168,48,55,86,72,14,60,7,144,312
