,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,O_18293,2019-11-05 09:30:00.000000,8,27,32,3,9,1,354,12,22,41,31,2,15,2,144,174
1,O_18153,2015-04-30 10:30:00.000000,14,28,32,3,11,2,528,30,20,22,47,0,24,1,204,168
2,O_18159,2016-10-27 10:30:00.000000,10,49,35,3,17,4,402,30,19,60,48,0,17,1,336,210
3,O_18289,2018-08-02 10:30:00.000000,6,29,18,3,8,1,324,6,58,32,20,0,10,2,126,42
4,O_18286,2017-10-26 10:30:00.000000,8,31,23,2,13,1,366,24,47,65,52,4,30,1,312,186
5,O_18290,2018-11-01 10:30:00.000000,8,35,17,5,8,1,276,18,22,30,48,3,21,1,150,126
6,O_18151,2014-10-30 12:30:00.000000,12,49,48,4,12,3,660,36,22,37,38,2,18,1,240,204
7,O_17989,2012-07-26 12:30:00.000000,22,42,27,9,22,0,492,96,41,39,34,8,11,3,126,198
8,O_18148,2014-02-13 11:30:00.000000,15,45,27,3,17,2,642,30,36,37,53,2,22,3,270,192
9,O_18156,2016-02-12 09:30:00.000000,7,32,29,3,11,0,312,48,20,62,51,2,23,4,228,198
10,O_18161,2017-04-26 10:30:00.000000,7,36,24,3,12,2,330,36,13,26,32,0,28,0,186,168
11,O_18149,2014-05-02 12:30:00.000000,15,38,31,2,15,2,504,66,36,53,40,1,11,0,150,156
12,O_17988,2012-04-26 12:30:00.000000,16,42,33,5,33,3,378,60,34,41,24,2,22,1,198,72
13,O_17993,2013-07-26 12:30:00.000000,18,76,44,2,20,1,906,126,18,24,23,1,12,2,120,96
14,O_17992,2013-04-25 12:30:00.000000,16,67,44,3,20,1,612,84,39,61,83,1,35,5,354,282
15,O_18405,2019-08-06 10:30:00.000000,8,25,32,3,7,1,348,12,39,49,41,3,24,6,198,204
16,O_18162,2017-07-27 10:30:00.000000,10,27,24,4,10,1,336,24,25,51,26,1,8,1,228,162
17,O_18292,2019-05-03 10:30:00.000000,6,22,24,3,7,0,270,12,33,36,54,0,30,4,132,120
18,O_17991,2013-02-14 11:30:00.000000,27,51,24,3,38,1,756,108,27,41,49,1,23,2,186,192
19,O_18291,2019-02-21 09:30:00.000000,8,25,26,5,7,1,336,12,29,32,42,0,19,8,252,108
20,O_17990,2012-10-25 12:30:00.000000,20,52,37,3,24,0,534,66,36,50,28,3,19,3,192,114
21,O_18150,2014-07-24 12:30:00.000000,17,48,35,4,15,3,738,48,28,44,37,0,17,3,126,156
22,O_18154,2015-07-30 10:30:00.000000,14,51,38,4,11,4,576,30,38,66,84,5,14,3,324,384
23,O_18158,2016-07-28 10:30:00.000000,10,46,33,3,13,1,402,12,35,57,29,0,18,3,138,258
24,O_17987,2012-02-09 11:30:00.000000,21,48,25,5,38,0,534,96,40,59,44,3,24,0,312,174
25,O_18404,2020-02-20 09:30:00.000000,9,29,34,3,10,1,366,6,62,82,77,3,20,5,372,222
26,O_18157,2016-04-27 10:30:00.000000,11,35,30,3,13,1,324,48,26,54,51,4,11,3,174,204
27,O_18288,2018-05-09 10:30:00.000000,8,39,22,3,10,1,306,24,18,25,25,1,9,0,198,120
28,O_18155,2015-10-29 10:30:00.000000,13,32,33,3,13,2,414,36,33,64,70,5,29,11,324,114
29,OKE_15980,2014-11-05 06:00:00.000000,25,38,32,2,27,6,588,24,54,55,57,11,44,5,294,186
30,OKE_16307,2019-05-01 07:00:00.000000,7,19,20,3,9,2,198,24,49,33,42,16,36,4,270,264
31,OKE_15955,2013-05-01 07:00:00.000000,36,25,27,8,26,6,348,132,51,16,34,10,17,1,102,156
32,OKE_16306,2019-02-26 06:00:00.000000,12,40,41,4,19,2,612,30,48,59,53,6,39,3,402,258
33,OKE_16463,2015-08-05 07:00:00.000000,10,30,20,1,9,2,252,36,38,65,55,11,35,6,252,282
34,OKE_16073,2015-02-24 06:00:00.000000,16,43,39,1,16,1,402,48,48,51,64,14,24,3,270,228
35,OKE_16178,2018-08-01 07:00:00.000000,7,27,20,6,13,1,330,24,42,43,37,9,23,1,222,144
36,OKE_15978,2014-08-06 07:00:00.000000,10,31,25,4,18,7,444,54,76,65,55,15,22,7,390,330
