,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,PAYX_16807,2014-12-19 04:30:00.000000,5,33,23,1,19,2,354,60,105,227,108,8,93,11,1050,474
1,PAYX_16817,2017-06-28 05:30:00.000000,15,70,53,3,29,5,660,126,86,120,74,7,45,11,516,354
2,PAYX_16916,2018-12-19 04:30:00.000000,14,38,43,1,31,1,522,66,65,164,47,9,43,3,618,450
3,PAYX_17380,2012-03-29 06:30:00.000000,20,46,24,2,15,2,372,54,115,160,118,5,61,7,636,546
4,PAYX_16920,2019-12-18 04:30:00.000000,16,61,37,3,16,4,756,18,84,132,76,7,47,6,546,498
5,PAYX_16915,2018-10-02 05:30:00.000000,21,43,27,2,34,4,762,90,75,104,69,2,55,0,522,414
6,PAYX_17387,2013-12-19 05:30:00.000000,11,49,23,2,13,4,498,18,73,208,97,5,49,10,462,576
7,PAYX_16811,2015-12-22 04:30:00.000000,4,63,35,0,36,2,582,72,101,211,99,5,61,6,912,612
8,PAYX_16809,2015-07-01 05:30:00.000000,7,45,25,0,25,2,540,30,76,148,105,7,55,5,912,444
9,PAYX_17384,2013-03-28 06:30:00.000000,7,46,24,2,10,2,594,48,81,164,79,3,58,8,906,570
10,PAYX_17381,2012-06-28 06:30:00.000000,16,49,32,2,17,2,516,30,105,150,94,8,56,10,816,552
11,PAYX_16812,2016-03-30 05:30:00.000000,12,61,27,0,16,3,588,24,81,188,85,1,36,5,720,468
12,PAYX_16911,2017-10-03 05:30:00.000000,10,44,35,2,20,4,444,66,81,132,91,7,38,9,432,396
13,PAYX_16813,2016-06-30 05:30:00.000000,13,59,33,3,20,2,678,48,81,143,90,6,44,5,768,354
14,PAYX_17388,2014-03-27 06:30:00.000000,9,43,22,4,11,3,516,48,90,173,77,1,41,5,762,504
15,PAYX_16814,2016-09-28 05:30:00.000000,9,40,33,3,17,5,480,60,86,152,105,11,30,8,552,462
16,PAYX_17389,2014-07-02 06:30:00.000000,15,54,33,4,18,4,666,66,97,159,131,2,49,3,912,612
17,PAYX_17390,2014-09-24 05:30:00.000000,3,38,17,0,10,0,348,42,99,235,97,7,51,14,864,600
