,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,QCOM_18574,2017-11-01 12:45:00.000000,24,67,36,13,16,1,624,60,74,50,32,36,15,1,264,180
1,QCOM_18550,2013-04-24 12:45:00.000000,7,59,32,5,18,4,564,72,70,68,66,15,18,1,588,342
2,QCOM_18552,2013-11-06 11:45:00.000000,12,108,34,7,29,6,990,102,77,59,61,7,25,2,420,270
3,QCOM_18547,2012-07-18 12:45:00.000000,11,56,51,2,21,5,402,96,48,77,76,4,19,6,444,528
4,QCOM_18571,2017-01-25 11:45:00.000000,53,114,40,31,30,9,774,72,103,42,53,59,32,12,174,228
5,QCOM_18572,2017-04-19 12:45:00.000000,70,95,48,34,49,6,708,138,93,15,44,48,8,7,336,282
6,QCOM_18339,2018-04-25 12:45:00.000000,36,70,37,27,20,4,474,132,92,62,47,17,36,2,300,300
7,QCOM_18397,2020-02-05 11:45:00.000000,2,40,14,1,14,0,432,42,43,53,37,3,15,3,504,294
8,QCOM_18539,2014-07-23 13:45:00.000000,32,62,36,5,22,7,402,114,123,54,86,6,40,3,210,318
9,QCOM_18548,2012-11-07 11:45:00.000000,9,48,43,2,21,3,648,54,48,71,62,3,11,9,564,216
10,QCOM_18398,2019-11-06 11:45:00.000000,3,36,18,1,13,2,498,24,75,71,76,2,26,3,414,258
11,QCOM_18553,2014-01-29 11:45:00.000000,9,59,26,5,21,1,474,18,68,71,68,9,30,4,432,258
12,QCOM_18338,2018-01-31 11:45:00.000000,35,65,22,20,24,1,492,102,60,67,48,15,12,6,420,180
13,QCOM_18541,2015-01-28 12:00:00.000000,42,59,49,2,22,1,510,84,93,67,56,9,31,5,450,342
14,QCOM_18549,2013-01-30 11:45:00.000000,8,64,31,1,16,2,510,54,64,86,75,2,27,2,444,282
15,QCOM_18401,2019-01-30 11:45:00.000000,45,54,22,28,13,2,444,132,66,40,51,18,12,0,336,258
16,QCOM_18551,2013-07-24 12:45:00.000000,10,73,41,2,22,3,582,54,71,98,71,1,47,1,480,240
17,QCOM_18399,2019-07-31 12:45:00.000000,19,40,15,29,20,3,366,66,66,47,47,13,17,3,192,324
18,QCOM_18340,2018-07-25 12:45:00.000000,35,58,33,5,26,7,606,72,63,82,59,15,23,5,414,222
19,QCOM_18596,2016-07-20 12:30:00.000000,20,95,24,7,28,6,630,84,68,94,62,5,41,6,462,252
20,QCOM_18402,2018-11-07 11:45:00.000000,44,82,40,28,26,4,828,180,80,38,39,30,6,4,246,222
21,QCOM_18545,2012-02-01 11:45:00.000000,10,53,30,5,18,1,552,66,44,78,50,6,23,1,564,288
