,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,RCL_19040,2015-01-30 05:00:00.000000,28,90,16,0,32,5,270,102,48,113,49,1,27,4,276,258
1,RCL_19178,2020-02-04 05:00:00.000000,29,86,22,2,59,6,414,90,65,88,65,2,16,4,180,348
2,RCL_19170,2018-01-24 05:00:00.000000,14,89,20,2,40,3,420,84,54,93,67,5,22,2,372,366
3,RCL_19037,2014-01-27 05:00:00.000000,32,132,19,0,59,5,420,84,56,69,58,1,32,2,294,252
4,RCL_18862,2013-02-04 05:00:00.000000,47,59,25,3,20,9,168,72,42,93,65,3,29,0,336,246
5,RCL_18860,2012-07-26 06:00:00.000000,46,71,23,1,28,2,216,144,81,62,71,5,26,3,198,294
6,RCL_19042,2015-07-31 06:00:00.000000,16,50,21,0,30,3,306,84,64,126,71,2,43,6,282,396
7,RCL_18610,2013-10-24 06:00:00.000000,49,109,27,2,42,4,354,120,42,98,56,3,22,3,210,216
8,RCL_19167,2017-04-28 06:00:00.000000,14,65,17,0,18,2,264,60,80,103,54,3,28,3,312,396
9,RCL_19047,2016-10-28 06:00:00.000000,23,52,16,1,37,3,240,108,64,118,48,1,23,4,252,228
10,RCL_18858,2012-02-02 05:00:00.000000,60,64,40,1,36,3,234,132,79,58,74,3,43,4,186,276
11,RCL_19174,2019-01-30 05:00:00.000000,13,83,24,5,28,0,348,72,49,137,69,0,34,3,348,408
12,RCL_19172,2018-08-02 06:00:00.000000,25,96,27,5,34,4,306,114,62,80,64,1,35,0,366,318
13,RCL_18863,2013-04-25 06:00:00.000000,25,48,15,0,25,3,168,66,87,94,87,3,32,1,228,282
14,RCL_19045,2016-04-29 06:00:00.000000,18,79,23,0,26,2,264,114,74,114,59,0,39,9,408,306
