,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,SBUX_20496,2017-04-27 13:00:00.000000,72,194,44,1,65,12,1374,144,44,109,31,2,16,0,666,210
1,SBUX_20160,2014-07-24 13:00:00.000000,28,197,31,3,27,3,1308,138,27,117,48,2,30,3,636,186
2,SBUX_20142,2018-11-01 13:00:00.000000,29,167,34,2,49,8,1170,84,54,95,29,0,18,2,690,168
3,SBUX_20229,2012-11-01 13:00:00.000000,48,207,42,3,50,6,1344,96,40,115,34,1,11,4,528,234
4,SBUX_20148,2015-10-30 13:00:00.000000,24,180,45,3,53,4,1698,54,68,119,55,3,37,4,756,336
5,SBUX_20140,2018-04-26 13:00:00.000000,47,151,43,3,54,12,1188,96,68,123,47,1,28,1,762,282
6,SBUX_20157,2013-10-30 13:00:00.000000,25,227,35,0,40,8,1572,120,48,126,58,7,44,5,750,282
7,SBUX_20151,2016-07-21 13:00:00.000000,47,162,43,0,44,6,1122,72,67,156,47,1,38,6,642,222
8,SBUX_20227,2012-04-26 13:00:00.000000,35,161,33,3,31,10,1026,72,44,86,35,2,20,0,378,150
9,SBUX_20159,2014-04-25 13:00:00.000000,27,169,35,2,43,3,1200,84,55,116,65,1,46,5,618,210
10,SBUX_20495,2017-07-28 13:00:00.000000,34,204,48,1,85,15,1788,108,62,130,48,0,44,1,1224,306
11,SBUX_20316,2015-07-24 13:00:00.000000,22,205,44,1,59,6,1632,120,32,107,31,0,18,3,420,126
12,SBUX_20484,2019-04-25 13:00:00.000000,19,143,21,1,27,11,1062,48,62,110,42,0,26,2,588,216
13,SBUX_20158,2014-01-23 12:00:00.000000,28,179,24,5,37,10,1404,126,76,132,86,3,55,1,552,318
14,SBUX_20481,2020-01-28 12:00:00.000000,18,106,15,2,33,13,864,30,93,136,64,0,28,9,942,282
15,SBUX_20493,2018-01-26 12:00:00.000000,36,132,36,17,50,10,1344,78,56,142,75,3,40,2,1194,402
16,SBUX_20483,2019-07-25 13:00:00.000000,20,129,30,1,21,7,1230,60,71,150,46,0,17,5,906,180
17,SBUX_20497,2017-01-27 12:00:00.000000,31,149,32,1,51,7,1194,78,65,79,46,2,22,3,492,246
18,SBUX_20230,2013-01-24 12:00:00.000000,27,161,43,6,54,7,1260,144,47,89,51,1,32,6,594,198
19,SBUX_20528,2015-04-24 13:00:00.000000,19,182,36,1,47,5,1242,60,40,98,38,0,31,4,492,210
20,SBUX_20494,2017-11-02 13:00:00.000000,36,136,34,3,52,15,1470,42,70,115,45,3,38,9,846,324
21,SBUX_20515,2015-01-22 12:00:00.000000,21,170,28,3,50,5,1116,84,40,73,45,0,22,0,474,162
22,SBUX_20231,2013-04-25 13:00:00.000000,27,181,35,0,53,4,1086,90,48,108,43,2,37,6,528,198
23,SBUX_20226,2012-01-26 12:00:00.000000,24,139,26,3,38,4,894,96,56,111,53,1,35,6,708,312
24,SBUX_20498,2016-11-04 13:00:00.000000,28,171,44,2,51,7,1302,78,61,127,54,3,26,0,570,312
25,SBUX_20228,2012-07-26 13:00:00.000000,37,160,52,0,49,10,1182,48,68,97,66,1,17,3,564,378
