,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,T_3039,2019-10-28 04:30:00.000000,21,94,18,0,40,10,1008,102,32,105,41,3,35,6,552,240
1,T_2368,2019-04-24 04:30:00.000000,26,86,19,3,24,2,990,60,45,102,45,2,48,5,570,300
2,T_2426,2014-07-23 12:30:00.000000,13,97,20,2,27,1,1068,78,33,107,46,8,29,2,390,126
3,T_2402,2014-01-28 11:30:00.000000,16,93,33,3,32,2,1032,30,46,99,49,10,52,3,570,174
4,T_2451,2015-04-22 12:30:00.000000,12,76,15,0,17,0,756,96,42,104,56,10,50,2,540,282
5,T_2378,2015-10-22 12:30:00.000000,23,101,25,0,17,2,882,120,38,103,49,0,28,2,546,192
6,T_3040,2019-07-24 04:30:00.000000,11,41,8,1,15,4,510,36,41,114,46,4,35,2,714,282
7,T_2658,2017-07-25 12:30:00.000000,19,61,18,3,18,6,456,84,51,125,56,13,49,3,564,276
8,T_2803,2018-10-24 04:30:00.000000,27,87,15,2,21,4,798,126,28,82,30,2,17,2,468,204
9,T_2377,2015-07-23 12:30:00.000000,12,82,17,0,19,1,888,36,38,138,46,3,56,6,588,174
10,T_2389,2015-01-27 11:30:00.000000,18,78,26,3,37,2,870,78,38,86,70,6,50,8,522,246
11,T_2424,2014-04-22 12:30:00.000000,20,99,19,2,39,2,1062,54,30,104,55,0,34,5,612,168
12,T_2527,2016-07-21 12:30:00.000000,23,79,15,1,16,2,708,66,28,116,64,6,31,4,600,180
13,T_2370,2018-01-31 11:30:00.000000,13,96,27,11,35,3,726,72,32,107,36,4,40,1,486,234
14,T_2400,2013-10-23 12:30:00.000000,10,96,22,3,24,3,828,48,48,88,40,3,41,7,690,162
15,T_2372,2016-10-24 04:30:00.000000,10,89,17,3,26,1,546,54,66,173,52,40,62,10,528,402
16,T_2387,2014-10-22 12:30:00.000000,14,58,23,2,21,3,900,78,32,82,44,3,35,9,522,132
17,T_2657,2017-04-26 12:30:00.000000,21,50,27,13,18,5,468,78,56,99,75,15,30,11,432,288
18,T_3628,2012-01-26 05:00:00.000000,27,105,28,4,19,5,1032,90,42,59,71,4,26,2,462,258
19,T_3053,2013-01-23 23:30:00.000000,23,67,23,0,15,0,942,90,45,101,60,4,37,9,378,216
20,T_3038,2020-01-29 03:30:00.000000,18,107,24,3,50,4,816,90,35,94,50,2,20,2,300,192
21,T_2414,2013-07-23 12:30:00.000000,13,92,24,4,21,0,912,42,57,131,74,1,66,0,570,246
22,T_2801,2018-04-25 12:30:00.000000,12,62,18,4,22,4,510,42,33,122,73,4,47,5,528,246
23,T_3630,2012-04-24 06:00:00.000000,11,90,18,0,23,1,948,54,30,99,46,1,39,4,528,144
24,T_3632,2012-07-24 05:30:00.000000,11,71,20,0,14,0,924,18,32,107,83,16,33,1,486,186
25,T_2802,2018-07-25 12:30:00.000000,21,138,20,5,49,2,1110,90,46,117,58,2,30,4,678,222
26,T_2525,2016-01-27 11:30:00.000000,18,96,20,1,22,3,876,102,36,96,55,8,53,4,564,264
27,T_3050,2013-04-23 12:30:00.000000,23,81,17,5,20,0,786,42,61,100,50,7,41,0,588,174
28,T_2526,2016-04-26 12:30:00.000000,16,81,19,0,18,2,876,78,32,135,36,9,49,4,570,168
29,TAP_14829,2015-05-07 07:00:00.000000,33,55,23,6,22,0,324,60,49,58,24,4,19,4,198,228
30,TAP_14967,2019-05-01 07:00:00.000000,21,70,8,8,13,8,600,36,66,109,51,9,37,15,588,288
31,TAP_14681,2013-05-07 07:00:00.000000,22,41,15,1,16,0,258,54,56,109,45,2,21,6,510,330
32,TAP_14684,2013-11-06 09:00:00.000000,5,6,10,0,6,1,54,18,63,57,35,10,21,7,264,384
33,TAP_14838,2017-08-02 07:00:00.000000,24,59,12,2,20,4,468,54,90,151,65,6,57,5,684,390
34,TAP_14970,2020-02-12 06:00:00.000000,15,66,10,3,21,2,360,30,39,99,43,0,30,0,336,210
35,TAP_14686,2014-02-13 06:00:00.000000,35,76,35,6,35,2,420,90,49,85,30,4,24,4,384,240
36,TAP_14834,2016-08-02 00:30:00.000000,28,80,35,6,30,7,456,24,48,82,30,2,21,2,306,270
37,TAP_14679,2013-02-14 06:00:00.000000,25,55,19,3,22,4,390,36,32,26,14,2,11,0,204,174
38,TAP_14832,2016-02-15 06:00:00.000000,4,8,7,0,5,0,48,6,38,43,42,7,26,1,264,198
39,TAP_14969,2019-10-30 07:00:00.000000,32,78,14,6,43,4,324,72,74,101,39,0,29,10,516,294
40,TAP_15043,2019-02-12 06:00:00.000000,40,115,17,6,16,10,726,84,84,128,58,6,28,10,450,348
41,TAP_14968,2019-07-31 07:00:00.000000,40,108,9,5,18,7,558,132,55,92,34,5,31,4,414,234
42,TAP_14964,2018-05-02 07:00:00.000000,48,89,28,5,23,4,546,108,81,95,39,1,52,10,534,342
