,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,UA_20533,2017-01-31 03:30:00.000000,39,91,32,4,21,5,774,120,51,141,54,1,46,11,660,240
1,UA_20819,2017-04-27 04:30:00.000000,24,103,16,0,17,3,576,102,37,151,56,4,35,3,498,408
2,UAA_21262,2017-10-31 04:30:00.000000,80,152,38,2,32,8,822,228,42,111,45,2,26,6,504,384
3,UAA_21268,2019-07-30 04:30:00.000000,34,109,29,2,9,7,462,102,43,196,51,0,31,1,456,270
4,UAA_21263,2018-02-13 03:30:00.000000,63,114,39,2,33,7,798,168,41,163,46,3,29,6,516,270
5,UAA_21269,2019-11-04 03:30:00.000000,29,102,27,7,25,2,468,78,55,190,55,4,27,5,540,336
6,UAA_21264,2018-05-01 04:30:00.000000,36,88,19,0,15,2,546,120,33,131,32,0,29,2,486,234
7,UAA_21267,2019-05-02 04:30:00.000000,20,113,23,2,14,3,540,96,34,165,33,1,28,2,366,312
8,UAA_21265,2018-07-26 04:30:00.000000,40,97,19,2,13,4,492,114,58,182,51,2,26,2,666,222
9,UAL_21147,2017-01-18 05:30:00.000000,16,50,14,1,16,6,354,54,73,168,96,3,47,11,552,516
10,UAL_21045,2013-01-24 05:30:00.000000,34,125,16,4,45,15,882,78,47,71,33,11,34,2,306,180
11,UAL_21087,2013-10-24 06:30:00.000000,36,141,20,4,39,7,750,132,47,72,30,5,18,3,276,162
12,UAL_21325,2016-01-21 05:30:00.000000,28,97,45,6,48,12,558,96,33,66,42,2,44,10,306,234
13,UAL_21224,2019-01-16 05:30:00.000000,47,107,34,1,33,10,648,120,73,85,60,7,29,5,504,306
14,UAL_21150,2017-10-20 06:30:00.000000,39,58,10,3,32,3,276,120,60,120,47,5,43,8,384,312
15,UAL_21096,2016-04-21 06:30:00.000000,23,65,20,5,12,3,324,66,74,134,59,2,50,10,540,450
16,UAL_21227,2019-10-16 06:30:00.000000,44,114,25,2,42,3,648,78,24,97,49,8,25,2,462,174
17,UAL_21043,2012-04-26 07:00:00.000000,50,110,27,4,44,9,618,156,55,51,39,2,23,2,246,186
