,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,V_21970,2017-07-20 13:00:00.000000,24,71,21,3,16,3,600,54,57,84,50,15,21,3,300,252
1,V_21975,2018-10-24 13:00:00.000000,41,114,56,31,55,10,1176,84,40,55,39,8,25,4,162,102
2,V_22359,2015-07-24 13:00:00.000000,34,48,30,3,22,5,492,90,65,52,69,7,32,10,294,306
3,V_22325,2013-02-06 12:00:00.000000,19,83,20,12,16,3,642,168,43,65,29,8,36,6,210,234
4,V_22357,2015-01-29 12:00:00.000000,26,51,29,7,26,2,594,66,85,60,56,4,27,3,234,252
5,V_22323,2012-07-25 13:00:00.000000,38,63,21,25,17,3,696,114,64,38,41,47,25,4,348,234
6,V_22354,2014-04-24 13:00:00.000000,15,54,17,14,21,7,576,78,73,47,45,12,13,4,366,252
7,V_22384,2015-11-02 03:00:00.000000,87,151,81,28,138,18,1314,258,68,71,41,25,44,6,300,180
8,V_22324,2012-10-31 13:00:00.000000,41,73,29,20,28,6,930,96,38,30,28,5,24,2,450,156
9,V_22100,2019-07-23 13:00:00.000000,33,97,38,7,25,2,834,66,55,67,34,7,25,5,264,126
10,V_22385,2016-01-28 12:00:00.000000,57,73,34,6,25,7,594,96,89,78,66,7,37,6,342,234
11,V_22358,2015-04-30 13:00:00.000000,46,121,25,10,45,4,834,138,47,57,58,4,25,1,192,246
12,V_22356,2014-10-29 13:00:00.000000,39,82,34,11,30,12,888,186,61,43,36,7,19,0,312,174
13,V_22387,2016-07-21 13:00:00.000000,67,92,46,44,55,15,750,132,55,65,28,6,24,1,264,192
14,V_22099,2019-01-30 12:00:00.000000,64,78,37,10,29,2,882,72,50,28,42,1,16,6,348,132
15,V_22321,2012-02-08 12:00:00.000000,25,85,27,20,34,21,876,96,39,41,37,6,16,3,240,162
16,V_22355,2014-07-24 13:00:00.000000,30,66,24,5,26,3,732,102,80,43,51,6,25,1,384,360
17,V_21973,2018-04-25 13:00:00.000000,22,81,29,16,22,1,882,42,50,83,33,4,17,4,240,126
18,V_22101,2020-01-30 12:00:00.000000,45,78,59,2,24,6,1002,72,71,54,54,5,17,5,354,246
19,V_22389,2017-02-02 12:00:00.000000,45,104,32,8,32,9,750,72,46,59,50,10,7,2,264,132
20,V_22327,2013-07-24 13:00:00.000000,24,38,26,18,9,8,606,90,74,44,45,14,30,4,390,204
21,V_21971,2017-10-25 04:00:00.000000,45,85,62,19,60,4,1152,96,42,46,25,12,8,0,288,138
22,V_21974,2018-07-25 13:00:00.000000,37,102,29,24,22,5,846,108,50,57,29,4,13,1,300,186
23,V_22326,2013-05-01 13:00:00.000000,16,40,20,16,23,7,486,90,77,60,58,11,36,11,516,294
24,V_22386,2016-04-21 13:00:00.000000,54,62,43,7,42,6,738,72,88,76,37,7,29,0,270,270
25,V_22322,2012-05-02 13:00:00.000000,26,77,21,14,27,7,882,78,40,34,38,8,25,5,270,210
26,V_22390,2017-04-20 13:00:00.000000,26,89,29,11,21,6,642,72,59,58,54,17,26,6,300,228
27,V_22388,2016-10-24 13:00:00.000000,56,90,44,4,56,5,798,150,71,81,70,0,47,5,516,264
28,V_22353,2014-01-30 03:30:00.000000,47,49,14,23,12,6,474,144,81,48,50,18,26,6,306,228
29,VAR_21535,2016-10-26 13:00:00.000000,18,62,23,1,18,1,468,42,39,79,45,4,33,6,468,312
30,VAR_21478,2012-07-25 13:00:00.000000,22,33,26,3,8,1,276,30,83,64,76,4,44,5,378,438
31,VAR_21537,2017-04-26 13:00:00.000000,22,43,34,0,17,5,312,48,39,62,57,3,24,2,396,264
32,VAR_21536,2017-01-25 12:00:00.000000,16,57,31,2,28,6,492,30,68,65,75,6,23,3,468,372
33,VAR_21586,2018-07-25 13:00:00.000000,6,47,18,5,16,4,462,30,45,54,52,2,16,2,678,234
34,VAR_21530,2015-04-29 13:00:00.000000,34,35,22,5,15,1,336,78,51,52,30,3,12,2,252,216
35,VAR_21538,2017-07-26 13:00:00.000000,10,37,21,1,12,3,336,42,54,136,65,6,20,3,588,336
36,VAR_21590,2019-07-24 12:30:00.000000,21,54,18,6,20,6,588,12,39,83,55,5,15,4,600,252
37,VAR_21588,2019-01-23 11:30:00.000000,12,72,27,6,13,4,660,42,29,82,56,1,16,4,552,216
38,VAR_21539,2017-10-25 13:00:00.000000,20,53,19,2,20,7,648,24,25,65,22,3,19,3,432,144
39,VAR_21480,2013-01-23 12:00:00.000000,20,34,25,0,10,2,342,42,57,81,80,9,39,2,672,294
40,VAR_21528,2014-10-22 13:00:00.000000,14,44,19,5,12,3,510,42,70,72,82,6,37,2,798,330
41,VAR_21652,2013-10-23 13:00:00.000000,20,46,25,1,11,3,516,18,66,89,72,3,14,4,570,324
42,VAR_21479,2012-10-25 13:00:00.000000,18,41,23,6,18,1,420,36,25,46,47,4,20,1,282,162
43,VAR_21532,2016-01-28 12:00:00.000000,28,21,18,0,8,2,228,42,82,92,82,5,20,3,738,360
44,VAR_21399,2012-04-26 13:00:00.000000,26,60,41,6,20,1,570,42,59,85,68,8,31,14,510,420
45,VAR_21398,2012-01-25 12:00:00.000000,20,42,26,8,13,1,384,66,43,35,50,3,16,2,246,204
46,VAR_21585,2018-04-25 13:00:00.000000,9,60,21,4,18,8,606,24,37,64,36,3,17,3,492,258
47,VAR_21653,2013-07-24 13:00:00.000000,19,33,26,0,13,1,450,42,74,104,96,13,30,7,636,324
48,VAR_21529,2015-01-28 12:00:00.000000,16,35,26,1,9,2,330,18,37,84,60,1,32,1,612,270
49,VAR_21651,2014-04-23 13:00:00.000000,18,33,28,15,10,3,396,78,25,53,37,2,13,1,186,150
50,VAR_21638,2015-10-28 13:00:00.000000,25,33,33,1,16,2,378,108,53,84,68,5,20,2,348,174
51,VAR_21540,2018-01-24 12:00:00.000000,11,42,22,11,24,7,420,66,50,88,48,3,20,3,726,330
52,VAR_21658,2014-01-22 12:00:00.000000,14,37,32,1,6,2,366,24,42,70,47,8,22,4,510,288
53,VAR_21587,2018-10-23 12:30:00.000000,12,90,28,5,18,4,744,30,32,74,49,2,18,3,576,288
54,VAR_21592,2020-01-30 11:30:00.000000,4,42,12,1,11,1,462,12,31,50,18,5,8,2,402,120
