,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,WAT_22153,2020-02-04 03:00:00.000000,42,81,39,3,19,5,660,66,51,105,69,4,13,2,750,318
1,WAT_21915,2013-10-22 04:30:00.000000,29,48,26,0,15,4,438,102,97,72,89,1,33,7,456,270
2,WAT_21841,2012-10-23 04:30:00.000000,29,38,37,2,16,6,294,162,79,93,86,6,24,2,612,342
3,WAT_21920,2015-07-28 04:30:00.000000,15,49,28,3,18,4,426,72,79,137,92,6,36,4,624,354
4,WAT_22176,2014-01-28 03:30:00.000000,21,76,28,0,25,4,576,96,53,81,75,4,23,1,498,246
5,WAT_21840,2012-04-24 04:30:00.000000,31,37,23,7,6,0,306,60,75,47,75,3,16,1,270,288
6,WAT_21923,2016-07-26 04:00:00.000000,21,61,25,1,12,4,462,60,60,130,70,0,16,9,540,300
7,WAT_22045,2018-01-23 03:00:00.000000,23,98,36,6,24,4,726,84,51,141,69,4,31,1,618,336
8,WAT_21922,2016-04-26 04:30:00.000000,28,62,20,2,15,3,528,72,54,159,69,6,12,4,750,288
9,WAT_22173,2016-10-25 04:00:00.000000,25,50,28,3,15,5,486,120,85,131,82,4,13,5,642,390
10,WAT_21842,2013-01-22 03:30:00.000000,43,92,47,6,20,3,588,144,68,88,88,4,22,5,396,312
11,WAT_22049,2019-04-23 04:00:00.000000,51,76,37,2,20,4,594,102,80,119,43,6,22,4,558,324
12,WAT_22047,2018-10-23 04:00:00.000000,28,90,40,2,23,4,684,72,37,88,43,1,19,2,462,210
13,WAT_21917,2014-10-21 04:30:00.000000,23,74,35,3,14,2,498,120,54,94,71,6,32,3,456,246
14,WAT_22043,2017-07-25 04:00:00.000000,27,72,37,3,19,5,630,48,50,117,52,4,14,1,498,312
15,WAT_22155,2019-07-30 04:00:00.000000,35,97,34,1,18,4,696,114,51,104,71,2,12,0,420,234
16,WAT_22046,2018-04-24 04:00:00.000000,32,74,36,0,21,4,636,78,59,119,80,5,22,1,480,426
17,WAT_22044,2017-10-24 04:00:00.000000,19,82,33,4,19,5,594,36,61,144,61,7,28,4,684,342
18,WAT_22042,2017-04-26 04:00:00.000000,30,86,47,6,23,4,678,132,69,145,55,8,20,3,426,324
19,WAT_22175,2014-04-29 04:30:00.000000,46,75,37,1,19,3,486,102,69,72,66,5,21,3,672,168
20,WAT_21843,2013-04-23 04:30:00.000000,24,54,26,0,13,2,414,72,66,118,99,3,18,4,558,264
21,WAT_21839,2012-01-24 03:30:00.000000,21,61,27,5,14,3,516,60,52,58,96,4,20,3,468,252
22,WAT_21918,2015-01-27 03:30:00.000000,29,73,26,1,27,7,498,60,58,107,76,0,41,2,564,216
