,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,XEC_5576,2015-11-04 06:00:00.000000,24,44,12,0,34,1,138,72,44,74,48,0,47,2,150,222
1,XEC_5459,2015-05-05 07:00:00.000000,27,48,19,0,19,5,198,72,40,81,50,1,38,2,132,396
2,XEC_5375,2013-02-19 08:00:00.000000,18,83,24,1,39,4,522,90,45,50,57,4,19,4,234,252
3,XEC_5577,2015-08-05 07:00:00.000000,28,61,22,1,32,6,168,48,59,93,73,0,33,11,216,366
4,XEC_5568,2017-11-08 06:00:00.000000,17,65,11,0,23,3,330,18,75,95,72,5,35,7,192,396
5,XEC_5508,2018-08-08 07:00:00.000000,19,43,16,1,27,7,252,24,39,83,45,5,44,5,330,300
6,XEC_5507,2018-05-09 07:00:00.000000,15,28,16,2,12,7,210,24,80,97,80,9,27,21,234,324
7,XEC_5372,2012-05-03 09:00:00.000000,9,33,24,0,4,4,204,96,34,22,40,1,5,1,90,96
8,XEC_5458,2015-02-18 06:00:00.000000,29,55,19,3,31,5,198,102,55,93,66,3,40,11,180,378
9,XEC_5512,2019-08-06 07:00:00.000000,10,25,11,1,5,4,138,36,64,96,69,4,41,4,282,378
10,XEC_5574,2016-05-05 07:00:00.000000,32,52,24,4,37,7,132,108,43,124,60,3,29,4,138,324
11,XEC_5573,2016-08-04 07:00:00.000000,12,51,14,1,17,3,144,54,73,134,56,0,60,6,246,426
12,XEC_5382,2014-11-05 06:00:00.000000,25,61,22,2,15,1,198,24,45,45,53,2,50,9,150,294
13,XEC_5374,2012-11-02 09:00:00.000000,22,55,21,1,10,4,210,54,27,20,28,1,14,5,66,66
14,XEC_5569,2017-08-09 07:00:00.000000,17,55,16,0,21,7,174,6,38,80,47,1,24,12,156,282
15,XEC_5376,2013-05-07 09:00:00.000000,4,48,17,1,13,1,144,102,39,39,58,3,34,3,138,300
16,XEC_5377,2013-08-07 09:00:00.000000,8,45,20,2,7,3,204,36,40,59,41,1,25,3,138,252
17,XEC_5570,2017-05-10 07:00:00.000000,27,55,20,2,20,8,186,24,47,81,45,5,30,4,102,336
18,XEC_5510,2019-02-21 06:00:00.000000,10,35,17,0,27,5,336,66,66,115,63,2,38,10,252,450
19,XEC_5380,2014-05-07 09:00:00.000000,11,57,23,2,13,6,306,42,35,47,41,2,21,2,126,252
20,XEC_5506,2018-02-16 06:00:00.000000,20,62,21,1,27,5,318,18,84,129,66,0,42,2,318,360
21,XEC_5571,2017-02-16 06:00:00.000000,17,35,18,2,33,6,174,6,61,95,68,3,51,3,330,318
22,XEC_5379,2014-02-19 08:00:00.000000,21,50,24,0,11,5,180,54,39,51,62,1,41,7,90,336
23,XEC_5371,2012-02-15 08:00:00.000000,24,57,27,0,23,2,402,144,46,60,43,3,33,17,162,210
24,XEC_5511,2019-05-09 07:00:00.000000,22,26,12,1,15,4,174,30,66,88,53,8,22,7,174,360
25,XEC_5572,2016-11-03 07:00:00.000000,33,27,30,2,21,5,138,66,52,121,72,6,53,14,324,378
26,XEC_5381,2014-08-06 09:00:00.000000,10,56,18,2,14,3,270,12,56,72,59,3,54,11,150,348
27,XEC_5513,2019-11-05 06:00:00.000000,19,27,12,2,10,2,258,66,62,81,65,1,26,5,174,330
28,XEC_5373,2012-08-02 09:00:00.000000,32,38,30,1,19,1,204,114,32,42,39,0,12,1,18,108
29,XEL_22869,2019-04-25 06:00:00.000000,6,42,15,17,4,2,270,30,19,24,22,8,3,0,78,66
