,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26
0,YUM_22816,2018-10-31 04:15:00.000000,22,118,25,1,21,8,672,42,39,93,20,0,15,8,348,138
1,YUM_22684,2013-02-05 04:15:00.000000,67,140,39,4,93,1,906,114,105,84,78,9,47,9,444,294
2,YUM_22956,2016-02-04 04:15:00.000000,26,124,22,2,38,4,672,42,84,153,68,2,48,3,618,264
3,YUM_22810,2017-05-03 04:15:00.000000,18,111,26,0,34,10,540,54,44,131,40,0,27,4,546,258
4,YUM_22687,2013-10-09 05:15:00.000000,71,149,32,0,61,10,1080,126,76,94,88,5,36,7,492,306
5,YUM_22812,2017-11-02 04:15:00.000000,10,99,20,1,21,12,630,42,36,105,28,3,28,10,336,210
6,YUM_22682,2012-07-19 05:15:00.000000,27,148,27,3,40,6,1104,78,64,94,97,1,30,1,594,306
7,YUM_22811,2017-08-03 04:15:00.000000,11,96,35,0,27,9,714,24,43,82,29,0,28,4,336,204
8,YUM_22982,2015-02-05 04:15:00.000000,46,153,40,2,37,13,780,114,72,110,58,3,30,2,414,300
9,YUM_22957,2015-10-07 05:15:00.000000,53,83,37,2,38,2,522,90,147,131,112,9,46,2,606,390
10,YUM_22814,2018-05-02 04:15:00.000000,16,117,24,0,20,15,582,12,50,89,29,3,35,3,330,216
11,YUM_23132,2016-04-21 05:15:00.000000,19,102,23,3,23,4,648,18,90,177,68,1,38,2,492,390
12,YUM_22985,2014-04-23 05:15:00.000000,52,178,24,0,44,4,1278,90,70,166,34,2,28,0,744,330
13,YUM_22680,2012-02-07 04:15:00.000000,20,110,12,1,42,3,684,66,60,156,61,0,48,7,462,330
14,YUM_22953,2016-10-06 05:15:00.000000,29,97,27,5,33,9,510,6,93,121,44,3,31,0,546,270
15,YUM_22686,2013-07-11 05:15:00.000000,49,109,38,1,48,12,732,108,52,71,73,0,23,5,300,204
16,YUM_22685,2013-04-24 05:15:00.000000,46,94,37,0,42,2,612,78,76,97,71,5,47,6,594,330
17,YUM_22954,2016-07-14 05:15:00.000000,29,115,30,2,32,6,690,42,62,109,43,2,42,3,396,252
18,YUM_22683,2012-10-10 05:15:00.000000,21,145,22,0,40,5,984,54,93,143,71,3,44,4,630,390
19,YUM_22819,2019-10-30 04:15:00.000000,28,129,20,1,47,6,792,54,45,74,29,0,16,1,390,162
20,YUM_22952,2017-02-09 03:15:00.000000,27,101,30,1,33,6,690,36,47,95,55,1,34,11,522,228
21,YUM_22980,2015-07-15 05:15:00.000000,27,117,29,1,22,4,696,78,103,162,59,0,39,5,702,228
22,YUM_22815,2018-08-02 04:15:00.000000,34,122,24,2,24,17,852,78,43,103,30,1,12,1,282,156
23,YUM_22951,2019-05-01 04:15:00.000000,17,120,17,0,21,6,762,42,35,96,26,0,21,2,324,102
24,YUM_22983,2014-10-08 05:15:00.000000,72,138,37,6,58,7,858,84,73,92,48,2,49,3,354,234
25,YUM_22681,2012-04-19 05:15:00.000000,14,118,23,2,34,3,672,42,57,147,86,7,39,5,678,402
26,YUM_22817,2019-02-07 03:00:00.000000,20,149,27,0,26,10,912,42,25,53,22,0,14,0,180,162
