,Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining
0,ZBH_23252,2015-07-31 04:00:00.000000,19,67,26,1,17,2,72,172,40,6,35,3
1,ZBH_23155,2018-01-30 03:00:00.000000,28,78,20,8,25,10,67,112,98,10,40,7
2,ZBH_23254,2016-01-28 03:00:00.000000,17,70,42,2,15,1,52,111,36,7,13,1
3,ZBH_23158,2016-04-28 04:00:00.000000,16,58,23,0,13,1,51,124,41,4,14,1
4,ZBH_23266,2018-10-26 04:30:00.000000,22,57,23,6,31,3,105,164,69,14,74,5
5,ZBH_23162,2017-04-27 04:00:00.000000,25,69,14,7,8,2,49,79,29,17,11,1
6,ZBH_23267,2019-02-01 03:30:00.000000,20,59,14,12,33,6,116,165,70,12,47,3
7,ZBH_23157,2018-07-27 04:30:00.000000,12,56,19,8,14,4,104,147,60,5,43,15
8,ZBH_0,2020-02-04 03:30:00.000000,8,78,16,3,16,2,116,180,69,3,47,5
9,ZBH_23160,2016-10-31 04:00:00.000000,20,66,23,1,10,5,57,88,34,4,14,3
10,ZBH_23159,2016-07-28 04:00:00.000000,17,70,23,0,22,4,46,74,27,2,13,2
11,ZBH_23161,2017-01-31 03:00:00.000000,16,87,52,4,17,5,60,89,55,9,21,3
12,ZBH_23268,2019-04-26 04:30:00.000000,12,50,12,11,22,4,91,178,68,4,50,12
13,ZBH_23253,2015-10-29 04:00:00.000000,27,46,22,1,14,1,52,105,39,5,24,2
14,ZBH_23156,2018-04-26 04:30:00.000000,22,67,30,14,27,7,100,106,62,12,44,9
15,ZBH_23164,2017-11-01 04:00:00.000000,49,64,29,6,17,5,81,108,55,7,33,5
16,ZBH_23269,2019-07-26 04:30:00.000000,16,100,17,5,24,3,82,167,49,4,43,4
17,ZION_23245,2014-10-20 13:30:00.000000,61,39,39,7,19,19,50,35,40,1,14,7
18,ZION_23238,2013-01-28 12:30:00.000000,91,60,82,6,13,18,61,39,69,11,34,6
19,ZION_23146,2018-10-23 13:30:00.000000,31,59,29,3,13,5,64,63,61,2,28,3
20,ZION_23244,2014-07-22 13:30:00.000000,46,52,39,8,23,22,72,48,76,4,35,22
