,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,A_127,2012-11-19 11:30:00.000000,123,106,109,1,46,11
1,A_124,2012-02-15 11:30:00.000000,107,151,93,7,57,10
2,A_758,2014-11-18 12:30:00.000000,88,126,67,7,84,5
3,A_224,2013-08-14 12:30:00.000000,110,187,110,3,85,14
4,A_761,2014-02-13 11:30:00.000000,102,102,91,0,56,7
5,A_562,2018-11-19 11:30:00.000000,100,216,107,7,55,9
6,A_566,2019-11-26 11:30:00.000000,81,174,122,5,35,11
7,A_561,2018-08-15 12:30:00.000000,90,197,104,4,59,10
8,A_393,2016-05-16 12:30:00.000000,84,221,119,5,59,5
9,A_756,2015-05-19 12:30:00.000000,112,171,72,6,49,8
10,A_126,2012-08-15 12:30:00.000000,140,107,116,4,37,12
11,A_397,2017-05-22 12:30:00.000000,82,166,90,1,46,9
12,A_564,2019-05-14 12:30:00.000000,110,126,119,6,36,7
13,A_128,2013-02-14 11:30:00.000000,167,131,137,8,60,9
14,A_398,2017-08-16 12:30:00.000000,78,169,80,2,59,20
15,A_563,2019-02-20 11:30:00.000000,91,207,108,3,37,10
16,A_755,2015-08-17 12:30:00.000000,131,170,96,2,67,4
17,A_760,2014-05-14 12:30:00.000000,65,106,67,6,62,7
18,A_560,2018-05-14 12:30:00.000000,96,147,104,7,44,2
19,A_400,2018-02-14 11:30:00.000000,89,204,88,4,31,7
20,A_392,2016-02-16 11:30:00.000000,96,164,67,4,50,7
21,A_565,2019-08-14 12:30:00.000000,75,163,87,8,44,4
22,A_759,2014-08-14 12:30:00.000000,78,134,73,1,49,10
23,A_395,2016-11-15 11:30:00.000000,64,156,124,5,56,6
24,A_399,2017-11-20 11:30:00.000000,93,191,78,1,68,7
25,A_757,2015-02-17 11:30:00.000000,97,163,70,6,58,7
26,A_129,2013-05-14 12:30:00.000000,188,137,106,9,83,17
27,A_394,2016-08-17 12:30:00.000000,112,152,118,2,58,5
28,A_391,2015-11-17 11:30:00.000000,94,139,97,1,66,19
29,AAL_1452,2018-10-25 04:30:00.000000,113,292,79,16,91,13
30,AAL_1450,2018-04-26 04:30:00.000000,69,180,80,3,53,14
31,AAL_1303,2015-10-23 04:30:00.000000,110,176,93,8,51,9
32,AAL_1301,2015-04-24 04:30:00.000000,121,139,114,5,71,9
33,AAL_1310,2017-07-28 04:30:00.000000,93,223,88,12,67,15
34,AAL_1309,2017-04-27 04:30:00.000000,122,259,138,18,80,22
35,AAL_1299,2014-07-24 09:30:00.000000,93,153,109,14,69,15
36,AAL_1453,2019-01-24 03:30:00.000000,134,218,104,8,85,12
37,AAL_1307,2016-10-20 04:30:00.000000,129,247,93,4,93,13
38,AAL_1311,2017-10-26 06:00:00.000000,144,234,107,7,66,9
39,AAL_1308,2017-01-27 03:30:00.000000,112,205,105,16,113,11
40,AAL_1306,2016-07-22 04:30:00.000000,151,134,123,10,112,22
41,AAL_1449,2018-01-25 03:30:00.000000,73,210,81,5,65,7
42,AAL_1300,2015-01-27 03:30:00.000000,119,186,112,16,104,7
43,AAL_1451,2018-07-26 04:30:00.000000,126,215,90,5,72,17
44,AAL_1456,2019-10-24 04:30:00.000000,137,233,124,17,129,22
45,AAL_1457,2020-01-23 03:30:00.000000,143,235,107,29,102,16
46,AAL_1454,2019-04-26 04:30:00.000000,137,179,140,15,75,10
47,AAL_1455,2019-07-25 04:30:00.000000,151,249,102,25,92,13
48,AAP_807,2013-08-08 06:00:00.000000,68,201,62,4,38,11
49,AAP_611,2016-05-19 04:30:00.000000,146,243,80,5,76,19
50,AAP_619,2018-05-22 04:00:00.000000,125,341,75,2,53,8
51,AAP_707,2020-02-18 03:00:00.000000,71,240,52,6,31,15
52,AAP_615,2017-05-24 04:00:00.000000,111,258,68,5,46,12
53,AAP_617,2017-11-14 03:00:00.000000,146,276,81,2,54,3
54,AAP_710,2019-05-22 04:00:00.000000,76,220,63,2,43,15
55,AAP_621,2018-11-13 03:00:00.000000,112,311,55,3,49,7
56,AAP_804,2012-11-08 05:00:00.000000,95,153,89,4,61,12
57,AAP_614,2017-02-21 03:00:00.000000,113,298,45,4,52,8
58,AAP_610,2016-02-11 03:30:00.000000,112,214,66,2,88,11
