,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,BA_3323,2017-01-25 05:30:00.000000,85,272,80,10,61,21
1,BA_3710,2015-07-22 06:30:00.000000,71,240,53,12,38,20
2,BA_3711,2015-04-22 06:30:00.000000,86,129,66,3,26,15
3,BA_3435,2017-10-25 06:30:00.000000,76,244,61,13,43,14
4,BA_3193,2014-01-29 05:30:00.000000,72,232,87,16,65,14
5,BA_3707,2016-04-27 06:30:00.000000,91,222,48,9,35,17
6,BA_3706,2016-07-27 06:30:00.000000,80,184,47,9,38,21
7,BA_3548,2019-01-30 05:30:00.000000,66,246,70,11,71,19
8,BA_3436,2018-01-31 05:30:00.000000,71,243,66,27,59,24
9,BA_3140,2012-10-24 06:30:00.000000,58,174,78,6,43,17
10,BA_3546,2018-07-25 06:30:00.000000,65,233,67,22,34,28
11,BA_3552,2020-01-29 05:30:00.000000,124,112,81,21,115,26
12,BA_3708,2016-01-27 08:00:00.000000,64,194,79,4,52,22
13,BA_3709,2015-10-21 06:30:00.000000,89,183,67,7,33,21
14,BA_3138,2012-04-25 06:30:00.000000,88,146,85,7,36,12
15,BA_3549,2019-04-24 06:30:00.000000,80,169,42,26,85,27
16,BA_3142,2013-04-24 06:30:00.000000,95,237,75,15,57,25
17,BA_3197,2015-01-28 05:30:00.000000,70,222,63,12,31,12
18,BA_3547,2018-10-24 06:30:00.000000,72,259,49,25,52,15
19,BA_3434,2017-07-26 06:30:00.000000,66,234,84,7,44,18
20,BA_3437,2018-04-25 06:30:00.000000,58,231,61,15,34,18
21,BA_3141,2013-01-30 05:30:00.000000,107,178,87,14,42,17
22,BA_3550,2019-07-24 06:30:00.000000,93,188,98,32,93,51
23,BA_3551,2019-10-23 06:30:00.000000,110,179,96,44,105,37
24,BA_3139,2012-07-25 06:30:00.000000,81,153,94,5,45,13
25,BA_3195,2014-07-23 06:30:00.000000,83,183,82,13,29,13
26,BA_3137,2012-01-25 05:30:00.000000,82,151,82,16,60,32
27,BA_3322,2016-10-26 06:30:00.000000,78,236,60,9,40,10
28,BA_3196,2014-10-22 06:30:00.000000,53,209,81,5,33,12
29,BAC_2884,2019-07-17 04:30:00.000000,138,239,117,5,37,16
30,BAC_2885,2019-10-16 04:30:00.000000,111,242,105,10,33,21
31,BAC_2559,2017-01-13 03:30:00.000000,130,246,114,15,69,12
32,BAC_2557,2016-07-19 04:30:00.000000,148,224,121,22,41,6
33,BAC_2558,2016-10-18 04:30:00.000000,198,302,144,21,65,13
34,BAC_2881,2018-10-15 04:30:00.000000,98,218,71,11,31,10
35,BAC_2723,2017-07-18 04:30:00.000000,126,220,84,17,32,15
36,BAC_2434,2013-01-17 03:30:00.000000,149,125,131,55,39,12
37,BAC_2436,2013-07-17 04:30:00.000000,112,192,109,21,54,9
38,BAC_2382,2014-04-16 04:30:00.000000,161,165,107,72,41,7
39,BAC_2556,2016-04-14 04:30:00.000000,180,242,119,33,45,7
40,BAC_2381,2014-01-15 03:30:00.000000,144,247,121,45,50,20
41,BAC_2383,2014-07-16 04:30:00.000000,169,230,128,67,40,6
42,BAC_2726,2018-04-16 04:30:00.000000,133,209,86,8,34,3
43,BAC_2431,2012-04-19 04:30:00.000000,169,201,119,33,38,4
44,BAC_2725,2018-01-17 03:30:00.000000,139,260,115,18,107,5
45,BAC_2384,2014-10-15 04:30:00.000000,138,186,155,60,30,8
46,BAC_2724,2017-10-13 04:30:00.000000,106,228,102,23,44,15
47,BAC_2432,2012-07-18 04:30:00.000000,194,126,155,87,63,6
48,BAC_2435,2013-04-17 04:30:00.000000,145,146,109,86,48,8
49,BAC_2552,2015-04-15 04:30:00.000000,155,176,108,65,52,18
50,BAC_2882,2019-01-16 03:00:00.000000,145,194,101,6,50,13
51,BAC_2380,2013-10-16 04:30:00.000000,129,165,92,50,47,8
52,BAC_2433,2012-10-17 04:30:00.000000,184,164,134,75,51,13
53,BAC_2555,2016-01-19 03:30:00.000000,149,232,106,19,48,9
54,BAC_2886,2020-01-15 03:30:00.000000,96,259,96,5,44,16
55,BAC_2554,2015-10-15 04:30:00.000000,138,194,93,23,38,6
56,BAC_2727,2018-07-16 04:30:00.000000,111,236,92,10,48,13
57,BAC_2385,2015-01-15 03:30:00.000000,162,180,122,32,34,19
58,BAX_3663,2017-07-26 04:30:00.000000,59,194,113,7,63,5
59,BAX_3599,2019-07-25 04:30:00.000000,64,184,85,6,50,9
60,BAX_3255,2013-04-18 04:30:00.000000,69,132,100,5,28,7
61,BAX_3253,2012-10-18 04:30:00.000000,64,169,92,10,33,17
62,BAX_3597,2019-01-31 03:30:00.000000,76,177,93,12,71,6
63,BAX_3664,2017-04-26 04:30:00.000000,55,182,78,4,48,5
64,BAX_3668,2016-04-26 04:30:00.000000,89,233,87,15,46,6
65,BAX_3669,2016-02-02 03:30:00.000000,70,198,110,5,47,4
66,BAX_3375,2014-04-17 04:30:00.000000,65,146,99,6,41,7
67,BAX_3666,2016-10-25 04:30:00.000000,70,186,100,3,60,4
68,BAX_3251,2012-04-19 04:30:00.000000,95,135,115,10,45,13
69,BAX_3377,2014-10-16 04:30:00.000000,91,205,124,9,110,13
70,BAX_3374,2014-01-23 03:30:00.000000,59,156,120,7,35,11
71,BAX_3662,2017-10-25 04:30:00.000000,87,182,85,17,51,6
72,BAX_3380,2015-07-29 13:00:00.000000,92,202,111,8,49,19
73,BAX_3593,2018-02-01 03:30:00.000000,60,151,89,11,59,6
74,BAX_3595,2018-07-26 04:30:00.000000,82,155,86,22,40,5
