,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,C_5478,2018-04-13 07:30:00.000000,98,178,93,8,30,8
1,C_5479,2018-07-13 07:30:00.000000,88,228,105,5,25,11
2,C_5410,2016-07-15 07:30:00.000000,137,224,105,24,32,6
3,C_5476,2017-10-12 06:00:00.000000,139,164,112,17,37,4
4,C_5314,2014-07-14 06:00:00.000000,209,233,208,78,71,12
5,C_5251,2013-04-15 07:00:00.000000,208,140,117,53,62,14
6,C_5252,2013-07-15 06:30:00.000000,240,135,151,45,24,7
7,C_5534,2019-01-14 05:00:00.000000,200,265,172,5,30,24
8,C_5408,2016-01-15 06:30:00.000000,181,260,168,27,55,8
9,C_5537,2019-10-15 06:00:00.000000,110,203,123,3,40,13
10,C_5406,2015-07-21 07:00:00.000000,72,68,88,19,24,21
11,C_5411,2016-10-14 07:30:00.000000,136,198,102,14,35,13
12,C_5250,2013-01-17 06:00:00.000000,198,171,130,43,30,11
13,C_5246,2012-01-17 05:30:00.000000,210,142,159,48,46,5
14,C_5407,2015-10-15 07:00:00.000000,146,212,150,27,73,10
15,C_5315,2014-10-15 07:30:00.000000,165,181,101,43,34,14
16,C_5474,2017-04-13 07:30:00.000000,97,143,102,22,27,15
17,C_5313,2014-04-14 07:00:00.000000,226,205,155,49,56,28
18,C_5536,2019-07-15 06:00:00.000000,177,248,139,12,49,8
19,C_5405,2015-07-16 07:00:00.000000,152,211,165,34,44,14
20,C_5316,2015-01-15 06:00:00.000000,185,168,152,48,38,12
21,C_5317,2015-04-16 07:00:00.000000,150,196,154,44,38,17
22,C_5477,2018-01-16 05:00:00.000000,142,259,131,14,44,5
23,C_5312,2014-01-16 06:00:00.000000,277,302,227,64,59,26
24,C_5223,2013-10-15 07:00:00.000000,268,224,181,39,70,12
25,C_5533,2018-10-12 07:30:00.000000,106,168,72,6,32,5
26,C_5535,2019-04-15 06:00:00.000000,115,209,79,11,33,12
27,C_5409,2016-04-15 07:00:00.000000,152,177,167,35,45,9
28,C_5475,2017-07-14 07:30:00.000000,97,171,92,14,34,9
29,C_5247,2012-04-16 07:00:00.000000,159,174,146,39,36,10
30,CA_4293,2013-05-07 12:30:00.000000,110,187,105,17,83,10
31,CA_4464,2017-05-11 13:00:00.000000,71,131,74,10,51,8
32,CA_4298,2014-10-22 13:00:00.000000,47,134,41,5,32,6
33,CA_4418,2016-01-26 12:00:00.000000,58,147,57,16,50,4
34,CA_4165,2012-01-24 12:00:00.000000,85,101,94,6,42,13
35,CA_4419,2016-05-12 13:00:00.000000,64,154,61,7,34,6
36,CA_4463,2017-08-02 13:00:00.000000,24,75,32,3,17,4
37,CA_4296,2014-01-21 12:00:00.000000,84,133,71,11,59,3
38,CA_4460,2018-05-08 13:00:00.000000,47,119,48,10,31,5
39,CA_4294,2013-07-24 13:00:00.000000,62,81,50,8,39,3
40,CA_4461,2018-01-30 12:00:00.000000,50,199,71,10,51,5
41,CA_4421,2016-10-27 13:00:00.000000,79,154,53,21,28,9
42,CA_4167,2012-07-26 13:00:00.000000,79,69,57,8,35,8
43,CA_4462,2017-10-25 13:00:00.000000,63,102,42,11,31,6
44,CA_4168,2012-10-25 13:00:00.000000,82,67,70,9,30,6
45,CA_4465,2015-07-24 13:00:00.000000,69,147,47,12,40,8
46,CA_4422,2017-01-24 12:00:00.000000,112,144,74,11,41,5
47,CA_4169,2013-01-22 12:00:00.000000,69,101,52,11,30,4
48,CA_4417,2015-10-22 13:00:00.000000,63,177,57,19,38,4
49,CA_4297,2014-07-23 13:00:00.000000,47,120,38,7,30,2
50,CA_4420,2016-07-28 13:00:00.000000,78,189,61,16,39,4
51,CA_4166,2012-05-10 13:00:00.000000,43,83,48,6,30,7
52,CAG_6172,2014-09-18 05:30:00.000000,72,207,51,6,71,4
53,CAG_6284,2016-06-30 05:30:00.000000,85,229,97,4,61,6
54,CAG_6288,2017-06-29 05:30:00.000000,134,280,89,3,99,14
55,CAG_6548,2012-03-22 05:30:00.000000,71,168,76,2,35,10
56,CAG_6371,2019-09-26 05:30:00.000000,96,226,56,4,49,6
57,CAG_6289,2017-09-28 05:30:00.000000,108,263,78,4,60,9
58,CAG_6282,2015-12-22 04:30:00.000000,124,248,80,5,103,8
59,CAG_6170,2014-03-20 05:30:00.000000,102,176,80,8,85,12
60,CAG_6369,2019-03-21 05:30:00.000000,85,246,71,0,69,7
61,CAG_6279,2015-03-26 05:30:00.000000,105,254,67,5,68,30
62,CAG_6368,2018-12-20 04:30:00.000000,197,253,100,3,84,8
63,CAG_6550,2012-06-21 05:30:00.000000,80,185,77,7,45,8
64,CAG_6365,2018-03-22 05:30:00.000000,88,240,87,5,48,9
65,CAG_6278,2014-12-18 04:30:00.000000,122,252,61,5,77,21
66,CAG_6165,2012-12-20 04:30:00.000000,69,243,78,1,47,12
67,CAG_6168,2013-09-19 05:30:00.000000,113,183,73,4,87,14
68,CAG_6370,2019-06-27 05:30:00.000000,156,245,83,4,87,10
69,CAG_6166,2013-04-03 05:30:00.000000,80,198,84,7,70,10
70,CAG_6283,2016-04-07 05:30:00.000000,99,248,80,5,75,4
71,CAG_6285,2016-09-29 05:30:00.000000,101,195,70,2,69,16
72,CAG_6366,2018-06-28 05:30:00.000000,72,211,93,6,74,10
73,CAG_6280,2015-06-30 05:30:00.000000,130,248,101,8,132,23
74,CAG_6167,2013-06-27 05:30:00.000000,72,216,78,10,49,7
75,CAG_6364,2017-12-21 04:30:00.000000,74,244,68,3,76,5
76,CAG_6169,2013-12-19 04:30:00.000000,89,174,86,13,61,10
77,CAG_6171,2014-06-26 05:30:00.000000,136,255,71,7,105,24
78,CAG_6164,2012-09-20 05:30:00.000000,75,227,69,2,42,9
