,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,F_9127,2015-10-27 05:00:00.000000,80,236,51,5,61,9
1,F_9471,2020-02-05 12:00:00.000000,130,216,59,9,75,21
2,F_9138,2016-10-27 05:00:00.000000,127,205,99,5,67,14
3,F_9117,2017-01-26 04:00:00.000000,122,262,120,12,66,4
4,F_9174,2012-07-25 05:00:00.000000,159,214,81,0,100,7
5,F_9137,2016-07-28 07:00:00.000000,50,34,28,13,27,1
6,F_9159,2014-01-28 04:00:00.000000,193,230,108,5,53,15
7,F_9200,2012-01-27 04:00:00.000000,150,210,82,2,41,5
8,F_9590,2019-04-25 13:30:00.000000,128,308,85,8,68,10
9,F_9251,2017-04-27 05:00:00.000000,152,259,108,14,70,7
10,F_9589,2019-07-24 13:30:00.000000,98,237,47,8,50,6
11,F_9366,2018-10-24 13:30:00.000000,108,223,58,0,44,14
12,F_9144,2015-04-28 05:00:00.000000,127,250,73,5,93,10
13,F_9252,2017-07-26 05:00:00.000000,148,280,104,2,59,6
14,F_9255,2018-04-25 13:30:00.000000,103,200,72,4,66,12
15,F_9173,2012-04-27 05:00:00.000000,124,217,94,10,67,16
16,F_9141,2014-07-24 04:30:00.000000,157,251,75,3,72,7
17,F_9142,2014-10-24 07:00:00.000000,192,165,85,7,48,10
18,F_9177,2013-04-24 05:00:00.000000,166,248,122,7,53,11
19,F_9135,2016-01-28 04:00:00.000000,96,258,99,8,72,11
20,F_9136,2016-04-29 05:00:00.000000,111,265,100,11,101,4
21,F_9157,2013-07-24 05:00:00.000000,126,275,87,2,47,16
22,F_9158,2013-10-24 05:00:00.000000,99,281,93,2,33,10
23,F_9365,2018-07-25 13:30:00.000000,168,196,59,7,58,15
24,F_9145,2015-07-28 05:00:00.000000,112,276,81,2,66,6
25,F_9143,2015-01-29 04:00:00.000000,177,263,89,6,67,13
26,F_9588,2019-10-23 13:00:00.000000,116,204,46,5,51,22
27,F_9176,2013-01-29 04:00:00.000000,152,194,84,2,88,12
28,F_9175,2012-11-01 07:00:00.000000,156,244,100,0,92,12
29,FAST_9070,2018-01-17 05:00:00.000000,77,105,65,5,26,3
30,FAST_9541,2014-04-11 06:00:00.000000,70,177,71,3,74,5
31,FAST_9539,2013-10-09 06:00:00.000000,68,142,75,3,36,3
32,FAST_9012,2015-07-14 06:00:00.000000,63,81,61,5,23,4
33,FAST_9538,2013-07-10 06:00:00.000000,66,130,98,7,43,5
34,FAST_9019,2017-04-12 06:00:00.000000,63,134,75,4,25,5
35,FAST_9074,2019-01-17 05:00:00.000000,90,165,57,10,38,5
36,FAST_9542,2014-07-11 06:00:00.000000,69,133,50,4,77,4
37,FAST_9072,2018-07-11 06:00:00.000000,67,166,79,2,33,3
38,FAST_9078,2020-01-17 05:00:00.000000,118,133,85,9,46,9
39,FAST_9013,2015-10-13 05:00:00.000000,97,131,73,1,44,7
40,FAST_9010,2015-01-15 05:00:00.000000,54,109,46,5,66,6
41,FAST_9532,2012-01-18 05:00:00.000000,64,153,85,8,52,7
42,FAST_9535,2012-10-11 06:00:00.000000,62,122,72,4,42,4
43,FAST_9016,2016-07-12 06:00:00.000000,74,83,94,6,27,4
44,FAST_9015,2016-04-12 06:00:00.000000,77,113,66,4,31,2
45,FAST_9014,2016-01-15 05:00:00.000000,65,96,75,8,40,4
46,FAST_9076,2019-07-11 06:00:00.000000,114,98,90,7,50,6
47,FAST_9073,2018-10-10 06:00:00.000000,71,113,82,3,52,14
48,FAST_9540,2014-01-15 05:00:00.000000,88,93,74,8,32,5
49,FAST_9069,2017-10-11 06:00:00.000000,69,95,72,2,28,3
50,FAST_9018,2017-01-18 05:00:00.000000,73,112,91,4,31,3
51,FAST_9075,2019-04-11 06:00:00.000000,125,154,110,6,31,7
52,FAST_9533,2012-04-12 06:00:00.000000,54,106,74,12,33,5
53,FAST_9011,2015-04-14 06:00:00.000000,81,80,59,5,32,5
54,FAST_9071,2018-04-11 06:00:00.000000,74,90,61,5,22,3
55,FAST_9536,2013-01-17 05:00:00.000000,60,142,73,4,47,3
56,FAST_9543,2014-10-10 06:00:00.000000,54,112,74,4,42,4
57,FAST_9017,2016-10-11 06:00:00.000000,87,98,86,6,41,5
58,FB_9083,2019-01-30 12:00:00.000000,76,226,83,8,51,5
59,FB_9082,2018-10-30 13:00:00.000000,74,196,73,1,72,13
60,FB_9086,2019-10-30 13:00:00.000000,97,166,88,18,42,14
61,FB_9021,2015-11-04 12:00:00.000000,67,188,79,4,34,11
62,FB_9087,2020-01-29 12:00:00.000000,77,151,58,17,36,12
63,FB_9572,2015-04-22 13:00:00.000000,62,205,66,4,33,3
64,FB_9079,2018-01-31 12:00:00.000000,76,178,78,1,52,13
65,FB_9574,2014-10-28 13:00:00.000000,67,172,74,2,49,3
66,FB_9586,2013-10-30 13:00:00.000000,76,205,77,3,51,7
67,FB_9024,2016-07-27 13:00:00.000000,62,173,71,2,43,4
68,FB_9429,2013-01-30 12:00:00.000000,57,210,60,2,39,10
69,FB_9431,2013-07-24 01:00:00.000000,73,202,88,2,34,9
70,FB_9585,2014-01-29 12:00:00.000000,55,196,71,2,34,4
71,FB_9029,2017-11-01 13:00:00.000000,91,155,75,6,59,11
72,FB_9022,2016-01-27 12:00:00.000000,64,194,65,0,47,7
73,FB_9427,2012-07-26 13:00:00.000000,71,178,80,4,53,10
74,FB_9085,2019-07-24 13:00:00.000000,82,171,85,37,55,19
75,FB_9028,2017-07-26 13:00:00.000000,88,210,68,7,59,9
76,FB_9081,2018-07-25 13:00:00.000000,77,178,77,4,56,9
77,FB_9084,2019-04-24 13:00:00.000000,90,157,89,27,58,14
78,FB_9573,2015-01-28 12:00:00.000000,72,216,67,2,39,5
79,FB_9080,2018-04-25 13:00:00.000000,88,182,89,5,46,19
80,FB_9430,2013-05-01 13:00:00.000000,59,201,81,6,42,6
81,FB_9575,2014-07-23 13:00:00.000000,69,199,60,2,43,7
82,FB_9428,2012-10-23 13:00:00.000000,82,175,70,5,35,5
83,FB_9025,2016-11-02 13:00:00.000000,51,167,67,1,43,6
84,FB_9026,2017-02-01 12:00:00.000000,71,156,72,3,33,5
85,FBHS_10214,2013-07-24 12:30:00.000000,54,216,94,3,37,6
86,FBHS_10213,2013-05-02 12:30:00.000000,51,211,73,2,32,1
87,FBHS_10215,2013-10-23 12:30:00.000000,65,186,67,2,38,2
88,FBHS_10331,2020-01-29 11:30:00.000000,71,210,96,2,43,7
89,FBHS_10329,2019-08-01 12:30:00.000000,71,153,75,3,39,6
90,FBHS_10216,2014-01-29 11:30:00.000000,55,179,80,3,31,4
91,FBHS_10381,2015-05-02 12:30:00.000000,67,201,113,6,75,8
92,FBHS_10448,2016-04-20 12:30:00.000000,35,143,73,2,19,1
93,FBHS_10445,2015-10-21 12:30:00.000000,36,161,70,0,33,3
94,FBHS_10319,2018-07-26 12:30:00.000000,50,190,64,0,34,2
95,FBHS_10316,2017-10-25 12:30:00.000000,64,201,80,0,32,17
96,FBHS_10212,2013-01-31 11:30:00.000000,65,232,94,1,32,4
97,FBHS_10383,2014-10-29 12:30:00.000000,71,167,101,2,43,4
98,FBHS_10217,2014-04-30 12:30:00.000000,83,170,93,0,50,7
99,FBHS_10446,2016-02-03 11:30:00.000000,50,162,83,0,28,5
100,FBHS_10382,2015-02-04 11:30:00.000000,88,193,79,1,57,7
101,FBHS_10321,2019-01-31 11:30:00.000000,69,135,100,0,36,6
102,FBHS_10313,2017-01-31 11:30:00.000000,61,210,100,5,51,5
103,FBHS_10328,2019-04-24 12:30:00.000000,71,149,88,0,40,2
104,FBHS_10317,2018-02-01 11:30:00.000000,63,260,70,6,51,17
105,FBHS_10218,2014-07-30 12:30:00.000000,85,180,107,1,45,4
106,FBHS_10312,2016-10-26 12:30:00.000000,58,219,53,1,19,7
107,FBHS_10380,2015-07-22 12:30:00.000000,77,206,106,0,34,9
108,FBHS_10315,2017-08-02 12:30:00.000000,54,187,82,0,36,6
109,FBHS_10330,2019-10-24 12:30:00.000000,78,233,70,2,52,2
110,FBHS_10318,2018-04-27 12:30:00.000000,55,204,80,1,42,5
111,FBHS_10210,2012-07-26 12:30:00.000000,63,148,74,0,27,6
112,FCX_10388,2016-01-26 05:00:00.000000,152,141,78,31,53,35
113,FCX_9899,2013-04-18 06:00:00.000000,73,155,67,12,56,15
114,FCX_10041,2014-01-22 05:00:00.000000,94,161,82,63,111,22
115,FCX_9898,2013-01-22 05:00:00.000000,77,161,80,20,109,20
116,FCX_9897,2012-10-22 06:00:00.000000,99,187,70,16,61,10
117,FCX_10194,2017-10-25 06:00:00.000000,135,167,110,38,79,25
118,FCX_10392,2015-01-28 06:00:00.000000,112,175,89,18,45,33
119,FCX_10192,2017-04-26 06:00:00.000000,136,114,81,49,41,51
120,FCX_10044,2014-10-28 06:00:00.000000,112,177,70,33,47,22
121,FCX_9895,2012-04-19 06:00:00.000000,105,158,80,61,53,33
122,FCX_10307,2019-10-23 06:00:00.000000,115,214,78,10,88,13
123,FCX_10195,2018-01-25 05:00:00.000000,143,196,101,39,72,18
124,FCX_10389,2015-10-22 06:00:00.000000,116,143,63,20,54,30
125,FCX_10301,2018-04-24 06:00:00.000000,94,112,72,31,67,14
126,FCX_9900,2013-07-23 06:00:00.000000,90,156,76,12,48,26
127,FCX_10305,2019-04-25 06:00:00.000000,102,205,80,5,42,18
128,FCX_10391,2015-04-24 08:00:00.000000,127,184,112,22,79,36
129,FCX_10387,2016-04-26 06:00:00.000000,127,184,93,36,32,18
130,FCX_9896,2012-07-19 06:00:00.000000,91,182,83,13,56,19
131,FCX_10189,2016-07-26 06:00:00.000000,151,162,112,44,71,45
132,FCX_10190,2016-10-25 06:00:00.000000,126,125,78,33,58,34
133,FCX_10302,2018-07-25 06:00:00.000000,86,107,69,12,49,6
134,FCX_10191,2017-01-25 05:00:00.000000,171,137,104,121,54,47
135,FCX_10304,2019-01-24 05:00:00.000000,104,161,74,20,86,15
136,FCX_10430,2013-10-22 06:00:00.000000,90,184,74,19,42,13
137,FCX_10306,2019-07-24 06:00:00.000000,82,175,79,5,65,10
138,FCX_10043,2014-07-23 06:00:00.000000,128,205,75,68,98,27
139,FCX_10042,2014-04-24 06:00:00.000000,160,215,110,55,46,29
140,FCX_10390,2015-07-23 06:00:00.000000,87,142,85,61,41,25
141,FDX_9058,2019-12-17 12:30:00.000000,100,180,70,15,78,11
142,FDX_8953,2013-06-20 04:30:00.000000,110,145,69,13,46,5
143,FDX_8957,2014-06-18 04:30:00.000000,87,171,66,4,63,8
144,FDX_9098,2017-12-19 12:00:00.000000,108,198,63,13,63,5
145,FDX_8963,2015-12-16 12:00:00.000000,128,222,68,33,67,11
146,FDX_8948,2017-03-21 13:00:00.000000,105,183,80,15,72,24
147,FDX_8947,2016-12-20 12:00:00.000000,114,184,80,13,103,12
148,FDX_8964,2016-03-16 13:00:00.000000,111,149,69,27,79,10
149,FDX_9101,2018-12-18 12:30:00.000000,133,168,63,7,65,12
150,FDX_9091,2012-09-18 04:30:00.000000,82,113,54,8,26,4
151,FDX_9092,2012-06-19 04:30:00.000000,87,195,66,3,41,13
152,FDX_8955,2013-12-18 03:30:00.000000,75,147,53,6,33,4
153,FDX_9102,2018-09-17 13:00:00.000000,36,104,42,10,30,4
154,FDX_8965,2016-06-22 13:00:00.000000,113,193,67,11,79,8
155,FDX_8959,2014-12-17 03:30:00.000000,101,153,68,5,42,11
156,FDX_9056,2019-06-26 13:30:00.000000,121,181,83,32,85,23
157,FDX_8954,2013-09-18 04:30:00.000000,92,132,68,9,30,9
158,FDX_8962,2015-09-16 04:30:00.000000,113,150,52,41,64,10
159,FDX_9097,2018-03-20 13:00:00.000000,72,190,59,17,60,11
160,FDX_8952,2013-03-20 04:30:00.000000,90,164,55,7,42,8
161,FDX_8991,2016-09-20 13:00:00.000000,86,193,57,11,84,10
162,FDX_9057,2019-09-17 13:30:00.000000,98,164,70,15,68,10
163,FDX_8960,2015-03-18 04:30:00.000000,111,169,67,12,35,8
164,FDX_8951,2012-12-19 03:30:00.000000,87,164,71,16,49,8
165,FDX_8956,2014-03-19 04:30:00.000000,142,202,68,5,62,15
166,FDX_8961,2015-06-17 04:30:00.000000,87,183,77,21,62,8
167,FDX_9100,2019-03-19 13:30:00.000000,97,198,68,5,74,7
168,FE_9523,2016-02-17 05:00:00.000000,74,96,68,45,43,26
169,FE_9526,2016-11-04 06:00:00.000000,76,79,53,38,44,13
170,FE_9030,2018-02-21 05:00:00.000000,75,95,73,34,58,13
171,FE_9521,2015-07-31 06:00:00.000000,90,128,59,41,45,7
172,FE_9587,2017-10-27 06:00:00.000000,89,71,66,40,34,10
173,FE_9033,2018-10-26 06:00:00.000000,47,76,58,35,35,7
174,FE_9518,2014-11-04 08:00:00.000000,76,136,77,63,56,19
175,FE_9420,2012-11-08 08:00:00.000000,94,88,73,37,37,12
176,FE_9426,2014-05-06 09:00:00.000000,85,65,116,32,37,22
177,FE_9417,2012-02-29 03:15:00.000000,213,351,245,118,152,45
178,FE_9031,2018-04-23 06:00:00.000000,88,87,52,37,37,6
179,FE_9519,2015-02-18 04:00:00.000000,82,127,75,47,61,13
180,FE_9425,2014-02-25 08:00:00.000000,91,83,111,46,50,16
181,FE_9517,2014-08-05 09:00:00.000000,72,110,96,46,67,26
182,FE_9525,2016-07-29 06:00:00.000000,118,85,68,49,43,16
183,FE_9032,2018-08-01 05:00:00.000000,60,92,43,53,24,11
184,FE_9522,2015-10-30 06:00:00.000000,80,107,76,33,51,24
185,FE_9529,2017-07-28 06:00:00.000000,106,79,75,41,40,12
186,FE_9038,2020-02-07 06:00:00.000000,69,106,71,18,44,11
187,FE_9418,2012-05-01 09:00:00.000000,60,87,75,21,39,10
188,FE_9423,2013-08-06 09:00:00.000000,83,121,81,33,53,11
189,FE_9524,2016-04-27 05:00:00.000000,126,146,89,74,44,21
190,FE_9528,2017-04-28 06:00:00.000000,131,72,92,63,28,26
191,FE_9036,2019-07-24 06:00:00.000000,51,57,39,28,24,8
192,FE_9419,2012-08-08 09:00:00.000000,88,110,90,32,60,13
193,FE_9035,2019-04-24 06:00:00.000000,78,91,68,51,44,17
194,FE_9421,2013-02-25 08:00:00.000000,76,109,68,38,47,17
195,FE_9527,2017-02-22 05:00:00.000000,101,92,81,47,24,34
196,FE_9037,2019-11-04 04:00:00.000000,74,77,61,20,40,25
197,FFIV_8531,2015-07-22 12:30:00.000000,65,123,71,9,56,4
198,FFIV_8526,2014-04-23 12:30:00.000000,50,138,64,2,43,3
199,FFIV_8733,2017-10-25 12:30:00.000000,64,128,70,5,30,8
200,FFIV_8530,2015-04-22 10:00:00.000000,62,149,85,2,51,4
201,FFIV_8365,2012-01-18 11:30:00.000000,41,99,59,7,29,1
202,FFIV_8739,2019-04-24 12:30:00.000000,76,118,62,3,22,2
203,FFIV_8528,2014-10-29 12:30:00.000000,61,161,85,2,56,8
204,FFIV_8727,2016-04-20 12:30:00.000000,97,146,80,7,38,5
205,FFIV_8734,2018-01-24 11:30:00.000000,64,133,49,11,45,3
206,FFIV_8525,2014-01-22 11:30:00.000000,51,105,73,5,34,0
207,FFIV_8367,2012-07-19 12:30:00.000000,75,89,84,3,45,5
208,FFIV_8738,2019-01-23 11:30:00.000000,52,115,83,1,47,4
209,FFIV_8741,2019-10-23 12:30:00.000000,68,135,70,0,36,5
210,FFIV_8735,2018-04-25 12:30:00.000000,58,116,47,4,29,6
211,FFIV_8740,2019-07-24 12:30:00.000000,71,94,77,4,27,3
212,FFIV_8371,2013-07-24 12:30:00.000000,66,105,54,2,35,0
213,FFIV_8732,2017-07-26 12:30:00.000000,85,118,89,6,41,4
214,FFIV_8234,2013-10-23 12:30:00.000000,72,139,97,6,44,2
215,FFIV_8529,2015-01-21 11:30:00.000000,47,126,64,5,29,1
216,FFIV_8366,2012-04-18 12:30:00.000000,53,134,68,6,32,1
217,FFIV_8370,2013-04-24 12:30:00.000000,68,106,52,1,37,5
218,FFIV_8368,2012-10-24 12:30:00.000000,80,126,85,2,56,5
219,FFIV_8731,2017-04-26 12:30:00.000000,53,106,68,9,42,3
220,FFIV_8527,2014-07-23 12:30:00.000000,49,160,51,5,65,5
221,FFIV_8369,2013-01-23 11:30:00.000000,75,139,87,6,40,5
222,FFIV_8726,2016-01-20 11:30:00.000000,85,127,63,2,44,4
223,FFIV_8736,2018-07-25 12:30:00.000000,79,122,58,1,28,2
224,FFIV_8729,2016-10-26 12:30:00.000000,79,121,76,5,25,3
225,FFIV_8742,2020-01-27 11:30:00.000000,64,123,60,1,37,3
226,FIS_9395,2013-10-29 04:30:00.000000,76,203,69,9,39,12
227,FIS_9051,2019-02-12 03:30:00.000000,62,201,106,11,60,5
228,FIS_9052,2019-04-30 04:30:00.000000,56,229,60,13,34,9
229,FIS_9504,2016-07-26 04:30:00.000000,42,165,82,4,30,6
230,FIS_9508,2017-08-02 04:30:00.000000,62,157,64,5,50,4
231,FIS_9390,2012-04-26 04:30:00.000000,88,253,74,35,37,13
232,FIS_9503,2016-05-03 04:30:00.000000,62,222,58,13,35,4
233,FIS_9392,2012-11-05 12:00:00.000000,69,231,70,18,73,12
234,FIS_9104,2015-02-05 03:30:00.000000,55,122,63,11,38,12
235,FIS_9053,2019-08-06 04:30:00.000000,58,232,66,7,67,8
236,FIS_9048,2018-05-01 04:30:00.000000,51,159,61,5,29,7
237,FIS_9505,2016-11-01 04:30:00.000000,51,172,82,9,43,6
238,FIS_9396,2014-02-04 03:30:00.000000,83,250,53,20,54,10
239,FIS_9047,2018-02-06 03:30:00.000000,60,203,78,13,72,8
240,FIS_9394,2013-07-30 04:30:00.000000,77,212,81,36,84,10
