,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,GD_10341,2018-07-25 05:00:00.000000,54,105,64,18,38,7
1,GD_10003,2013-01-23 06:30:00.000000,105,90,89,18,28,21
2,GD_10152,2015-10-28 05:00:00.000000,60,107,54,5,14,2
3,GD_10272,2019-01-30 04:00:00.000000,76,118,78,20,36,3
4,GD_10273,2019-04-24 05:00:00.000000,74,120,60,18,25,4
5,GD_10002,2012-10-24 05:00:00.000000,99,119,100,24,60,8
6,GD_10001,2012-07-25 05:00:00.000000,87,129,97,21,46,5
7,GD_10006,2013-10-23 05:00:00.000000,115,107,85,8,33,3
8,GD_10345,2017-07-26 05:00:00.000000,77,100,67,11,28,6
9,GD_10000,2012-04-25 05:00:00.000000,121,134,91,23,47,8
10,GD_10344,2017-10-25 05:00:00.000000,58,143,76,10,42,12
11,GD_10347,2017-01-27 04:00:00.000000,72,88,69,18,25,7
12,GD_10005,2013-07-24 05:00:00.000000,80,113,77,12,51,1
13,GD_10146,2014-04-23 05:00:00.000000,74,118,76,5,35,8
14,GD_10154,2016-04-27 05:00:00.000000,58,134,64,11,25,3
15,GD_10148,2014-10-22 05:00:00.000000,67,121,73,12,47,4
16,GD_10147,2014-07-23 05:00:00.000000,91,117,106,9,38,5
17,GD_10271,2018-10-24 05:00:00.000000,64,107,60,22,22,4
18,GD_10153,2016-01-27 06:30:00.000000,65,108,70,4,38,3
19,GD_9999,2012-01-25 06:30:00.000000,106,142,76,11,50,12
20,GD_10274,2019-07-24 05:00:00.000000,62,105,54,6,21,2
21,GD_10150,2015-04-29 05:00:00.000000,62,106,62,10,20,3
22,GD_10276,2020-01-29 04:00:00.000000,61,111,59,14,37,3
23,GD_10004,2013-04-24 05:00:00.000000,76,89,76,5,22,5
24,GD_10275,2019-10-23 07:00:00.000000,64,127,32,21,32,3
25,GD_10156,2016-10-26 05:00:00.000000,61,104,58,17,29,5
26,GD_10145,2014-01-22 06:30:00.000000,114,123,104,17,23,15
27,GD_10155,2016-07-27 05:00:00.000000,53,114,81,7,16,7
28,GE_9652,2014-07-18 04:30:00.000000,82,179,65,11,58,10
29,GE_9711,2014-01-17 03:30:00.000000,141,214,67,9,52,12
30,GE_9704,2012-04-20 04:30:00.000000,100,283,82,5,36,9
31,GE_9666,2012-01-20 03:30:00.000000,115,207,83,19,39,12
32,GE_10348,2020-01-29 03:00:00.000000,104,201,83,15,70,10
33,GE_10144,2018-07-20 04:30:00.000000,102,154,39,6,46,7
34,GE_9709,2013-07-19 04:30:00.000000,98,213,50,12,45,11
35,GE_10143,2018-04-20 04:30:00.000000,97,180,51,21,89,6
36,GE_9725,2015-04-17 04:30:00.000000,102,160,69,8,51,3
37,GE_9706,2012-10-19 04:30:00.000000,84,197,61,5,38,11
38,GE_9749,2016-07-22 04:30:00.000000,100,176,55,10,23,5
39,GE_10350,2019-07-31 04:30:00.000000,103,188,74,11,41,17
40,GE_9746,2015-10-16 04:30:00.000000,101,168,56,9,42,9
41,GE_9707,2013-01-18 03:30:00.000000,93,261,72,15,42,12
42,GE_9723,2014-10-17 04:30:00.000000,96,227,69,7,37,13
43,GE_10270,2019-01-31 03:00:00.000000,141,213,80,38,70,20
44,GE_9826,2017-01-20 03:30:00.000000,98,166,39,5,36,4
45,GE_9825,2016-10-21 04:30:00.000000,107,148,22,3,38,3
46,GE_10351,2019-04-30 04:30:00.000000,102,201,101,23,52,11
47,GE_10142,2018-01-24 03:30:00.000000,135,229,60,25,91,21
48,GE_10349,2019-10-30 04:00:00.000000,113,202,71,13,36,13
49,GE_9708,2013-04-19 04:30:00.000000,137,165,70,11,47,15
50,GE_9988,2017-04-21 04:30:00.000000,119,148,34,37,31,7
51,GE_9710,2013-10-18 04:30:00.000000,87,234,40,6,60,11
52,GE_9748,2016-04-22 04:30:00.000000,103,182,42,16,42,2
53,GE_9705,2012-07-20 04:30:00.000000,92,221,96,28,55,15
54,GE_9724,2015-01-23 03:30:00.000000,109,199,59,9,58,22
55,GE_9712,2014-04-17 04:30:00.000000,92,195,48,3,19,18
56,GE_9726,2015-07-17 04:30:00.000000,102,166,34,8,28,6
57,GILD_10106,2017-05-02 12:30:00.000000,85,121,84,11,64,12
58,GILD_9733,2012-10-23 12:15:00.000000,80,68,92,5,69,11
59,GILD_10111,2018-07-25 13:00:00.000000,102,183,84,3,63,10
60,GILD_10246,2019-02-04 11:30:00.000000,126,167,109,9,64,13
61,GILD_9734,2013-02-04 11:30:00.000000,109,101,87,10,63,14
62,GILD_10245,2018-10-25 12:30:00.000000,92,159,72,5,46,11
63,GILD_9739,2014-04-22 12:15:00.000000,76,72,89,10,36,9
64,GILD_9715,2012-07-27 12:15:00.000000,112,79,103,20,54,11
65,GILD_10361,2019-10-24 12:30:00.000000,89,150,78,7,67,7
66,GILD_9953,2016-07-25 12:30:00.000000,99,130,96,13,47,15
67,GILD_10362,2019-07-30 12:30:00.000000,85,171,73,8,49,8
68,GILD_10421,2015-07-28 00:30:00.000000,68,132,97,14,48,17
69,GILD_9955,2017-02-07 11:30:00.000000,160,167,137,13,63,22
70,GILD_9954,2016-11-01 12:30:00.000000,107,147,93,13,43,12
71,GILD_10426,2015-10-27 12:30:00.000000,78,119,81,14,47,17
72,GILD_10423,2015-02-03 11:30:00.000000,72,101,102,10,71,23
73,GILD_9951,2016-02-02 11:30:00.000000,82,163,129,9,47,9
74,GILD_9952,2016-04-29 12:30:00.000000,105,144,110,17,45,30
75,GILD_10107,2017-07-26 12:30:00.000000,135,123,98,15,45,6
76,GILD_9713,2012-02-03 12:00:00.000000,95,98,111,10,90,6
77,GILD_10360,2020-02-04 11:30:00.000000,107,197,110,5,55,16
78,GILD_10110,2018-05-01 12:30:00.000000,90,150,82,6,50,5
