,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,K_12340,2015-08-04 05:30:00.000000,87,219,61,2,49,6
1,K_12611,2019-02-07 04:30:00.000000,85,228,60,3,69,6
2,K_12721,2012-04-26 05:30:00.000000,129,201,93,1,48,8
3,K_12719,2012-11-01 05:30:00.000000,77,273,61,3,35,1
4,K_12501,2017-08-03 05:30:00.000000,93,237,55,4,44,4
5,K_12337,2014-10-30 05:30:00.000000,89,222,57,2,66,10
6,K_12498,2016-11-01 05:00:00.000000,132,384,88,1,77,5
7,K_12610,2018-10-31 05:30:00.000000,92,202,58,1,43,9
8,K_12338,2015-02-12 04:30:00.000000,94,178,66,4,58,4
9,K_12615,2020-02-06 04:30:00.000000,144,241,37,0,50,5
10,K_12720,2012-08-02 05:30:00.000000,86,292,51,0,42,6
11,K_12714,2014-02-06 04:30:00.000000,100,208,60,1,73,8
12,K_12717,2013-05-02 05:30:00.000000,91,235,76,0,37,8
13,K_12613,2019-08-01 05:30:00.000000,113,222,47,1,55,8
14,K_12612,2019-05-02 05:30:00.000000,160,253,58,1,66,9
15,K_12500,2017-05-04 05:30:00.000000,120,229,59,2,59,6
16,K_12341,2015-11-03 04:30:00.000000,101,231,73,2,39,9
17,K_12715,2013-11-04 04:30:00.000000,85,227,61,0,87,7
18,K_12496,2016-05-05 05:30:00.000000,82,255,63,0,46,5
19,K_12495,2016-02-11 04:30:00.000000,72,266,69,1,40,7
20,K_12503,2018-02-08 04:30:00.000000,106,316,53,2,65,7
21,K_12335,2014-05-01 05:30:00.000000,104,209,60,1,59,4
22,K_12609,2018-08-02 05:30:00.000000,86,250,40,1,41,5
23,K_12722,2012-02-02 04:30:00.000000,84,153,72,1,40,12
24,K_12608,2018-05-03 05:30:00.000000,79,265,52,1,53,2
25,K_12336,2014-07-31 05:30:00.000000,74,209,63,0,63,7
26,K_12502,2017-10-31 05:30:00.000000,101,284,46,2,57,5
27,K_12716,2013-08-01 05:30:00.000000,87,219,55,0,62,7
28,K_12614,2019-10-29 05:30:00.000000,99,235,53,0,66,3
29,KEY_12187,2012-10-18 05:00:00.000000,62,123,73,15,46,9
30,KEY_12494,2018-04-19 05:00:00.000000,64,148,81,8,37,5
31,KEY_12184,2012-01-24 04:00:00.000000,76,159,81,11,52,10
32,KEY_12322,2013-04-18 05:00:00.000000,90,161,91,10,50,5
33,KEY_12330,2015-04-16 05:00:00.000000,73,189,73,2,37,12
34,KEY_12601,2018-07-19 06:00:00.000000,45,148,46,12,27,5
35,KEY_12603,2019-01-17 04:00:00.000000,75,182,97,11,36,14
36,KEY_12323,2013-07-18 05:00:00.000000,106,174,95,9,58,8
37,KEY_12723,2016-07-26 05:00:00.000000,70,136,76,1,34,14
38,KEY_12325,2014-01-23 04:00:00.000000,91,221,90,7,55,19
39,KEY_12488,2016-10-25 05:00:00.000000,73,149,65,7,44,24
40,KEY_12605,2019-07-23 06:00:00.000000,110,153,76,7,26,8
41,KEY_12493,2018-01-18 04:00:00.000000,54,187,85,5,52,11
42,KEY_12331,2015-07-16 05:00:00.000000,55,169,63,1,30,7
43,KEY_12327,2014-07-17 12:30:00.000000,76,184,76,5,45,11
44,KEY_12329,2015-01-22 04:00:00.000000,58,199,63,5,42,15
45,KEY_12756,2013-01-24 04:00:00.000000,65,162,64,12,57,11
46,KEY_12489,2017-01-19 04:00:00.000000,69,166,86,12,51,7
47,KEY_12333,2016-01-21 05:00:00.000000,69,163,77,12,32,7
48,KEY_12606,2019-10-17 05:00:00.000000,114,191,101,2,51,11
49,KEY_12326,2014-04-17 05:00:00.000000,78,211,66,2,62,16
50,KEY_12602,2018-10-18 05:00:00.000000,80,161,83,1,29,11
51,KEY_12185,2012-04-19 05:00:00.000000,44,101,38,3,30,7
52,KEY_12328,2014-10-15 05:00:00.000000,56,171,74,10,33,7
53,KEY_12491,2017-07-20 04:30:00.000000,76,148,63,4,38,15
54,KEY_12492,2017-10-19 05:00:00.000000,72,176,63,5,32,10
55,KEY_12604,2019-04-18 06:00:00.000000,83,176,119,2,42,26
56,KEY_12490,2017-04-20 05:00:00.000000,54,148,62,3,35,16
57,KEY_12324,2013-10-16 05:00:00.000000,79,160,70,18,31,13
58,KHC_12874,2016-02-25 12:00:00.000000,111,178,57,2,45,1
59,KHC_13001,2018-11-02 13:00:00.000000,111,176,74,1,30,1
60,KHC_13005,2020-02-13 03:30:00.000000,138,221,63,2,57,5
61,KHC_13002,2019-02-22 12:30:00.000000,135,186,61,3,48,7
62,KHC_12995,2017-05-03 13:00:00.000000,117,149,63,3,38,7
63,KHC_13004,2019-10-31 04:30:00.000000,102,185,60,1,39,7
64,KHC_12872,2015-08-14 04:00:00.000000,16,9,8,0,9,1
65,KHC_13003,2019-08-08 04:30:00.000000,131,215,100,4,61,14
66,KHC_12997,2017-11-01 13:00:00.000000,98,210,55,0,33,0
67,KHC_12996,2017-08-03 13:00:00.000000,104,211,57,1,40,8
68,KHC_13000,2018-08-03 04:30:00.000000,70,189,56,2,41,4
69,KHC_13039,2017-02-15 12:00:00.000000,82,226,67,5,49,2
70,KHC_12876,2016-08-05 12:30:00.000000,94,154,61,0,39,3
71,KHC_12873,2015-11-06 12:00:00.000000,114,206,55,4,62,8
72,KHC_12877,2016-11-04 13:00:00.000000,118,184,59,1,39,8
73,KHC_12875,2016-05-04 13:00:00.000000,104,173,60,0,32,2
74,KIM_12697,2019-07-25 06:00:00.000000,77,176,66,7,44,7
75,KIM_12476,2016-02-03 05:00:00.000000,85,148,88,6,46,11
76,KIM_12471,2014-10-29 06:00:00.000000,66,130,61,5,61,9
77,KIM_12700,2018-10-25 06:00:00.000000,77,149,97,6,53,9
78,KIM_12468,2014-02-06 05:00:00.000000,88,194,78,7,47,6
79,KIM_12477,2016-04-29 07:00:00.000000,82,119,86,8,51,9
80,KIM_12460,2012-02-09 05:00:00.000000,89,140,80,7,74,15
81,KIM_12462,2012-08-01 05:00:00.000000,99,179,84,12,54,10
82,KIM_12466,2013-07-31 06:00:00.000000,62,143,105,11,40,18
83,KIM_12473,2015-05-07 06:00:00.000000,49,129,57,5,27,8
84,KIM_12702,2018-04-26 06:00:00.000000,67,131,68,8,35,11
85,KIM_12470,2014-07-30 06:00:00.000000,65,119,63,7,40,5
86,KIM_12699,2019-01-31 05:00:00.000000,86,148,80,8,44,13
87,KIM_12703,2018-02-15 05:00:00.000000,72,137,69,12,56,7
