,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,L_13274,2017-07-31 07:00:00.000000,71,69,49,8,31,10
1,L_13155,2012-04-30 07:00:00.000000,47,48,32,6,34,10
2,L_12889,2020-02-10 06:00:00.000000,47,55,29,9,29,5
3,L_13156,2012-02-06 06:00:00.000000,49,82,46,4,34,8
4,L_12887,2019-08-05 07:00:00.000000,63,70,44,12,23,2
5,L_13068,2017-05-01 07:00:00.000000,37,61,30,4,30,4
6,L_13153,2012-10-29 07:00:00.000000,54,69,47,8,37,17
7,L_13159,2016-10-31 07:00:00.000000,75,95,53,6,21,5
8,L_13154,2012-07-30 07:00:00.000000,61,63,26,5,15,13
9,L_12885,2019-02-11 06:00:00.000000,114,63,29,9,26,5
10,L_12884,2018-11-05 06:00:00.000000,39,43,27,12,8,1
11,L_13134,2013-07-29 07:00:00.000000,35,52,29,11,21,7
12,L_13271,2015-05-04 07:00:00.000000,69,60,39,3,35,9
13,L_12881,2018-02-12 06:00:00.000000,38,90,42,7,33,9
14,L_13273,2014-11-03 06:00:00.000000,70,81,45,18,33,8
15,L_13132,2014-02-10 06:00:00.000000,91,69,72,15,46,18
16,L_13164,2016-08-01 07:00:00.000000,98,99,60,14,42,12
17,L_13167,2015-11-02 06:00:00.000000,80,68,39,8,24,7
18,L_13166,2016-02-08 06:00:00.000000,100,75,71,8,36,10
19,L_13069,2017-02-06 06:00:00.000000,63,68,51,13,27,12
20,L_13272,2015-02-09 06:00:00.000000,92,91,51,8,43,6
21,L_13133,2013-10-28 07:00:00.000000,54,35,28,5,26,11
22,L_13151,2013-04-29 07:00:00.000000,54,55,32,10,19,12
23,L_12882,2018-04-30 07:00:00.000000,48,61,30,6,19,7
24,L_12883,2018-07-30 07:00:00.000000,44,60,27,9,21,4
25,L_12886,2019-04-29 07:00:00.000000,61,95,45,11,22,5
26,L_12888,2019-10-28 07:00:00.000000,58,63,47,23,21,7
27,L_13130,2014-08-04 07:00:00.000000,48,52,26,9,21,7
28,L_12880,2017-10-30 07:00:00.000000,54,59,40,7,35,6
29,LB_12978,2019-08-22 05:00:00.000000,91,116,59,1,37,6
30,LB_12845,2016-05-19 05:15:00.000000,70,112,54,1,33,6
31,LB_12843,2015-11-19 04:00:00.000000,74,130,64,0,45,11
32,LB_12841,2015-05-21 05:15:00.000000,79,146,49,0,32,16
33,LB_12844,2016-02-25 04:00:00.000000,101,190,37,4,62,5
34,LB_12973,2018-05-24 05:00:00.000000,71,166,44,3,29,4
35,LB_12971,2017-11-16 04:00:00.000000,73,159,36,4,32,3
36,LB_12842,2015-08-20 05:00:00.000000,94,184,63,1,57,12
37,LB_13423,2014-08-21 05:00:00.000000,98,181,60,5,50,9
38,LB_12850,2017-08-17 05:00:00.000000,111,221,51,6,56,7
39,LB_12976,2019-02-28 04:00:00.000000,64,113,38,3,20,13
