,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,NAVI_15809,2018-07-25 04:00:00.000000,77,109,44,26,31,5
1,NAVI_15651,2015-04-22 04:00:00.000000,70,106,50,34,27,11
2,NAVI_15652,2015-07-22 04:00:00.000000,130,112,103,21,40,9
3,NAVI_15495,2015-01-22 03:00:00.000000,50,92,38,19,18,7
4,NAVI_15656,2016-10-19 04:00:00.000000,86,142,70,26,39,12
5,NAVI_15864,2015-10-21 04:00:00.000000,88,100,63,49,44,8
6,NAVI_15655,2016-07-20 04:00:00.000000,76,110,59,27,19,12
7,NAVI_15812,2019-04-24 04:00:00.000000,76,129,56,20,38,3
8,NAVI_15653,2016-01-27 03:00:00.000000,77,74,57,19,40,6
9,NAVI_15815,2020-01-22 03:00:00.000000,83,193,57,21,27,4
10,NAVI_15811,2019-01-23 03:30:00.000000,45,134,32,5,29,7
11,NAVI_15654,2016-04-20 04:00:00.000000,84,98,43,31,35,9
12,NAVI_15807,2018-01-24 03:00:00.000000,94,105,66,27,54,14
13,NAVI_15810,2018-10-24 04:00:00.000000,88,163,64,17,33,6
14,NAVI_15808,2018-04-25 04:00:00.000000,95,146,69,18,42,7
15,NAVI_15657,2017-01-25 03:00:00.000000,107,120,66,38,41,8
16,NAVI_15863,2017-07-19 04:00:00.000000,82,106,49,18,37,5
17,NAVI_15813,2019-07-24 04:00:00.000000,91,182,58,23,43,6
18,NBL_15697,2019-05-03 05:00:00.000000,55,198,68,15,54,8
19,NBL_15544,2018-02-20 04:00:00.000000,53,246,111,19,73,14
20,NBL_15217,2012-10-25 06:00:00.000000,58,82,103,19,39,5
21,NBL_15360,2015-08-03 06:00:00.000000,61,201,89,6,49,14
22,NBL_15700,2020-02-12 04:00:00.000000,86,179,58,12,74,12
23,NBL_15227,2014-02-06 05:00:00.000000,35,116,95,9,38,7
24,NBL_15540,2017-02-14 04:00:00.000000,71,161,92,4,55,8
25,NBL_15899,2015-11-02 05:00:00.000000,48,130,78,8,41,6
26,NBL_15699,2019-11-07 06:00:00.000000,53,174,47,13,55,3
27,NBL_15873,2016-11-02 05:00:00.000000,59,143,80,11,49,6
28,NBL_15205,2012-07-26 06:00:00.000000,80,109,107,6,52,8
29,NBL_15172,2014-04-24 06:00:00.000000,60,108,76,9,54,0
30,NBL_15193,2012-02-09 05:00:00.000000,51,91,78,10,56,8
31,NBL_15698,2019-08-02 05:00:00.000000,71,217,67,5,68,11
32,NBL_15221,2013-04-25 06:00:00.000000,78,100,105,7,56,6
33,NBL_15694,2018-08-03 05:00:00.000000,34,112,36,2,32,14
34,NBL_15358,2015-05-05 06:00:00.000000,45,193,87,16,35,7
35,NBL_15362,2016-05-04 06:00:00.000000,54,151,75,11,36,12
36,NBL_15541,2017-05-02 05:00:00.000000,76,205,97,4,62,10
37,NBL_15361,2016-02-17 05:00:00.000000,45,137,75,29,52,9
38,NBL_15223,2013-07-25 06:00:00.000000,74,112,121,3,46,7
39,NBL_15898,2016-08-03 06:00:00.000000,65,184,80,3,53,9
40,NBL_15219,2013-02-07 05:00:00.000000,60,92,87,1,73,11
