,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,RCL_19040,2015-01-30 05:00:00.000000,76,203,65,1,59,9
1,RCL_19178,2020-02-04 05:00:00.000000,94,174,87,4,75,10
2,RCL_19170,2018-01-24 05:00:00.000000,68,182,87,7,62,5
3,RCL_19037,2014-01-27 05:00:00.000000,88,201,77,1,91,7
4,RCL_18862,2013-02-04 05:00:00.000000,89,152,90,6,49,9
5,RCL_18860,2012-07-26 06:00:00.000000,127,133,94,6,54,5
6,RCL_19042,2015-07-31 06:00:00.000000,80,176,92,2,73,9
7,RCL_18610,2013-10-24 06:00:00.000000,91,207,83,5,64,7
8,RCL_19167,2017-04-28 06:00:00.000000,94,168,71,3,46,5
9,RCL_19047,2016-10-28 06:00:00.000000,87,170,64,2,60,7
10,RCL_18858,2012-02-02 05:00:00.000000,139,122,114,4,79,7
11,RCL_19174,2019-01-30 05:00:00.000000,62,220,93,5,62,3
12,RCL_19172,2018-08-02 06:00:00.000000,87,176,91,6,69,4
13,RCL_18863,2013-04-25 06:00:00.000000,112,142,102,3,57,4
14,RCL_19045,2016-04-29 06:00:00.000000,92,193,82,0,65,11
15,RCL_18864,2013-07-25 06:00:00.000000,106,189,85,7,74,2
16,RCL_19169,2017-11-07 05:00:00.000000,102,180,90,4,73,7
17,RCL_19176,2019-07-25 06:00:00.000000,79,249,68,3,45,4
18,RCL_19041,2015-04-20 05:30:00.000000,72,156,77,4,44,5
19,RCL_19175,2019-05-01 06:00:00.000000,77,204,88,5,46,5
20,RCL_19171,2018-04-26 06:00:00.000000,54,203,52,1,49,2
21,RCL_19039,2014-07-24 06:00:00.000000,70,163,79,1,64,13
22,RCL_19044,2016-02-02 05:00:00.000000,81,153,56,2,66,4
23,RCL_18859,2012-04-20 06:00:00.000000,87,148,109,3,54,7
24,RCL_19173,2018-10-25 06:00:00.000000,62,170,84,1,89,2
25,RCL_18609,2017-01-26 05:00:00.000000,89,176,72,0,48,10
26,RCL_19043,2015-10-23 06:00:00.000000,76,144,80,3,65,8
27,RCL_19254,2014-10-23 06:00:00.000000,76,169,79,5,73,3
28,RCL_19038,2014-04-24 06:00:00.000000,91,175,60,2,60,1
29,RE_8792,2017-10-31 06:30:00.000000,205,149,120,9,71,8
30,RE_8438,2012-10-25 06:30:00.000000,112,141,75,7,40,3
31,RE_8440,2013-04-24 06:30:00.000000,57,134,53,6,40,3
32,RE_8601,2015-07-28 06:30:00.000000,127,143,83,15,52,11
33,RE_8791,2017-07-25 06:30:00.000000,140,201,65,16,27,7
34,RE_8797,2019-02-12 05:30:00.000000,206,207,136,18,62,18
35,RE_8608,2017-04-25 06:30:00.000000,124,204,74,7,37,13
36,RE_8604,2016-04-26 06:30:00.000000,100,134,67,4,54,10
37,RE_8602,2015-10-27 06:30:00.000000,119,125,86,5,36,8
38,RE_8435,2012-02-09 05:30:00.000000,96,111,63,10,46,3
39,RE_8795,2018-08-01 06:30:00.000000,204,205,83,25,32,6
40,RE_8801,2020-02-11 05:30:00.000000,131,184,65,7,34,6
