,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,SBUX_20496,2017-04-27 13:00:00.000000,116,303,75,3,81,12
1,SBUX_20160,2014-07-24 13:00:00.000000,55,314,79,5,57,6
2,SBUX_20142,2018-11-01 13:00:00.000000,83,262,63,2,67,10
3,SBUX_20229,2012-11-01 13:00:00.000000,88,322,76,4,61,10
4,SBUX_20148,2015-10-30 13:00:00.000000,92,299,100,6,90,8
5,SBUX_20140,2018-04-26 13:00:00.000000,115,274,90,4,82,13
6,SBUX_20157,2013-10-30 13:00:00.000000,73,353,93,7,84,13
7,SBUX_20151,2016-07-21 13:00:00.000000,114,318,90,1,82,12
8,SBUX_20227,2012-04-26 13:00:00.000000,79,247,68,5,51,10
9,SBUX_20159,2014-04-25 13:00:00.000000,82,285,100,3,89,8
10,SBUX_20495,2017-07-28 13:00:00.000000,96,334,96,1,129,16
11,SBUX_20316,2015-07-24 13:00:00.000000,54,312,75,1,77,9
12,SBUX_20484,2019-04-25 13:00:00.000000,81,253,63,1,53,13
13,SBUX_20158,2014-01-23 12:00:00.000000,104,311,110,8,92,11
14,SBUX_20481,2020-01-28 12:00:00.000000,111,242,79,2,61,22
15,SBUX_20493,2018-01-26 12:00:00.000000,92,274,111,20,90,12
16,SBUX_20483,2019-07-25 13:00:00.000000,91,279,76,1,38,12
17,SBUX_20497,2017-01-27 12:00:00.000000,96,228,78,3,73,10
18,SBUX_20230,2013-01-24 12:00:00.000000,74,250,94,7,86,13
19,SBUX_20528,2015-04-24 13:00:00.000000,59,280,74,1,78,9
20,SBUX_20494,2017-11-02 13:00:00.000000,106,251,79,6,90,24
21,SBUX_20515,2015-01-22 12:00:00.000000,61,243,73,3,72,5
22,SBUX_20231,2013-04-25 13:00:00.000000,75,289,78,2,90,10
23,SBUX_20226,2012-01-26 12:00:00.000000,80,250,79,4,73,10
24,SBUX_20498,2016-11-04 13:00:00.000000,89,298,98,5,77,7
