,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,T_3039,2019-10-28 04:30:00.000000,53,199,59,3,75,16
1,T_2368,2019-04-24 04:30:00.000000,71,188,64,5,72,7
2,T_2426,2014-07-23 12:30:00.000000,46,204,66,10,56,3
3,T_2402,2014-01-28 11:30:00.000000,62,192,82,13,84,5
4,T_2451,2015-04-22 12:30:00.000000,54,180,71,10,67,2
5,T_2378,2015-10-22 12:30:00.000000,61,204,74,0,45,4
6,T_3040,2019-07-24 04:30:00.000000,52,155,54,5,50,6
7,T_2658,2017-07-25 12:30:00.000000,70,186,74,16,67,9
8,T_2803,2018-10-24 04:30:00.000000,55,169,45,4,38,6
9,T_2377,2015-07-23 12:30:00.000000,50,220,63,3,75,7
10,T_2389,2015-01-27 11:30:00.000000,56,164,96,9,87,10
11,T_2424,2014-04-22 12:30:00.000000,50,203,74,2,73,7
12,T_2527,2016-07-21 12:30:00.000000,51,195,79,7,47,6
13,T_2370,2018-01-31 11:30:00.000000,45,203,63,15,75,4
14,T_2400,2013-10-23 12:30:00.000000,58,184,62,6,65,10
15,T_2372,2016-10-24 04:30:00.000000,76,262,69,43,88,11
16,T_2387,2014-10-22 12:30:00.000000,46,140,67,5,56,12
17,T_2657,2017-04-26 12:30:00.000000,77,149,102,28,48,16
18,T_3628,2012-01-26 05:00:00.000000,69,164,99,8,45,7
19,T_3053,2013-01-23 23:30:00.000000,68,168,83,4,52,9
20,T_3038,2020-01-29 03:30:00.000000,53,201,74,5,70,6
21,T_2414,2013-07-23 12:30:00.000000,70,223,98,5,87,0
22,T_2801,2018-04-25 12:30:00.000000,45,184,91,8,69,9
23,T_3630,2012-04-24 06:00:00.000000,41,189,64,1,62,5
24,T_3632,2012-07-24 05:30:00.000000,43,178,103,16,47,1
25,T_2802,2018-07-25 12:30:00.000000,67,255,78,7,79,6
26,T_2525,2016-01-27 11:30:00.000000,54,192,75,9,75,7
27,T_3050,2013-04-23 12:30:00.000000,84,181,67,12,61,0
28,T_2526,2016-04-26 12:30:00.000000,48,216,55,9,67,6
29,TAP_14829,2015-05-07 07:00:00.000000,82,113,47,10,41,4
30,TAP_14967,2019-05-01 07:00:00.000000,87,179,59,17,50,23
31,TAP_14681,2013-05-07 07:00:00.000000,78,150,60,3,37,6
32,TAP_14684,2013-11-06 09:00:00.000000,68,63,45,10,27,8
33,TAP_14838,2017-08-02 07:00:00.000000,114,210,77,8,77,9
34,TAP_14970,2020-02-12 06:00:00.000000,54,165,53,3,51,2
35,TAP_14686,2014-02-13 06:00:00.000000,84,161,65,10,59,6
36,TAP_14834,2016-08-02 00:30:00.000000,76,162,65,8,51,9
37,TAP_14679,2013-02-14 06:00:00.000000,57,81,33,5,33,4
38,TAP_14832,2016-02-15 06:00:00.000000,42,51,49,7,31,1
39,TAP_14969,2019-10-30 07:00:00.000000,106,179,53,6,72,14
40,TAP_15043,2019-02-12 06:00:00.000000,124,243,75,12,44,20
41,TAP_14968,2019-07-31 07:00:00.000000,95,200,43,10,49,11
42,TAP_14964,2018-05-02 07:00:00.000000,129,184,67,6,75,14
43,TAP_14837,2017-05-06 07:00:00.000000,139,212,82,11,61,5
44,TAP_14539,2012-02-16 06:00:00.000000,75,145,77,11,53,4
45,TAP_14677,2012-08-07 07:00:00.000000,77,116,52,3,41,1
46,TAP_14833,2016-05-03 07:00:00.000000,92,166,76,18,50,9
47,TAP_14835,2016-11-01 07:00:00.000000,80,179,74,9,96,14
48,TAP_14839,2017-11-01 07:00:00.000000,106,172,56,5,48,6
49,TAP_14831,2015-11-05 06:00:00.000000,120,129,73,21,51,18
50,TAP_14965,2018-08-01 07:00:00.000000,138,199,66,18,50,8
51,TAP_14678,2012-11-07 06:00:00.000000,89,91,41,2,30,2
52,TAP_14830,2015-08-06 07:00:00.000000,125,129,51,22,35,0
53,TAP_14836,2017-02-14 06:00:00.000000,88,179,70,14,82,12
54,TAP_14827,2014-11-06 06:00:00.000000,99,123,46,11,39,15
55,TAP_14966,2018-10-31 07:00:00.000000,111,200,77,5,78,30
56,TAP_14963,2018-02-14 06:00:00.000000,103,239,70,8,63,6
57,TAP_15098,2013-08-06 10:00:00.000000,34,30,24,1,12,1
58,TAP_14540,2012-05-08 07:00:00.000000,71,118,61,9,36,3
59,TD_23290,2013-05-23 11:00:00.000000,107,160,114,12,54,10
60,TD_23278,2019-05-23 09:30:00.000000,97,116,73,12,42,18
61,TD_23283,2015-08-27 11:00:00.000000,132,159,85,24,44,12
62,TD_23301,2012-12-06 10:00:00.000000,127,153,64,22,72,21
63,TD_23304,2017-03-02 10:00:00.000000,83,169,76,9,37,9
64,TD_23288,2016-12-01 10:00:00.000000,63,138,75,11,32,12
65,TD_23279,2019-08-29 09:30:00.000000,101,124,66,2,36,23
66,TD_23296,2014-12-04 10:00:00.000000,112,164,71,20,40,12
67,TD_23274,2018-05-24 09:30:00.000000,80,157,67,17,32,22
68,TD_23282,2015-05-28 11:00:00.000000,103,157,85,21,34,14
69,TD_23284,2015-12-03 08:00:00.000000,117,201,82,15,86,14
70,TD_23276,2018-11-29 08:30:00.000000,83,121,86,12,33,19
71,TD_23292,2013-12-05 10:00:00.000000,117,168,61,16,49,4
72,TD_23287,2016-08-25 11:00:00.000000,101,132,69,15,23,15
73,TD_23302,2017-08-31 06:00:00.000000,65,162,78,10,29,6
74,TD_23303,2017-11-30 08:30:00.000000,67,156,114,14,32,13
75,TD_23300,2012-08-30 11:00:00.000000,96,93,62,20,51,13
76,TD_23305,2017-05-25 11:00:00.000000,89,152,54,5,30,15
77,TD_23286,2016-05-26 11:00:00.000000,127,130,79,11,30,19
78,TD_23280,2018-03-01 08:30:00.000000,116,154,112,13,40,21
79,TD_23291,2013-08-29 11:00:00.000000,96,158,77,11,34,4
80,TDG_20902,2018-08-07 07:00:00.000000,85,120,113,5,47,10
81,TDG_20779,2016-02-09 06:00:00.000000,66,72,154,11,26,6
82,TDG_20900,2018-02-06 06:00:00.000000,70,144,103,20,48,5
83,TDG_20669,2013-11-14 06:00:00.000000,51,64,154,3,32,6
84,TDG_20782,2016-11-14 06:00:00.000000,66,120,139,14,50,11
85,TDG_20908,2020-02-04 06:00:00.000000,87,139,105,5,36,5
86,TDG_20664,2012-08-07 07:00:00.000000,93,99,124,14,38,9
87,TDG_20531,2017-11-09 06:00:00.000000,104,129,117,6,52,11
88,TDG_20979,2015-01-27 06:00:00.000000,40,67,91,1,30,1
89,TDG_20901,2018-05-01 05:30:00.000000,63,147,107,14,47,7
90,TDG_20785,2017-08-08 07:00:00.000000,83,122,116,5,62,10
91,TDG_20783,2017-02-07 06:00:00.000000,87,115,138,12,38,6
92,TDG_20671,2014-05-06 07:00:00.000000,73,87,129,5,23,5
93,TDG_20667,2013-05-07 07:00:00.000000,81,99,135,8,31,4
94,TDG_20663,2012-05-08 07:00:00.000000,81,100,98,34,26,3
95,TDG_20778,2015-11-12 06:00:00.000000,49,80,121,4,41,4
96,TDG_20672,2014-08-05 07:00:00.000000,53,58,95,0,15,2
97,TDG_20781,2016-08-09 07:00:00.000000,73,98,128,7,40,5
98,TDG_20907,2019-11-19 06:00:00.000000,52,101,91,5,34,7
99,TDG_20905,2019-05-07 07:00:00.000000,74,98,119,8,36,5
100,TDG_20780,2016-05-10 07:00:00.000000,61,111,106,0,27,1
101,TDG_20776,2015-05-05 07:00:00.000000,50,72,89,4,44,7
102,TDG_20903,2018-11-06 06:00:00.000000,53,111,110,13,41,10
103,TDG_20673,2014-11-13 06:00:00.000000,50,72,111,3,32,5
104,TDG_20784,2017-05-09 07:00:00.000000,82,118,145,6,48,10
105,TDG_20670,2014-02-04 06:00:00.000000,52,101,128,8,35,4
106,TDG_20662,2012-02-07 06:00:00.000000,67,126,120,13,25,9
107,TDG_20904,2019-02-05 06:00:00.000000,69,103,121,11,47,5
108,TDG_20777,2015-08-04 07:00:00.000000,72,76,132,3,23,4
109,TEL_20004,2018-07-25 04:30:00.000000,107,158,56,1,41,8
110,TEL_19918,2017-01-25 03:30:00.000000,83,238,93,3,69,3
111,TEL_19845,2014-07-23 04:30:00.000000,128,165,65,7,62,4
112,TEL_20005,2018-10-31 04:30:00.000000,106,136,57,3,36,8
113,TEL_19846,2014-10-29 04:30:00.000000,116,190,98,2,36,2
114,TEL_19730,2015-10-28 04:30:00.000000,170,143,97,0,84,4
115,TEL_19847,2015-01-28 03:30:00.000000,130,212,111,8,77,4
116,TEL_20008,2019-07-24 04:30:00.000000,137,121,52,3,41,6
117,TEL_20100,2013-04-24 04:30:00.000000,61,98,47,2,12,0
118,TEL_20010,2020-01-29 03:30:00.000000,120,110,43,1,37,4
119,TEL_19848,2015-04-22 04:30:00.000000,150,195,53,2,75,7
120,TEL_20101,2013-01-23 03:30:00.000000,80,119,72,3,25,4
121,TEL_19724,2018-04-25 04:30:00.000000,85,163,47,6,49,6
122,TEL_19916,2016-07-20 04:30:00.000000,135,154,69,6,41,5
123,TEL_19844,2014-04-23 04:30:00.000000,123,185,62,3,25,10
