,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,V_21970,2017-07-20 13:00:00.000000,81,155,71,18,37,6
1,V_21975,2018-10-24 13:00:00.000000,81,169,95,39,80,14
2,V_22359,2015-07-24 13:00:00.000000,99,100,99,10,54,15
3,V_22325,2013-02-06 12:00:00.000000,62,148,49,20,52,9
4,V_22357,2015-01-29 12:00:00.000000,111,111,85,11,53,5
5,V_22323,2012-07-25 13:00:00.000000,102,101,62,72,42,7
6,V_22354,2014-04-24 13:00:00.000000,88,101,62,26,34,11
7,V_22384,2015-11-02 03:00:00.000000,155,222,122,53,182,24
8,V_22324,2012-10-31 13:00:00.000000,79,103,57,25,52,8
9,V_22100,2019-07-23 13:00:00.000000,88,164,72,14,50,7
10,V_22385,2016-01-28 12:00:00.000000,146,151,100,13,62,13
11,V_22358,2015-04-30 13:00:00.000000,93,178,83,14,70,5
12,V_22356,2014-10-29 13:00:00.000000,100,125,70,18,49,12
13,V_22387,2016-07-21 13:00:00.000000,122,157,74,50,79,16
14,V_22099,2019-01-30 12:00:00.000000,114,106,79,11,45,8
15,V_22321,2012-02-08 12:00:00.000000,64,126,64,26,50,24
16,V_22355,2014-07-24 13:00:00.000000,110,109,75,11,51,4
17,V_21973,2018-04-25 13:00:00.000000,72,164,62,20,39,5
18,V_22101,2020-01-30 12:00:00.000000,116,132,113,7,41,11
19,V_22389,2017-02-02 12:00:00.000000,91,163,82,18,39,11
20,V_22327,2013-07-24 13:00:00.000000,98,82,71,32,39,12
21,V_21971,2017-10-25 04:00:00.000000,87,131,87,31,68,4
22,V_21974,2018-07-25 13:00:00.000000,87,159,58,28,35,6
23,V_22326,2013-05-01 13:00:00.000000,93,100,78,27,59,18
24,V_22386,2016-04-21 13:00:00.000000,142,138,80,14,71,6
25,V_22322,2012-05-02 13:00:00.000000,66,111,59,22,52,12
26,V_22390,2017-04-20 13:00:00.000000,85,147,83,28,47,12
27,V_22388,2016-10-24 13:00:00.000000,127,171,114,4,103,10
28,V_22353,2014-01-30 03:30:00.000000,128,97,64,41,38,12
29,VAR_21535,2016-10-26 13:00:00.000000,57,141,68,5,51,7
30,VAR_21478,2012-07-25 13:00:00.000000,105,97,102,7,52,6
31,VAR_21537,2017-04-26 13:00:00.000000,61,105,91,3,41,7
32,VAR_21536,2017-01-25 12:00:00.000000,84,122,106,8,51,9
33,VAR_21586,2018-07-25 13:00:00.000000,51,101,70,7,32,6
34,VAR_21530,2015-04-29 13:00:00.000000,85,87,52,8,27,3
