,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,WAT_22153,2020-02-04 03:00:00.000000,93,186,108,7,32,7
1,WAT_21915,2013-10-22 04:30:00.000000,126,120,115,1,48,11
2,WAT_21841,2012-10-23 04:30:00.000000,108,131,123,8,40,8
3,WAT_21920,2015-07-28 04:30:00.000000,94,186,120,9,54,8
4,WAT_22176,2014-01-28 03:30:00.000000,74,157,103,4,48,5
5,WAT_21840,2012-04-24 04:30:00.000000,106,84,98,10,22,1
6,WAT_21923,2016-07-26 04:00:00.000000,81,191,95,1,28,13
7,WAT_22045,2018-01-23 03:00:00.000000,74,239,105,10,55,5
8,WAT_21922,2016-04-26 04:30:00.000000,82,221,89,8,27,7
9,WAT_22173,2016-10-25 04:00:00.000000,110,181,110,7,28,10
10,WAT_21842,2013-01-22 03:30:00.000000,111,180,135,10,42,8
11,WAT_22049,2019-04-23 04:00:00.000000,131,195,80,8,42,8
12,WAT_22047,2018-10-23 04:00:00.000000,65,178,83,3,42,6
13,WAT_21917,2014-10-21 04:30:00.000000,77,168,106,9,46,5
14,WAT_22043,2017-07-25 04:00:00.000000,77,189,89,7,33,6
15,WAT_22155,2019-07-30 04:00:00.000000,86,201,105,3,30,4
16,WAT_22046,2018-04-24 04:00:00.000000,91,193,116,5,43,5
17,WAT_22044,2017-10-24 04:00:00.000000,80,226,94,11,47,9
18,WAT_22042,2017-04-26 04:00:00.000000,99,231,102,14,43,7
19,WAT_22175,2014-04-29 04:30:00.000000,115,147,103,6,40,6
20,WAT_21843,2013-04-23 04:30:00.000000,90,172,125,3,31,6
21,WAT_21839,2012-01-24 03:30:00.000000,73,119,123,9,34,6
22,WAT_21918,2015-01-27 03:30:00.000000,87,180,102,1,68,9
23,WAT_22157,2018-07-24 04:00:00.000000,85,197,79,8,45,8
24,WAT_22174,2016-01-26 03:30:00.000000,90,198,88,6,35,4
25,WAT_21921,2015-10-27 04:30:00.000000,82,224,98,3,42,8
26,WAT_21916,2014-07-22 04:30:00.000000,110,165,129,4,36,8
27,WAT_22200,2013-07-23 04:30:00.000000,146,137,146,6,39,5
28,WAT_22154,2019-10-29 04:00:00.000000,117,159,83,8,33,9
29,WBA_22257,2018-12-20 03:30:00.000000,75,174,56,11,95,5
30,WBA_22438,2015-07-09 04:30:00.000000,76,200,69,6,82,11
31,WBA_22268,2016-07-06 04:30:00.000000,68,184,70,24,89,5
32,WBA_22439,2019-06-27 04:30:00.000000,93,148,71,16,60,8
33,WBA_22258,2019-04-02 04:30:00.000000,137,227,113,17,113,19
34,WBA_22254,2018-03-28 04:30:00.000000,43,190,70,17,55,11
35,WBA_22267,2016-04-05 04:30:00.000000,90,194,116,26,78,15
36,WBA_22445,2020-01-08 03:30:00.000000,96,211,89,24,83,5
37,WBA_22266,2016-01-08 03:30:00.000000,74,259,105,14,93,16
38,WBA_22253,2018-01-04 03:30:00.000000,67,164,66,21,62,9
39,WBA_22259,2019-10-28 04:30:00.000000,85,155,73,13,48,6
40,WBA_22271,2017-04-05 04:30:00.000000,66,211,80,18,90,13
41,WBA_22270,2017-01-05 03:30:00.000000,67,152,93,14,87,11
42,WBA_22429,2017-10-25 04:30:00.000000,103,338,94,11,99,9
43,WBA_22272,2017-06-29 04:30:00.000000,106,258,107,13,112,10
44,WBA_22256,2018-10-11 04:30:00.000000,69,221,79,21,72,5
45,WDC_22018,2018-10-25 13:30:00.000000,96,74,55,2,40,17
46,WDC_22403,2013-01-23 13:00:00.000000,64,113,95,2,34,8
47,WDC_22414,2012-07-25 13:00:00.000000,51,92,69,9,38,11
48,WDC_22210,2014-01-22 12:00:00.000000,87,131,88,11,38,12
49,WDC_22406,2013-07-24 13:00:00.000000,63,104,86,8,33,4
50,WDC_22019,2019-01-24 12:30:00.000000,86,92,60,4,57,5
51,WDC_22023,2020-01-30 12:00:00.000000,62,160,72,0,44,14
52,WDC_22020,2019-04-29 13:00:00.000000,71,117,60,9,49,7
53,WDC_22412,2012-04-26 13:00:00.000000,51,96,87,13,40,16
54,WDC_22178,2017-07-27 13:30:00.000000,50,153,73,2,41,17
55,WDC_21901,2018-04-26 13:30:00.000000,52,117,52,2,35,15
56,WDC_21897,2017-01-25 12:00:00.000000,56,140,68,2,31,15
57,WDC_21802,2015-01-28 12:00:00.000000,65,81,77,9,34,7
58,WDC_21894,2016-04-29 13:00:00.000000,71,72,67,5,41,6
59,WDC_21893,2016-01-28 12:00:00.000000,91,82,93,5,41,7
60,WDC_21898,2017-04-27 13:30:00.000000,41,112,57,4,33,6
61,WDC_21892,2015-10-29 16:00:00.000000,75,78,77,10,39,4
62,WDC_22375,2012-01-23 12:00:00.000000,76,79,92,32,72,26
63,WDC_22420,2013-04-24 13:00:00.000000,56,80,86,2,23,8
64,WDC_22022,2019-10-30 12:30:00.000000,72,142,54,0,60,6
65,WDC_21899,2017-10-26 13:00:00.000000,59,127,48,27,58,21
66,WDC_21895,2016-07-28 13:00:00.000000,73,114,87,2,79,8
67,WDC_22021,2019-07-31 13:30:00.000000,70,142,72,7,50,8
68,WDC_22204,2014-10-28 13:00:00.000000,59,99,78,6,39,8
69,WDC_22206,2014-07-30 13:00:00.000000,43,103,76,2,37,4
70,WDC_22241,2015-07-29 13:00:00.000000,63,62,79,2,30,8
71,WDC_22208,2014-04-30 13:00:00.000000,92,122,108,6,38,16
72,WDC_21668,2013-10-24 14:00:00.000000,65,76,86,4,32,11
