,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,XEC_5576,2015-11-04 06:00:00.000000,68,118,60,0,81,3
1,XEC_5459,2015-05-05 07:00:00.000000,67,129,69,1,57,7
2,XEC_5375,2013-02-19 08:00:00.000000,63,133,81,5,58,8
3,XEC_5577,2015-08-05 07:00:00.000000,87,154,95,1,65,17
4,XEC_5568,2017-11-08 06:00:00.000000,92,160,83,5,58,10
5,XEC_5508,2018-08-08 07:00:00.000000,58,126,61,6,71,12
6,XEC_5507,2018-05-09 07:00:00.000000,95,125,96,11,39,28
7,XEC_5372,2012-05-03 09:00:00.000000,43,55,64,1,9,5
8,XEC_5458,2015-02-18 06:00:00.000000,84,148,85,6,71,16
9,XEC_5512,2019-08-06 07:00:00.000000,74,121,80,5,46,8
10,XEC_5574,2016-05-05 07:00:00.000000,75,176,84,7,66,11
11,XEC_5573,2016-08-04 07:00:00.000000,85,185,70,1,77,9
12,XEC_5382,2014-11-05 06:00:00.000000,70,106,75,4,65,10
13,XEC_5374,2012-11-02 09:00:00.000000,49,75,49,2,24,9
14,XEC_5569,2017-08-09 07:00:00.000000,55,135,63,1,45,19
15,XEC_5376,2013-05-07 09:00:00.000000,43,87,75,4,47,4
16,XEC_5377,2013-08-07 09:00:00.000000,48,104,61,3,32,6
17,XEC_5570,2017-05-10 07:00:00.000000,74,136,65,7,50,12
18,XEC_5510,2019-02-21 06:00:00.000000,76,150,80,2,65,15
19,XEC_5380,2014-05-07 09:00:00.000000,46,104,64,4,34,8
20,XEC_5506,2018-02-16 06:00:00.000000,104,191,87,1,69,7
21,XEC_5571,2017-02-16 06:00:00.000000,78,130,86,5,84,9
22,XEC_5379,2014-02-19 08:00:00.000000,60,101,86,1,52,12
23,XEC_5371,2012-02-15 08:00:00.000000,70,117,70,3,56,19
24,XEC_5511,2019-05-09 07:00:00.000000,88,114,65,9,37,11
25,XEC_5572,2016-11-03 07:00:00.000000,85,148,102,8,74,19
26,XEC_5381,2014-08-06 09:00:00.000000,66,128,77,5,68,14
