,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,ZBH_23252,2015-07-31 04:00:00.000000,91,239,66,7,52,5
1,ZBH_23155,2018-01-30 03:00:00.000000,95,190,118,18,65,17
2,ZBH_23254,2016-01-28 03:00:00.000000,69,181,78,9,28,2
3,ZBH_23158,2016-04-28 04:00:00.000000,67,182,64,4,27,2
4,ZBH_23266,2018-10-26 04:30:00.000000,127,221,92,20,105,8
5,ZBH_23162,2017-04-27 04:00:00.000000,74,148,43,24,19,3
6,ZBH_23267,2019-02-01 03:30:00.000000,136,224,84,24,80,9
7,ZBH_23157,2018-07-27 04:30:00.000000,116,203,79,13,57,19
8,ZBH_0,2020-02-04 03:30:00.000000,124,258,85,6,63,7
9,ZBH_23160,2016-10-31 04:00:00.000000,77,154,57,5,24,8
10,ZBH_23159,2016-07-28 04:00:00.000000,63,144,50,2,35,6
11,ZBH_23161,2017-01-31 03:00:00.000000,76,176,107,13,38,8
12,ZBH_23268,2019-04-26 04:30:00.000000,103,228,80,15,72,16
13,ZBH_23253,2015-10-29 04:00:00.000000,79,151,61,6,38,3
14,ZBH_23156,2018-04-26 04:30:00.000000,122,173,92,26,71,16
15,ZBH_23164,2017-11-01 04:00:00.000000,130,172,84,13,50,10
16,ZBH_23269,2019-07-26 04:30:00.000000,98,267,66,9,67,7
17,ZION_23245,2014-10-20 13:30:00.000000,111,74,79,8,33,26
18,ZION_23238,2013-01-28 12:30:00.000000,152,99,151,17,47,24
19,ZION_23146,2018-10-23 13:30:00.000000,95,122,90,5,41,8
20,ZION_23244,2014-07-22 13:30:00.000000,118,100,115,12,58,44
21,ZION_23147,2019-01-22 12:30:00.000000,64,113,96,5,30,14
22,ZION_23249,2015-10-19 13:30:00.000000,152,124,115,5,34,17
23,ZION_23246,2015-01-26 12:30:00.000000,138,93,136,11,61,20
24,ZION_23178,2012-10-23 13:30:00.000000,108,125,129,5,24,17
25,ZION_23243,2014-04-21 13:30:00.000000,139,91,112,13,51,27
26,ZION_23242,2014-01-27 12:30:00.000000,153,107,115,13,36,20
27,ZION_23260,2016-10-25 13:30:00.000000,110,144,98,7,30,14
28,ZION_23262,2017-04-25 13:30:00.000000,108,128,89,6,33,16
29,ZION_23215,2012-01-23 12:30:00.000000,128,108,91,18,44,14
30,ZION_23263,2017-07-25 13:30:00.000000,91,133,118,9,32,22
31,ZION_23258,2016-04-26 13:30:00.000000,155,136,117,9,47,20
32,ZION_23241,2013-10-21 13:30:00.000000,112,88,102,12,37,26
33,ZION_23240,2013-07-22 13:30:00.000000,108,118,103,18,61,25
34,ZION_23148,2019-04-23 13:30:00.000000,109,154,101,4,42,10
35,ZION_23150,2019-10-22 07:30:00.000000,114,140,89,8,54,6
36,ZION_23259,2016-07-27 13:30:00.000000,112,160,101,4,35,24
37,ZION_23216,2012-04-23 13:30:00.000000,147,90,115,6,44,15
38,ZION_23261,2017-01-24 12:30:00.000000,117,130,119,5,47,26
39,ZION_23272,2018-07-24 13:30:00.000000,88,141,96,16,44,22
40,ZION_23149,2019-07-22 13:30:00.000000,110,102,74,1,30,13
41,ZION_23265,2018-01-22 12:30:00.000000,87,167,101,18,41,14
42,ZION_23151,2018-04-23 13:30:00.000000,70,156,83,9,31,13
43,ZION_23165,2016-01-25 12:30:00.000000,151,109,134,3,30,16
44,ZION_23239,2013-04-22 13:30:00.000000,123,101,113,10,32,24
45,ZION_23145,2020-01-21 12:30:00.000000,81,85,61,9,30,6
46,ZTS_23234,2016-11-02 04:30:00.000000,87,169,32,3,60,9
47,ZTS_23181,2014-08-05 04:30:00.000000,82,109,58,12,66,8
48,ZTS_23195,2013-11-05 03:30:00.000000,69,115,58,8,57,10
49,ZTS_23168,2018-08-02 04:30:00.000000,101,194,74,8,79,7
50,ZTS_23166,2017-11-02 04:30:00.000000,77,142,44,3,55,13
51,ZTS_23183,2015-02-11 03:30:00.000000,87,179,73,5,83,16
52,ZTS_23169,2018-11-01 04:30:00.000000,84,173,56,8,73,3
53,ZTS_23232,2016-05-04 04:30:00.000000,91,183,80,5,71,12
54,ZTS_23182,2014-11-04 03:30:00.000000,101,186,80,5,72,9
55,ZTS_23194,2013-08-06 04:30:00.000000,103,128,65,2,70,11
56,ZTS_23179,2014-02-11 03:30:00.000000,101,138,85,4,94,12
57,ZTS_23193,2013-04-30 06:00:00.000000,87,103,81,6,109,10
58,ZTS_23171,2019-05-02 04:30:00.000000,110,157,69,3,82,5
59,ZTS_23257,2020-02-13 03:30:00.000000,115,189,90,8,70,12
60,ZTS_23184,2015-05-05 04:30:00.000000,95,238,74,8,136,15
61,ZTS_23235,2017-02-16 03:30:00.000000,99,215,53,12,127,11
62,ZTS_23167,2018-05-02 04:30:00.000000,95,174,63,4,93,2
63,ZTS_23230,2015-11-03 03:30:00.000000,110,226,66,13,61,11
64,ZTS_23180,2014-05-06 04:30:00.000000,115,128,60,5,93,9
65,ZTS_23231,2016-02-16 03:30:00.000000,130,199,76,13,97,13
66,ZTS_23233,2016-08-03 04:30:00.000000,112,227,74,6,102,15
67,ZTS_23255,2019-08-06 04:30:00.000000,98,148,66,1,100,6
68,ZTS_23256,2019-11-07 03:30:00.000000,118,206,83,4,78,12
69,ZTS_23170,2019-02-14 03:30:00.000000,74,179,60,3,90,13
