,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,D_6979,2015-11-02 05:00:00.000000,59,58,51,13,38,11
1,D_7152,2018-04-27 06:00:00.000000,59,106,76,18,59,9
2,D_6799,2014-07-30 06:00:00.000000,64,67,47,12,42,6
3,D_7156,2019-05-03 06:00:00.000000,54,85,57,38,44,9
4,D_7155,2019-02-01 05:00:00.000000,74,96,57,59,63,18
5,D_6987,2017-10-30 06:00:00.000000,41,83,51,27,45,6
6,D_6797,2014-01-31 05:00:00.000000,74,85,65,17,59,7
7,D_6984,2017-02-01 05:00:00.000000,59,89,73,29,75,9
8,D_7157,2019-07-31 06:00:00.000000,78,77,71,37,53,7
9,D_6980,2016-02-01 07:00:00.000000,75,108,72,38,71,23
10,D_6794,2013-04-25 06:00:00.000000,63,76,43,18,51,7
11,D_7159,2020-02-11 06:00:00.000000,36,108,58,58,57,18
12,D_6800,2014-10-31 06:00:00.000000,59,82,50,15,54,5
13,D_6981,2016-05-04 06:00:00.000000,54,77,55,26,38,7
14,D_6978,2015-08-05 06:00:00.000000,39,89,45,20,55,7
15,D_6796,2013-11-05 05:00:00.000000,70,84,55,11,74,7
16,D_6712,2012-01-27 05:00:00.000000,73,68,67,28,43,10
17,D_6713,2012-04-26 06:00:00.000000,78,83,79,18,73,12
18,D_6983,2016-10-31 09:00:00.000000,50,63,37,13,54,10
19,D_7153,2018-08-01 06:00:00.000000,50,81,39,31,54,11
20,D_6801,2015-05-04 06:00:00.000000,54,79,54,24,39,12
21,D_7151,2018-01-29 05:00:00.000000,41,77,50,23,48,11
22,D_7154,2018-11-01 07:00:00.000000,53,92,48,27,47,8
23,D_7158,2019-11-01 06:00:00.000000,73,97,71,60,84,14
24,D_6795,2013-08-06 06:00:00.000000,86,54,38,11,47,6
25,D_7355,2012-10-25 06:00:00.000000,82,81,67,32,52,10
26,D_6714,2012-08-01 06:00:00.000000,53,76,40,25,34,4
27,D_6985,2017-05-04 06:00:00.000000,42,70,40,29,61,4
28,DAL_6905,2013-04-23 06:00:00.000000,87,158,79,10,55,9
29,DAL_7326,2016-10-13 06:00:00.000000,135,124,75,10,65,7
30,DAL_7328,2016-04-14 06:00:00.000000,112,198,114,6,71,10
31,DAL_7082,2014-10-16 06:00:00.000000,84,165,88,1,59,5
32,DAL_7346,2012-04-25 06:00:00.000000,88,158,66,5,49,7
33,DAL_7331,2015-07-15 06:00:00.000000,115,159,57,8,63,10
34,DAL_7344,2012-10-24 06:00:00.000000,120,188,69,5,62,4
35,DAL_7264,2018-07-12 06:00:00.000000,93,234,76,5,79,5
36,DAL_7325,2017-01-12 05:00:00.000000,122,223,98,19,95,13
