,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,EA_8199,2012-10-30 13:00:00.000000,83,199,54,1,50,9
1,EA_8172,2017-05-09 13:00:00.000000,79,140,72,1,57,5
2,EA_8040,2018-01-30 12:00:00.000000,67,184,88,2,69,17
3,EA_7719,2014-10-28 13:00:00.000000,62,127,57,7,53,6
4,EA_8039,2017-10-31 13:00:00.000000,73,163,110,1,60,4
5,EA_8048,2020-01-30 12:00:00.000000,64,234,73,2,58,7
6,EA_8044,2019-02-05 12:00:00.000000,87,212,94,5,86,7
7,EA_7713,2013-05-07 13:00:00.000000,67,125,83,6,60,7
8,EA_8042,2018-07-26 13:00:00.000000,79,196,94,1,56,2
9,EA_8046,2019-07-30 13:00:00.000000,45,179,72,3,49,5
10,EA_7715,2013-10-29 13:00:00.000000,47,178,82,2,55,14
11,EA_8047,2019-10-29 13:00:00.000000,50,164,75,3,67,4
12,EA_8173,2017-01-31 12:00:00.000000,62,151,77,4,62,12
13,EA_8045,2019-05-07 13:00:00.000000,55,166,94,2,61,8
14,EA_7712,2013-01-30 12:00:00.000000,88,198,103,8,56,5
15,EA_7897,2016-01-28 12:00:00.000000,63,134,86,3,55,10
16,EA_8231,2012-05-07 13:00:00.000000,83,203,68,12,61,3
17,EA_7895,2015-07-30 13:00:00.000000,60,173,62,6,32,2
18,EA_8171,2017-07-27 13:00:00.000000,54,177,66,1,63,11
19,EA_7714,2013-07-23 13:00:00.000000,54,120,76,4,53,14
20,EA_7716,2014-01-28 12:00:00.000000,89,171,63,7,46,7
21,EA_7718,2014-07-22 13:00:00.000000,55,169,72,7,49,13
22,EA_7896,2015-10-29 13:00:00.000000,58,128,73,1,37,4
23,EA_7720,2015-01-27 12:00:00.000000,59,169,91,2,61,4
24,EA_7894,2015-05-05 13:00:00.000000,69,182,108,1,63,5
25,EA_7898,2016-05-10 13:00:00.000000,46,180,94,5,51,2
26,EA_8043,2018-10-30 13:00:00.000000,74,193,75,0,66,5
27,EA_8041,2018-05-08 13:00:00.000000,80,144,84,9,77,14
28,EA_8230,2012-02-01 12:00:00.000000,69,197,88,1,46,4
