,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,HAL_11089,2013-01-25 04:00:00.000000,70,164,103,28,72,7
1,HAL_10916,2014-04-21 05:00:00.000000,88,137,99,21,69,10
2,HAL_10922,2015-10-19 05:00:00.000000,132,143,92,10,71,18
3,HAL_11091,2012-07-23 05:00:00.000000,85,155,82,29,55,11
4,HAL_11086,2013-10-21 05:00:00.000000,84,173,85,40,64,6
5,HAL_10785,2014-01-21 04:00:00.000000,81,176,100,35,75,6
6,HAL_11063,2018-07-23 05:00:00.000000,70,213,80,11,83,17
7,HAL_11064,2018-10-22 05:00:00.000000,63,208,75,4,79,13
8,HAL_11093,2012-01-23 04:00:00.000000,73,162,87,10,68,8
9,HAL_10921,2015-07-20 05:00:00.000000,142,150,83,11,65,19
10,HAL_10924,2016-05-03 05:00:00.000000,137,130,97,23,74,21
11,HAL_11073,2017-01-23 04:00:00.000000,110,184,108,17,78,12
12,HAL_11069,2020-01-21 04:00:00.000000,89,162,88,11,78,15
13,HAL_11092,2012-04-18 05:00:00.000000,135,162,97,30,62,8
14,HAL_11059,2017-07-24 05:00:00.000000,86,168,74,9,67,9
15,HAL_11090,2012-10-17 05:00:00.000000,73,182,82,26,69,11
16,HAL_11074,2017-04-24 05:00:00.000000,75,147,85,9,59,11
17,HAL_11067,2019-07-22 05:00:00.000000,75,164,78,6,52,11
18,HAL_11087,2013-07-22 05:00:00.000000,69,214,98,31,60,14
19,HAL_11061,2018-01-22 04:00:00.000000,75,197,85,5,55,13
20,HAL_11066,2019-04-22 05:00:00.000000,80,184,84,6,85,11
21,HAL_10917,2014-07-21 05:00:00.000000,75,170,108,13,41,14
22,HAL_10923,2016-01-25 04:00:00.000000,141,166,105,27,58,18
23,HAL_11071,2016-07-20 05:00:00.000000,139,165,101,14,87,12
24,HAL_11060,2017-10-23 05:00:00.000000,67,158,79,7,54,13
25,HAL_11068,2019-10-21 05:00:00.000000,73,163,81,9,53,13
26,HAL_11088,2013-04-22 05:00:00.000000,78,179,97,47,59,11
27,HAL_10920,2015-04-20 05:00:00.000000,150,139,92,10,80,12
28,HAL_11062,2018-04-23 05:00:00.000000,80,188,93,22,58,10
29,HAS_11028,2018-04-23 04:30:00.000000,130,188,90,6,47,5
30,HAS_10875,2015-07-20 04:30:00.000000,73,143,65,0,53,6
31,HAS_11103,2014-10-20 04:30:00.000000,90,188,66,5,43,7
32,HAS_11033,2019-07-23 04:00:00.000000,87,179,65,4,43,5
