,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,IBM_11740,2013-04-18 12:30:00.000000,108,145,56,10,26,3
1,IBM_11746,2014-10-20 04:00:00.000000,198,126,67,7,72,15
2,IBM_11745,2014-07-17 12:30:00.000000,98,141,27,7,26,8
3,IBM_11743,2014-01-21 11:30:00.000000,139,187,82,12,108,10
4,IBM_11989,2012-07-18 12:30:00.000000,76,150,44,9,20,2
5,IBM_11804,2015-04-20 12:30:00.000000,109,154,62,9,50,7
6,IBM_11738,2012-10-17 12:30:00.000000,104,142,43,10,22,5
7,IBM_11964,2018-04-18 13:00:00.000000,88,193,43,6,23,5
8,IBM_11972,2018-01-18 12:00:00.000000,89,200,65,13,57,5
9,IBM_11962,2018-10-16 13:00:00.000000,100,193,34,5,49,6
10,IBM_11744,2014-04-16 12:30:00.000000,114,106,73,6,64,3
11,IBM_11990,2012-04-17 12:30:00.000000,59,173,39,21,20,4
12,IBM_11975,2017-04-18 13:00:00.000000,91,152,41,14,59,10
13,IBM_11742,2013-10-16 12:30:00.000000,117,146,49,5,32,3
14,IBM_11807,2016-01-19 12:00:00.000000,104,155,63,10,60,7
15,IBM_11841,2016-07-19 13:00:00.000000,100,111,44,1,49,9
16,IBM_11960,2019-04-16 13:00:00.000000,117,173,55,6,20,8
17,IBM_11903,2020-01-21 12:00:00.000000,84,150,43,6,41,14
18,IBM_11806,2015-10-19 13:00:00.000000,133,121,53,7,48,4
19,IBM_11803,2015-01-20 11:30:00.000000,158,168,69,5,67,11
20,IBM_11976,2017-01-19 12:00:00.000000,104,179,55,14,66,11
21,IBM_11977,2016-10-17 13:00:00.000000,78,138,64,8,49,6
22,IBM_11805,2015-07-20 00:30:00.000000,120,148,63,5,45,6
23,IBM_11974,2017-07-19 13:00:00.000000,103,200,48,25,65,7
24,IBM_11991,2012-01-19 11:30:00.000000,67,183,50,5,16,4
25,IBM_11739,2013-01-22 11:30:00.000000,61,163,45,16,29,4
26,IBM_11808,2016-04-18 13:00:00.000000,125,143,58,3,55,9
27,IBM_11961,2019-01-22 12:00:00.000000,120,219,65,5,39,8
28,IBM_11963,2018-07-18 13:00:00.000000,78,181,36,5,30,4
29,ICE_11982,2013-11-05 03:30:00.000000,80,132,89,24,43,11
30,ICE_11906,2018-05-03 04:30:00.000000,73,169,73,24,51,2
31,ICE_11968,2015-02-05 03:30:00.000000,120,167,146,41,61,22
32,ICE_11911,2019-08-01 04:30:00.000000,55,100,57,13,36,3
33,ICE_11851,2017-08-03 04:30:00.000000,69,129,91,24,48,10
34,ICE_11913,2020-02-06 03:30:00.000000,75,129,87,20,74,10
35,ICE_11850,2017-05-03 04:30:00.000000,71,127,85,22,35,10
36,ICE_11846,2016-05-04 04:30:00.000000,85,151,74,26,44,8
37,ICE_11908,2018-10-31 04:30:00.000000,98,143,93,16,61,9
38,ICE_11971,2014-05-08 04:30:00.000000,134,218,133,60,74,20
39,ICE_11987,2012-08-01 04:30:00.000000,101,190,154,89,110,34
40,ICE_11984,2013-05-01 04:30:00.000000,79,126,105,53,50,29
41,ICE_11912,2019-10-31 04:30:00.000000,55,126,66,27,33,5
42,ICE_11909,2019-02-07 03:30:00.000000,80,118,83,26,55,15
43,ICE_11842,2015-05-05 04:30:00.000000,60,146,80,45,34,10
44,ICE_11905,2018-02-07 03:30:00.000000,81,160,64,15,91,10
45,ICE_11970,2014-08-07 04:30:00.000000,124,119,98,35,60,15
46,ICE_11818,2012-02-08 03:30:00.000000,111,185,141,46,65,11
47,ICE_11985,2013-02-06 03:30:00.000000,82,155,122,66,56,24
48,ICE_11844,2015-10-28 04:30:00.000000,70,160,68,17,88,16
49,ICE_11843,2015-08-05 04:30:00.000000,58,166,64,29,43,15
50,ICE_11848,2016-11-01 04:30:00.000000,77,121,82,19,62,14
51,ICE_11983,2013-08-06 04:30:00.000000,74,125,94,45,43,22
52,ICE_11988,2012-05-02 04:30:00.000000,114,198,145,56,72,21
53,ICE_11969,2014-11-04 03:30:00.000000,114,229,148,51,51,16
54,ICE_11986,2012-11-05 03:30:00.000000,108,164,118,66,70,37
55,ICE_11910,2019-05-02 04:30:00.000000,80,109,60,23,37,6
56,ICE_11847,2016-08-03 04:30:00.000000,70,164,112,23,34,7
57,ICE_11981,2014-02-11 03:30:00.000000,101,134,112,50,84,24
58,IDXX_11400,2012-01-27 04:00:00.000000,80,143,81,21,44,6
59,IDXX_11530,2020-01-31 03:30:00.000000,32,221,71,1,35,3
60,IDXX_11522,2018-02-01 03:30:00.000000,44,264,52,5,53,10
61,IDXX_11405,2013-04-23 05:00:00.000000,74,189,79,4,53,8
62,IDXX_11528,2019-08-01 04:30:00.000000,49,271,77,3,34,4
63,IDXX_11452,2014-10-24 04:30:00.000000,47,215,71,4,52,10
64,IDXX_11526,2019-02-01 03:30:00.000000,39,207,63,1,27,5
65,IDXX_11406,2013-07-23 05:00:00.000000,70,167,71,5,40,9
66,IDXX_11402,2012-07-20 05:00:00.000000,71,150,90,11,32,2
67,IDXX_11527,2019-05-01 04:30:00.000000,45,231,65,1,28,3
68,IDXX_11518,2017-02-02 03:30:00.000000,46,232,72,4,53,5
69,IDXX_11457,2016-01-29 03:30:00.000000,51,214,70,7,51,13
70,IDXX_11523,2018-05-04 04:30:00.000000,42,236,57,2,31,4
71,IDXX_11521,2017-10-31 04:30:00.000000,66,250,83,6,36,7
72,IDXX_11454,2015-04-28 04:30:00.000000,59,206,59,7,40,6
73,IDXX_11456,2015-10-28 04:00:00.000000,53,198,89,6,39,22
74,IDXX_11529,2019-10-31 04:30:00.000000,37,239,101,0,50,7
75,IDXX_11520,2017-08-01 04:30:00.000000,48,273,75,4,56,5
76,IDXX_11525,2018-11-01 04:30:00.000000,54,223,85,2,33,9
77,IDXX_11407,2013-10-22 04:30:00.000000,70,164,82,4,37,5
78,IDXX_11455,2015-07-30 04:30:00.000000,55,196,70,7,51,7
79,IDXX_11404,2013-01-29 04:00:00.000000,48,151,73,6,54,4
80,IDXX_11519,2017-04-28 04:30:00.000000,39,313,58,4,43,8
81,IDXX_11401,2012-04-20 05:00:00.000000,88,154,109,27,58,11
82,IDXX_11524,2018-08-01 04:30:00.000000,47,212,67,0,32,7
83,IDXX_11450,2014-04-25 04:30:00.000000,54,228,62,4,34,6
84,IDXX_11460,2016-11-01 04:30:00.000000,40,229,70,2,37,10
85,IDXX_11403,2012-10-19 05:00:00.000000,43,154,63,8,51,8
86,IDXX_11458,2016-04-29 04:30:00.000000,37,199,76,3,24,7
87,IFF_11644,2012-08-10 06:00:00.000000,89,214,68,9,50,6
88,IFF_11877,2019-08-06 06:00:00.000000,96,186,88,5,50,5
89,IFF_11647,2013-05-07 06:00:00.000000,62,298,68,3,52,4
90,IFF_11759,2014-05-06 06:00:00.000000,54,258,46,1,36,8
91,IFF_11630,2015-05-12 06:00:00.000000,63,180,59,2,35,2
92,IFF_11878,2019-11-05 05:00:00.000000,93,216,71,8,42,5
93,IFF_11621,2017-11-07 05:00:00.000000,69,236,84,2,25,6
94,IFF_11638,2017-05-09 06:00:00.000000,108,176,109,6,29,8
95,IFF_11634,2016-05-10 06:00:00.000000,57,173,94,1,28,8
96,IFF_11637,2017-02-16 05:00:00.000000,74,280,77,12,51,8
97,IFF_11761,2014-11-04 05:00:00.000000,90,271,77,2,71,8
98,IFF_11875,2019-02-14 05:00:00.000000,94,183,85,0,69,3
99,IFF_11874,2018-11-06 05:00:00.000000,81,203,101,4,55,2
100,IFF_11635,2016-08-09 06:00:00.000000,61,192,70,0,42,5
101,IFF_11642,2012-02-09 05:00:00.000000,100,241,92,7,49,9
102,IFF_11872,2018-02-15 05:00:00.000000,90,191,98,13,41,5
103,IFF_11650,2014-02-13 05:00:00.000000,66,351,89,8,68,10
104,IFF_11631,2015-08-11 06:00:00.000000,77,244,91,4,48,5
105,IFF_11879,2020-02-13 05:00:00.000000,80,183,77,3,60,8
106,IFF_11632,2015-11-10 05:00:00.000000,58,273,91,3,35,6
107,IFF_11649,2013-11-05 05:00:00.000000,60,236,53,2,30,7
108,IFF_11629,2015-02-12 05:00:00.000000,49,222,57,1,29,1
109,IFF_11760,2014-08-05 06:00:00.000000,101,239,70,3,61,3
110,IFF_11876,2019-05-07 06:00:00.000000,84,174,65,6,43,2
111,IFF_11648,2013-08-06 06:00:00.000000,80,302,68,1,40,7
112,IFF_11873,2018-08-08 06:00:00.000000,83,231,118,10,67,7
113,IFF_11643,2012-05-08 06:00:00.000000,54,134,61,5,27,0
114,IFF_11645,2012-11-06 05:00:00.000000,63,226,52,4,41,3
115,ILMN_11359,2013-10-21 13:00:00.000000,76,165,117,6,52,8
116,ILMN_11361,2014-04-23 13:00:00.000000,69,141,104,11,45,6
117,ILMN_11363,2014-10-21 13:00:00.000000,70,201,107,15,57,8
118,ILMN_11496,2019-01-29 12:00:00.000000,48,84,73,4,61,9
119,ILMN_11419,2016-07-26 13:00:00.000000,86,172,82,11,55,10
120,ILMN_11360,2014-01-28 12:00:00.000000,70,134,124,7,80,15
121,ILMN_11311,2013-01-28 12:00:00.000000,79,159,151,13,95,10
122,ILMN_11427,2018-07-30 13:00:00.000000,58,134,81,4,58,2
123,ILMN_11418,2016-05-04 13:00:00.000000,141,142,119,14,68,8
124,ILMN_11424,2017-10-24 13:00:00.000000,54,128,87,5,80,12
125,ILMN_11364,2015-01-27 07:00:00.000000,66,159,144,24,106,6
126,ILMN_11428,2018-10-24 13:00:00.000000,57,133,97,4,54,16
127,ILMN_11309,2012-07-25 13:00:00.000000,81,151,143,10,76,8
128,ILMN_11426,2018-04-24 13:00:00.000000,55,163,91,14,63,4
129,ILMN_11366,2015-07-21 13:00:00.000000,72,142,109,10,77,10
130,ILMN_11497,2019-04-25 13:00:00.000000,59,117,94,5,51,7
131,ILMN_11362,2014-07-24 13:00:00.000000,75,135,134,25,75,10
132,ILMN_11358,2013-07-23 13:00:00.000000,64,177,124,22,76,14
133,ILMN_11367,2015-10-21 13:00:00.000000,68,136,86,18,66,5
134,ILMN_11307,2012-02-08 12:00:00.000000,67,149,139,8,80,14
135,ILMN_11500,2020-01-29 12:00:00.000000,64,102,84,10,61,9
136,ILMN_11312,2013-04-22 13:00:00.000000,53,135,99,16,47,10
137,ILMN_11423,2017-08-02 12:30:00.000000,47,114,78,2,49,3
138,ILMN_11425,2018-01-30 12:00:00.000000,32,130,96,8,63,9
139,ILMN_11308,2012-04-23 13:00:00.000000,80,141,157,10,58,13
140,ILMN_11498,2019-07-29 13:00:00.000000,68,108,106,10,58,6
141,ILMN_11420,2016-11-01 13:00:00.000000,77,146,103,10,61,6
142,ILMN_11421,2017-01-31 12:00:00.000000,53,115,87,7,87,7
143,ILMN_11368,2016-02-03 12:00:00.000000,71,118,119,16,65,8
144,INCY_11967,2019-07-30 04:00:00.000000,114,134,82,20,70,11
145,INCY_11836,2017-05-04 06:00:00.000000,114,99,80,10,52,5
146,INCY_11797,2015-11-03 05:00:00.000000,77,80,65,5,39,4
147,INCY_11993,2014-05-01 04:30:00.000000,91,111,85,7,70,7
148,INCY_11838,2017-10-31 06:00:00.000000,82,151,85,6,43,6
149,INCY_11799,2016-05-09 06:00:00.000000,83,105,81,5,65,2
150,INCY_11837,2017-08-01 06:00:00.000000,99,117,71,5,45,6
151,INCY_11798,2016-02-11 05:00:00.000000,85,91,89,5,50,4
152,INCY_11965,2020-02-13 03:00:00.000000,69,99,71,13,28,6
153,INCY_11902,2019-04-30 04:00:00.000000,83,123,83,7,68,13
154,INCY_11900,2018-10-30 04:00:00.000000,82,144,87,18,46,14
155,INCY_11997,2013-05-02 04:30:00.000000,98,109,91,6,37,8
156,INCY_11839,2018-02-15 03:00:00.000000,94,115,102,13,66,10
157,INCY_11676,2012-02-15 03:30:00.000000,106,94,96,10,54,16
158,INCY_11994,2014-02-12 03:30:00.000000,89,154,122,10,53,9
159,INCY_11795,2015-04-30 04:00:00.000000,66,83,46,2,29,6
160,INCY_11800,2016-08-09 06:00:00.000000,103,126,88,11,41,6
161,INCY_11792,2014-07-31 04:30:00.000000,101,98,84,10,53,10
162,INCY_11899,2018-07-31 04:00:00.000000,86,155,91,8,35,3
163,INCY_11802,2017-02-14 05:00:00.000000,82,102,84,13,55,11
164,INCY_11796,2015-08-04 06:00:00.000000,72,82,48,1,15,2
165,INCY_11966,2019-10-29 04:00:00.000000,70,149,103,8,41,7
166,INCY_11737,2012-11-01 04:30:00.000000,148,124,90,6,43,14
167,INCY_11995,2013-10-31 04:30:00.000000,85,135,118,2,68,4
168,INCY_11801,2016-11-01 06:00:00.000000,116,130,82,3,50,5
169,INCY_11998,2013-02-14 03:30:00.000000,104,119,86,7,46,5
170,INCY_11677,2012-04-26 04:30:00.000000,85,85,89,4,47,13
171,INCY_11794,2015-02-12 03:30:00.000000,96,91,75,4,36,6
172,INCY_11685,2012-08-02 04:30:00.000000,158,90,127,2,54,11
173,INFO_11442,2016-09-27 04:00:00.000000,101,187,77,9,56,14
174,INFO_11443,2017-01-17 03:00:00.000000,110,204,63,16,29,3
175,INFO_11510,2018-03-29 04:00:00.000000,73,147,64,9,17,5
176,INFO_11513,2019-01-15 03:00:00.000000,122,168,82,13,40,6
177,INFO_11516,2019-09-24 05:00:00.000000,113,132,70,10,43,3
178,INFO_11445,2017-06-27 04:00:00.000000,95,219,61,12,49,5
179,INFO_11446,2017-09-26 04:00:00.000000,85,198,79,11,52,18
180,INFO_11514,2019-03-26 04:00:00.000000,73,112,61,19,44,6
181,INFO_11448,2018-01-16 03:00:00.000000,72,187,44,16,27,10
182,INFO_11515,2019-06-26 04:00:00.000000,78,183,51,5,44,10
183,INFO_11511,2018-06-26 04:00:00.000000,60,151,50,4,30,11
184,INFO_11444,2017-03-28 04:00:00.000000,116,231,76,11,29,4
185,INFO_11512,2018-09-25 04:00:00.000000,61,127,56,5,32,7
186,INTC_11206,2014-04-15 13:00:00.000000,86,134,53,5,29,8
187,INTC_11612,2019-04-25 13:00:00.000000,83,135,71,1,23,10
188,INTC_11230,2013-10-15 13:00:00.000000,89,103,85,3,70,4
189,INTC_11610,2019-10-24 13:00:00.000000,67,166,57,1,48,9
190,INTC_11609,2020-01-23 12:00:00.000000,65,167,56,0,67,15
191,INTC_11179,2016-07-20 13:30:00.000000,72,127,58,0,27,6
192,INTC_11210,2014-10-14 13:00:00.000000,67,122,63,0,34,6
193,INTC_11226,2013-04-16 13:00:00.000000,58,122,69,3,34,4
194,INTC_11170,2018-04-26 13:00:00.000000,75,161,76,1,44,6
195,INTC_11172,2018-10-25 13:00:00.000000,51,159,51,1,40,15
196,INTC_11222,2012-10-16 13:00:00.000000,86,73,70,0,33,2
197,INTC_11276,2012-04-17 13:00:00.000000,87,128,77,2,30,7
198,INTC_11613,2019-01-24 12:00:00.000000,67,141,63,2,36,17
199,INTC_11224,2013-01-17 12:00:00.000000,60,101,65,2,47,5
200,INTC_11611,2019-07-25 13:00:00.000000,83,174,74,2,35,13
201,INTC_11169,2018-01-25 12:00:00.000000,65,150,75,5,50,13
202,INTC_11183,2017-07-27 13:00:00.000000,56,152,49,1,20,5
203,INTC_11228,2013-07-17 13:00:00.000000,70,125,46,0,51,1
204,INTC_11220,2012-07-17 13:00:00.000000,73,77,51,1,20,1
205,INTC_11195,2015-10-13 13:00:00.000000,68,114,60,2,50,8
206,INTC_11180,2016-10-19 13:00:00.000000,101,139,56,3,39,6
207,INTC_11171,2018-07-26 13:00:00.000000,82,178,53,2,32,4
208,INTC_11190,2015-01-15 12:00:00.000000,78,136,71,0,53,6
209,INTC_11196,2016-01-14 12:00:00.000000,76,105,48,1,51,4
210,INTC_11181,2017-01-27 12:00:00.000000,70,174,100,4,56,11
211,INTC_11197,2016-04-19 13:00:00.000000,97,142,70,5,61,3
212,INTC_11250,2012-01-19 12:30:00.000000,58,90,66,3,38,1
213,INTC_11194,2015-07-15 13:00:00.000000,79,121,68,10,47,2
214,INTC_11182,2017-04-27 13:00:00.000000,57,132,60,3,41,14
215,IP_11787,2014-07-29 05:00:00.000000,122,190,78,11,31,12
216,IP_11781,2013-01-29 04:00:00.000000,119,169,78,4,59,8
217,IP_11894,2019-01-31 06:00:00.000000,107,176,75,7,51,7
218,IP_11736,2012-02-02 04:00:00.000000,95,187,74,6,45,4
219,IP_11890,2018-02-01 05:00:00.000000,77,183,59,7,49,9
220,IP_11786,2014-04-30 05:00:00.000000,152,178,79,4,33,5
221,IP_11790,2015-04-29 05:00:00.000000,104,153,71,7,42,10
222,IP_11893,2018-10-25 06:00:00.000000,104,171,80,5,65,16
223,IP_11789,2015-01-28 04:00:00.000000,145,226,120,7,67,16
224,IP_11896,2019-07-25 06:00:00.000000,132,139,78,4,51,7
225,IP_11791,2015-07-29 05:00:00.000000,121,214,93,5,49,14
226,IP_11785,2014-02-04 04:00:00.000000,120,187,75,1,61,2
227,IP_11784,2013-10-24 05:00:00.000000,98,168,82,6,49,6
228,IP_11835,2017-10-25 06:00:00.000000,92,162,89,16,53,12
