,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,JBHT_12682,2020-01-17 05:00:00.000000,118,129,85,11,51,11
1,JBHT_12691,2019-10-15 13:00:00.000000,84,118,106,12,47,5
2,JBHT_11999,2018-10-16 13:30:00.000000,121,124,123,37,47,13
3,JBHT_12692,2019-07-15 13:00:00.000000,81,125,93,16,17,4
4,JCI_12381,2015-04-23 07:00:00.000000,78,209,78,10,30,8
5,JCI_12377,2014-10-30 07:00:00.000000,70,209,74,10,49,12
6,JCI_12533,2016-07-21 07:00:00.000000,70,179,72,8,51,10
7,JCI_12529,2016-01-28 06:00:00.000000,78,190,66,2,29,7
8,JCI_12234,2013-10-29 07:00:00.000000,121,173,89,10,33,6
9,JCI_12535,2016-11-08 06:00:00.000000,77,202,85,2,37,14
10,JCI_12230,2013-04-23 07:00:00.000000,136,186,91,8,50,9
11,JCI_12115,2012-04-20 07:00:00.000000,103,170,82,12,28,3
12,JCI_12238,2014-04-23 07:00:00.000000,95,174,103,7,45,7
13,JCI_12383,2015-07-24 07:00:00.000000,65,188,82,3,83,7
14,JCI_12649,2019-07-31 05:00:00.000000,65,160,54,6,29,7
15,JCI_12121,2013-01-18 06:00:00.000000,79,102,68,13,20,3
16,JCI_12647,2019-02-01 04:30:00.000000,58,223,50,5,35,3
17,JCI_12644,2018-05-01 07:00:00.000000,70,180,50,3,30,10
18,JCI_12232,2013-07-18 07:00:00.000000,120,217,59,11,45,5
19,JCI_12385,2015-10-29 07:00:00.000000,78,171,69,6,34,7
20,JCI_12119,2012-10-30 07:00:00.000000,128,148,92,12,36,6
21,JCI_12539,2017-11-11 06:00:00.000000,72,126,58,7,42,10
22,JCI_12648,2019-05-01 04:30:00.000000,58,189,59,3,40,9
23,JCI_12117,2012-07-19 07:00:00.000000,109,179,96,11,41,3
24,JCI_12537,2017-04-27 07:00:00.000000,69,175,61,6,39,10
25,JCI_12646,2018-11-08 03:30:00.000000,65,187,69,2,30,5
26,JCI_12236,2014-01-23 06:00:00.000000,92,175,109,12,48,3
27,JCI_12379,2015-01-22 05:00:00.000000,67,149,74,9,75,9
28,JCI_12536,2017-02-01 06:00:00.000000,55,198,52,12,26,5
29,JCI_12643,2018-01-31 06:00:00.000000,89,158,72,6,48,13
30,JCI_12538,2017-07-27 07:00:00.000000,108,154,66,0,40,9
31,JCI_12645,2018-07-31 07:00:00.000000,80,232,67,4,25,7
32,JCI_12650,2019-11-07 03:30:00.000000,79,202,62,7,30,6
33,JNJ_12387,2017-01-24 03:30:00.000000,131,300,131,17,85,14
34,JNJ_12542,2018-07-17 04:30:00.000000,155,268,112,26,63,11
35,JNJ_12079,2012-01-24 03:30:00.000000,169,440,148,39,86,21
36,JNJ_12541,2018-04-17 04:30:00.000000,120,261,100,6,73,6
37,JNJ_12131,2015-01-20 03:30:00.000000,131,335,132,16,70,12
38,JNJ_12129,2014-07-15 04:30:00.000000,134,383,156,13,87,11
39,JNJ_12388,2017-04-18 04:30:00.000000,110,123,103,14,52,2
40,JNJ_12080,2012-04-17 04:30:00.000000,158,168,103,44,42,8
41,JNJ_12652,2018-10-16 04:30:00.000000,140,282,144,12,51,5
42,JNJ_12245,2016-10-18 04:30:00.000000,122,288,140,20,79,7
43,JNJ_12655,2019-07-16 04:30:00.000000,161,287,75,23,45,6
44,JNJ_12241,2015-10-13 04:30:00.000000,177,320,111,11,90,13
45,JNJ_12082,2012-10-16 04:30:00.000000,138,313,121,21,59,18
46,JNJ_12243,2016-04-19 04:30:00.000000,116,181,93,7,36,1
47,JNJ_12127,2014-01-21 03:30:00.000000,131,464,160,22,74,16
48,JNJ_12390,2017-10-17 04:30:00.000000,164,228,91,11,58,3
49,JNJ_12244,2016-07-19 04:30:00.000000,152,367,131,19,59,10
50,JNJ_12654,2019-04-16 04:30:00.000000,135,225,82,11,39,7
51,JNJ_12123,2013-01-22 03:30:00.000000,141,366,126,24,89,34
52,JNJ_12540,2018-01-23 03:30:00.000000,163,316,124,39,87,23
53,JNJ_12133,2015-07-14 04:30:00.000000,152,389,115,29,110,22
54,JNJ_12132,2015-04-14 04:30:00.000000,128,181,101,23,34,5
55,JNJ_12124,2013-04-16 04:30:00.000000,146,188,126,19,49,1
56,JNJ_12130,2014-10-14 04:30:00.000000,111,148,103,23,47,10
57,JNJ_12081,2012-07-17 04:30:00.000000,170,331,165,54,101,33
58,JNJ_12126,2013-10-15 04:30:00.000000,139,322,120,11,85,5
59,JNJ_12125,2013-07-16 04:30:00.000000,169,374,122,19,93,18
60,JNJ_12657,2020-01-22 03:00:00.000000,148,316,111,21,58,12
61,JNJ_12656,2019-10-15 04:30:00.000000,162,301,108,29,57,2
62,JNPR_12632,2019-04-25 13:00:00.000000,93,181,109,8,61,10
63,JNPR_12625,2017-07-25 13:00:00.000000,114,179,70,3,50,9
64,JNPR_12516,2014-07-22 14:01:00.000000,117,145,39,17,35,23
65,JNPR_12366,2012-01-26 12:00:00.000000,129,147,96,6,48,12
66,JNPR_12635,2020-01-28 12:00:00.000000,99,184,84,2,49,13
67,JNPR_12634,2019-10-24 13:00:00.000000,119,183,86,5,41,13
68,JNPR_12520,2015-07-24 13:00:00.000000,111,188,73,4,48,19
69,JNPR_12517,2014-10-23 13:00:00.000000,129,126,76,5,38,22
70,JNPR_12629,2018-07-27 13:00:00.000000,105,181,101,1,63,9
71,JNPR_12523,2016-04-29 13:00:00.000000,102,173,74,1,38,18
72,JNPR_12630,2018-10-23 13:00:00.000000,111,147,83,2,51,16
73,JNPR_12518,2015-01-27 12:00:00.000000,133,159,78,5,54,36
74,JNPR_12521,2015-10-23 13:00:00.000000,84,170,77,6,43,15
75,JNPR_12621,2016-07-26 13:00:00.000000,116,180,55,0,38,11
76,JNPR_12622,2016-10-26 13:00:00.000000,89,161,69,1,36,11
77,JNPR_12627,2018-01-31 12:00:00.000000,123,137,91,6,40,6
78,JNPR_12511,2013-04-23 13:00:00.000000,81,187,51,9,31,12
79,JNPR_12626,2017-10-24 13:00:00.000000,140,144,91,4,34,14
80,JNPR_12368,2012-07-24 13:00:00.000000,82,162,70,6,51,6
81,JNPR_12370,2013-01-24 12:00:00.000000,87,195,59,8,55,15
82,JNPR_12515,2014-04-23 13:00:00.000000,162,227,63,23,63,21
83,JNPR_12367,2012-04-24 13:00:00.000000,82,162,64,5,44,14
84,JNPR_12628,2018-05-01 13:00:00.000000,92,169,68,1,31,12
85,JNPR_12633,2019-07-25 13:00:00.000000,91,184,86,2,50,6
86,JNPR_12513,2013-10-22 13:00:00.000000,105,195,59,9,38,12
87,JNPR_12522,2016-01-27 12:00:00.000000,106,204,98,0,51,15
88,JNPR_12514,2014-01-23 12:00:00.000000,65,155,51,7,39,8
89,JNPR_12519,2015-04-24 13:00:00.000000,90,184,56,13,79,18
90,JNPR_12624,2017-04-26 13:00:00.000000,101,151,65,4,52,12
91,JPM_12103,2012-07-13 03:30:00.000000,345,198,319,50,107,49
92,JPM_12638,2019-01-15 03:30:00.000000,223,202,105,13,64,11
93,JPM_12639,2019-04-12 04:30:00.000000,131,185,97,9,31,7
94,JPM_12637,2018-10-12 04:30:00.000000,108,120,81,7,41,10
95,JPM_12224,2014-07-15 04:30:00.000000,174,217,137,28,95,25
96,JPM_12528,2018-04-13 04:30:00.000000,97,107,79,6,28,8
97,JPM_12102,2012-04-13 04:30:00.000000,143,108,97,34,34,9
98,JPM_12526,2017-10-12 04:30:00.000000,107,142,97,14,43,4
99,JPM_12642,2020-01-14 03:30:00.000000,102,124,55,4,32,8
100,JPM_12373,2016-07-14 04:30:00.000000,113,158,96,21,60,15
