,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,M_14018,2013-05-15 06:30:00.000000,71,134,70,5,33,1
1,M_13771,2013-08-14 06:30:00.000000,84,162,109,5,30,8
2,M_13943,2018-02-27 05:00:00.000000,84,285,90,7,65,17
3,M_13770,2013-02-26 05:30:00.000000,61,159,83,2,37,14
4,M_14002,2016-02-23 04:00:00.000000,139,166,101,3,53,6
5,M_13854,2014-05-14 06:30:00.000000,90,204,106,5,41,4
6,M_13950,2019-11-21 03:00:00.000000,90,242,74,2,48,9
7,M_13946,2018-11-14 04:30:00.000000,64,202,47,5,70,7
8,M_14003,2015-11-11 04:00:00.000000,157,241,134,5,106,15
9,M_14001,2016-05-11 05:00:00.000000,128,148,83,9,44,9
10,M_13940,2017-02-21 05:00:00.000000,130,234,159,9,79,17
11,M_13772,2013-11-13 05:30:00.000000,66,157,67,4,35,2
12,M_13977,2017-11-09 05:00:00.000000,99,206,43,5,38,7
13,M_13951,2020-02-25 03:00:00.000000,124,228,99,4,75,16
14,M_13858,2015-05-13 05:00:00.000000,105,140,72,3,52,5
15,M_14335,2016-08-11 06:00:00.000000,130,235,96,15,98,18
16,M_13766,2012-02-21 05:30:00.000000,55,108,80,2,49,4
17,M_13855,2014-08-13 06:30:00.000000,55,163,50,3,36,4
18,M_13945,2018-08-15 05:30:00.000000,67,269,60,7,59,6
19,M_14000,2016-11-10 05:00:00.000000,93,228,93,8,53,7
20,M_13773,2014-02-25 05:30:00.000000,84,250,103,2,61,10
21,M_13949,2019-08-14 05:30:00.000000,126,256,84,2,76,13
22,M_13857,2015-02-24 05:30:00.000000,67,148,100,4,65,6
23,M_13767,2012-05-09 06:30:00.000000,65,150,78,6,38,7
24,M_13944,2018-05-16 05:30:00.000000,57,202,72,6,63,11
25,M_13941,2017-05-12 06:00:00.000000,107,255,97,6,60,7
26,M_13942,2017-08-10 06:00:00.000000,105,216,125,7,51,14
27,M_13859,2015-08-12 05:00:00.000000,113,184,79,5,58,8
28,MA_13519,2016-04-28 05:00:00.000000,102,126,65,17,37,10
29,MA_13631,2014-07-31 05:00:00.000000,68,98,76,15,43,11
30,MA_13595,2013-10-31 04:30:00.000000,78,117,63,25,32,11
31,MA_13594,2013-07-31 05:00:00.000000,82,140,113,31,66,10
32,MA_13820,2018-07-26 05:00:00.000000,80,138,62,9,43,5
33,MA_13512,2017-07-27 05:00:00.000000,71,185,50,11,40,7
34,MA_13632,2015-01-30 04:00:00.000000,70,114,89,21,57,10
35,MA_13900,2019-10-29 05:00:00.000000,91,131,53,8,55,6
36,MA_13818,2018-02-01 04:00:00.000000,65,133,69,4,81,7
37,MA_13507,2018-10-30 05:00:00.000000,82,155,50,6,55,10
38,MA_13898,2019-04-30 05:00:00.000000,71,126,72,10,59,10
39,MA_13590,2012-08-01 05:00:00.000000,89,148,96,38,57,9
40,MA_13525,2014-01-31 04:00:00.000000,121,124,85,34,50,13
41,MA_13719,2017-05-02 05:00:00.000000,76,136,68,11,49,7
42,MA_14033,2016-10-28 05:00:00.000000,74,119,72,24,52,8
43,MA_13819,2018-05-02 05:00:00.000000,56,139,54,7,52,8
44,MA_13513,2017-10-31 05:00:00.000000,82,131,53,24,42,5
45,MA_13899,2019-07-30 05:00:00.000000,63,131,68,27,50,6
46,MA_13589,2012-02-02 04:00:00.000000,81,110,80,33,44,7
47,MA_13901,2020-01-29 04:00:00.000000,99,115,67,5,54,7
48,MA_13518,2016-01-29 04:00:00.000000,80,116,62,11,44,7
49,MA_14043,2014-10-30 05:00:00.000000,82,110,68,23,59,10
50,MA_13634,2015-07-29 05:00:00.000000,73,113,78,30,58,14
51,MA_13717,2016-07-28 05:00:00.000000,88,132,65,38,44,11
52,MA_14070,2014-05-01 04:30:00.000000,118,120,106,53,74,21
53,MA_13592,2013-01-31 04:00:00.000000,81,130,81,21,55,9
54,MA_14046,2012-05-02 05:00:00.000000,87,141,82,20,49,10
55,MA_13718,2017-01-31 04:00:00.000000,83,136,79,20,42,10
56,MA_13635,2015-10-29 05:00:00.000000,97,109,85,15,47,7
57,MAA_14992,2017-10-27 06:00:00.000000,67,224,92,6,52,12
58,MAA_15040,2019-01-31 05:00:00.000000,84,180,137,10,63,11
59,MAA_15041,2018-08-05 06:00:00.000000,49,139,42,7,24,6
60,MAA_15080,2016-07-31 06:00:00.000000,79,159,72,6,44,7
61,MAA_14859,2013-02-07 05:00:00.000000,53,117,89,8,23,5
62,MAA_14871,2016-02-04 05:00:00.000000,59,115,68,5,42,7
63,MAA_14873,2016-10-28 06:00:00.000000,53,144,63,5,39,8
64,MAA_14866,2014-11-01 06:00:00.000000,56,136,39,10,37,5
65,MAA_14860,2013-05-03 06:00:00.000000,51,85,60,7,25,6
66,MAA_14989,2017-02-02 05:00:00.000000,86,178,107,5,73,6
67,MAA_14867,2015-02-05 05:00:00.000000,89,174,82,8,49,6
68,MAA_14870,2015-10-29 06:00:00.000000,62,198,84,9,43,4
69,MAA_14864,2014-05-02 06:00:00.000000,60,122,70,5,63,4
70,MAA_14868,2015-04-30 06:00:00.000000,77,185,83,6,44,4
71,MAA_15163,2018-02-01 05:00:00.000000,116,222,102,13,57,12
72,MAA_14861,2013-08-01 06:00:00.000000,48,77,88,15,42,6
73,MAA_14872,2016-05-07 06:00:00.000000,58,170,90,3,35,4
74,MAA_15036,2020-01-30 05:00:00.000000,53,150,88,6,53,7
75,MAA_14990,2017-04-27 06:00:00.000000,80,234,96,12,70,17
76,MAA_14869,2015-07-30 06:00:00.000000,55,224,91,4,43,10
77,MAA_14865,2014-08-02 06:00:00.000000,61,158,81,6,45,6
78,MAA_14862,2013-11-07 05:00:00.000000,81,120,93,9,52,9
79,MAA_14991,2017-07-27 06:00:00.000000,58,188,77,8,43,5
80,MAA_15038,2019-08-02 06:00:00.000000,66,145,79,2,56,8
81,MAA_14863,2014-02-06 05:00:00.000000,48,92,51,4,34,11
82,MAC_13953,2015-10-28 09:30:00.000000,101,74,60,6,41,13
83,MAC_13967,2018-08-03 10:00:00.000000,80,86,67,9,56,2
84,MAC_13985,2014-10-29 09:30:00.000000,70,132,76,12,61,11
85,MAC_13975,2016-05-04 09:30:00.000000,74,119,75,5,42,4
86,MAC_13976,2016-02-05 08:30:00.000000,72,111,69,1,53,5
87,MAC_13989,2013-10-29 19:00:00.000000,62,151,78,17,46,11
88,MAC_13986,2014-07-24 11:30:00.000000,69,125,76,5,38,4
89,MAC_13973,2020-02-06 08:00:00.000000,104,81,95,14,44,5
90,MAC_13969,2019-02-07 08:00:00.000000,144,76,118,4,54,13
91,MAC_13988,2014-02-05 08:30:00.000000,74,179,95,7,51,11
92,MAC_13991,2013-05-02 09:30:00.000000,56,151,80,12,49,3
93,MAC_13984,2015-02-05 08:30:00.000000,114,147,103,8,55,8
94,MAC_13995,2012-05-02 09:30:00.000000,66,128,68,16,43,20
95,MAC_13956,2017-02-07 09:00:00.000000,86,110,81,7,33,6
96,MAC_14402,2015-04-30 09:30:00.000000,57,148,92,10,74,4
97,MAC_13971,2019-08-01 09:00:00.000000,99,100,79,5,48,9
98,MAC_13958,2017-08-06 08:00:00.000000,99,110,73,8,55,9
99,MAC_13955,2016-10-29 10:00:00.000000,137,142,86,8,53,4
100,MAC_13987,2014-04-30 09:30:00.000000,66,124,69,14,53,2
101,MAC_13957,2017-04-28 09:30:00.000000,121,118,81,6,63,3
102,MAC_13970,2019-05-04 09:00:00.000000,114,80,84,6,40,13
103,MAC_13990,2013-08-06 08:00:00.000000,77,110,80,11,36,6
104,MAC_13993,2012-10-31 09:30:00.000000,86,188,104,13,72,12
105,MAC_13954,2016-08-01 10:00:00.000000,69,138,76,6,35,2
106,MAC_13964,2017-10-31 10:00:00.000000,79,133,82,9,58,2
107,MAC_13952,2015-07-23 12:30:00.000000,73,117,90,12,65,6
108,MAC_13994,2012-08-01 09:30:00.000000,48,138,82,9,61,2
109,MAC_13966,2018-05-04 10:00:00.000000,52,65,52,7,25,1
110,MAC_13965,2018-02-06 09:00:00.000000,101,121,71,7,43,5
111,MAR_14333,2016-02-18 05:00:00.000000,114,163,126,11,64,12
112,MAR_13843,2014-10-29 06:00:00.000000,111,141,165,4,54,3
113,MAR_13757,2014-04-30 06:00:00.000000,88,146,104,8,38,9
114,MAR_13925,2017-08-07 13:30:00.000000,86,185,121,9,52,10
115,MAR_13755,2014-02-20 05:00:00.000000,86,138,92,19,62,9
116,MAR_14030,2013-10-31 06:00:00.000000,110,163,112,15,51,8
117,MAR_13924,2017-02-16 05:00:00.000000,129,206,147,18,63,10
118,MAR_13851,2015-10-29 06:00:00.000000,127,154,148,8,45,7
119,MAR_13932,2019-08-06 07:00:00.000000,126,180,144,5,55,9
120,MAR_13759,2014-07-30 06:00:00.000000,90,137,107,8,38,11
121,MAR_13847,2015-04-30 06:00:00.000000,105,165,122,15,58,18
122,MAR_13926,2017-11-08 05:00:00.000000,123,195,115,9,64,7
123,MAR_13930,2019-03-01 05:00:00.000000,136,168,121,8,70,14
124,MAR_13929,2018-11-06 05:00:00.000000,131,225,175,15,71,15
125,MAR_13751,2013-05-02 06:00:00.000000,115,139,139,10,53,15
126,MAR_13923,2016-11-08 05:00:00.000000,142,226,139,13,65,13
127,MAR_13979,2018-05-09 06:00:00.000000,90,212,118,13,69,15
128,MAR_13753,2013-08-01 06:00:00.000000,144,143,129,26,52,12
129,MAR_13931,2019-05-10 09:00:00.000000,114,170,134,8,81,11
130,MAR_13848,2015-07-30 06:00:00.000000,96,160,113,10,56,18
131,MAR_13922,2016-07-28 06:00:00.000000,129,180,155,5,69,13
132,MAR_13933,2019-11-05 06:00:00.000000,134,199,127,8,84,15
133,MAR_13980,2017-05-09 06:00:00.000000,99,225,120,11,66,9
134,MAR_13506,2016-05-01 06:00:00.000000,125,153,106,16,67,12
135,MAR_13660,2013-02-20 05:00:00.000000,121,122,132,5,62,7
136,MAR_13655,2012-07-12 06:00:00.000000,111,109,94,5,48,8
137,MAR_13927,2018-02-15 05:00:00.000000,114,240,139,20,106,12
138,MAR_13657,2012-10-04 06:00:00.000000,102,140,109,9,45,11
139,MAS_13832,2017-02-09 03:00:00.000000,76,242,100,2,48,8
140,MAS_13909,2019-04-25 04:00:00.000000,112,171,123,0,30,8
141,MAS_13903,2017-10-24 04:00:00.000000,91,186,76,1,64,9
142,MAS_13823,2014-07-29 04:00:00.000000,104,210,87,1,62,10
143,MAS_13821,2014-02-11 03:00:00.000000,75,210,92,0,41,9
144,MAS_13907,2018-10-30 04:00:00.000000,115,165,106,1,32,4
145,MAS_13732,2012-10-30 04:00:00.000000,104,174,100,5,43,2
146,MAS_13829,2016-04-26 04:00:00.000000,53,231,83,1,47,10
147,MAS_14012,2016-02-09 03:00:00.000000,73,242,80,0,33,20
148,MAS_13734,2013-07-30 04:00:00.000000,88,235,87,6,28,9
149,MAS_13906,2018-07-31 04:00:00.000000,77,159,95,3,26,6
150,MAS_13828,2015-10-27 04:00:00.000000,79,194,69,0,31,5
151,MAS_13908,2019-02-07 03:00:00.000000,97,175,105,3,42,4
152,MAS_13912,2020-02-11 03:00:00.000000,118,109,103,2,50,7
153,MAS_14032,2013-02-12 03:00:00.000000,115,191,92,2,26,1
154,MAS_13825,2015-02-09 03:30:00.000000,99,182,78,1,40,5
