,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,O_18293,2019-11-05 09:30:00.000000,30,68,63,5,24,3
1,O_18153,2015-04-30 10:30:00.000000,34,50,79,3,35,3
2,O_18159,2016-10-27 10:30:00.000000,29,109,83,3,34,5
3,O_18289,2018-08-02 10:30:00.000000,64,61,38,3,18,3
4,O_18286,2017-10-26 10:30:00.000000,55,96,75,6,43,2
5,O_18290,2018-11-01 10:30:00.000000,30,65,65,8,29,2
6,O_18151,2014-10-30 12:30:00.000000,34,86,86,6,30,4
7,O_17989,2012-07-26 12:30:00.000000,63,81,61,17,33,3
8,O_18148,2014-02-13 11:30:00.000000,51,82,80,5,39,5
9,O_18156,2016-02-12 09:30:00.000000,27,94,80,5,34,4
10,O_18161,2017-04-26 10:30:00.000000,20,62,56,3,40,2
11,O_18149,2014-05-02 12:30:00.000000,51,91,71,3,26,2
12,O_17988,2012-04-26 12:30:00.000000,50,83,57,7,55,4
13,O_17993,2013-07-26 12:30:00.000000,36,100,67,3,32,3
14,O_17992,2013-04-25 12:30:00.000000,55,128,127,4,55,6
15,O_18405,2019-08-06 10:30:00.000000,47,74,73,6,31,7
16,O_18162,2017-07-27 10:30:00.000000,35,78,50,5,18,2
17,O_18292,2019-05-03 10:30:00.000000,39,58,78,3,37,4
18,O_17991,2013-02-14 11:30:00.000000,54,92,73,4,61,3
19,O_18291,2019-02-21 09:30:00.000000,37,57,68,5,26,9
20,O_17990,2012-10-25 12:30:00.000000,56,102,65,6,43,3
21,O_18150,2014-07-24 12:30:00.000000,45,92,72,4,32,6
22,O_18154,2015-07-30 10:30:00.000000,52,117,122,9,25,7
23,O_18158,2016-07-28 10:30:00.000000,45,103,62,3,31,4
24,O_17987,2012-02-09 11:30:00.000000,61,107,69,8,62,0
25,O_18404,2020-02-20 09:30:00.000000,71,111,111,6,30,6
26,O_18157,2016-04-27 10:30:00.000000,37,89,81,7,24,4
27,O_18288,2018-05-09 10:30:00.000000,26,64,47,4,19,1
28,O_18155,2015-10-29 10:30:00.000000,46,96,103,8,42,13
29,OKE_15980,2014-11-05 06:00:00.000000,79,93,89,13,71,11
30,OKE_16307,2019-05-01 07:00:00.000000,56,52,62,19,45,6
31,OKE_15955,2013-05-01 07:00:00.000000,87,41,61,18,43,7
32,OKE_16306,2019-02-26 06:00:00.000000,60,99,94,10,58,5
33,OKE_16463,2015-08-05 07:00:00.000000,48,95,75,12,44,8
34,OKE_16073,2015-02-24 06:00:00.000000,64,94,103,15,40,4
35,OKE_16178,2018-08-01 07:00:00.000000,49,70,57,15,36,2
36,OKE_15978,2014-08-06 07:00:00.000000,86,96,80,19,40,14
37,OKE_16175,2017-11-01 07:00:00.000000,61,108,96,10,65,12
38,OKE_16081,2016-05-04 07:00:00.000000,61,123,90,24,45,10
39,OKE_16079,2016-02-23 06:00:00.000000,68,77,90,15,32,7
40,OKE_16504,2012-05-02 07:00:00.000000,58,111,84,24,60,23
41,OKE_15976,2014-05-07 07:00:00.000000,63,72,69,20,34,11
42,OKE_16488,2014-02-25 06:00:00.000000,77,97,80,16,47,8
43,OKE_16310,2020-02-25 06:00:00.000000,58,69,88,12,59,6
44,OKE_16305,2018-10-31 07:00:00.000000,59,90,94,31,45,16
45,OKE_16174,2017-08-02 07:00:00.000000,47,79,54,10,48,8
46,OKE_15950,2012-08-01 07:00:00.000000,72,74,85,31,103,17
47,OKE_16176,2018-02-27 06:00:00.000000,45,91,82,33,64,14
48,OKE_16309,2019-10-30 07:00:00.000000,58,73,77,6,46,9
49,OKE_16308,2019-07-31 07:00:00.000000,57,91,83,18,77,6
50,OKE_16077,2015-11-04 06:00:00.000000,62,89,75,26,49,3
51,OKE_15954,2013-02-26 06:00:00.000000,101,84,115,10,50,5
52,OKE_15973,2013-11-06 06:00:00.000000,42,36,63,17,25,9
53,OKE_16177,2018-05-02 07:00:00.000000,43,53,76,19,45,17
54,OMC_16099,2013-04-18 04:30:00.000000,104,126,63,8,27,1
55,OMC_16313,2018-02-15 03:30:00.000000,71,146,60,2,63,12
56,OMC_16186,2015-07-21 04:30:00.000000,84,113,68,1,36,6
57,OMC_16315,2018-10-16 04:30:00.000000,62,145,61,9,51,4
58,OMC_16319,2019-10-15 04:30:00.000000,83,132,50,1,38,3
59,OMC_16188,2016-02-09 03:30:00.000000,78,153,67,2,42,10
60,OMC_16183,2014-10-21 04:30:00.000000,82,122,59,4,27,7
61,OMC_16193,2017-04-18 04:30:00.000000,80,144,73,4,27,11
62,OMC_16632,2018-07-17 04:30:00.000000,69,148,65,8,34,7
63,OMC_16096,2012-07-17 04:30:00.000000,79,133,68,6,32,6
64,OMC_16100,2013-07-18 04:30:00.000000,69,137,61,1,36,7
65,OMC_16095,2012-04-17 04:30:00.000000,70,153,78,4,40,10
66,OMC_16098,2013-02-12 03:30:00.000000,80,144,60,0,35,8
67,OMC_16317,2019-04-16 05:30:00.000000,80,137,46,9,52,5
68,OMC_16179,2013-10-15 04:30:00.000000,69,182,59,14,50,7
69,OMC_16185,2015-04-21 04:30:00.000000,73,119,76,7,32,8
70,OMC_16190,2016-07-14 04:30:00.000000,105,139,97,11,47,7
71,OMC_16192,2017-02-07 03:30:00.000000,80,163,55,4,53,10
72,OMC_16182,2014-07-22 04:30:00.000000,60,126,41,0,33,8
73,OMC_16318,2019-07-17 04:30:00.000000,82,145,53,4,37,5
74,OMC_16181,2014-04-22 04:30:00.000000,78,153,50,14,57,12
75,OMC_16312,2017-10-17 04:30:00.000000,95,145,45,2,39,10
76,OMC_16320,2020-02-11 03:30:00.000000,90,151,56,4,39,5
77,OMC_16314,2018-04-17 04:30:00.000000,86,165,79,7,42,15
78,OMC_16094,2012-02-14 03:30:00.000000,77,140,60,12,31,12
79,OMC_16097,2012-10-16 04:30:00.000000,87,138,73,8,26,13
80,OMC_16316,2019-02-12 03:30:00.000000,73,159,69,4,33,4
81,OMC_16184,2015-02-10 03:30:00.000000,89,133,64,3,45,5
82,ORCL_16294,2016-09-15 13:00:00.000000,50,102,50,5,33,2
83,ORCL_16162,2013-03-20 13:00:00.000000,62,69,45,4,16,2
84,ORCL_16301,2018-09-17 13:00:00.000000,53,84,43,4,35,13
85,ORCL_16164,2013-09-18 13:00:00.000000,49,92,52,2,17,4
86,ORCL_16163,2013-06-20 13:00:00.000000,66,80,70,3,35,3
87,ORCL_16159,2012-06-19 14:00:00.000000,47,91,48,3,19,7
88,ORCL_16302,2019-03-14 13:00:00.000000,53,78,41,4,26,6
89,ORCL_16296,2017-03-15 13:00:00.000000,45,52,41,5,31,1
90,ORCL_16299,2018-03-19 13:00:00.000000,50,50,51,6,45,5
91,ORCL_16171,2015-09-16 13:00:00.000000,72,95,64,14,76,5
92,ORCL_16427,2018-12-17 12:00:00.000000,28,85,43,6,32,4
93,ORCL_16160,2012-09-20 13:00:00.000000,54,72,35,2,22,4
94,ORCL_16161,2012-12-18 12:00:00.000000,44,105,35,1,26,3
95,ORCL_16304,2019-12-12 12:00:00.000000,46,78,45,5,38,6
96,ORCL_16168,2014-12-17 12:00:00.000000,67,94,52,6,40,6
97,ORCL_16300,2018-06-19 13:00:00.000000,44,71,44,4,23,6
98,ORCL_16426,2019-06-19 13:00:00.000000,58,88,57,3,42,11
99,ORCL_16170,2015-06-17 13:00:00.000000,50,75,55,13,45,3
100,ORCL_16158,2012-03-20 13:00:00.000000,75,78,51,1,32,3
101,ORCL_16169,2015-03-17 13:00:00.000000,65,91,66,4,39,3
102,ORCL_16295,2016-12-15 12:00:00.000000,65,93,57,6,51,2
103,ORCL_16298,2017-12-14 12:00:00.000000,45,76,73,9,39,9
104,ORCL_16165,2013-12-18 12:00:00.000000,56,107,51,4,50,4
105,ORCL_16516,2017-09-14 13:00:00.000000,63,89,52,3,52,6
106,ORCL_16293,2016-06-16 13:00:00.000000,48,104,57,7,42,4
107,ORCL_16167,2014-06-19 13:00:00.000000,70,105,58,8,37,2
108,ORCL_16291,2015-12-16 10:30:00.000000,39,87,43,3,37,1
109,ORCL_16303,2019-09-12 13:30:00.000000,91,92,50,3,36,10
110,ORLY_16339,2019-07-25 07:00:00.000000,83,124,71,4,60,8
111,ORLY_16214,2014-04-24 07:00:00.000000,94,151,67,5,34,9
112,ORLY_16209,2012-10-25 07:00:00.000000,85,211,80,3,54,14
113,ORLY_16340,2019-10-25 07:00:00.000000,61,180,68,4,56,13
114,ORLY_16338,2019-04-25 07:00:00.000000,81,156,87,3,41,10
115,ORLY_16329,2016-05-01 07:00:00.000000,78,188,72,6,53,10
116,ORLY_16417,2015-10-30 07:00:00.000000,58,166,65,9,27,6
117,ORLY_16328,2016-02-11 06:00:00.000000,64,170,56,3,52,9
118,ORLY_16217,2015-04-23 07:00:00.000000,68,189,64,4,32,8
119,ORLY_16332,2017-07-27 07:00:00.000000,97,163,78,7,42,8
120,ORLY_16416,2016-07-31 07:00:00.000000,79,175,92,4,35,8
121,ORLY_16207,2012-04-26 07:00:00.000000,84,204,82,5,49,3
122,ORLY_16210,2013-02-07 06:00:00.000000,63,252,72,6,67,15
123,ORLY_16630,2016-10-27 07:00:00.000000,55,165,65,6,33,7
124,ORLY_16333,2017-10-26 07:00:00.000000,109,171,79,4,43,14
125,ORLY_16212,2013-07-25 07:00:00.000000,59,260,73,7,57,12
126,ORLY_16330,2017-02-08 06:00:00.000000,85,188,62,4,50,7
127,ORLY_16211,2013-04-25 07:00:00.000000,78,175,84,7,39,16
128,ORLY_16341,2020-02-06 06:00:00.000000,86,148,56,10,63,4
129,ORLY_16434,2013-10-24 07:00:00.000000,96,178,77,6,59,14
130,ORLY_16208,2012-07-26 07:00:00.000000,126,171,94,6,34,7
131,ORLY_16215,2014-10-23 07:00:00.000000,48,190,56,8,39,9
132,ORLY_16335,2018-04-26 07:00:00.000000,69,173,64,5,42,11
133,ORLY_15925,2015-08-01 07:00:00.000000,58,168,60,8,60,5
134,ORLY_16331,2017-04-27 07:00:00.000000,95,190,73,3,46,5
135,ORLY_16415,2018-07-26 07:00:00.000000,64,152,72,5,37,12
136,ORLY_16206,2012-02-09 06:00:00.000000,77,222,80,6,54,11
137,ORLY_16336,2018-10-25 07:00:00.000000,70,158,60,4,56,10
138,OXY_16201,2017-11-02 07:00:00.000000,55,227,88,4,56,16
139,OXY_16459,2014-01-30 05:00:00.000000,62,178,82,11,81,13
140,OXY_16196,2016-08-03 06:00:00.000000,89,196,94,6,62,19
141,OXY_16195,2016-05-05 07:00:00.000000,81,201,74,5,38,17
142,OXY_16325,2019-02-13 07:00:00.000000,85,248,116,12,98,14
143,OXY_16104,2012-10-25 07:30:00.000000,116,118,108,8,57,8
144,OXY_16103,2012-07-26 07:30:00.000000,68,63,48,6,30,7
145,OXY_16101,2012-01-25 06:30:00.000000,80,90,65,14,74,16
146,OXY_16200,2017-08-03 07:00:00.000000,63,160,86,2,71,4
147,OXY_16454,2015-05-06 06:00:00.000000,98,178,81,14,53,8
148,OXY_16199,2017-05-04 07:00:00.000000,57,181,97,12,67,12
149,OXY_16326,2019-08-01 08:00:00.000000,58,211,62,4,113,11
150,OXY_16453,2015-07-30 06:00:00.000000,73,163,81,8,39,11
151,OXY_16102,2012-04-26 07:30:00.000000,74,52,66,12,36,13
152,OXY_16322,2018-05-09 07:00:00.000000,75,189,78,10,59,11
153,OXY_16461,2013-07-30 06:00:00.000000,78,184,106,11,56,26
154,OXY_16460,2013-10-29 06:00:00.000000,76,198,99,11,75,16
155,OXY_16321,2018-02-14 06:00:00.000000,53,211,77,11,78,10
156,OXY_16107,2015-10-28 07:00:00.000000,112,153,106,8,42,19
157,OXY_16198,2017-02-09 05:00:00.000000,50,235,94,10,51,10
158,OXY_16323,2018-08-09 07:00:00.000000,63,207,77,6,68,14
159,OXY_16327,2019-11-05 06:00:00.000000,75,243,63,7,72,8
160,OXY_16455,2015-01-29 05:00:00.000000,119,174,122,21,108,18
161,OXY_16324,2018-11-06 07:00:00.000000,60,232,83,6,83,9
162,OXY_16457,2014-07-31 06:00:00.000000,73,148,116,15,56,12
163,OXY_16197,2016-11-01 07:00:00.000000,59,179,97,8,56,16
164,OXY_16105,2013-01-31 06:30:00.000000,104,108,117,7,57,15
