,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,PAYX_16807,2014-12-19 04:30:00.000000,110,260,131,9,112,13
1,PAYX_16817,2017-06-28 05:30:00.000000,101,190,127,10,74,16
2,PAYX_16916,2018-12-19 04:30:00.000000,79,202,90,10,74,4
3,PAYX_17380,2012-03-29 06:30:00.000000,135,206,142,7,76,9
4,PAYX_16920,2019-12-18 04:30:00.000000,100,193,113,10,63,10
5,PAYX_16915,2018-10-02 05:30:00.000000,96,147,96,4,89,4
6,PAYX_17387,2013-12-19 05:30:00.000000,84,257,120,7,62,14
7,PAYX_16811,2015-12-22 04:30:00.000000,105,274,134,5,97,8
8,PAYX_16809,2015-07-01 05:30:00.000000,83,193,130,7,80,7
9,PAYX_17384,2013-03-28 06:30:00.000000,88,210,103,5,68,10
10,PAYX_17381,2012-06-28 06:30:00.000000,121,199,126,10,73,12
11,PAYX_16812,2016-03-30 05:30:00.000000,93,249,112,1,52,8
12,PAYX_16911,2017-10-03 05:30:00.000000,91,176,126,9,58,13
13,PAYX_16813,2016-06-30 05:30:00.000000,94,202,123,9,64,7
14,PAYX_17388,2014-03-27 06:30:00.000000,99,216,99,5,52,8
15,PAYX_16814,2016-09-28 05:30:00.000000,95,192,138,14,47,13
16,PAYX_17389,2014-07-02 06:30:00.000000,112,213,164,6,67,7
17,PAYX_17390,2014-09-24 05:30:00.000000,102,273,114,7,61,14
18,PAYX_16918,2019-06-26 05:30:00.000000,107,204,123,7,64,21
19,PAYX_17383,2012-12-20 05:30:00.000000,121,175,118,6,44,9
20,PAYX_16912,2017-12-21 04:30:00.000000,88,262,151,17,98,10
21,PAYX_16810,2015-09-30 05:30:00.000000,75,240,104,5,64,1
22,PAYX_17385,2013-06-27 06:30:00.000000,87,183,120,12,65,14
23,PAYX_16815,2016-12-21 04:30:00.000000,114,154,141,22,47,6
24,PAYX_17382,2012-09-25 06:30:00.000000,92,214,86,8,47,2
25,PAYX_16917,2019-03-27 05:30:00.000000,104,207,143,7,64,8
26,PAYX_16808,2015-03-25 05:30:00.000000,78,159,93,7,68,5
27,PAYX_16914,2018-06-27 05:30:00.000000,79,196,120,10,70,6
28,PBCT_16877,2017-01-19 12:00:00.000000,71,200,50,17,45,4
29,PBCT_16876,2016-10-20 13:00:00.000000,48,118,38,12,31,2
30,PBCT_16715,2014-04-17 04:00:00.000000,85,136,60,6,35,1
31,PBCT_16990,2018-07-19 13:00:00.000000,54,98,36,2,18,2
32,PBCT_16882,2017-07-20 13:00:00.000000,50,121,37,3,27,7
33,PBCT_16713,2013-07-18 13:00:00.000000,63,104,49,2,18,5
34,PBCT_17023,2015-04-16 04:00:00.000000,56,117,27,7,16,2
35,PBCT_16714,2014-01-16 12:00:00.000000,79,126,71,5,23,8
36,PBCT_17049,2013-10-17 13:00:00.000000,56,91,54,2,18,6
37,PBCT_16992,2019-01-17 12:00:00.000000,55,166,47,4,31,3
38,PBCT_16874,2016-07-21 13:00:00.000000,51,121,40,15,40,13
39,PBCT_16994,2019-07-18 13:00:00.000000,59,89,58,6,21,4
40,PBCT_16710,2012-10-18 13:00:00.000000,101,131,65,9,32,11
41,PBCT_17015,2016-04-21 04:00:00.000000,56,95,31,6,22,7
42,PBCT_16884,2017-10-19 13:00:00.000000,63,139,46,6,25,4
43,PBCT_16784,2014-10-16 13:00:00.000000,65,97,71,8,34,4
44,PBCT_17019,2015-10-15 13:00:00.000000,65,112,67,15,36,16
45,PBCT_17017,2016-01-21 12:00:00.000000,50,102,41,8,29,4
46,PBCT_17050,2012-07-19 13:00:00.000000,89,115,82,7,32,8
47,PBCT_16880,2017-04-20 04:00:00.000000,65,157,44,5,29,6
48,PBCT_16988,2018-04-19 04:00:00.000000,41,109,31,3,15,5
49,PBCT_16995,2019-10-17 13:00:00.000000,62,122,59,5,33,6
50,PBCT_16712,2013-04-18 04:00:00.000000,68,104,59,0,22,3
51,PBCT_16711,2013-01-17 12:00:00.000000,81,140,58,3,46,7
52,PBCT_16708,2012-01-19 12:00:00.000000,99,110,82,16,51,10
53,PBCT_16716,2014-07-17 13:00:00.000000,81,156,59,6,41,3
54,PBCT_16709,2012-04-20 04:00:00.000000,71,102,57,5,23,7
55,PBCT_16885,2018-01-18 12:00:00.000000,65,168,43,8,30,1
56,PCAR_16052,2012-07-24 08:00:00.000000,83,184,122,3,43,3
57,PCAR_16281,2017-07-25 08:00:00.000000,44,93,53,0,34,1
58,PCAR_16279,2017-01-31 07:00:00.000000,50,165,77,8,59,4
59,PCAR_16289,2019-10-22 08:00:00.000000,77,124,77,4,56,6
60,PCAR_16280,2017-04-26 07:00:00.000000,41,112,52,0,29,4
61,PCAR_16285,2018-07-24 08:00:00.000000,64,133,72,4,31,6
62,PCAR_16051,2012-04-24 07:00:00.000000,71,232,81,3,34,2
63,PCAR_16290,2020-01-28 07:00:00.000000,66,183,59,2,36,6
64,PCAR_16056,2013-07-23 08:00:00.000000,55,167,64,10,25,7
65,PCAR_16156,2016-01-29 07:00:00.000000,68,206,57,3,28,0
66,PCAR_15931,2014-01-31 07:00:00.000000,57,177,67,5,28,4
67,PCAR_16053,2012-10-25 08:00:00.000000,95,171,116,5,42,4
68,PCAR_16428,2018-10-23 08:00:00.000000,88,168,83,8,40,7
69,PCAR_16154,2015-07-28 08:00:00.000000,49,111,43,1,21,4
70,PCAR_16288,2019-07-23 08:00:00.000000,60,158,69,2,27,4
71,PCAR_16152,2015-01-30 11:30:00.000000,88,239,91,3,53,6
72,PCAR_15932,2014-04-29 07:00:00.000000,62,127,61,2,30,5
73,PCAR_15927,2016-10-25 08:00:00.000000,64,151,69,5,38,1
74,PCAR_16282,2017-10-24 08:00:00.000000,58,123,65,5,53,7
75,PCAR_15930,2013-10-29 08:00:00.000000,63,175,70,7,31,4
76,PCAR_16284,2018-04-24 08:00:00.000000,46,134,64,5,40,11
77,PCAR_16153,2015-04-21 07:00:00.000000,69,203,66,1,39,5
78,PCAR_16150,2014-07-29 08:00:00.000000,82,179,65,1,23,2
79,PCAR_16155,2015-10-27 08:00:00.000000,58,130,62,0,49,4
80,PCAR_16055,2013-04-23 08:00:00.000000,56,177,74,3,28,5
81,PCAR_16054,2013-01-31 07:00:00.000000,87,180,94,1,32,6
82,PCAR_16050,2012-01-31 07:00:00.000000,87,213,96,5,54,8
83,PCAR_16287,2019-04-30 07:00:00.000000,43,149,54,2,25,4
84,PCG_17368,2017-05-02 07:00:00.000000,100,145,64,74,35,10
85,PCG_17371,2018-02-09 06:00:00.000000,187,81,106,123,64,16
86,PCG_17395,2016-07-31 07:00:00.000000,133,81,82,51,64,17
87,PCG_17369,2017-07-27 07:00:00.000000,43,87,43,27,23,3
88,PCG_17399,2015-07-29 06:00:00.000000,91,99,89,37,47,8
89,PCG_17396,2016-05-04 07:00:00.000000,131,100,90,72,34,10
90,PCG_17298,2012-10-29 06:00:00.000000,87,51,93,48,37,12
91,PCG_17373,2018-07-26 07:00:00.000000,171,77,114,113,54,26
92,PCG_17372,2018-05-03 08:00:00.000000,149,102,118,126,47,12
93,PCG_17303,2014-05-01 07:00:00.000000,85,64,64,52,39,4
94,PCG_17299,2013-05-02 07:00:00.000000,107,61,54,52,33,8
95,PCG_17374,2018-11-05 07:00:00.000000,98,105,124,39,83,13
96,PCG_17261,2012-05-02 06:00:00.000000,77,78,59,54,36,11
97,PCG_17404,2013-02-21 05:00:00.000000,113,105,115,52,31,10
98,PCG_17401,2015-02-10 06:00:00.000000,104,100,105,43,43,11
99,PCG_17400,2015-04-29 06:30:00.000000,151,88,104,38,59,16
100,PCG_17398,2015-10-28 07:00:00.000000,64,72,45,27,25,12
101,PCG_17301,2013-10-30 08:00:00.000000,118,67,95,71,37,22
102,PCG_17366,2016-11-04 07:00:00.000000,89,125,97,41,52,10
103,PCG_17402,2014-10-28 07:00:00.000000,125,62,92,41,22,14
104,PCG_17300,2013-07-31 07:00:00.000000,81,49,78,46,19,15
105,PCG_17409,2012-02-16 06:30:00.000000,115,88,73,48,39,32
106,PCG_17367,2017-02-16 07:00:00.000000,71,99,62,54,36,7
107,PCG_17403,2014-07-31 07:00:00.000000,164,69,121,89,34,11
108,PDCO_16826,2015-11-24 05:00:00.000000,47,144,59,13,28,6
109,PDCO_17043,2012-02-23 05:00:00.000000,73,137,81,7,24,2
110,PDCO_16829,2016-11-22 05:00:00.000000,109,209,85,4,74,23
111,PDCO_17041,2012-08-23 06:00:00.000000,80,158,97,6,52,7
112,PDCO_16823,2014-11-20 05:00:00.000000,60,210,84,1,64,4
113,PDCO_16819,2013-11-21 05:00:00.000000,77,129,83,4,28,11
114,PDCO_16925,2018-06-21 06:00:00.000000,79,201,91,3,42,10
115,PDCO_16926,2018-08-30 06:00:00.000000,93,225,92,26,40,16
116,PDCO_16825,2015-08-27 06:00:00.000000,69,133,50,0,43,5
117,PDCO_17039,2013-02-21 05:00:00.000000,71,150,105,2,40,14
118,PDCO_16828,2016-08-25 06:00:00.000000,55,142,58,2,34,5
119,PDCO_16922,2017-08-24 06:00:00.000000,76,132,63,1,42,11
120,PDCO_17042,2012-05-24 06:00:00.000000,53,104,83,3,28,3
121,PDCO_16821,2014-05-22 06:00:00.000000,93,177,102,3,35,9
122,PDCO_16929,2019-06-27 06:00:00.000000,70,220,102,2,38,7
123,PDCO_16928,2019-02-28 05:00:00.000000,49,269,90,5,29,4
124,PDCO_16931,2019-12-05 05:00:00.000000,80,250,76,33,27,12
125,PDCO_16830,2017-02-23 05:00:00.000000,96,231,68,10,66,21
126,PDCO_16930,2019-08-29 06:00:00.000000,62,250,88,11,32,4
127,PDCO_17012,2015-05-21 06:00:00.000000,67,168,57,4,33,14
128,PDCO_16820,2014-02-20 05:00:00.000000,74,139,80,2,31,3
129,PDCO_16927,2018-12-06 05:00:00.000000,68,231,74,15,41,5
130,PDCO_16827,2016-02-25 05:00:00.000000,52,189,67,4,33,9
131,PDCO_16923,2017-11-22 05:00:00.000000,101,194,81,3,70,19
132,PDCO_16924,2018-03-01 05:00:00.000000,103,214,70,7,58,9
133,PDCO_16818,2013-08-22 06:00:00.000000,97,177,106,3,38,7
134,PDCO_16824,2015-02-19 05:00:00.000000,75,177,77,3,33,8
135,PDCO_16822,2014-08-21 09:00:00.000000,79,205,68,2,75,10
136,PEP_16870,2015-07-09 04:00:00.000000,74,208,63,2,36,5
137,PEP_16781,2013-04-18 04:00:00.000000,65,170,55,2,26,3
138,PEP_16981,2018-02-13 02:45:00.000000,98,242,67,2,42,8
139,PEP_17003,2020-02-13 02:45:00.000000,49,225,58,0,28,7
140,PEP_16977,2016-09-29 04:00:00.000000,54,141,54,2,20,5
141,PEP_16865,2014-04-17 04:00:00.000000,71,157,71,0,29,5
142,PEP_16868,2015-02-11 03:00:00.000000,83,130,67,1,29,6
143,PEP_16782,2013-07-24 05:00:00.000000,45,131,41,0,25,1
144,PEP_16998,2017-02-15 03:00:00.000000,74,154,62,3,28,5
145,PEP_16778,2012-07-25 04:00:00.000000,77,264,54,0,30,4
146,PEP_16872,2016-02-11 03:00:00.000000,87,168,50,2,28,4
147,PEP_16980,2017-10-04 03:45:00.000000,108,218,84,4,47,2
148,PEP_16776,2012-02-09 03:00:00.000000,176,372,134,6,127,15
149,PEP_16864,2014-02-13 03:00:00.000000,81,175,48,2,36,11
150,PEP_16867,2014-10-09 04:00:00.000000,83,178,44,1,30,4
151,PEP_16779,2012-10-17 04:00:00.000000,89,197,43,1,21,2
152,PEP_16869,2015-04-23 04:00:00.000000,90,118,66,1,27,7
153,PEP_16780,2013-02-14 03:00:00.000000,57,193,49,3,26,4
154,PEP_16783,2013-10-16 04:00:00.000000,99,192,80,0,37,3
155,PEP_16873,2016-04-18 04:00:00.000000,71,155,74,1,33,3
156,PEP_16997,2018-04-26 03:45:00.000000,96,193,84,3,54,2
157,PEP_16982,2018-07-10 03:45:00.000000,74,231,63,3,42,7
158,PEP_16976,2016-07-07 04:00:00.000000,58,155,47,4,21,4
159,PEP_16871,2015-10-06 04:00:00.000000,73,128,60,1,31,2
160,PEP_16983,2018-10-02 03:45:00.000000,82,206,71,4,42,2
161,PEP_16866,2014-07-23 04:00:00.000000,66,170,57,2,30,6
162,PEP_16987,2019-10-03 03:45:00.000000,57,224,42,0,39,1
163,PEP_16985,2019-04-17 03:45:00.000000,70,241,45,2,26,2
164,PEP_16978,2017-04-26 03:45:00.000000,67,125,56,3,14,5
165,PFE_18383,2016-05-03 06:00:00.000000,144,207,129,14,90,13
166,PFE_18088,2013-01-29 05:00:00.000000,109,161,115,7,69,12
167,PFE_16790,2018-01-30 05:00:00.000000,181,216,128,17,74,13
168,PFE_18408,2015-04-28 06:00:00.000000,95,153,94,13,63,9
169,PFE_18386,2017-01-31 05:00:00.000000,187,178,143,20,71,12
170,PFE_18385,2016-11-01 06:00:00.000000,163,169,122,7,79,12
171,PFE_16888,2019-01-29 05:00:00.000000,147,238,99,8,77,12
172,PFE_16791,2018-05-01 06:00:00.000000,140,175,127,19,66,9
173,PFE_18087,2012-11-01 06:00:00.000000,106,118,118,8,65,12
174,PFE_16887,2018-10-30 06:00:00.000000,150,255,94,9,77,9
175,PFE_18413,2013-10-29 06:00:00.000000,117,208,124,12,92,18
176,PFE_18090,2013-07-30 06:00:00.000000,123,137,107,17,88,23
177,PFE_18384,2016-08-02 06:00:00.000000,158,177,134,20,70,11
178,PFE_18606,2015-01-27 05:00:00.000000,157,202,110,12,77,13
179,PFE_16890,2019-07-29 06:30:00.000000,132,165,93,15,95,4
180,PFE_16792,2018-07-31 06:00:00.000000,124,192,109,8,73,12
181,PFE_18231,2016-02-02 05:00:00.000000,179,193,122,22,71,10
182,PFE_18411,2014-05-05 06:00:00.000000,155,213,102,17,66,20
183,PFE_18229,2015-07-28 06:00:00.000000,132,202,141,18,82,16
184,PFE_16891,2019-10-29 06:00:00.000000,126,188,89,7,79,11
185,PFE_16889,2019-04-30 06:00:00.000000,140,186,91,20,69,11
186,PFE_18410,2014-07-29 06:00:00.000000,140,203,122,23,71,10
187,PFE_16788,2017-08-01 06:00:00.000000,139,177,101,18,44,9
188,PFE_18089,2013-04-30 06:00:00.000000,130,174,119,10,57,14
189,PFE_18084,2012-01-31 05:00:00.000000,103,143,73,7,65,7
190,PFE_18412,2014-01-28 05:00:00.000000,130,162,118,9,91,24
191,PFE_16892,2020-01-28 05:00:00.000000,126,233,124,15,88,5
192,PFE_18230,2015-10-27 06:00:00.000000,130,195,112,14,62,14
193,PFE_16789,2017-10-31 06:00:00.000000,184,154,119,36,58,14
194,PFG_17659,2016-02-02 05:00:00.000000,114,201,111,11,34,6
195,PFG_17584,2018-10-26 06:00:00.000000,83,196,108,4,37,13
196,PFG_17535,2014-07-25 06:00:00.000000,69,187,79,14,33,11
197,PFG_17530,2012-10-26 06:00:00.000000,96,149,100,8,50,15
198,PFG_17657,2016-07-29 06:00:00.000000,68,156,100,13,41,12
199,PFG_17663,2014-10-24 06:00:00.000000,75,186,105,14,48,5
200,PFG_17533,2013-10-25 06:00:00.000000,105,176,76,9,34,3
201,PFG_17654,2017-04-28 06:00:00.000000,94,196,96,5,31,10
202,PFG_17587,2019-10-25 06:00:00.000000,99,191,125,7,41,14
203,PFG_17588,2020-01-29 05:00:00.000000,106,171,85,11,46,2
204,PFG_17531,2013-02-01 05:00:00.000000,77,177,80,11,34,6
205,PFG_17664,2014-02-04 05:30:00.000000,90,174,107,9,32,18
206,PFG_17683,2012-04-28 06:00:00.000000,86,146,83,17,42,8
207,PFG_17534,2014-04-25 06:00:00.000000,73,180,107,15,38,9
208,PFG_17528,2012-02-03 05:00:00.000000,104,202,91,8,40,10
209,PFG_17661,2015-04-24 06:00:00.000000,68,162,71,22,48,4
210,PFG_17656,2016-10-28 06:00:00.000000,73,147,111,8,29,10
211,PFG_17665,2013-07-26 06:00:00.000000,97,168,104,15,46,19
212,PFG_17585,2019-04-26 06:00:00.000000,97,221,84,6,55,10
213,PFG_17653,2017-07-28 06:00:00.000000,89,192,100,5,31,16
214,PFG_17662,2015-01-30 05:00:00.000000,104,186,92,10,57,16
215,PFG_17660,2015-10-23 06:00:00.000000,137,191,113,11,34,27
216,PFG_17582,2018-04-27 06:00:00.000000,108,194,116,12,70,17
217,PFG_17586,2019-07-26 06:00:00.000000,76,228,91,5,47,31
218,PFG_17583,2018-07-27 06:00:00.000000,86,183,118,7,41,19
219,PFG_17658,2016-04-29 06:00:00.000000,105,190,75,9,49,12
220,PFG_17655,2017-01-31 05:00:00.000000,94,210,95,14,46,5
221,PFG_17529,2012-07-27 06:00:00.000000,101,155,123,10,50,11
222,PG_17489,2014-10-24 04:30:00.000000,130,294,58,3,84,21
223,PG_17519,2016-10-25 04:30:00.000000,99,199,58,3,41,8
224,PG_17520,2017-01-20 03:30:00.000000,137,228,81,9,50,14
225,PG_17639,2019-07-30 04:30:00.000000,123,331,78,3,47,19
226,PG_17677,2016-01-26 03:30:00.000000,147,205,89,6,66,15
227,PG_17487,2014-04-23 04:30:00.000000,116,258,77,3,87,11
228,PG_17516,2016-04-26 04:30:00.000000,123,241,61,6,72,16
229,PG_17488,2014-08-01 04:30:00.000000,128,277,68,8,135,7
230,PG_17539,2018-01-23 03:30:00.000000,102,204,58,6,55,11
231,PG_17451,2013-08-01 04:30:00.000000,97,263,68,5,87,23
232,PG_17637,2020-01-23 03:30:00.000000,94,192,46,3,52,12
233,PG_17479,2013-04-24 04:30:00.000000,97,337,87,5,46,13
234,PG_17478,2013-01-25 03:30:00.000000,78,244,73,2,61,5
235,PG_17429,2017-10-20 04:30:00.000000,77,208,51,3,33,3
236,PG_17476,2012-08-03 04:30:00.000000,123,298,92,5,88,22
237,PG_17541,2018-07-31 04:30:00.000000,118,367,121,9,65,19
238,PG_17425,2019-01-23 03:30:00.000000,129,218,68,2,46,5
239,PG_17540,2018-04-19 04:30:00.000000,157,338,87,11,100,13
240,PG_17640,2019-04-23 04:30:00.000000,95,207,70,1,42,7
241,PG_17452,2013-10-25 04:30:00.000000,85,170,49,2,57,8
242,PG_17490,2015-01-27 03:30:00.000000,125,227,64,7,77,12
243,PG_17477,2012-10-25 04:00:00.000000,103,234,58,1,47,8
244,PG_17440,2015-10-23 04:30:00.000000,135,216,88,2,78,8
245,PG_17474,2012-01-27 03:30:00.000000,165,210,93,6,57,10
246,PG_17424,2018-10-19 04:30:00.000000,117,187,69,2,41,5
247,PG_17475,2012-04-27 04:30:00.000000,192,269,73,11,59,13
248,PG_17486,2014-01-24 03:30:00.000000,94,257,67,4,50,14
249,PG_17491,2015-04-23 04:30:00.000000,104,258,63,3,70,6
250,PG_17518,2016-09-08 04:15:00.000000,40,157,25,2,40,10
251,PG_17638,2019-10-22 04:30:00.000000,90,199,62,1,34,7
252,PGR_17711,2013-08-08 05:00:00.000000,94,99,102,6,61,0
253,PGR_17736,2019-08-08 09:30:00.000000,114,242,92,38,80,15
254,PGR_17731,2017-08-06 06:00:00.000000,167,196,138,24,95,17
255,PGR_17732,2017-11-03 06:00:00.000000,105,205,112,8,74,6
256,PGR_17710,2012-11-02 05:00:00.000000,83,84,93,19,68,7
257,PGR_17715,2014-10-30 06:00:00.000000,75,123,125,11,78,5
258,PGR_17709,2012-03-01 04:00:00.000000,128,122,141,21,63,6
259,PGR_17737,2019-11-10 08:30:00.000000,148,193,125,21,76,14
260,PGR_17729,2016-03-02 04:00:00.000000,106,73,107,7,41,2
261,PGR_17735,2019-05-03 09:30:00.000000,144,141,140,13,54,33
262,PGR_17796,2013-02-28 04:00:00.000000,120,110,117,8,66,7
263,PGR_17734,2018-08-02 09:30:00.000000,106,253,130,27,69,13
264,PGR_17730,2017-05-04 07:00:00.000000,123,98,82,6,54,14
265,PGR_17693,2015-08-06 05:00:00.000000,174,134,130,20,78,7
266,PGR_17712,2013-11-14 04:00:00.000000,105,81,92,3,48,4
267,PGR_17733,2018-03-01 08:30:00.000000,109,223,104,20,102,18
268,PGR_17713,2014-02-28 04:00:00.000000,72,91,97,4,71,3
269,PH_16736,2014-04-29 07:00:00.000000,122,117,77,5,30,4
270,PH_16696,2012-04-24 06:00:00.000000,87,183,88,3,53,5
271,PH_16698,2012-10-19 07:00:00.000000,112,115,92,5,34,5
272,PH_16702,2013-10-18 07:00:00.000000,111,135,70,0,30,5
273,PH_16833,2017-02-02 06:00:00.000000,80,195,76,2,64,1
274,PH_16938,2019-11-01 07:00:00.000000,123,168,50,0,82,1
275,PH_16742,2016-01-26 06:00:00.000000,132,164,62,4,25,1
276,PH_16741,2015-10-22 06:00:00.000000,150,148,66,7,28,4
277,PH_17036,2014-08-06 07:00:00.000000,146,118,73,10,37,8
278,PH_16700,2013-04-25 06:00:00.000000,106,123,64,1,37,6
279,PH_17037,2014-01-22 06:00:00.000000,128,135,69,0,35,9
280,PH_16935,2019-01-31 06:00:00.000000,91,204,77,0,48,5
281,PH_16697,2012-08-04 06:00:00.000000,92,146,97,2,40,12
282,PH_16836,2017-11-02 07:00:00.000000,81,215,53,4,61,5
