,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,QCOM_18574,2017-11-01 12:45:00.000000,98,117,68,49,31,2
1,QCOM_18550,2013-04-24 12:45:00.000000,77,127,98,20,36,5
2,QCOM_18552,2013-11-06 11:45:00.000000,89,167,95,14,54,8
3,QCOM_18547,2012-07-18 12:45:00.000000,59,133,127,6,40,11
4,QCOM_18571,2017-01-25 11:45:00.000000,156,156,93,90,62,21
5,QCOM_18572,2017-04-19 12:45:00.000000,163,110,92,82,57,13
6,QCOM_18339,2018-04-25 12:45:00.000000,128,132,84,44,56,6
7,QCOM_18397,2020-02-05 11:45:00.000000,45,93,51,4,29,3
8,QCOM_18539,2014-07-23 13:45:00.000000,155,116,122,11,62,10
9,QCOM_18548,2012-11-07 11:45:00.000000,57,119,105,5,32,12
10,QCOM_18398,2019-11-06 11:45:00.000000,78,107,94,3,39,5
11,QCOM_18553,2014-01-29 11:45:00.000000,77,130,94,14,51,5
12,QCOM_18338,2018-01-31 11:45:00.000000,95,132,70,35,36,7
13,QCOM_18541,2015-01-28 12:00:00.000000,135,126,105,11,53,6
14,QCOM_18549,2013-01-30 11:45:00.000000,72,150,106,3,43,4
15,QCOM_18401,2019-01-30 11:45:00.000000,111,94,73,46,25,2
16,QCOM_18551,2013-07-24 12:45:00.000000,81,171,112,3,69,4
17,QCOM_18399,2019-07-31 12:45:00.000000,85,87,62,42,37,6
18,QCOM_18340,2018-07-25 12:45:00.000000,98,140,92,20,49,12
19,QCOM_18596,2016-07-20 12:30:00.000000,88,189,86,12,69,12
20,QCOM_18402,2018-11-07 11:45:00.000000,124,120,79,58,32,8
21,QCOM_18545,2012-02-01 11:45:00.000000,54,131,80,11,41,2
22,QCOM_18540,2014-11-05 11:45:00.000000,145,97,128,13,44,8
23,QCOM_18597,2016-04-20 12:45:00.000000,95,162,106,14,43,2
24,QCOM_18556,2016-01-27 11:45:00.000000,92,136,75,14,62,7
25,QCOM_18570,2016-11-02 12:45:00.000000,76,141,80,8,42,9
26,QCOM_18542,2015-04-22 12:45:00.000000,118,138,103,16,50,9
27,QCOM_18554,2015-07-22 12:45:00.000000,99,184,97,13,85,16
28,QCOM_18573,2017-07-19 12:45:00.000000,189,142,90,82,60,9
29,QRVO_18356,2019-05-07 13:00:00.000000,71,142,92,0,37,6
30,QRVO_18211,2015-07-30 13:00:00.000000,83,185,105,1,31,8
31,QRVO_18357,2019-08-01 13:00:00.000000,71,142,86,7,50,16
32,QRVO_18213,2016-02-05 12:00:00.000000,81,129,92,2,38,12
33,QRVO_18389,2020-01-29 12:00:00.000000,74,141,79,0,38,6
34,QRVO_18355,2018-10-31 13:00:00.000000,72,153,75,0,28,9
35,QRVO_18354,2018-08-02 13:00:00.000000,66,152,81,3,36,10
36,QRVO_18358,2019-10-31 13:00:00.000000,90,112,61,4,37,18
37,QRVO_18607,2018-05-02 13:00:00.000000,96,161,90,3,51,15
38,QRVO_18391,2017-11-01 13:00:00.000000,81,190,90,4,35,18
39,QRVO_18353,2018-01-31 12:00:00.000000,47,191,54,3,68,19
40,QRVO_18349,2016-11-03 13:00:00.000000,78,173,64,0,40,10
41,QRVO_18210,2015-05-07 13:00:00.000000,91,183,78,4,34,7
42,QRVO_18428,2014-10-29 13:00:00.000000,46,131,66,3,34,9
43,QRVO_18350,2017-02-01 12:00:00.000000,66,170,66,0,34,12
44,QRVO_18215,2016-08-02 13:00:00.000000,74,120,82,1,55,10
45,QRVO_18351,2017-05-04 13:00:00.000000,64,196,66,0,32,12
46,QRVO_18212,2015-11-06 12:00:00.000000,88,185,93,2,44,12
