,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,UA_20533,2017-01-31 03:30:00.000000,90,232,86,5,67,16
1,UA_20819,2017-04-27 04:30:00.000000,61,254,72,4,52,6
2,UAA_21262,2017-10-31 04:30:00.000000,122,263,83,4,58,14
3,UAA_21268,2019-07-30 04:30:00.000000,77,305,80,2,40,8
4,UAA_21263,2018-02-13 03:30:00.000000,104,277,85,5,62,13
5,UAA_21269,2019-11-04 03:30:00.000000,84,292,82,11,52,7
6,UAA_21264,2018-05-01 04:30:00.000000,69,219,51,0,44,4
7,UAA_21267,2019-05-02 04:30:00.000000,54,278,56,3,42,5
8,UAA_21265,2018-07-26 04:30:00.000000,98,279,70,4,39,6
9,UAL_21147,2017-01-18 05:30:00.000000,89,218,110,4,63,17
10,UAL_21045,2013-01-24 05:30:00.000000,81,196,49,15,79,17
11,UAL_21087,2013-10-24 06:30:00.000000,83,213,50,9,57,10
12,UAL_21325,2016-01-21 05:30:00.000000,61,163,87,8,92,22
13,UAL_21224,2019-01-16 05:30:00.000000,120,192,94,8,62,15
14,UAL_21150,2017-10-20 06:30:00.000000,99,178,57,8,75,11
15,UAL_21096,2016-04-21 06:30:00.000000,97,199,79,7,62,13
16,UAL_21227,2019-10-16 06:30:00.000000,68,211,74,10,67,5
17,UAL_21043,2012-04-26 07:00:00.000000,105,161,66,6,67,11
18,UAL_21093,2015-04-23 06:30:00.000000,79,182,77,6,70,16
19,UAL_21225,2019-04-17 06:30:00.000000,91,220,63,8,64,14
20,UAL_21095,2015-10-23 06:30:00.000000,88,160,77,3,82,13
21,UAL_21149,2017-07-19 06:30:00.000000,121,203,90,2,64,6
22,UAL_21097,2016-07-20 06:30:00.000000,80,127,70,5,38,14
23,UAL_21223,2018-10-17 06:30:00.000000,73,223,81,6,50,15
24,UAL_21091,2014-10-23 06:30:00.000000,67,192,74,9,66,10
25,UAL_21228,2020-01-22 05:30:00.000000,91,182,98,5,75,17
26,UAL_21042,2012-01-26 05:30:00.000000,89,145,53,5,63,9
27,UAL_21090,2014-07-24 06:30:00.000000,67,199,70,5,59,10
28,UAL_21347,2012-10-25 07:00:00.000000,81,146,61,12,62,12
29,UAL_21088,2014-01-23 05:30:00.000000,78,239,55,10,68,5
30,UAL_21148,2017-04-18 06:30:00.000000,121,215,66,7,71,12
31,UAL_21094,2015-07-23 06:30:00.000000,116,199,112,7,59,13
32,UAL_21290,2018-04-18 06:30:00.000000,69,221,70,5,66,11
33,UAL_21303,2016-10-18 06:30:00.000000,70,214,61,14,62,15
34,UAL_21302,2018-01-24 11:30:00.000000,140,315,109,8,108,17
35,UAL_21226,2019-07-17 06:30:00.000000,83,194,79,9,51,11
36,UAL_21046,2013-04-25 06:30:00.000000,108,191,63,11,71,9
37,UDR_20868,2017-11-03 09:00:00.000000,93,111,78,4,36,14
38,UDR_20863,2016-07-27 09:00:00.000000,69,138,107,5,53,9
39,UDR_20873,2019-02-14 08:00:00.000000,87,188,124,8,71,8
40,UDR_20749,2012-07-30 07:00:00.000000,101,117,93,4,60,10
41,UDR_20877,2020-02-12 08:00:00.000000,88,164,114,10,74,11
42,UDR_20870,2018-04-26 08:00:00.000000,74,125,98,8,22,13
43,UDR_20864,2016-10-26 09:00:00.000000,72,115,99,8,51,5
44,UDR_20753,2013-10-29 09:00:00.000000,57,100,67,6,39,10
45,UDR_20871,2018-07-31 09:00:00.000000,88,134,109,5,39,8
46,UDR_20874,2019-05-01 09:00:00.000000,92,153,135,10,54,14
47,UDR_20760,2015-07-28 09:00:00.000000,37,101,96,7,53,10
48,UDR_20866,2017-04-25 09:00:00.000000,105,132,102,8,49,12
49,UDR_20751,2013-02-05 08:00:00.000000,85,121,102,7,96,14
50,UDR_20756,2014-07-29 09:00:00.000000,63,167,103,4,62,5
51,UDR_20876,2019-10-30 09:00:00.000000,87,159,123,8,73,14
52,UDR_20754,2014-02-04 08:00:00.000000,77,147,110,5,81,5
53,UDR_20748,2012-04-30 07:00:00.000000,108,148,114,5,56,11
54,UDR_20761,2015-10-27 09:00:00.000000,55,115,81,6,55,3
55,UDR_20750,2012-10-29 07:00:00.000000,44,96,86,0,50,7
56,UDR_20752,2013-04-30 09:00:00.000000,76,100,82,5,46,8
57,UDR_20747,2012-02-06 06:00:00.000000,81,123,100,8,71,12
58,UDR_20755,2014-04-29 09:00:00.000000,44,86,61,6,40,6
59,UDR_20758,2015-02-03 08:00:00.000000,82,204,129,11,77,15
60,UDR_20983,2013-07-30 09:00:00.000000,56,81,65,2,26,7
61,UDR_20867,2017-07-30 09:00:00.000000,91,97,97,4,33,9
62,UDR_20759,2015-04-28 09:00:00.000000,96,170,134,13,72,8
63,UDR_20865,2017-01-31 08:00:00.000000,132,149,159,3,78,14
64,UDR_20862,2016-04-27 09:00:00.000000,70,150,90,4,74,6
65,UDR_20757,2014-10-29 09:00:00.000000,50,115,59,3,53,5
66,ULTA_20832,2017-03-09 12:00:00.000000,56,249,76,2,46,6
67,ULTA_20734,2015-12-03 12:00:00.000000,77,232,61,2,39,2
68,ULTA_20732,2015-05-29 13:00:00.000000,77,271,68,3,50,1
69,ULTA_20838,2018-08-31 13:00:00.000000,74,282,69,1,55,2
70,ULTA_20725,2013-09-12 13:00:00.000000,56,226,81,4,35,5
71,ULTA_20728,2014-06-10 13:00:00.000000,75,273,85,2,56,2
72,ULTA_20727,2014-03-13 13:00:00.000000,82,238,71,2,68,4
73,ULTA_20735,2016-03-11 12:00:00.000000,90,300,61,2,34,3
74,ULTA_20837,2018-05-31 13:00:00.000000,75,250,56,2,30,4
75,ULTA_20733,2015-08-27 13:00:00.000000,83,267,70,1,51,1
