,Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
0,YUM_22816,2018-10-31 04:15:00.000000,61,211,45,1,36,16
1,YUM_22684,2013-02-05 04:15:00.000000,172,224,117,13,140,10
2,YUM_22956,2016-02-04 04:15:00.000000,110,277,90,4,86,7
3,YUM_22810,2017-05-03 04:15:00.000000,62,242,66,0,61,14
4,YUM_22687,2013-10-09 05:15:00.000000,147,243,120,5,97,17
5,YUM_22812,2017-11-02 04:15:00.000000,46,204,48,4,49,22
6,YUM_22682,2012-07-19 05:15:00.000000,91,242,124,4,70,7
7,YUM_22811,2017-08-03 04:15:00.000000,54,178,64,0,55,13
8,YUM_22982,2015-02-05 04:15:00.000000,118,263,98,5,67,15
9,YUM_22957,2015-10-07 05:15:00.000000,200,214,149,11,84,4
10,YUM_22814,2018-05-02 04:15:00.000000,66,206,53,3,55,18
11,YUM_23132,2016-04-21 05:15:00.000000,109,279,91,4,61,6
12,YUM_22985,2014-04-23 05:15:00.000000,122,344,58,2,72,4
13,YUM_22680,2012-02-07 04:15:00.000000,80,266,73,1,90,10
14,YUM_22953,2016-10-06 05:15:00.000000,122,218,71,8,64,9
15,YUM_22686,2013-07-11 05:15:00.000000,101,180,111,1,71,17
16,YUM_22685,2013-04-24 05:15:00.000000,122,191,108,5,89,8
17,YUM_22954,2016-07-14 05:15:00.000000,91,224,73,4,74,9
18,YUM_22683,2012-10-10 05:15:00.000000,114,288,93,3,84,9
19,YUM_22819,2019-10-30 04:15:00.000000,73,203,49,1,63,7
20,YUM_22952,2017-02-09 03:15:00.000000,74,196,85,2,67,17
21,YUM_22980,2015-07-15 05:15:00.000000,130,279,88,1,61,9
22,YUM_22815,2018-08-02 04:15:00.000000,77,225,54,3,36,18
23,YUM_22951,2019-05-01 04:15:00.000000,52,216,43,0,42,8
24,YUM_22983,2014-10-08 05:15:00.000000,145,230,85,8,107,10
25,YUM_22681,2012-04-19 05:15:00.000000,71,265,109,9,73,8
26,YUM_22817,2019-02-07 03:00:00.000000,45,202,49,0,40,10
