Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day
A_127,2012/11/19,123,106,109,1,46,11,0.047472833207356624,2012-11-19 00:00:00
A_124,2012/2/15,107,151,93,7,57,10,-0.003197819070827168,2012-02-15 00:00:00
A_758,2014/11/18,88,126,67,7,84,5,-0.01066931191799625,2014-11-18 00:00:00
A_224,2013/8/14,110,187,110,3,85,14,-0.008738326223116766,2013-08-14 00:00:00
A_761,2014/2/13,102,102,91,0,56,7,0.003172520070677365,2014-02-13 00:00:00
A_562,2018/11/19,100,216,107,7,55,9,-0.03662097756037575,2018-11-19 00:00:00
A_566,2019/11/26,81,174,122,5,35,11,0.00859699468784636,2019-11-26 00:00:00
A_561,2018/8/15,90,197,104,4,59,10,-0.0302621219935042,2018-08-15 00:00:00
A_393,2016/5/16,84,221,119,5,59,5,0.007508205134768797,2016-05-16 00:00:00
A_756,2015/5/19,112,171,72,6,49,8,-0.006099041278817441,2015-05-19 00:00:00
A_126,2012/8/15,140,107,116,4,37,12,-0.00024702250947339355,2012-08-15 00:00:00
A_397,2017/5/22,82,166,90,1,46,9,-0.0008907756299499914,2017-05-22 00:00:00
A_564,2019/5/14,110,126,119,6,36,7,0.0293879456387014,2019-05-14 00:00:00
A_128,2013/2/14,167,131,137,8,60,9,-0.003798845771533221,2013-02-14 00:00:00
A_398,2017/8/16,78,169,80,2,59,20,0.04648026729348143,2017-08-16 00:00:00
A_563,2019/2/20,91,207,108,3,37,10,0.013415905064030564,2019-02-20 00:00:00
A_755,2015/8/17,131,170,96,2,67,4,0.004398400057797902,2015-08-17 00:00:00
A_760,2014/5/14,65,106,67,6,62,7,-0.01724438381940918,2014-05-14 00:00:00
A_560,2018/5/14,96,147,104,7,44,2,-0.0034556929347079324,2018-05-14 00:00:00
A_400,2018/2/14,89,204,88,4,31,7,0.019900507509941438,2018-02-14 00:00:00
A_392,2016/2/16,96,164,67,4,50,7,0.02374380401345744,2016-02-16 00:00:00
A_565,2019/8/14,75,163,87,8,44,4,-0.030307555740036633,2019-08-14 00:00:00
A_759,2014/8/14,78,134,73,1,49,10,0.015334022261498381,2014-08-14 00:00:00
A_395,2016/11/15,64,156,124,5,56,6,0.0015442243987791038,2016-11-15 00:00:00
A_399,2017/11/20,93,191,78,1,68,7,0.01700825924369509,2017-11-20 00:00:00
A_757,2015/2/17,97,163,70,6,58,7,0.009215415138808414,2015-02-17 00:00:00
A_129,2013/5/14,188,137,106,9,83,17,0.02160778927425966,2013-05-14 00:00:00
A_394,2016/8/17,112,152,118,2,58,5,0.0031069082367753964,2016-08-17 00:00:00
A_391,2015/11/17,94,139,97,1,66,19,0.028127489567574937,2015-11-17 00:00:00
AAL_1452,2018/10/25,113,292,79,16,91,13,0.06690833121580342,2018-10-25 00:00:00
AAL_1450,2018/4/26,69,180,80,3,53,14,-0.0636464324445356,2018-04-26 00:00:00
AAL_1303,2015/10/23,110,176,93,8,51,9,-0.0069581104118836565,2015-10-23 00:00:00
AAL_1301,2015/4/24,121,139,114,5,71,9,0.02448976293195337,2015-04-24 00:00:00
AAL_1310,2017/7/28,93,223,88,12,67,15,0.009800033569336009,2017-07-28 00:00:00
AAL_1309,2017/4/27,122,259,138,18,80,22,-0.05215521344956975,2017-04-27 00:00:00
AAL_1299,2014/7/24,93,153,109,14,69,15,-0.02700212172167593,2014-07-24 00:00:00
AAL_1453,2019/1/24,134,218,104,8,85,12,0.06350711700182865,2019-01-24 00:00:00
AAL_1307,2016/10/20,129,247,93,4,93,13,-0.0009845167234990848,2016-10-20 00:00:00
AAL_1311,2017/10/26,144,234,107,7,66,9,-0.04723637447646045,2017-10-26 00:00:00
AAL_1308,2017/1/27,112,205,105,16,113,11,-0.05323652715315963,2017-01-27 00:00:00
AAL_1306,2016/7/22,151,134,123,10,112,22,0.04004581128552465,2016-07-22 00:00:00
AAL_1449,2018/1/25,73,210,81,5,65,7,-0.031757650107534174,2018-01-25 00:00:00
AAL_1300,2015/1/27,119,186,112,16,104,7,-0.04959422835279725,2015-01-27 00:00:00
AAL_1451,2018/7/26,126,215,90,5,72,17,0.04791835288977553,2018-07-26 00:00:00
AAL_1456,2019/10/24,137,233,124,17,129,22,0.039589922079855455,2019-10-24 00:00:00
AAL_1457,2020/1/23,143,235,107,29,102,16,0.05417275105302122,2020-01-23 00:00:00
AAL_1454,2019/4/26,137,179,140,15,75,10,-0.010475859794061182,2019-04-26 00:00:00
AAL_1455,2019/7/25,151,249,102,25,92,13,-0.08441746352740276,2019-07-25 00:00:00
AAP_807,2013/8/8,68,201,62,4,38,11,-0.007777365202674025,2013-08-08 00:00:00
AAP_611,2016/5/19,146,243,80,5,76,19,-0.0018775069678373946,2016-05-19 00:00:00
AAP_619,2018/5/22,125,341,75,2,53,8,-0.03206042506004103,2018-05-22 00:00:00
AAP_707,2020/2/18,71,240,52,6,31,15,,
AAP_615,2017/5/24,111,258,68,5,46,12,-0.054315364643392816,2017-05-24 00:00:00
AAP_617,2017/11/14,146,276,81,2,54,3,0.16334470880896498,2017-11-14 00:00:00
AAP_710,2019/5/22,76,220,63,2,43,15,0.030936082702824438,2019-05-22 00:00:00
AAP_621,2018/11/13,112,311,55,3,49,7,0.10571054663110124,2018-11-13 00:00:00
AAP_804,2012/11/8,95,153,89,4,61,12,-0.004513548153329827,2012-11-08 00:00:00
AAP_614,2017/2/21,113,298,45,4,52,8,-0.0026612695240585404,2017-02-21 00:00:00
AAP_610,2016/2/11,112,214,66,2,88,11,-0.0011546774457116273,2016-02-11 00:00:00
AAP_288,2012/5/17,83,168,82,5,46,9,-0.16967113963548594,2012-05-17 00:00:00
AAP_287,2012/2/16,59,204,70,2,45,10,0.08186397827563585,2012-02-16 00:00:00
AAP_620,2018/8/14,106,332,79,1,69,15,0.0779481416071286,2018-08-14 00:00:00
AAP_708,2019/11/12,89,284,64,2,46,10,-0.07510962791405618,2019-11-12 00:00:00
AAP_806,2013/5/23,85,196,75,3,53,11,-0.02004663356090508,2013-05-23 00:00:00
AAP_732,2014/2/6,49,228,56,5,77,10,0.12740406871649254,2014-02-06 00:00:00
AAP_808,2013/10/31,80,190,74,3,55,14,-0.008199996948242139,2013-10-31 00:00:00
AAP_618,2018/2/21,102,269,63,4,83,15,0.08210727718238897,2018-02-21 00:00:00
AAP_613,2016/11/15,140,402,101,5,87,16,0.14996507242746304,2016-11-15 00:00:00
AAP_451,2015/5/21,94,188,73,4,63,20,0.0507005097596196,2015-05-21 00:00:00
AAP_289,2012/8/9,114,133,77,5,44,7,-0.03755138922118007,2012-08-09 00:00:00
AAP_612,2016/8/16,140,248,59,4,67,4,-0.04387220345343812,2016-08-16 00:00:00
AAP_609,2015/11/12,128,229,84,3,72,13,-0.1542610523540211,2015-11-12 00:00:00
AAP_622,2019/2/19,70,207,42,4,38,7,-0.01676572746290217,2019-02-19 00:00:00
AAP_805,2013/2/7,86,215,84,2,68,7,0.05816183504830753,2013-02-07 00:00:00
AAP_449,2014/11/6,56,220,54,2,52,7,-0.025507114434894614,2014-11-06 00:00:00
AAP_709,2019/8/13,112,245,86,7,40,13,0.0004923470992308498,2019-08-13 00:00:00
AAP_731,2014/5/15,57,265,59,4,37,5,0.00885174575838743,2014-05-15 00:00:00
AAPL_3022,2016/4/26,76,138,63,3,46,11,-0.006947119758403453,2016-04-26 00:00:00
AAPL_3034,2019/4/30,57,151,42,7,54,8,-0.01925615771298184,2019-04-30 00:00:00
AAPL_3025,2017/1/31,55,175,51,9,32,9,-0.002302053651398905,2017-01-31 00:00:00
AAPL_3036,2019/10/30,55,177,68,2,53,10,-0.000123304616403197,2019-10-30 00:00:00
AAPL_2876,2014/1/27,44,168,36,3,30,7,0.008112527355941035,2014-01-27 00:00:00
AAPL_2878,2014/7/22,48,142,50,7,31,3,0.008303159027309936,2014-07-22 00:00:00
AAPL_2872,2013/1/23,77,154,72,6,51,17,0.018305362413694626,2013-01-23 00:00:00
AAPL_3027,2017/8/1,50,151,84,7,41,11,0.008875192376371022,2017-08-01 00:00:00
AAPL_2879,2014/10/20,55,161,64,4,59,11,0.021398628099387862,2014-10-20 00:00:00
AAPL_3030,2018/5/1,43,159,71,2,40,4,0.02323618373665659,2018-05-01 00:00:00
AAPL_2873,2013/4/23,66,178,57,3,54,6,0.018712177282424136,2013-04-23 00:00:00
AAPL_2869,2012/4/24,62,138,73,6,38,10,-0.019975455955097643,2012-04-24 00:00:00
AAPL_2870,2012/7/24,60,140,71,5,45,8,-0.004819281157724231,2012-07-24 00:00:00
AAPL_2868,2012/1/24,37,124,52,0,33,3,-0.016377717098278174,2012-01-24 00:00:00
AAPL_2877,2014/4/23,51,180,64,4,46,5,-0.01307130326827777,2014-04-23 00:00:00
AAPL_3019,2015/7/21,58,182,54,2,44,4,-0.009994754683235962,2015-07-21 00:00:00
AAPL_2871,2012/10/25,73,139,62,4,57,11,-0.011818480837501588,2012-10-25 00:00:00
AAPL_3021,2016/1/26,95,149,71,3,44,5,0.005530927281376163,2016-01-26 00:00:00
AAPL_2880,2015/1/27,49,157,71,6,34,6,-0.035013254976999475,2015-01-27 00:00:00
AAPL_3032,2018/11/1,40,147,52,2,46,6,0.015352282742306931,2018-11-01 00:00:00
AAPL_3028,2017/11/2,40,165,59,2,44,5,0.007310211667355347,2017-11-02 00:00:00
AAPL_3020,2015/10/27,60,142,57,3,38,4,-0.006332371055421615,2015-10-27 00:00:00
AAPL_3023,2016/7/26,53,162,52,1,48,4,-0.006883071647337924,2016-07-26 00:00:00
AAPL_3031,2018/7/31,51,142,65,2,48,10,0.0020008931425199443,2018-07-31 00:00:00
