Code,Time,d_Negative,d_Positive,d_Uncertainty,d_Litigious,d_StrongModal,d_Constraining,d_Pos_26,d_Neg_26,qa_Negative,qa_Positive,qa_Uncertainty,qa_Litigious,qa_StrongModal,qa_Constraining,qa_Pos_26,qa_Neg_26,nearest_day_return,nearest_day
A_127,2012/11/19,15,16,14,0,19,2,342,42,108,90,95,1,27,9,762,414,0.047472833207356624,2012-11-19 00:00:00
A_124,2012/2/15,12,17,14,0,17,3,546,42,95,134,79,7,40,7,846,486,-0.003197819070827168,2012-02-15 00:00:00
A_758,2014/11/18,9,21,11,1,35,1,552,18,79,105,56,6,49,4,678,342,-0.01066931191799625,2014-11-18 00:00:00
A_224,2013/8/14,14,31,11,0,18,6,576,72,96,156,99,3,67,8,780,414,-0.008738326223116766,2013-08-14 00:00:00
A_761,2014/2/13,20,41,10,0,24,6,732,42,82,61,81,0,32,1,444,306,0.003172520070677365,2014-02-13 00:00:00
A_562,2018/11/19,19,69,14,0,29,3,780,48,81,147,93,7,26,6,912,486,-0.03662097756037575,2018-11-19 00:00:00
A_566,2019/11/26,23,63,21,1,17,4,966,30,58,111,101,4,18,7,690,378,0.00859699468784636,2019-11-26 00:00:00
A_561,2018/8/15,24,82,15,1,26,5,990,42,66,115,89,3,33,5,624,396,-0.0302621219935042,2018-08-15 00:00:00
A_393,2016/5/16,12,53,11,1,26,2,666,30,72,168,108,4,33,3,762,372,0.007508205134768797,2016-05-16 00:00:00
A_756,2015/5/19,19,41,8,1,18,3,654,36,93,130,64,5,31,5,834,264,-0.006099041278817441,2015-05-19 00:00:00
A_126,2012/8/15,22,13,10,1,10,1,432,36,118,94,106,3,27,11,972,354,-0.00024702250947339355,2012-08-15 00:00:00
A_397,2017/5/22,18,51,11,0,18,5,636,30,64,115,79,1,28,4,792,312,-0.0008907756299499914,2017-05-22 00:00:00
A_564,2019/5/14,23,49,20,0,18,4,708,78,87,77,99,6,18,3,558,600,0.0293879456387014,2019-05-14 00:00:00
A_128,2013/2/14,30,25,23,2,15,4,456,72,137,106,114,6,45,5,930,636,-0.003798845771533221,2013-02-14 00:00:00
A_398,2017/8/16,10,44,11,0,16,8,606,48,68,125,69,2,43,12,774,324,0.04648026729348143,2017-08-16 00:00:00
A_563,2019/2/20,15,63,14,0,15,5,864,42,76,144,94,3,22,5,726,432,0.013415905064030564,2019-02-20 00:00:00
A_755,2015/8/17,11,28,9,0,20,2,624,18,120,142,87,2,47,2,702,384,0.004398400057797902,2015-08-17 00:00:00
A_760,2014/5/14,13,21,9,1,24,4,642,60,52,85,58,5,38,3,600,276,-0.01724438381940918,2014-05-14 00:00:00
A_560,2018/5/14,16,49,16,1,19,1,744,6,80,98,88,6,25,1,654,384,-0.0034556929347079324,2018-05-14 00:00:00
A_400,2018/2/14,11,64,6,4,15,3,900,48,78,140,82,0,16,4,1242,324,0.019900507509941438,2018-02-14 00:00:00
A_392,2016/2/16,14,47,6,0,18,4,576,60,82,117,61,4,32,3,936,426,0.02374380401345744,2016-02-16 00:00:00
A_565,2019/8/14,16,58,15,3,14,3,780,60,59,105,72,5,30,1,666,372,-0.030307555740036633,2019-08-14 00:00:00
A_759,2014/8/14,10,32,11,0,21,4,642,30,68,102,62,1,28,6,720,396,0.015334022261498381,2014-08-14 00:00:00
A_395,2016/11/15,18,68,25,1,30,3,864,90,46,88,99,4,26,3,660,360,0.0015442243987791038,2016-11-15 00:00:00
A_399,2017/11/20,20,74,21,0,28,6,894,66,73,117,57,1,40,1,804,336,0.01700825924369509,2017-11-20 00:00:00
