Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining
A_127,2012/11/19,123,106,109,1,46,11
A_124,2012/2/15,107,151,93,7,57,10
A_758,2014/11/18,88,126,67,7,84,5
A_224,2013/8/14,110,187,110,3,85,14
A_761,2014/2/13,102,102,91,0,56,7
A_562,2018/11/19,100,216,107,7,55,9
A_566,2019/11/26,81,174,122,5,35,11
A_561,2018/8/15,90,197,104,4,59,10
A_393,2016/5/16,84,221,119,5,59,5
A_756,2015/5/19,112,171,72,6,49,8
A_126,2012/8/15,140,107,116,4,37,12
A_397,2017/5/22,82,166,90,1,46,9
A_564,2019/5/14,110,126,119,6,36,7
A_128,2013/2/14,167,131,137,8,60,9
A_398,2017/8/16,78,169,80,2,59,20
A_563,2019/2/20,91,207,108,3,37,10
A_755,2015/8/17,131,170,96,2,67,4
A_760,2014/5/14,65,106,67,6,62,7
A_560,2018/5/14,96,147,104,7,44,2
A_400,2018/2/14,89,204,88,4,31,7
A_392,2016/2/16,96,164,67,4,50,7
A_565,2019/8/14,75,163,87,8,44,4
A_759,2014/8/14,78,134,73,1,49,10
A_395,2016/11/15,64,156,124,5,56,6
A_399,2017/11/20,93,191,78,1,68,7
A_757,2015/2/17,97,163,70,6,58,7
A_129,2013/5/14,188,137,106,9,83,17
A_394,2016/8/17,112,152,118,2,58,5
A_391,2015/11/17,94,139,97,1,66,19
AAL_1452,2018/10/25,113,292,79,16,91,13
AAL_1450,2018/4/26,69,180,80,3,53,14
AAL_1303,2015/10/23,110,176,93,8,51,9
AAL_1301,2015/4/24,121,139,114,5,71,9
AAL_1310,2017/7/28,93,223,88,12,67,15
AAL_1309,2017/4/27,122,259,138,18,80,22
AAL_1299,2014/7/24,93,153,109,14,69,15
AAL_1453,2019/1/24,134,218,104,8,85,12
AAL_1307,2016/10/20,129,247,93,4,93,13
AAL_1311,2017/10/26,144,234,107,7,66,9
AAL_1308,2017/1/27,112,205,105,16,113,11
AAL_1306,2016/7/22,151,134,123,10,112,22
AAL_1449,2018/1/25,73,210,81,5,65,7
AAL_1300,2015/1/27,119,186,112,16,104,7
AAL_1451,2018/7/26,126,215,90,5,72,17
AAL_1456,2019/10/24,137,233,124,17,129,22
AAL_1457,2020/1/23,143,235,107,29,102,16
AAL_1454,2019/4/26,137,179,140,15,75,10
AAL_1455,2019/7/25,151,249,102,25,92,13
AAP_807,2013/8/8,68,201,62,4,38,11
AAP_611,2016/5/19,146,243,80,5,76,19
