Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
AAP_807,2013/8/8,68,201,62,4,38,11,-0.007777365,2013/8/8 0:00,AAP,Consumer Discretionary
AAP_611,2016/5/19,146,243,80,5,76,19,-0.001877507,2016/5/19 0:00,AAP,Consumer Discretionary
AAP_619,2018/5/22,125,341,75,2,53,8,-0.032060425,2018/5/22 0:00,AAP,Consumer Discretionary
AAP_707,2020/2/18,71,240,52,6,31,15,,,AAP,Consumer Discretionary
AAP_615,2017/5/24,111,258,68,5,46,12,-0.054315365,2017/5/24 0:00,AAP,Consumer Discretionary
AAP_617,2017/11/14,146,276,81,2,54,3,0.163344709,2017/11/14 0:00,AAP,Consumer Discretionary
AAP_710,2019/5/22,76,220,63,2,43,15,0.030936083,2019/5/22 0:00,AAP,Consumer Discretionary
AAP_621,2018/11/13,112,311,55,3,49,7,0.10571054699999999,2018/11/13 0:00,AAP,Consumer Discretionary
AAP_804,2012/11/8,95,153,89,4,61,12,-0.004513548,2012/11/8 0:00,AAP,Consumer Discretionary
AAP_614,2017/2/21,113,298,45,4,52,8,-0.00266127,2017/2/21 0:00,AAP,Consumer Discretionary
AAP_610,2016/2/11,112,214,66,2,88,11,-0.001154677,2016/2/11 0:00,AAP,Consumer Discretionary
AAP_288,2012/5/17,83,168,82,5,46,9,-0.16967114,2012/5/17 0:00,AAP,Consumer Discretionary
AAP_287,2012/2/16,59,204,70,2,45,10,0.081863978,2012/2/16 0:00,AAP,Consumer Discretionary
AAP_620,2018/8/14,106,332,79,1,69,15,0.077948142,2018/8/14 0:00,AAP,Consumer Discretionary
AAP_708,2019/11/12,89,284,64,2,46,10,-0.075109628,2019/11/12 0:00,AAP,Consumer Discretionary
AAP_806,2013/5/23,85,196,75,3,53,11,-0.020046634,2013/5/23 0:00,AAP,Consumer Discretionary
AAP_732,2014/2/6,49,228,56,5,77,10,0.127404069,2014/2/6 0:00,AAP,Consumer Discretionary
AAP_808,2013/10/31,80,190,74,3,55,14,-0.008199996999999999,2013/10/31 0:00,AAP,Consumer Discretionary
AAP_618,2018/2/21,102,269,63,4,83,15,0.082107277,2018/2/21 0:00,AAP,Consumer Discretionary
AAP_613,2016/11/15,140,402,101,5,87,16,0.149965072,2016/11/15 0:00,AAP,Consumer Discretionary
AAP_451,2015/5/21,94,188,73,4,63,20,0.05070051,2015/5/21 0:00,AAP,Consumer Discretionary
AAP_289,2012/8/9,114,133,77,5,44,7,-0.037551389,2012/8/9 0:00,AAP,Consumer Discretionary
