Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
ADM_2993,2017/10/31,80,140,83,7,65,12,-0.04531657,2017/10/31 0:00,ADM,Consumer Staples
ADM_2680,2013/5/1,98,125,77,14,70,13,-0.010606859,2013/5/1 0:00,ADM,Consumer Staples
ADM_2682,2013/10/29,81,174,107,10,65,18,0.022339342,2013/10/29 0:00,ADM,Consumer Staples
ADM_2542,2012/1/31,177,147,113,10,65,22,-0.036351395,2012/1/31 0:00,ADM,Consumer Staples
ADM_2998,2019/2/5,87,195,94,8,62,5,-0.059339247000000005,2019/2/5 0:00,ADM,Consumer Staples
ADM_2849,2016/11/1,83,169,61,7,40,12,0.072986007,2016/11/1 0:00,ADM,Consumer Staples
ADM_2684,2014/4/29,135,172,101,8,58,11,-0.025912607,2014/4/29 0:00,ADM,Consumer Staples
ADM_2686,2014/11/4,103,200,94,2,42,9,0.048465628,2014/11/4 0:00,ADM,Consumer Staples
ADM_2846,2016/2/2,150,194,121,4,70,8,-0.087422407,2016/2/2 0:00,ADM,Consumer Staples
ADM_2687,2015/2/3,129,241,103,3,60,9,0.012248291000000001,2015/2/3 0:00,ADM,Consumer Staples
ADM_2995,2018/5/1,75,245,92,8,83,12,-0.007712699,2018/5/1 0:00,ADM,Consumer Staples
ADM_2996,2018/7/31,84,231,93,4,70,11,0.019218581999999998,2018/7/31 0:00,ADM,Consumer Staples
ADM_2848,2016/8/2,104,156,87,1,47,13,-0.017857163,2016/8/2 0:00,ADM,Consumer Staples
ADM_2847,2016/5/3,124,194,122,6,55,9,-0.028812715,2016/5/3 0:00,ADM,Consumer Staples
ADM_2843,2015/5/5,92,189,95,5,64,12,0.00059616,2015/5/5 0:00,ADM,Consumer Staples
ADM_2844,2015/8/4,82,156,65,3,49,10,0.014884676999999999,2015/8/4 0:00,ADM,Consumer Staples
ADM_2677,2012/7/31,107,85,90,16,57,14,-0.050927597000000005,2012/7/31 0:00,ADM,Consumer Staples
ADM_2994,2018/2/6,86,210,82,10,69,5,0.034482797,2018/2/6 0:00,ADM,Consumer Staples
ADM_3001,2019/10/31,109,168,109,5,103,11,0.037256407000000005,2019/10/31 0:00,ADM,Consumer Staples
ADM_2997,2018/11/6,80,229,102,4,80,7,-0.016008247,2018/11/6 0:00,ADM,Consumer Staples
