Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
ANDV_2206,2017/8/9,71,195,97,8,73,15,-0.004175381,2017/8/9 0:00,ANDV,Energy
ANDV_2207,2017/11/9,60,135,73,7,46,7,-0.03725031,2017/11/9 0:00,ANDV,Energy
ANDV_2209,2018/5/8,5,52,20,0,11,9,-0.014896525,2018/5/8 0:00,ANDV,Energy
APA_1692,2013/11/7,57,86,66,1,44,6,0.0015828079999999998,2013/11/7 0:00,APA,Energy
APA_2159,2019/5/2,68,131,69,8,81,14,-0.060864032,2019/5/2 0:00,APA,Energy
APA_1998,2017/5/4,79,156,75,12,63,10,-0.018442576000000002,2017/5/4 0:00,APA,Energy
APA_1792,2014/8/1,83,111,57,0,52,8,-0.022793726,2014/8/1 0:00,APA,Energy
APA_1796,2015/8/6,93,193,88,1,62,18,0.048604859,2015/8/6 0:00,APA,Energy
APA_1799,2016/5/5,103,178,80,0,77,9,0.080622909,2016/5/5 0:00,APA,Energy
APA_2000,2017/11/2,69,122,94,5,71,16,-0.013023898999999999,2017/11/2 0:00,APA,Energy
APA_1685,2012/2/16,49,86,39,1,47,5,-0.000557236,2012/2/16 0:00,APA,Energy
APA_1689,2013/2/14,102,99,88,12,65,9,-0.047432704000000006,2013/2/14 0:00,APA,Energy
APA_1690,2013/5/9,92,82,53,4,40,5,0.047710892000000005,2013/5/9 0:00,APA,Energy
APA_1790,2014/2/13,71,104,58,3,34,3,-0.003937004,2014/2/13 0:00,APA,Energy
APA_2156,2018/8/2,52,187,91,6,71,3,-0.011793476,2018/8/2 0:00,APA,Energy
APA_1793,2014/11/6,52,69,42,1,30,11,-0.001588077,2014/11/6 0:00,APA,Energy
APA_1999,2017/8/3,79,140,89,4,72,15,-0.080358975,2017/8/3 0:00,APA,Energy
APA_1688,2012/11/1,84,117,67,11,53,2,-0.010517441,2012/11/1 0:00,APA,Energy
APA_1798,2016/2/25,119,171,106,8,89,24,-0.020984394,2016/2/25 0:00,APA,Energy
APA_2157,2018/11/1,52,167,83,6,65,4,-0.03806509,2018/11/1 0:00,APA,Energy
APA_1797,2015/11/5,84,170,74,0,55,5,-0.00242962,2015/11/5 0:00,APA,Energy
APA_1997,2017/2/23,78,148,87,11,90,9,-0.03514843,2017/2/23 0:00,APA,Energy
APA_1691,2013/8/1,68,110,98,3,40,7,0.017819318,2013/8/1 0:00,APA,Energy
APA_2160,2019/8/1,62,103,68,1,68,15,-0.012284981,2019/8/1 0:00,APA,Energy
APA_1795,2015/5/7,98,172,109,1,78,12,-0.033560954,2015/5/7 0:00,APA,Energy
APA_2161,2019/10/31,75,107,83,1,48,11,0.014044908,2019/10/31 0:00,APA,Energy
