Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
AFL_234,2014/4/30,106,114,115,9,55,7,-0.010101,2014/4/30 0:00,AFL,Financials
AFL_228,2012/10/24,102,176,128,14,47,11,-0.004430149,2012/10/24 0:00,AFL,Financials
AFL_227,2012/7/25,109,151,108,13,71,13,-0.017372669,2012/7/25 0:00,AFL,Financials
AFL_574,2019/7/26,98,157,78,14,46,8,0.0022317079999999998,2019/7/26 0:00,AFL,Financials
AFL_414,2017/10/26,69,134,69,8,42,11,-0.005233763,2017/10/26 0:00,AFL,Financials
AFL_229,2013/2/6,112,183,105,9,52,11,-0.043185666,2013/2/6 0:00,AFL,Financials
AFL_406,2015/10/28,67,182,102,18,54,12,0.013143278000000001,2015/10/28 0:00,AFL,Financials
AFL_413,2017/7/28,85,166,74,13,53,6,0.029304907,2017/7/28 0:00,AFL,Financials
AFL_410,2016/10/28,72,150,102,6,59,17,-0.024213032000000002,2016/10/28 0:00,AFL,Financials
AFL_232,2013/10/30,71,122,113,17,83,17,-0.029552289,2013/10/30 0:00,AFL,Financials
AFL_569,2018/4/26,93,150,99,19,46,9,0.005945837,2018/4/26 0:00,AFL,Financials
AFL_405,2015/7/29,84,157,94,9,43,9,0.035456426,2015/7/29 0:00,AFL,Financials
AFL_575,2019/10/25,89,104,58,12,37,8,0.013318054,2019/10/25 0:00,AFL,Financials
AFL_576,2020/2/5,83,182,83,8,67,9,,,AFL,Financials
AFL_408,2016/4/27,98,147,89,9,70,8,0.01941176,2016/4/27 0:00,AFL,Financials
AFL_412,2017/4/28,86,161,111,7,60,14,-0.002265234,2017/4/28 0:00,AFL,Financials
AFL_403,2015/2/4,97,135,110,22,81,9,0.026908109,2015/2/4 0:00,AFL,Financials
AFL_409,2016/7/29,99,134,99,18,67,16,-0.01418441,2016/7/29 0:00,AFL,Financials
AFL_231,2013/7/31,79,94,103,8,59,6,0.013640128999999999,2013/7/31 0:00,AFL,Financials
AFL_411,2017/2/1,88,152,84,4,56,7,-0.040720082000000005,2017/2/1 0:00,AFL,Financials
AFL_233,2014/2/5,97,111,95,4,51,5,0.0047177009999999995,2014/2/5 0:00,AFL,Financials
AFL_230,2013/4/25,90,114,119,17,40,9,0.019588795,2013/4/25 0:00,AFL,Financials
AFL_570,2018/7/27,84,169,90,9,67,11,0.042783191,2018/7/27 0:00,AFL,Financials
AFL_568,2018/2/1,60,166,81,24,59,14,0.016893487,2018/2/1 0:00,AFL,Financials
AFL_404,2015/4/29,63,112,87,17,72,4,-0.008692915,2015/4/29 0:00,AFL,Financials
AFL_407,2016/2/2,113,151,126,11,48,9,0.013625915,2016/2/2 0:00,AFL,Financials
AFL_401,2014/7/30,80,141,104,13,110,6,-0.027874537999999997,2014/7/30 0:00,AFL,Financials
AFL_751,2012/2/1,175,202,174,14,67,33,0.0006219940000000001,2012/2/1 0:00,AFL,Financials
AFL_573,2019/4/26,69,137,76,13,60,15,0.007116683,2019/4/26 0:00,AFL,Financials
AIG_2139,2017/8/3,134,225,103,13,48,7,0.002427861,2017/8/3 0:00,AIG,Financials
AIG_1975,2016/8/3,172,181,116,26,44,14,0.073143685,2016/8/3 0:00,AIG,Financials
AIG_1974,2016/5/3,179,183,104,16,54,11,-0.011486155,2016/5/3 0:00,AIG,Financials
AIG_2137,2017/2/15,289,304,131,50,75,19,-0.09029751800000001,2017/2/15 0:00,AIG,Financials
AIG_1968,2014/11/4,91,198,85,26,36,13,-0.007434901999999999,2014/11/4 0:00,AIG,Financials
AIG_1772,2013/2/22,115,198,81,20,42,9,0.031384174,2013/2/22 0:00,AIG,Financials
AIG_1965,2014/2/14,160,167,93,36,45,7,-0.012300878999999999,2014/2/14 0:00,AIG,Financials
AIG_2138,2017/5/4,207,223,105,19,47,9,0.018361996000000002,2017/5/4 0:00,AIG,Financials
AIG_2305,2019/5/7,161,183,143,6,63,23,0.067713831,2019/5/7 0:00,AIG,Financials
AIG_1640,2018/5/3,168,229,100,25,41,11,-0.052881135999999995,2018/5/3 0:00,AIG,Financials
AIG_1641,2016/11/3,215,194,90,24,54,13,-0.039636627,2016/11/3 0:00,AIG,Financials
AIG_1768,2012/2/24,126,181,128,22,37,20,0.015005362,2012/2/24 0:00,AIG,Financials
AIG_2140,2017/11/3,195,203,110,25,62,16,-0.045860314000000006,2017/11/3 0:00,AIG,Financials
AIG_2136,2016/12/6,80,116,67,12,26,8,-0.000311496,2016/12/6 0:00,AIG,Financials
AIG_1769,2012/5/4,122,193,101,19,36,29,-0.038371341,2012/5/4 0:00,AIG,Financials
AIG_2303,2018/11/1,184,150,117,17,54,19,0.04432061,2018/11/1 0:00,AIG,Financials
AIG_2307,2019/11/1,187,227,128,23,41,18,0.015105726000000002,2019/11/1 0:00,AIG,Financials
AIG_1964,2013/11/1,122,196,116,9,28,20,-0.065246905,2013/11/1 0:00,AIG,Financials
AIG_2306,2019/8/8,129,234,98,16,52,30,0.044293325999999994,2019/8/8 0:00,AIG,Financials
AIG_1972,2015/11/3,151,160,83,23,33,27,-0.043614724,2015/11/3 0:00,AIG,Financials
AIG_1642,2013/8/2,130,215,104,30,76,13,0.026768688,2013/8/2 0:00,AIG,Financials
AIG_1973,2016/2/12,168,184,133,25,81,14,0.04908946,2016/2/12 0:00,AIG,Financials
AIG_2304,2019/2/14,258,231,249,14,56,47,-0.090312396,2019/2/14 0:00,AIG,Financials
AIG_1771,2012/11/2,138,150,100,34,42,19,-0.071590921,2012/11/2 0:00,AIG,Financials
AIG_1773,2013/5/3,116,182,110,19,49,10,0.056729155999999996,2013/5/3 0:00,AIG,Financials
AIG_2141,2018/2/9,162,203,109,24,45,12,0.03328762,2018/2/9 0:00,AIG,Financials
AIG_2308,2020/2/13,155,231,113,18,79,28,,,AIG,Financials
AIG_1966,2014/5/6,144,154,89,28,43,7,-0.041350536,2014/5/6 0:00,AIG,Financials
AIG_1969,2015/2/13,143,159,117,18,40,13,0.028789291,2015/2/13 0:00,AIG,Financials
AIZ_2806,2013/2/7,106,158,93,22,51,11,-0.010822004,2013/2/7 0:00,AIZ,Financials
AIZ_2958,2018/11/7,108,162,62,15,31,10,0.04310172599999999,2018/11/7 0:00,AIZ,Financials
AIZ_2672,2012/4/26,91,126,100,32,29,14,-0.006862715,2012/4/26 0:00,AIZ,Financials
AIZ_2820,2016/7/27,69,127,80,7,31,4,-0.03190385,2016/7/27 0:00,AIZ,Financials
AIZ_2957,2018/8/8,90,163,92,20,55,15,0.012117236000000002,2018/8/8 0:00,AIZ,Financials
AIZ_2807,2013/4/25,85,118,62,12,45,15,-0.022855949,2013/4/25 0:00,AIZ,Financials
AIZ_2808,2013/7/25,64,114,87,17,44,16,-0.0045333940000000005,2013/7/25 0:00,AIZ,Financials
AIZ_2954,2017/11/3,65,61,32,4,20,5,-0.00069853,2017/11/3 0:00,AIZ,Financials
AIZ_2804,2012/7/26,132,137,78,30,61,13,0.044130812,2012/7/26 0:00,AIZ,Financials
AIZ_2821,2016/10/26,85,108,79,12,23,6,-0.0038905740000000004,2016/10/26 0:00,AIZ,Financials
AIZ_2963,2020/2/12,70,129,79,18,43,3,,,AIZ,Financials
AIZ_2819,2016/4/27,88,139,58,12,33,5,0.075904734,2016/4/27 0:00,AIZ,Financials
AIZ_2960,2019/5/7,57,99,46,5,28,1,0.023627089,2019/5/7 0:00,AIZ,Financials
AIZ_2817,2015/10/28,103,144,83,41,65,12,0.003946715,2015/10/28 0:00,AIZ,Financials
AIZ_2805,2012/10/25,102,110,97,16,72,17,-0.022119357000000003,2012/10/25 0:00,AIZ,Financials
AIZ_2813,2014/10/30,55,131,78,11,47,10,0.0069908309999999994,2014/10/30 0:00,AIZ,Financials
AIZ_2955,2018/2/9,71,108,45,14,36,5,0.033466397,2018/2/9 0:00,AIZ,Financials
AIZ_2814,2015/2/13,79,114,79,11,51,8,-0.07497741200000001,2015/2/13 0:00,AIZ,Financials
AIZ_2962,2019/11/6,88,136,59,5,55,10,0.010857526999999999,2019/11/6 0:00,AIZ,Financials
AIZ_2961,2019/8/7,64,157,77,14,30,5,0.075344361,2019/8/7 0:00,AIZ,Financials
AIZ_2822,2017/2/8,68,109,63,22,32,6,-0.067525805,2017/2/8 0:00,AIZ,Financials
AIZ_2959,2019/2/13,99,136,73,12,48,4,-0.008405856,2019/2/13 0:00,AIZ,Financials
AIZ_2812,2014/7/24,71,129,123,25,61,9,-0.00060764,2014/7/24 0:00,AIZ,Financials
AIZ_2815,2015/5/6,66,135,94,12,42,6,0.026073122,2015/5/6 0:00,AIZ,Financials
AIZ_2818,2016/2/10,95,139,97,30,57,9,-0.134135113,2016/2/10 0:00,AIZ,Financials
AIZ_2823,2017/5/3,53,100,51,7,15,14,0.064907304,2017/5/3 0:00,AIZ,Financials
AIZ_2956,2018/5/6,80,110,61,15,35,8,-0.00727851,2018/5/7 0:00,AIZ,Financials
AIZ_2671,2012/2/2,90,150,99,24,30,4,0.022216775,2012/2/2 0:00,AIZ,Financials
AJG_2964,2015/10/28,70,142,67,19,26,6,0.00916375,2015/10/28 0:00,AJG,Financials
AJG_2972,2017/10/27,118,132,89,9,47,9,0.004658649,2017/10/27 0:00,AJG,Financials
AJG_2833,2013/7/31,55,109,85,11,18,6,0.014168253,2013/7/31 0:00,AJG,Financials
AJG_2830,2012/10/31,69,169,79,14,34,4,-0.006447983000000001,2012/10/31 0:00,AJG,Financials
AJG_2973,2018/1/25,71,123,94,11,63,3,0.008138801999999999,2018/1/25 0:00,AJG,Financials
AJG_2975,2018/7/27,109,173,121,17,41,3,-0.004353898,2018/7/27 0:00,AJG,Financials
AJG_2969,2017/1/27,93,196,115,21,52,2,0.01543034,2017/1/27 0:00,AJG,Financials
AJG_2837,2014/10/29,69,171,103,14,30,2,0.025081078,2014/10/29 0:00,AJG,Financials
AJG_2968,2016/10/28,75,124,102,17,21,2,0.004781775,2016/10/28 0:00,AJG,Financials
AJG_2974,2018/5/1,69,120,80,23,29,1,-0.001142938,2018/5/1 0:00,AJG,Financials
AJG_2839,2015/4/24,84,188,112,22,61,5,0.027219495,2015/4/24 0:00,AJG,Financials
AJG_2835,2014/1/29,77,218,114,26,38,9,-0.009274845,2014/1/29 0:00,AJG,Financials
AJG_2966,2016/4/29,80,124,82,16,25,4,0.03623679,2016/4/29 0:00,AJG,Financials
AJG_2981,2020/1/30,63,146,90,15,19,6,0.013964757,2020/1/30 0:00,AJG,Financials
AJG_2967,2016/7/29,75,123,71,14,25,1,-0.004452565,2016/7/29 0:00,AJG,Financials
AJG_2840,2015/7/29,73,129,89,17,42,3,0.015045622,2015/7/29 0:00,AJG,Financials
AJG_2831,2013/1/30,111,173,97,24,52,3,0.013396581999999999,2013/1/30 0:00,AJG,Financials
AJG_2976,2018/10/26,80,160,89,19,45,2,0.014526484,2018/10/26 0:00,AJG,Financials
AJG_2977,2019/1/31,83,139,87,12,20,3,0.024969127999999997,2019/1/31 0:00,AJG,Financials
AJG_2838,2015/2/4,86,152,99,17,45,7,0.0151216,2015/2/4 0:00,AJG,Financials
AJG_2832,2013/5/1,68,132,85,19,20,2,0.002120145,2013/5/1 0:00,AJG,Financials
AJG_2978,2019/4/26,55,86,89,18,14,7,0.004348359,2019/4/26 0:00,AJG,Financials
AJG_2979,2019/7/26,50,108,77,14,26,2,0.005225948,2019/7/26 0:00,AJG,Financials
AJG_2971,2017/7/28,31,85,50,5,23,1,0.023780822000000004,2017/7/28 0:00,AJG,Financials
AJG_2970,2017/4/28,50,117,67,11,35,1,-0.016217137,2017/4/28 0:00,AJG,Financials
AJG_2827,2012/2/1,98,112,107,24,20,2,0.028794214,2012/2/1 0:00,AJG,Financials
AJG_2829,2012/8/1,57,126,65,17,19,0,0.013246933999999998,2012/8/1 0:00,AJG,Financials
AJG_2980,2019/10/24,57,95,67,16,21,2,0.011758154,2019/10/24 0:00,AJG,Financials
ALL_1505,2019/10/30,158,173,67,15,23,11,-0.030216265,2019/10/30 0:00,ALL,Financials
ALL_1498,2018/2/8,145,219,68,20,40,12,-0.070300454,2018/2/8 0:00,ALL,Financials
ALL_1504,2019/7/31,105,198,103,32,59,11,0.054699004,2019/7/31 0:00,ALL,Financials
ALL_1502,2019/2/6,124,164,60,10,30,6,0.040467609,2019/2/6 0:00,ALL,Financials
ALL_1173,2013/5/2,136,175,84,16,37,12,-0.003099205,2013/5/2 0:00,ALL,Financials
ALL_1351,2017/8/2,121,181,73,25,52,11,0.034725315,2017/8/2 0:00,ALL,Financials
ALL_1350,2017/5/3,167,197,98,16,27,5,0.037883397,2017/5/3 0:00,ALL,Financials
ALL_1178,2014/7/31,122,175,52,9,21,5,0.027421364,2014/7/31 0:00,ALL,Financials
ALL_1500,2018/8/2,153,195,75,18,26,3,0.030533538,2018/8/2 0:00,ALL,Financials
ALL_1179,2014/10/30,117,164,85,4,22,9,0.014766598,2014/10/30 0:00,ALL,Financials
ALL_1347,2016/8/5,181,145,79,38,42,5,0.0032059690000000004,2016/8/5 0:00,ALL,Financials
ALL_1349,2017/2/2,177,191,74,28,64,9,0.028708182999999998,2017/2/2 0:00,ALL,Financials
ALL_1181,2015/5/6,116,156,58,24,33,7,-0.038428606000000004,2015/5/6 0:00,ALL,Financials
ALL_1177,2014/5/7,135,187,52,9,36,7,0.022096518,2014/5/7 0:00,ALL,Financials
ALL_1047,2012/5/3,126,171,62,15,26,1,0.04010938,2012/5/3 0:00,ALL,Financials
ALL_1175,2013/10/31,133,202,80,14,25,7,0.001888261,2013/10/31 0:00,ALL,Financials
ALL_1172,2013/2/7,124,194,93,11,37,6,0.016926201000000002,2013/2/7 0:00,ALL,Financials
ALL_1048,2012/8/1,137,139,96,7,40,6,0.061224558,2012/8/1 0:00,ALL,Financials
ALL_1176,2014/2/6,126,193,79,9,35,3,0.056710422,2014/2/6 0:00,ALL,Financials
ALL_1503,2019/5/2,137,138,108,28,40,14,0.0029591929999999997,2019/5/2 0:00,ALL,Financials
ALL_1346,2016/5/5,189,182,79,17,43,1,0.039675307,2016/5/5 0:00,ALL,Financials
ALL_1182,2015/8/4,164,142,71,24,41,6,-0.101470127,2015/8/4 0:00,ALL,Financials
ALL_1506,2020/2/5,129,156,84,12,37,9,,,ALL,Financials
ALL_1501,2018/11/1,135,197,68,24,25,7,-0.06007104,2018/11/1 0:00,ALL,Financials
ALL_1348,2016/11/3,185,150,84,36,47,5,0.011137511999999999,2016/11/3 0:00,ALL,Financials
ALL_1499,2018/5/2,168,206,87,21,35,6,-0.042158855,2018/5/2 0:00,ALL,Financials
ALL_811,2012/11/1,190,186,103,20,38,5,-0.023261639,2012/11/1 0:00,ALL,Financials
ALL_1174,2013/8/1,156,203,102,12,45,8,0.024323297,2013/8/1 0:00,ALL,Financials
ALL_809,2016/2/4,163,167,87,12,71,12,0.040409119,2016/2/4 0:00,ALL,Financials
AMG_582,2018/7/30,75,197,59,2,61,19,0.050777875,2018/7/30 0:00,AMG,Financials
AMG_420,2014/4/29,76,235,100,3,35,9,0.085331234,2014/4/29 0:00,AMG,Financials
AMG_421,2014/7/29,52,218,85,2,37,11,-0.011336093,2014/7/29 0:00,AMG,Financials
AMG_585,2019/5/6,86,197,61,4,37,10,-0.116044041,2019/5/6 0:00,AMG,Financials
AMG_418,2013/11/5,43,131,69,1,46,6,-0.025718638999999998,2013/11/5 0:00,AMG,Financials
AMG_423,2015/1/27,85,378,143,7,101,20,-0.025683681,2015/1/27 0:00,AMG,Financials
