Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
A_127,2012/11/19,123,106,109,1,46,11,0.047472833,2012/11/19 0:00,A,Health Care
A_124,2012/2/15,107,151,93,7,57,10,-0.003197819,2012/2/15 0:00,A,Health Care
A_758,2014/11/18,88,126,67,7,84,5,-0.010669312,2014/11/18 0:00,A,Health Care
A_224,2013/8/14,110,187,110,3,85,14,-0.008738326,2013/8/14 0:00,A,Health Care
A_761,2014/2/13,102,102,91,0,56,7,0.00317252,2014/2/13 0:00,A,Health Care
A_562,2018/11/19,100,216,107,7,55,9,-0.036620978,2018/11/19 0:00,A,Health Care
A_566,2019/11/26,81,174,122,5,35,11,0.008596995,2019/11/26 0:00,A,Health Care
A_561,2018/8/15,90,197,104,4,59,10,-0.030262122000000002,2018/8/15 0:00,A,Health Care
A_393,2016/5/16,84,221,119,5,59,5,0.007508205,2016/5/16 0:00,A,Health Care
A_756,2015/5/19,112,171,72,6,49,8,-0.0060990409999999995,2015/5/19 0:00,A,Health Care
A_126,2012/8/15,140,107,116,4,37,12,-0.00024702299999999997,2012/8/15 0:00,A,Health Care
A_397,2017/5/22,82,166,90,1,46,9,-0.000890776,2017/5/22 0:00,A,Health Care
A_564,2019/5/14,110,126,119,6,36,7,0.029387946,2019/5/14 0:00,A,Health Care
A_128,2013/2/14,167,131,137,8,60,9,-0.003798846,2013/2/14 0:00,A,Health Care
A_398,2017/8/16,78,169,80,2,59,20,0.046480267,2017/8/16 0:00,A,Health Care
A_563,2019/2/20,91,207,108,3,37,10,0.013415905,2019/2/20 0:00,A,Health Care
A_755,2015/8/17,131,170,96,2,67,4,0.004398399999999999,2015/8/17 0:00,A,Health Care
A_760,2014/5/14,65,106,67,6,62,7,-0.017244383999999998,2014/5/14 0:00,A,Health Care
A_560,2018/5/14,96,147,104,7,44,2,-0.0034556929999999997,2018/5/14 0:00,A,Health Care
A_400,2018/2/14,89,204,88,4,31,7,0.019900508,2018/2/14 0:00,A,Health Care
A_392,2016/2/16,96,164,67,4,50,7,0.023743804,2016/2/16 0:00,A,Health Care
A_565,2019/8/14,75,163,87,8,44,4,-0.030307556,2019/8/14 0:00,A,Health Care
A_759,2014/8/14,78,134,73,1,49,10,0.015334022,2014/8/14 0:00,A,Health Care
A_395,2016/11/15,64,156,124,5,56,6,0.0015442239999999999,2016/11/15 0:00,A,Health Care
A_399,2017/11/20,93,191,78,1,68,7,0.017008258999999998,2017/11/20 0:00,A,Health Care
A_757,2015/2/17,97,163,70,6,58,7,0.009215415,2015/2/17 0:00,A,Health Care
A_129,2013/5/14,188,137,106,9,83,17,0.021607789,2013/5/14 0:00,A,Health Care
A_394,2016/8/17,112,152,118,2,58,5,0.003106908,2016/8/17 0:00,A,Health Care
A_391,2015/11/17,94,139,97,1,66,19,0.02812749,2015/11/17 0:00,A,Health Care
ABBV_503,2015/7/24,91,210,104,33,61,8,-0.034600042000000004,2015/7/24 0:00,ABBV,Health Care
ABBV_501,2015/1/30,68,179,85,50,66,16,-0.043884672,2015/1/30 0:00,ABBV,Health Care
ABBV_512,2017/10/27,134,281,110,40,90,18,0.026462738,2017/10/27 0:00,ABBV,Health Care
ABBV_345,2013/4/26,100,121,82,14,27,7,0.036166329,2013/4/26 0:00,ABBV,Health Care
ABBV_502,2015/4/23,114,203,107,22,86,24,-0.004184697,2015/4/23 0:00,ABBV,Health Care
ABBV_683,2019/4/25,108,173,85,13,53,9,0.008516565,2019/4/25 0:00,ABBV,Health Care
ABBV_684,2019/7/26,98,156,115,20,50,7,0.016501626000000002,2019/7/26 0:00,ABBV,Health Care
ABBV_681,2018/11/2,73,160,88,18,69,8,-0.008103747,2018/11/2 0:00,ABBV,Health Care
ABBV_499,2014/7/25,15,56,18,5,10,3,-0.016642038999999997,2014/7/25 0:00,ABBV,Health Care
ABBV_505,2016/1/29,109,157,127,40,40,11,-0.017009793999999998,2016/1/29 0:00,ABBV,Health Care
ABBV_349,2014/4/25,100,126,82,13,48,14,-0.003649641,2014/4/25 0:00,ABBV,Health Care
ABBV_346,2013/7/26,77,109,75,12,39,13,0.01243217,2013/7/26 0:00,ABBV,Health Care
ABBV_348,2014/1/31,75,158,67,11,40,13,0.019043638,2014/1/31 0:00,ABBV,Health Care
ABBV_511,2017/7/28,115,194,103,39,64,11,-0.017984119,2017/7/28 0:00,ABBV,Health Care
ABBV_508,2016/10/28,85,171,99,31,60,13,-0.062805087,2016/10/28 0:00,ABBV,Health Care
ABBV_680,2018/7/27,94,214,91,28,62,18,-0.035980464,2018/7/27 0:00,ABBV,Health Care
ABBV_507,2016/7/29,99,251,113,22,62,13,0.023331306,2016/7/29 0:00,ABBV,Health Care
ABBV_686,2020/2/7,105,196,119,12,71,6,,,ABBV,Health Care
