Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
AAL_1452,2018/10/25,113,292,79,16,91,13,0.066908331,2018/10/25 0:00,AAL,Industrials
AAL_1450,2018/4/26,69,180,80,3,53,14,-0.063646432,2018/4/26 0:00,AAL,Industrials
AAL_1303,2015/10/23,110,176,93,8,51,9,-0.00695811,2015/10/23 0:00,AAL,Industrials
AAL_1301,2015/4/24,121,139,114,5,71,9,0.024489762999999998,2015/4/24 0:00,AAL,Industrials
AAL_1310,2017/7/28,93,223,88,12,67,15,0.009800034000000001,2017/7/28 0:00,AAL,Industrials
AAL_1309,2017/4/27,122,259,138,18,80,22,-0.052155213,2017/4/27 0:00,AAL,Industrials
AAL_1299,2014/7/24,93,153,109,14,69,15,-0.027002122000000003,2014/7/24 0:00,AAL,Industrials
AAL_1453,2019/1/24,134,218,104,8,85,12,0.063507117,2019/1/24 0:00,AAL,Industrials
AAL_1307,2016/10/20,129,247,93,4,93,13,-0.000984517,2016/10/20 0:00,AAL,Industrials
AAL_1311,2017/10/26,144,234,107,7,66,9,-0.047236374000000005,2017/10/26 0:00,AAL,Industrials
AAL_1308,2017/1/27,112,205,105,16,113,11,-0.053236527,2017/1/27 0:00,AAL,Industrials
AAL_1306,2016/7/22,151,134,123,10,112,22,0.040045811,2016/7/22 0:00,AAL,Industrials
AAL_1449,2018/1/25,73,210,81,5,65,7,-0.03175765,2018/1/25 0:00,AAL,Industrials
AAL_1300,2015/1/27,119,186,112,16,104,7,-0.049594228,2015/1/27 0:00,AAL,Industrials
AAL_1451,2018/7/26,126,215,90,5,72,17,0.047918353,2018/7/26 0:00,AAL,Industrials
AAL_1456,2019/10/24,137,233,124,17,129,22,0.039589922,2019/10/24 0:00,AAL,Industrials
AAL_1457,2020/1/23,143,235,107,29,102,16,0.054172751,2020/1/23 0:00,AAL,Industrials
AAL_1454,2019/4/26,137,179,140,15,75,10,-0.01047586,2019/4/26 0:00,AAL,Industrials
AAL_1455,2019/7/25,151,249,102,25,92,13,-0.084417464,2019/7/25 0:00,AAL,Industrials
ALK_368,2014/10/23,70,161,71,11,42,7,0.067992309,2014/10/23 0:00,ALK,Industrials
ALK_534,2020/1/28,97,237,99,6,74,23,0.0030609820000000003,2020/1/28 0:00,ALK,Industrials
ALK_364,2013/10/24,78,110,82,5,54,10,0.03953456,2013/10/24 0:00,ALK,Industrials
ALK_366,2014/4/25,78,176,102,7,53,8,-0.013931395,2014/4/25 0:00,ALK,Industrials
ALK_719,2017/4/26,69,158,83,5,63,12,-0.034675106000000004,2017/4/26 0:00,ALK,Industrials
ALK_197,2013/1/24,79,187,81,10,54,9,-0.005573465,2013/1/24 0:00,ALK,Industrials
ALK_720,2017/2/8,81,187,63,4,52,14,0.032943661,2017/2/8 0:00,ALK,Industrials
ALK_715,2018/4/23,88,170,68,15,63,11,0.056889452,2018/4/23 0:00,ALK,Industrials
ALK_530,2016/7/21,68,160,83,14,69,3,0.019215583,2016/7/21 0:00,ALK,Industrials
ALK_717,2017/10/25,125,154,84,10,68,7,-0.13188060599999998,2017/10/25 0:00,ALK,Industrials
ALK_529,2016/4/21,96,200,113,8,60,6,-0.027205898,2016/4/21 0:00,ALK,Industrials
ALK_714,2018/7/26,89,195,74,3,52,8,0.095584528,2018/7/26 0:00,ALK,Industrials
ALK_195,2012/7/26,62,169,79,10,39,7,0.004934635,2012/7/26 0:00,ALK,Industrials
ALK_532,2019/7/25,69,201,73,12,50,5,-0.026078986000000002,2019/7/25 0:00,ALK,Industrials
ALK_369,2015/1/22,65,162,82,10,63,7,0.045552460999999995,2015/1/22 0:00,ALK,Industrials
ALK_371,2015/7/23,77,220,74,8,63,5,-0.026902292999999997,2015/7/23 0:00,ALK,Industrials
ALK_533,2019/10/24,58,164,67,7,51,11,-0.002176774,2019/10/24 0:00,ALK,Industrials
ALK_196,2012/10/25,88,164,101,10,51,8,-0.00469362,2012/10/25 0:00,ALK,Industrials
ALK_716,2018/1/25,90,188,94,3,93,16,-0.040500891000000004,2018/1/25 0:00,ALK,Industrials
ALK_372,2015/10/22,75,199,79,6,45,3,0.016593039,2015/10/22 0:00,ALK,Industrials
ALK_531,2016/10/20,55,182,67,11,55,6,0.024911542000000002,2016/10/20 0:00,ALK,Industrials
ALK_528,2016/1/21,86,152,88,11,58,5,0.081149444,2016/1/21 0:00,ALK,Industrials
ALK_711,2019/4/25,99,205,89,6,35,5,-0.026809227999999997,2019/4/25 0:00,ALK,Industrials
ALK_713,2018/10/25,67,157,64,2,58,1,0.031909683,2018/10/25 0:00,ALK,Industrials
ALK_712,2019/1/24,87,182,94,13,58,3,0.03249097,2019/1/24 0:00,ALK,Industrials
ALK_362,2013/4/25,103,119,89,4,42,9,-0.010512473,2013/4/25 0:00,ALK,Industrials
ALK_363,2013/7/26,69,142,71,4,45,13,0.036607635,2013/7/26 0:00,ALK,Industrials
ALLE_1388,2017/7/27,63,186,61,2,44,8,0.034526681000000004,2017/7/27 0:00,ALLE,Industrials
ALLE_1383,2016/4/28,66,186,79,9,38,11,-0.023791768999999997,2016/4/28 0:00,ALLE,Industrials
ALLE_1384,2016/7/28,89,173,68,4,28,10,0.01252089,2016/7/28 0:00,ALLE,Industrials
ALLE_1387,2017/4/29,63,149,51,3,26,6,-0.011953236,2017/5/1 0:00,ALLE,Industrials
ALLE_1541,2020/2/18,94,124,52,1,40,6,,,ALLE,Industrials
ALLE_1378,2015/2/18,84,154,61,4,48,16,-0.043715869000000004,2015/2/18 0:00,ALLE,Industrials
