Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
AAPL_3022,2016/4/26,76,138,63,3,46,11,-0.00694712,2016/4/26 0:00,AAPL,Information Technology
AAPL_3034,2019/4/30,57,151,42,7,54,8,-0.019256158,2019/4/30 0:00,AAPL,Information Technology
AAPL_3025,2017/1/31,55,175,51,9,32,9,-0.002302054,2017/1/31 0:00,AAPL,Information Technology
AAPL_3036,2019/10/30,55,177,68,2,53,10,-0.000123305,2019/10/30 0:00,AAPL,Information Technology
AAPL_2876,2014/1/27,44,168,36,3,30,7,0.008112527,2014/1/27 0:00,AAPL,Information Technology
AAPL_2878,2014/7/22,48,142,50,7,31,3,0.008303159000000001,2014/7/22 0:00,AAPL,Information Technology
AAPL_2872,2013/1/23,77,154,72,6,51,17,0.018305362,2013/1/23 0:00,AAPL,Information Technology
AAPL_3027,2017/8/1,50,151,84,7,41,11,0.008875191999999999,2017/8/1 0:00,AAPL,Information Technology
AAPL_2879,2014/10/20,55,161,64,4,59,11,0.021398628,2014/10/20 0:00,AAPL,Information Technology
AAPL_3030,2018/5/1,43,159,71,2,40,4,0.023236184,2018/5/1 0:00,AAPL,Information Technology
AAPL_2873,2013/4/23,66,178,57,3,54,6,0.018712177,2013/4/23 0:00,AAPL,Information Technology
AAPL_2869,2012/4/24,62,138,73,6,38,10,-0.019975456000000003,2012/4/24 0:00,AAPL,Information Technology
AAPL_2870,2012/7/24,60,140,71,5,45,8,-0.004819281,2012/7/24 0:00,AAPL,Information Technology
AAPL_2868,2012/1/24,37,124,52,0,33,3,-0.016377717,2012/1/24 0:00,AAPL,Information Technology
AAPL_2877,2014/4/23,51,180,64,4,46,5,-0.013071303000000001,2014/4/23 0:00,AAPL,Information Technology
AAPL_3019,2015/7/21,58,182,54,2,44,4,-0.009994755,2015/7/21 0:00,AAPL,Information Technology
AAPL_2871,2012/10/25,73,139,62,4,57,11,-0.011818481,2012/10/25 0:00,AAPL,Information Technology
AAPL_3021,2016/1/26,95,149,71,3,44,5,0.005530927,2016/1/26 0:00,AAPL,Information Technology
AAPL_2880,2015/1/27,49,157,71,6,34,6,-0.035013255,2015/1/27 0:00,AAPL,Information Technology
AAPL_3032,2018/11/1,40,147,52,2,46,6,0.015352283000000001,2018/11/1 0:00,AAPL,Information Technology
AAPL_3028,2017/11/2,40,165,59,2,44,5,0.007310212,2017/11/2 0:00,AAPL,Information Technology
AAPL_3020,2015/10/27,60,142,57,3,38,4,-0.006332371,2015/10/27 0:00,AAPL,Information Technology
AAPL_3023,2016/7/26,53,162,52,1,48,4,-0.006883072,2016/7/26 0:00,AAPL,Information Technology
AAPL_3031,2018/7/31,51,142,65,2,48,10,0.0020008929999999997,2018/7/31 0:00,AAPL,Information Technology
AAPL_3024,2016/10/25,49,160,63,1,36,7,0.005099859,2016/10/25 0:00,AAPL,Information Technology
AAPL_3029,2018/2/1,41,122,59,8,45,8,0.002090462,2018/2/1 0:00,AAPL,Information Technology
AAPL_2875,2013/10/28,47,169,52,4,47,9,0.007453005,2013/10/28 0:00,AAPL,Information Technology
AAPL_3026,2017/5/2,46,161,67,8,24,8,0.006344608000000001,2017/5/2 0:00,AAPL,Information Technology
AAPL_3037,2020/1/28,51,129,38,3,49,9,0.028289334,2020/1/28 0:00,AAPL,Information Technology
ACN_723,2014/6/26,53,209,72,9,46,8,-0.018420405,2014/6/26 0:00,ACN,Information Technology
ACN_670,2018/3/22,50,164,68,19,46,4,-0.07282603900000001,2018/3/22 0:00,ACN,Information Technology
ACN_677,2019/12/19,49,187,51,0,43,4,0.012344521,2019/12/19 0:00,ACN,Information Technology
ACN_497,2015/9/24,65,163,93,5,53,12,-0.000919722,2015/9/24 0:00,ACN,Information Technology
ACN_665,2016/12/21,65,172,83,6,37,7,-0.049959685999999996,2016/12/21 0:00,ACN,Information Technology
ACN_727,2013/6/27,88,154,100,27,52,10,0.008295671999999999,2013/6/27 0:00,ACN,Information Technology
ACN_340,2012/3/22,64,163,53,14,37,2,-0.0036078359999999997,2012/3/22 0:00,ACN,Information Technology
ACN_667,2017/6/22,60,174,76,6,54,5,-0.039572013999999996,2017/6/22 0:00,ACN,Information Technology
ACN_495,2015/3/26,60,177,85,13,52,4,0.067566026,2015/3/26 0:00,ACN,Information Technology
ACN_662,2016/3/24,85,170,68,3,39,4,0.061675638,2016/3/24 0:00,ACN,Information Technology
ACN_724,2014/3/27,63,168,104,25,65,4,-0.050259107000000004,2014/3/27 0:00,ACN,Information Technology
ACN_726,2013/9/26,55,185,101,4,60,7,-0.003284288,2013/9/26 0:00,ACN,Information Technology
ACN_342,2012/9/27,74,164,77,19,52,7,0.016006197,2012/9/27 0:00,ACN,Information Technology
ACN_498,2015/12/17,64,146,86,4,43,4,-0.053355332000000005,2015/12/17 0:00,ACN,Information Technology
ACN_344,2013/3/28,70,186,71,12,63,7,0.014556676999999999,2013/3/28 0:00,ACN,Information Technology
ACN_725,2013/12/19,49,145,84,8,49,8,0.051441408,2013/12/19 0:00,ACN,Information Technology
ACN_672,2018/9/27,54,155,80,6,42,5,-0.016881529,2018/9/27 0:00,ACN,Information Technology
ACN_675,2019/6/27,63,173,68,6,45,5,-0.0016911110000000001,2019/6/27 0:00,ACN,Information Technology
ACN_669,2017/12/21,44,189,74,9,42,7,0.016144955,2017/12/21 0:00,ACN,Information Technology
ACN_343,2012/12/19,71,155,69,19,53,6,-0.010123751,2012/12/19 0:00,ACN,Information Technology
ACN_664,2016/9/29,58,178,98,3,54,4,0.042777521,2016/9/29 0:00,ACN,Information Technology
ACN_676,2019/9/26,63,137,53,4,35,7,0.00654896,2019/9/26 0:00,ACN,Information Technology
ACN_721,2014/12/18,75,185,74,21,43,7,0.05205152,2014/12/18 0:00,ACN,Information Technology
