Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
ALB_1271,2013/7/18,110,127,84,9,23,12,-0.031177657,2013/7/18 0:00,ALB,Materials
ALB_1273,2014/1/29,92,141,100,7,51,3,0.032436696,2014/1/29 0:00,ALB,Materials
ALB_1568,2019/8/8,106,116,76,39,72,23,0.087291047,2019/8/8 0:00,ALB,Materials
ALB_1277,2015/1/29,129,141,89,7,73,8,-0.13725841800000002,2015/1/29 0:00,ALB,Materials
ALB_1430,2017/8/9,54,92,83,23,35,19,-0.01949571,2017/8/9 0:00,ALB,Materials
ALB_1427,2016/11/8,69,122,71,17,46,11,-0.040913292000000004,2016/11/8 0:00,ALB,Materials
ALB_1268,2012/10/18,125,151,59,10,49,6,0.026529154,2012/10/18 0:00,ALB,Materials
ALB_1266,2012/4/19,84,189,54,8,36,5,-0.023295026,2012/4/19 0:00,ALB,Materials
ALB_1267,2012/7/18,96,142,78,11,37,6,-0.028306814,2012/7/18 0:00,ALB,Materials
ALB_1275,2014/7/31,63,136,49,14,82,4,-0.080497662,2014/7/31 0:00,ALB,Materials
ALB_1425,2016/5/11,91,134,61,11,32,8,0.10005895699999999,2016/5/11 0:00,ALB,Materials
ALB_1432,2018/2/28,85,109,66,12,42,16,-0.09984762400000001,2018/2/28 0:00,ALB,Materials
ALB_1279,2015/8/6,96,144,67,14,36,13,-0.027975927999999997,2015/8/6 0:00,ALB,Materials
ALB_1265,2012/1/24,86,179,73,4,60,10,0.04276917400000001,2012/1/24 0:00,ALB,Materials
ALB_1278,2015/5/7,111,162,70,9,42,4,0.047166697,2015/5/7 0:00,ALB,Materials
ALB_1426,2016/8/4,67,156,79,7,45,8,-0.022264497999999997,2016/8/4 0:00,ALB,Materials
ALB_1569,2019/11/7,101,122,66,24,56,13,0.069993976,2019/11/7 0:00,ALB,Materials
ALB_1570,2020/2/20,80,102,84,22,60,17,,,ALB,Materials
ALB_1424,2016/2/18,100,133,67,23,52,11,0.033352251,2016/2/18 0:00,ALB,Materials
ALB_1274,2014/4/17,70,148,73,17,66,11,0.006035026,2014/4/17 0:00,ALB,Materials
ALB_1269,2013/1/23,86,136,81,12,49,17,0.005285191,2013/1/23 0:00,ALB,Materials
ALB_1564,2018/8/8,79,115,89,38,33,13,0.06421721,2018/8/8 0:00,ALB,Materials
ALB_1431,2017/11/9,67,118,63,6,34,11,-0.025868069,2017/11/9 0:00,ALB,Materials
ALB_1428,2017/2/28,70,144,65,17,50,6,0.097880198,2017/2/28 0:00,ALB,Materials
ALB_1272,2013/10/17,95,143,60,6,54,8,0.047035065,2013/10/17 0:00,ALB,Materials
ALB_1567,2019/5/9,81,110,104,30,55,16,0.00041332,2019/5/9 0:00,ALB,Materials
ALB_1276,2014/10/23,81,169,74,12,38,7,0.02824036,2014/10/23 0:00,ALB,Materials
ALB_1280,2015/11/5,135,127,75,2,35,9,-0.088343799,2015/11/5 0:00,ALB,Materials
ALB_1429,2017/5/4,60,131,78,7,30,6,0.009846703,2017/5/4 0:00,ALB,Materials
APD_389,2017/8/1,84,220,51,5,61,22,0.04762578,2017/8/1 0:00,APD,Materials
APD_221,2015/1/29,81,197,46,15,45,10,0.058776941,2015/1/29 0:00,APD,Materials
APD_219,2014/7/23,90,206,60,11,94,17,0.044195504000000004,2014/7/23 0:00,APD,Materials
APD_558,2019/11/7,106,181,72,16,85,23,0.039890315,2019/11/7 0:00,APD,Materials
APD_556,2019/4/24,59,153,69,13,44,18,0.013982814,2019/4/24 0:00,APD,Materials
APD_115,2013/4/23,124,155,71,10,32,3,-0.012863574,2013/4/23 0:00,APD,Materials
APD_223,2015/7/30,91,221,37,18,56,13,0.061130182000000005,2015/7/30 0:00,APD,Materials
APD_386,2016/10/27,97,241,75,7,61,16,0.0031583559999999998,2016/10/27 0:00,APD,Materials
APD_554,2018/7/26,74,185,59,11,51,21,0.027018436,2018/7/26 0:00,APD,Materials
APD_215,2013/7/23,103,161,59,14,29,7,0.028299922999999998,2013/7/23 0:00,APD,Materials
APD_113,2012/10/19,144,149,60,26,55,10,-0.06280026,2012/10/19 0:00,APD,Materials
APD_114,2013/1/23,111,156,48,10,19,10,-0.010738286000000001,2013/1/23 0:00,APD,Materials
APD_222,2015/5/1,106,190,31,23,42,11,0.022101332,2015/5/1 0:00,APD,Materials
APD_557,2019/7/25,64,170,32,15,59,16,0.01240769,2019/7/25 0:00,APD,Materials
APD_384,2016/4/28,98,198,48,15,45,7,0.001550825,2016/4/28 0:00,APD,Materials
APD_388,2017/4/27,96,165,70,11,45,14,-0.0033902790000000004,2017/4/27 0:00,APD,Materials
APD_390,2017/10/26,91,256,56,12,52,22,0.043987342,2017/10/26 0:00,APD,Materials
APD_555,2018/11/6,98,215,67,10,44,25,0.004575213,2018/11/6 0:00,APD,Materials
APD_552,2018/1/26,82,226,65,18,39,22,-0.02385054,2018/1/26 0:00,APD,Materials
APD_216,2013/10/29,102,194,69,16,38,20,-0.018897211,2013/10/29 0:00,APD,Materials
APD_112,2012/7/24,112,158,62,10,28,10,-0.00879613,2012/7/24 0:00,APD,Materials
APD_217,2014/1/28,147,159,78,13,37,7,0.014589563,2014/1/28 0:00,APD,Materials
APD_110,2012/1/24,113,140,73,18,57,5,-0.026023075,2012/1/24 0:00,APD,Materials
APD_382,2015/10/29,82,257,48,15,59,16,-0.033560892,2015/10/29 0:00,APD,Materials
APD_559,2020/1/24,80,182,54,16,48,18,0.028066939,2020/1/24 0:00,APD,Materials
APD_383,2016/1/29,116,247,62,13,87,14,0.06470042200000001,2016/1/29 0:00,APD,Materials
APD_387,2017/1/27,95,142,83,14,51,7,-0.045695875,2017/1/27 0:00,APD,Materials
APD_220,2014/10/30,109,181,63,14,47,14,0.036709366,2014/10/30 0:00,APD,Materials
AVY_2745,2017/7/25,65,137,87,3,24,5,-0.02862923,2017/7/25 0:00,AVY,Materials
AVY_2470,2012/1/31,107,110,68,8,43,6,-0.054007007,2012/1/31 0:00,AVY,Materials
AVY_2908,2019/4/24,74,112,57,5,25,6,-0.04482756,2019/4/24 0:00,AVY,Materials
AVY_2747,2018/1/31,58,140,64,3,37,5,0.045597873,2018/1/31 0:00,AVY,Materials
AVY_2739,2016/2/3,79,148,73,4,29,7,0.064817926,2016/2/3 0:00,AVY,Materials
AVY_2742,2016/10/26,95,125,48,3,37,8,-0.06348156,2016/10/26 0:00,AVY,Materials
AVY_2911,2020/1/29,112,177,59,0,23,7,0.054330072,2020/1/29 0:00,AVY,Materials
AVY_2583,2013/7/23,49,92,44,3,19,1,0.004954895999999999,2013/7/23 0:00,AVY,Materials
AVY_2744,2017/4/27,73,112,65,6,25,2,0.004086586,2017/4/27 0:00,AVY,Materials
AVY_2907,2019/1/30,88,152,85,4,31,7,0.034936678,2019/1/30 0:00,AVY,Materials
AVY_2740,2016/4/27,66,150,47,12,43,6,0.023783385,2016/4/27 0:00,AVY,Materials
AVY_2909,2019/7/23,78,104,62,0,16,2,0.042746419,2019/7/23 0:00,AVY,Materials
AVY_2581,2013/1/30,67,129,49,3,20,12,0.063641375,2013/1/30 0:00,AVY,Materials
AVY_2590,2015/4/29,98,208,86,4,41,8,0.053433651,2015/4/29 0:00,AVY,Materials
AVY_2738,2015/10/31,95,161,74,1,59,6,0.011082056000000002,2015/11/2 0:00,AVY,Materials
AVY_2580,2012/10/24,86,133,77,5,32,6,0.08403361300000001,2012/10/24 0:00,AVY,Materials
AVY_2586,2014/4/23,78,115,58,1,49,3,-0.044435845,2014/4/23 0:00,AVY,Materials
AVY_2741,2016/7/26,80,136,67,6,43,5,0.056877948,2016/7/26 0:00,AVY,Materials
AVY_2587,2014/7/25,76,104,76,1,35,1,-0.032612962999999995,2014/7/25 0:00,AVY,Materials
AVY_2582,2013/4/24,52,70,38,4,12,2,0.023250159,2013/4/24 0:00,AVY,Materials
AVY_2584,2013/10/25,74,120,69,2,14,7,0.08376850200000001,2013/10/25 0:00,AVY,Materials
AVY_2743,2017/2/1,52,122,52,3,19,9,0.09079711300000001,2017/2/1 0:00,AVY,Materials
AVY_2910,2019/10/23,87,117,61,3,23,2,0.06510174,2019/10/23 0:00,AVY,Materials
AVY_2585,2014/1/31,94,169,92,1,32,10,-0.009050699,2014/1/31 0:00,AVY,Materials
AVY_2588,2014/10/24,115,178,108,4,49,5,0.04956991,2014/10/24 0:00,AVY,Materials
AVY_2589,2015/2/2,151,168,85,2,56,9,-0.020470626999999998,2015/2/2 0:00,AVY,Materials
AVY_2904,2018/4/25,91,119,60,6,24,3,0.012049303999999999,2018/4/25 0:00,AVY,Materials
AVY_2579,2012/7/24,81,160,71,2,40,13,0.073300273,2012/7/24 0:00,AVY,Materials
AVY_2591,2015/8/2,109,153,72,5,34,20,-0.005094455,2015/8/3 0:00,AVY,Materials
BLL_2893,2017/8/3,105,182,78,9,46,5,-0.030324748,2017/8/3 0:00,BLL,Materials
BLL_2888,2016/4/28,80,89,47,8,24,9,-0.025781462999999998,2016/4/28 0:00,BLL,Materials
BLL_2890,2016/11/3,83,164,51,17,42,3,0.017160683,2016/11/3 0:00,BLL,Materials
BLL_2573,2012/1/26,82,104,90,4,46,10,0.044031825,2012/1/26 0:00,BLL,Materials
BLL_2576,2012/10/25,93,107,74,5,26,5,0.013594078,2012/10/25 0:00,BLL,Materials
BLL_2730,2014/1/30,95,112,80,11,36,5,0.051558973,2014/1/30 0:00,BLL,Materials
BLL_2894,2017/11/2,131,173,107,18,40,4,-0.021077319,2017/11/2 0:00,BLL,Materials
BLL_2732,2014/7/31,88,121,73,25,24,9,-0.019683202,2014/7/31 0:00,BLL,Materials
BLL_2728,2013/7/25,102,118,82,7,37,7,-0.005715589,2013/7/25 0:00,BLL,Materials
BLL_2574,2012/4/26,94,113,89,8,39,1,-0.03186044,2012/4/26 0:00,BLL,Materials
BLL_2897,2018/8/2,113,181,106,20,52,3,0.030510981,2018/8/2 0:00,BLL,Materials
BLL_2737,2015/10/29,133,153,94,15,41,7,-0.009417295,2015/10/29 0:00,BLL,Materials
BLL_2729,2013/10/24,74,96,57,7,26,2,0.040208702,2013/10/24 0:00,BLL,Materials
BLL_2901,2019/8/1,89,181,99,22,79,19,0.045607084000000006,2019/8/1 0:00,BLL,Materials
BLL_2899,2019/1/31,87,155,98,25,44,5,0.021492741,2019/1/31 0:00,BLL,Materials
BLL_2889,2016/8/4,94,160,104,17,48,5,0.11997152400000001,2016/8/4 0:00,BLL,Materials
BLL_2734,2015/2/5,108,105,119,19,43,12,0.088888845,2015/2/5 0:00,BLL,Materials
BLL_2575,2012/7/26,109,120,96,6,42,2,0.010609433,2012/7/26 0:00,BLL,Materials
BLL_2895,2018/2/7,123,183,89,19,49,10,0.064987856,2018/2/7 0:00,BLL,Materials
BLL_2731,2014/5/1,84,142,81,11,36,3,0.013347571,2014/5/1 0:00,BLL,Materials
BLL_2733,2014/10/30,107,158,105,17,40,16,-0.049406777,2014/10/30 0:00,BLL,Materials
BLL_2900,2019/5/3,78,192,111,19,86,5,0.025666682000000003,2019/5/3 0:00,BLL,Materials
BLL_2892,2017/5/4,93,167,92,7,54,3,0.056021997000000004,2017/5/4 0:00,BLL,Materials
BLL_2903,2020/2/6,87,204,98,18,86,8,,,BLL,Materials
BLL_2577,2013/1/31,92,85,87,10,29,6,-0.030698886,2013/1/31 0:00,BLL,Materials
BLL_2735,2015/5/2,114,109,107,34,60,9,0.006313826,2015/5/4 0:00,BLL,Materials
BLL_2898,2018/11/1,86,138,69,16,33,6,0.062946423,2018/11/1 0:00,BLL,Materials
BLL_2578,2013/4/25,119,102,90,28,26,11,-0.047528517,2013/4/25 0:00,BLL,Materials
CF_4945,2015/11/5,71,138,85,17,61,12,-0.09505406400000001,2015/11/5 0:00,CF,Materials
CF_4952,2017/8/3,127,144,95,10,90,17,0.069289687,2017/8/3 0:00,CF,Materials
CF_4949,2016/11/3,85,104,89,10,60,21,-0.085020256,2016/11/3 0:00,CF,Materials
CF_5051,2018/8/2,94,136,66,7,67,9,0.121685901,2018/8/2 0:00,CF,Materials
CF_4816,2013/2/20,74,117,59,5,27,14,-0.052441307,2013/2/20 0:00,CF,Materials
CF_5055,2019/8/1,104,135,80,3,70,7,0.05629533900000001,2019/8/1 0:00,CF,Materials
CF_4822,2014/8/7,112,131,104,11,57,24,-0.036590616,2014/8/7 0:00,CF,Materials
CF_4813,2012/5/4,94,124,96,4,34,12,-0.068715743,2012/5/4 0:00,CF,Materials
CF_4946,2016/2/18,110,97,125,6,59,10,0.08422707,2016/2/18 0:00,CF,Materials
CF_4814,2012/8/8,80,90,81,5,51,14,0.006599683,2012/8/8 0:00,CF,Materials
CF_4943,2015/5/7,73,177,86,17,66,11,0.018635496,2015/5/7 0:00,CF,Materials
CF_4953,2017/11/2,96,131,107,4,49,6,0.013406896000000001,2017/11/2 0:00,CF,Materials
CF_5053,2019/2/14,99,108,90,6,67,11,-0.00234518,2019/2/14 0:00,CF,Materials
CF_4821,2014/5/8,114,124,110,10,51,10,-0.014253081,2014/5/8 0:00,CF,Materials
CF_4948,2016/8/4,118,116,88,15,71,19,-0.12601958,2016/8/4 0:00,CF,Materials
CF_5052,2018/11/1,117,136,146,9,73,4,0.062877379,2018/11/1 0:00,CF,Materials
CF_4951,2017/5/4,114,107,118,17,64,9,0.061152468,2017/5/4 0:00,CF,Materials
CF_4944,2015/8/6,63,125,75,7,98,12,0.022395343999999998,2015/8/6 0:00,CF,Materials
CF_4820,2014/2/19,87,96,90,8,67,15,0.050532724,2014/2/19 0:00,CF,Materials
CF_5054,2019/5/2,119,82,80,6,56,10,0.003926962,2019/5/2 0:00,CF,Materials
CF_4947,2016/5/5,107,97,102,4,67,7,-0.041108679,2016/5/5 0:00,CF,Materials
CF_4818,2013/8/7,89,114,113,2,48,9,0.0017938370000000002,2013/8/7 0:00,CF,Materials
CF_4817,2013/5/9,97,130,93,15,73,6,0.022442527,2013/5/9 0:00,CF,Materials
CF_4815,2012/11/6,71,113,89,7,49,16,0.004136611,2012/11/6 0:00,CF,Materials
CF_5057,2020/2/13,93,153,89,6,65,9,,,CF,Materials
CF_5050,2018/5/3,125,85,81,7,73,3,-0.020476049,2018/5/3 0:00,CF,Materials
CF_4812,2012/2/16,82,145,89,9,55,13,-0.018361345,2012/2/16 0:00,CF,Materials
CF_4608,2014/11/6,129,123,95,12,68,13,-0.008319222,2014/11/6 0:00,CF,Materials
CF_4950,2017/2/16,87,86,88,9,76,13,-0.028124127999999998,2017/2/16 0:00,CF,Materials
DD_7646,2015/4/21,78,220,46,5,46,7,-0.00878415,2015/4/21 0:00,DD,Materials
DD_7644,2015/1/27,95,149,62,3,72,7,-0.008752206,2015/1/27 0:00,DD,Materials
DD_8177,2016/4/26,101,165,49,14,47,8,0.02150738,2016/4/26 0:00,DD,Materials
DD_7643,2014/10/28,97,191,60,3,47,6,0.032049938,2014/10/28 0:00,DD,Materials
DD_8180,2015/10/27,91,111,42,2,68,7,0.0047572709999999995,2015/10/27 0:00,DD,Materials
DD_7488,2014/1/28,89,208,81,6,59,9,-0.00092807,2014/1/28 0:00,DD,Materials
DD_8135,2019/8/1,85,173,69,4,50,11,-0.00651332,2019/8/1 0:00,DD,Materials
DD_7993,2017/4/26,65,173,59,4,41,10,-0.007406232,2017/4/26 0:00,DD,Materials
DD_7403,2012/10/23,134,167,53,4,42,19,-0.040013457,2012/10/23 0:00,DD,Materials
DD_7831,2016/7/26,99,162,61,9,54,9,0.0050685470000000005,2016/7/26 0:00,DD,Materials
DD_7835,2017/1/24,97,173,59,7,44,12,0.043752186,2017/1/24 0:00,DD,Materials
DD_8137,2020/1/30,144,158,56,22,46,8,-0.08615007,2020/1/30 0:00,DD,Materials
DD_7397,2012/1/24,88,190,78,8,31,8,0.008459178000000001,2012/1/24 0:00,DD,Materials
DD_8136,2019/10/31,89,158,51,24,55,7,0.004878904,2019/10/31 0:00,DD,Materials
