Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
CTL_4849,2013/2/13,95,172,95,5,88,7,-0.0016762379999999998,2013/2/13 0:00,CTL,Telecommunication Services
CTL_4968,2015/5/5,62,106,49,1,26,3,-0.01415886,2015/5/5 0:00,CTL,Telecommunication Services
CTL_4850,2013/5/8,68,114,72,8,43,9,0.006475926999999999,2013/5/8 0:00,CTL,Telecommunication Services
CTL_4974,2017/2/8,60,160,86,11,40,7,-0.018086771,2017/2/8 0:00,CTL,Telecommunication Services
CTL_4852,2013/11/6,69,116,64,10,40,8,0.015278558999999999,2013/11/6 0:00,CTL,Telecommunication Services
CTL_5081,2019/11/6,57,157,48,11,27,6,-0.022677426,2019/11/6 0:00,CTL,Telecommunication Services
CTL_4966,2014/11/5,74,127,75,1,32,4,0.000480434,2014/11/5 0:00,CTL,Telecommunication Services
CTL_4851,2013/8/7,70,102,71,1,30,7,0.005804286,2013/8/7 0:00,CTL,Telecommunication Services
CTL_4846,2012/5/9,56,119,64,5,34,5,-0.001309909,2012/5/9 0:00,CTL,Telecommunication Services
CTL_4970,2015/11/4,74,124,73,4,36,7,-0.016496993,2015/11/4 0:00,CTL,Telecommunication Services
CTL_4853,2014/2/12,70,165,79,4,41,9,0.01547262,2014/2/12 0:00,CTL,Telecommunication Services
CTL_4847,2012/8/10,66,107,78,5,48,4,0.005641699,2012/8/10 0:00,CTL,Telecommunication Services
CTL_4976,2017/8/2,123,152,98,36,52,9,0.016267087,2017/8/2 0:00,CTL,Telecommunication Services
CTL_4967,2015/2/11,99,139,82,9,32,4,0.008461925,2015/2/11 0:00,CTL,Telecommunication Services
CTL_5075,2018/5/9,77,197,63,1,38,8,-0.004964051,2018/5/9 0:00,CTL,Telecommunication Services
CTL_4848,2012/11/7,86,150,95,6,43,11,-0.015848287,2012/11/7 0:00,CTL,Telecommunication Services
CTL_4972,2016/5/4,46,108,70,5,44,15,0.012426395,2016/5/4 0:00,CTL,Telecommunication Services
CTL_4969,2015/8/5,73,114,85,3,29,9,0.004572605,2015/8/5 0:00,CTL,Telecommunication Services
CTL_4971,2016/2/10,72,149,107,2,65,6,-0.008867365,2016/2/10 0:00,CTL,Telecommunication Services
CTL_4977,2017/11/9,102,224,88,6,56,13,-0.047970520999999995,2017/11/9 0:00,CTL,Telecommunication Services
CTL_4973,2016/8/3,74,145,102,5,60,12,-0.002615231,2016/8/3 0:00,CTL,Telecommunication Services
CTL_4845,2012/2/15,59,124,54,2,14,7,0.000264467,2012/2/15 0:00,CTL,Telecommunication Services
