Code,Time,Negative,Positive,Uncertainty,Litigious,StrongModal,Constraining,nearest_day_return,nearest_day,Com_name,Sector
AEE_1313,2016/2/19,123,169,98,77,64,9,-0.014693178999999999,2016/2/19 0:00,AEE,Utilities
AEE_1125,2013/2/20,105,102,102,81,44,19,0.006618454,2013/2/20 0:00,AEE,Utilities
AEE_1312,2015/11/6,84,141,66,40,73,7,-0.033393939,2015/11/6 0:00,AEE,Utilities
AEE_1127,2013/8/1,106,96,84,93,52,14,0.013683268,2013/8/1 0:00,AEE,Utilities
AEE_1462,2019/5/9,51,97,59,32,40,9,0.007567277,2019/5/9 0:00,AEE,Utilities
AEE_990,2012/11/9,106,104,86,55,38,27,-0.036190457,2012/11/9 0:00,AEE,Utilities
AEE_988,2012/5/4,120,103,105,55,50,47,-0.001850181,2012/5/4 0:00,AEE,Utilities
AEE_1316,2016/11/4,42,107,45,31,35,8,0.005909943000000001,2016/11/4 0:00,AEE,Utilities
AEE_1318,2017/5/4,80,126,73,87,80,10,0.010508844,2017/5/4 0:00,AEE,Utilities
AEE_1314,2016/5/11,94,104,94,69,48,7,-0.010480853,2016/5/11 0:00,AEE,Utilities
AEE_1590,2017/11/3,78,138,66,76,78,19,-0.002086025,2017/11/3 0:00,AEE,Utilities
AEE_1315,2016/8/5,68,119,60,41,39,7,-0.016203707,2016/8/5 0:00,AEE,Utilities
AEE_1132,2014/11/6,62,105,69,37,34,8,-0.022580722,2014/11/6 0:00,AEE,Utilities
AEE_1458,2018/5/9,40,82,62,50,34,11,-0.012124383,2018/5/9 0:00,AEE,Utilities
AEE_1461,2019/2/14,57,199,91,24,46,13,-0.014701667,2019/2/14 0:00,AEE,Utilities
AEE_987,2012/2/23,123,128,104,56,45,23,0.008793931,2012/2/23 0:00,AEE,Utilities
AEE_1589,2018/2/16,67,151,75,46,42,13,0.001066502,2018/2/16 0:00,AEE,Utilities
AEE_1134,2015/5/7,84,104,76,54,58,8,0.00074319,2015/5/7 0:00,AEE,Utilities
AEE_989,2012/8/2,103,115,88,67,44,28,-0.0076628980000000005,2012/8/2 0:00,AEE,Utilities
AEE_1459,2018/8/3,64,157,65,51,53,4,0.011008585,2018/8/3 0:00,AEE,Utilities
AEE_1126,2013/5/3,134,120,120,98,39,10,0.016124493,2013/5/3 0:00,AEE,Utilities
AEE_1463,2019/8/2,74,124,56,29,40,13,-0.011743235,2019/8/2 0:00,AEE,Utilities
AEE_1319,2017/8/4,61,122,52,51,50,10,0.00877193,2017/8/4 0:00,AEE,Utilities
AEE_1464,2019/11/8,69,133,61,58,48,7,-0.010987535,2019/11/8 0:00,AEE,Utilities
AEE_1317,2017/2/16,67,147,47,42,50,11,0.007613203000000001,2017/2/16 0:00,AEE,Utilities
AEE_1129,2014/2/21,124,181,90,64,62,7,0.053336759000000004,2014/2/21 0:00,AEE,Utilities
AEE_1460,2018/10/31,59,223,81,40,67,9,-0.00646151,2018/10/31 0:00,AEE,Utilities
AEE_1128,2013/11/7,87,106,76,37,43,7,-0.010101085,2013/11/7 0:00,AEE,Utilities
AEP_1292,2016/7/28,105,108,69,61,51,2,0.0008712980000000001,2016/7/28 0:00,AEP,Utilities
AEP_1295,2017/7/27,64,141,71,58,41,6,0.017566613000000002,2017/7/27 0:00,AEP,Utilities
